Date,Open,High,Low,Close,Volume,OpenInt
20120306,44.947,44.947,44.947,44.947,487,0
20120307,45.105,45.105,45.105,45.105,108,0
20120308,45.934,45.934,45.934,45.934,217,0
20120312,45.86,45.86,45.86,45.86,1194,0
20120313,47.945,47.945,46.561,46.561,217,0
20120314,46.386,46.386,46.284,46.284,1086,0
20120316,46.839,46.921,46.839,46.875,2277,0
20120319,46.93,46.93,46.93,46.93,108,0
20120402,46.275,46.275,46.275,46.275,108,0
20120412,45.483,45.566,45.483,45.566,758,0
20120413,44.947,44.947,44.893,44.92,1954,0
20120416,44.855,44.855,44.855,44.855,542,0
20120419,45.363,45.363,45.363,45.363,542,0
20120420,45.455,45.455,45.455,45.455,542,0
20120425,45.631,45.631,45.622,45.622,542,0
20120426,45.685,45.685,45.685,45.685,542,0
20120427,46.101,46.101,46.101,46.101,542,0
20120509,44.007,44.007,43.667,43.667,4338,0
20120521,42.228,42.228,42.228,42.228,1086,0
20120529,42.708,42.708,42.708,42.708,565,0
20120605,41.361,41.361,41.361,41.361,484,0
20120614,42.449,42.449,42.449,42.449,569,0
20120618,42.985,42.985,42.977,42.977,536,0
20120619,43.48,43.48,43.471,43.471,536,0
20120625,42.071,42.071,42.071,42.071,536,0
20120626,42.23,42.23,42.22,42.22,536,0
20120628,42.145,42.173,42.145,42.145,428,0
20120629,43.676,43.844,43.676,43.844,428,0
20120702,44.002,44.002,43.983,43.983,1071,0
20120705,44.114,44.114,44.114,44.114,107,0
20120709,43.012,43.012,43.012,43.012,1071,0
20120727,44.141,44.141,44.141,44.141,1071,0
20120802,43.256,43.256,43.171,43.171,12381,0
20120803,44.338,45.048,44.272,45.048,6859,0
20120806,45.039,45.048,45.029,45.029,1393,0
20120807,45.197,45.197,45.197,45.197,215,0
20120808,45.056,45.056,44.973,45.056,1179,0
20120809,45.074,45.15,45.074,45.15,215,0
20120810,45.039,45.084,45.039,45.084,428,0
20120813,45.14,45.16,45.14,45.16,643,0
20120815,45.177,45.177,45.177,45.177,107,0
20120816,45.327,45.327,45.327,45.327,215,0
20120820,45.393,45.419,45.393,45.419,858,0
20120821,45.654,45.962,45.654,45.858,8253,0
20120827,45.308,45.308,45.169,45.225,1317,0
20120829,45.14,45.205,45.14,45.205,858,0
20120906,45.281,45.729,45.262,45.729,24972,0
20120913,47.229,47.249,47.229,47.249,965,0
20120917,47.623,47.623,47.558,47.558,1929,0
20120920,47.229,47.229,47.212,47.212,965,0
20120927,46.857,46.894,46.839,46.876,1929,0
20121001,46.988,46.988,46.791,46.884,5143,0
20121005,47.229,47.229,46.577,46.615,12106,0
20121011,46.437,46.456,46.437,46.456,965,0
20121016,47.101,47.118,47.101,47.118,965,0
20121025,46.242,46.242,46.018,46.064,3215,0
20121026,45.962,45.962,45.887,45.887,2572,0
20121101,46.456,46.456,46.437,46.437,965,0
20121102,46.297,46.381,46.269,46.269,2733,0
20121105,45.868,45.868,45.85,45.85,1822,0
20121106,46.213,46.288,46.213,46.269,1929,0
20121108,45.402,45.402,45.384,45.384,965,0
20121109,45.16,45.16,45.14,45.14,965,0
20121113,44.953,44.953,44.935,44.935,965,0
20121114,44.665,44.665,44.665,44.665,322,0
20121126,45.98,45.98,45.98,45.98,322,0
20121127,45.943,45.943,45.477,45.477,1179,0
20121128,45.298,45.831,44.133,45.831,2465,0
20121129,46.186,46.26,46.055,46.055,5359,0
20121130,46.157,46.213,45.858,45.858,16078,0
20121203,46.147,46.147,45.729,45.729,1179,0
20121204,45.738,45.757,45.533,45.533,2036,0
20121205,45.607,46.186,45.551,46.139,3430,0
20121206,45.999,46.092,45.719,45.775,3430,0
20121207,45.831,46.027,45.757,45.943,2358,0
20121210,46.045,46.166,46.045,46.166,750,0
20121211,46.39,46.456,46.157,46.4,20471,0
20121212,46.316,47.194,46.092,46.4,10075,0
