Date,Open,High,Low,Close,Volume,OpenInt
20120723,21.637,21.637,21.466,21.544,16600,0
20120724,21.431,21.491,21.208,21.258,564303,0
20120725,21.234,21.234,21.163,21.163,29257,0
20120726,21.19,21.354,21.163,21.354,1859,0
20120727,21.344,21.372,21.344,21.372,463,0
20120730,21.517,21.568,21.509,21.568,7161,0
20120731,21.637,21.637,21.423,21.491,11610,0
20120801,21.474,21.604,21.474,21.5,63852,0
20120802,21.637,21.637,21.336,21.336,15476,0
20120803,21.404,21.413,21.234,21.404,4110,0
20120807,21.509,21.559,21.491,21.509,5367,0
20120808,22.052,22.052,21.372,21.372,581,0
20120809,21.381,21.466,21.381,21.413,24413,0
20120810,21.44,21.526,21.44,21.526,8497,0
20120813,21.431,21.431,21.423,21.431,1026,0
20120814,21.458,21.458,21.458,21.458,348,0
20120815,21.526,21.646,21.517,21.604,14527,0
20120816,21.596,21.76,21.596,21.741,2775,0
20120817,22.276,22.276,21.723,21.76,16253,0
20120820,22.216,22.216,21.784,21.784,7713,0
20120821,21.784,21.784,21.69,21.69,10747,0
20120822,21.646,21.646,21.568,21.629,12351,0
20120823,22.104,22.104,21.474,21.536,22887,0
20120824,21.66,21.66,21.469,21.512,27142,0
20120827,21.721,21.721,21.52,21.53,5276,0
20120828,21.782,21.782,21.599,21.687,65681,0
20120829,21.687,21.703,21.687,21.703,13071,0
20120830,21.65,21.695,21.65,21.695,16653,0
20120831,21.687,22.001,21.678,21.808,55344,0
20120904,22.035,22.035,21.766,21.905,38829,0
20120905,21.844,21.895,21.687,21.808,21668,0
20120906,22.001,22.001,21.757,21.974,44452,0
20120907,21.757,21.808,21.757,21.808,13035,0
20120910,21.948,21.948,21.799,21.799,33873,0
20120911,21.791,21.791,21.703,21.748,41126,0
20120912,22.01,22.01,21.721,21.86,40525,0
20120913,21.826,22.01,21.817,21.974,9770,0
20120914,22.245,22.456,22.053,22.456,27622,0
20120917,22.236,22.421,22.236,22.245,13276,0
20120918,22.245,22.245,22.132,22.166,81279,0
20120919,22.185,22.202,22.149,22.185,36915,0
20120920,22.044,22.211,22.044,22.211,20664,0
20120921,22.263,22.306,22.219,22.236,9611,0
20120924,22.227,22.377,22.202,22.29,3310,0
20120925,22.586,22.586,22.123,22.123,45718,0
20120926,22.062,22.062,21.993,21.993,14658,0
20120927,22.115,22.185,22.088,22.185,54761,0
20120928,22.202,22.245,22.053,22.245,11558,0
