Date,Open,High,Low,Close,Volume,OpenInt
20120416,20.959,20.959,20.925,20.942,12832,0
20120417,21.041,21.083,21.041,21.083,1849,0
20120418,21.083,23.344,21.058,21.058,20952,0
20120419,21.164,21.205,21.041,21.124,5712,0
20120420,21.1,21.164,21.065,21.092,3513,0
20120423,21.074,21.083,20.859,21.025,2745,0
20120424,21.083,21.083,21.025,21.058,1941,0
20120425,20.736,21.083,20.736,21.083,613,0
20120426,21.083,21.083,20.99,21.007,8697,0
20120427,21.065,21.083,20.974,21.007,78769,0
20120430,21.043,21.12,20.984,21.087,30297,0
20120501,20.819,21.058,20.819,20.99,147384,0
20120502,21.1,21.1,20.959,21.007,119618,0
20120503,21.092,21.092,20.998,21.016,90131,0
20120504,21.049,21.049,20.982,20.998,55120,0
20120507,20.982,20.998,20.959,20.974,15635,0
20120508,21.041,21.074,21.007,21.049,18191,0
20120509,21.049,21.083,20.99,20.99,14740,0
20120510,21.552,21.552,20.951,20.974,13992,0
20120511,20.974,20.998,20.933,20.959,42176,0
20120514,20.982,20.998,20.859,20.942,70623,0
20120515,20.982,20.982,20.902,20.925,70537,0
20120516,20.959,21.049,20.793,20.802,56474,0
20120517,20.668,20.875,20.668,20.712,2108,0
20120518,20.704,20.727,20.489,20.489,13268,0
20120521,20.538,20.604,20.538,20.554,35508,0
20120522,20.554,20.613,20.554,20.588,13934,0
20120523,20.677,20.704,20.463,20.489,20361,0
20120524,20.489,20.668,20.489,20.627,58903,0
20120525,20.627,20.677,20.627,20.643,3212,0
20120529,20.695,20.695,20.622,20.659,23997,0
20120530,20.695,20.704,20.538,20.538,37567,0
20120531,20.646,20.741,20.646,20.741,965,0
20120601,20.627,20.754,20.58,20.754,14301,0
20120604,20.562,20.562,20.562,20.562,613,0
20120605,20.469,20.469,20.469,20.469,267,0
20120606,20.394,20.46,20.394,20.452,3155,0
20120607,20.743,20.743,20.469,20.469,1604,0
20120608,21.007,21.007,20.571,20.571,1995,0
20120611,20.982,20.982,20.538,20.538,2630,0
20120612,20.668,20.668,20.643,20.668,1094,0
20120613,20.659,20.754,20.554,20.754,9308,0
20120614,20.643,20.793,20.643,20.754,1335,0
20120615,20.684,20.684,20.633,20.684,1452,0
20120618,20.785,20.785,20.768,20.768,962,0
20120619,20.793,20.793,20.793,20.793,840,0
20120620,20.916,20.916,20.893,20.893,5231,0
20120621,20.998,20.998,20.998,20.998,965,0
20120622,20.958,20.958,20.916,20.916,4607,0
20120625,20.998,20.998,20.966,20.966,1974,0
20120626,20.942,20.942,20.875,20.916,1799,0
20120627,20.916,20.933,20.916,20.916,15482,0
20120628,20.875,20.958,20.858,20.958,12685,0
20120629,21.001,21.001,21.001,21.001,1103,0
20120702,21.109,21.109,21.109,21.109,480,0
20120705,21.149,21.149,21.149,21.149,480,0
20120706,21.15,21.15,21.15,21.15,2852,0
20120709,21.141,21.141,21.141,21.141,3546,0
20120710,21.15,21.15,20.974,20.974,241,0
20120711,21.026,21.141,20.958,20.958,1770,0
20120713,21.108,21.14,21.108,21.14,739,0
20120716,21.074,21.231,21.074,21.206,5665,0
20120717,21.319,21.319,21.319,21.319,5919,0
20120718,21.377,21.377,21.11,21.276,101005,0
20120719,21.358,21.398,21.358,21.398,1352,0
20120720,21.54,21.54,21.431,21.48,5438,0
20120723,21.438,21.438,21.222,21.274,1689,0
20120724,21.152,21.152,21.152,21.152,369,0
20120725,21.109,21.438,21.065,21.438,49494,0
20120726,21.382,21.382,21.214,21.214,2166,0
20120727,21.366,21.366,21.23,21.23,1086,0
20120730,21.438,21.438,21.438,21.438,849,0
20120731,21.365,21.365,21.365,21.365,847,0
20120801,21.599,21.599,21.506,21.506,11145,0
20120802,21.995,21.995,21.678,21.678,13065,0
20120803,22.44,22.44,21.763,21.797,45870,0
20120806,21.771,21.771,21.707,21.763,1795,0
20120807,21.722,21.761,21.722,21.761,1565,0
20120808,21.832,21.832,21.755,21.755,1150,0
20120809,21.89,21.89,21.85,21.89,5265,0
20120810,21.973,21.973,21.965,21.965,1168,0
20120813,22.057,22.057,21.932,21.932,3904,0
20120814,21.973,21.973,21.973,21.973,268,0
20120815,22.015,22.015,21.681,21.716,13556,0
20120816,21.89,21.89,21.723,21.723,6595,0
20120817,21.761,21.761,21.761,21.761,133,0
20120820,21.85,21.85,21.85,21.85,1173,0
20120821,21.973,21.973,21.866,21.866,1081,0
20120822,21.973,21.973,21.973,21.973,3582,0
20120823,22.223,22.223,21.85,21.932,2221,0
20120824,22.231,22.231,22.172,22.172,880,0
20120827,22.023,22.14,22.023,22.14,437,0
20120828,22.258,22.258,22.223,22.223,1084,0
20120829,22.424,22.424,22.03,22.056,2288,0
20120830,22.214,22.214,22.056,22.179,1822,0
20120831,21.973,22.229,21.973,22.229,3273,0
20120904,22.197,22.197,22.172,22.172,3827,0
20120905,22.131,22.131,22.116,22.131,4593,0
20120906,22.172,22.172,21.979,22.003,677,0
20120907,22.022,22.09,22.014,22.09,2516,0
20120910,22.188,22.214,21.98,21.98,1662,0
20120912,22.09,22.116,21.963,22.073,135132,0
20120913,22.206,22.283,22.206,22.283,1389,0
20120914,22.274,22.274,22.274,22.274,397,0
20120917,22.342,22.424,22.325,22.333,1909,0
20120918,22.493,22.493,22.131,22.258,2343,0
20120919,22.467,22.467,22.231,22.374,2475,0
20120920,22.634,22.634,22.381,22.416,5607,0
20120921,22.274,22.274,22.164,22.207,13608,0
20120924,22.3,22.433,22.3,22.325,729,0
20120925,22.125,22.164,22.125,22.149,1416,0
20120926,22.158,22.167,22.041,22.066,4651,0
20120927,22.11,22.11,22.006,22.075,2625,0
20120928,22.186,22.186,22.186,22.186,239,0
20121001,22.241,22.241,22.241,22.241,216,0
20121002,22.278,22.33,22.278,22.33,793,0
20121004,22.322,22.339,22.313,22.313,2015,0
20121005,22.293,22.293,22.224,22.266,965,0
20121008,22.274,22.35,22.207,22.207,994,0
20121009,22.179,22.274,21.962,22.179,8158,0
20121010,22.284,22.326,22.284,22.318,901,0
20121012,22.342,22.45,22.334,22.334,1099,0
20121015,22.495,22.495,22.468,22.468,435,0
20121016,22.678,22.687,22.537,22.629,2077,0
20121017,22.653,22.73,22.653,22.73,760,0
20121018,22.695,22.755,22.695,22.755,474,0
20121019,22.753,22.753,22.627,22.668,2078,0
20121022,22.662,22.747,22.662,22.747,2135,0
20121023,22.75,22.75,22.732,22.732,596,0
20121025,22.704,22.704,22.704,22.704,358,0
20121031,22.488,23.134,22.488,22.573,8609,0
20121102,22.692,22.802,22.692,22.777,665,0
20121105,22.785,22.785,22.785,22.785,215,0
20121106,22.843,22.853,22.613,22.723,253704,0
20121107,22.688,22.723,22.688,22.696,4121,0
20121108,22.688,22.723,22.613,22.723,7056,0
20121109,22.737,22.737,22.609,22.701,3315,0
20121112,22.676,22.676,22.676,22.676,443,0
20121113,22.642,22.651,22.557,22.557,6237,0
20121114,22.525,22.525,22.482,22.482,1065,0
20121115,22.404,22.404,22.261,22.287,16621,0
20121116,22.458,22.458,22.281,22.416,57231,0
20121119,22.573,22.609,22.404,22.564,104395,0
20121120,22.549,22.634,22.507,22.618,12851,0
20121121,22.591,22.6,22.557,22.582,9131,0
20121123,22.732,22.732,22.577,22.613,1197,0
20121126,22.543,22.701,22.543,22.668,45168,0
20121127,22.761,22.819,22.659,22.753,150780,0
20121128,22.794,22.838,22.753,22.753,19896,0
20121129,22.897,22.905,22.718,22.768,15744,0
20121130,22.932,22.947,22.872,22.88,11684,0
20121203,22.911,22.993,22.911,22.961,28756,0
20121204,23.2,23.2,22.928,23.03,10052,0
20121205,23.215,23.215,22.961,23.073,2994,0
20121206,23.191,23.191,23.09,23.099,9221,0
20121207,23.107,23.207,23.099,23.107,3937,0
20121210,23.116,23.207,23.099,23.126,2877,0
20121211,23.215,23.215,23.133,23.199,5290,0
