Date,Open,High,Low,Close,Volume,OpenInt
20140924,24.22,24.28,24.22,24.28,3148,0
20140925,24.173,24.182,23.951,23.951,5899,0
20140926,24.126,24.126,24.029,24.116,2720,0
20140929,23.942,23.942,23.942,23.942,477,0
20141001,23.999,24.047,23.98,24.019,6275,0
20141002,25.351,25.351,24.077,24.096,5025,0
20141003,24.145,24.182,24.116,24.145,13957,0
20141006,24.22,24.289,24.173,24.202,17452,0
20141007,24.22,24.24,24.192,24.24,4660,0
20141008,24.202,24.202,24.182,24.182,2072,0
20141009,24.163,24.415,24.009,24.037,44198,0
20141010,25.487,25.487,24.029,24.029,6092,0
20141013,25.467,25.467,23.904,23.989,4787,0
20141014,24.029,24.029,23.922,23.951,11524,0
20141015,23.989,23.989,23.768,23.768,3010,0
20141016,23.989,23.989,23.834,23.844,1700,0
20141017,23.999,23.999,23.999,23.999,797,0
20141020,24.23,24.23,24.22,24.22,3308,0
20141021,24.298,24.435,24.25,24.395,6019,0
20141022,24.462,24.462,24.365,24.365,6893,0
20141023,24.481,24.549,24.471,24.549,5392,0
20141024,24.521,24.521,24.435,24.435,1865,0
20141027,24.415,24.462,24.415,24.435,4109,0
20141028,24.511,24.511,24.454,24.454,6169,0
20141029,24.454,24.54,24.454,24.471,2672,0
20141030,24.445,24.606,24.445,24.558,17475,0
20141031,24.596,24.596,24.596,24.596,300,0
20141103,24.599,24.599,24.446,24.541,3786,0
20141104,24.437,24.513,24.437,24.513,13047,0
20141105,24.503,24.513,24.464,24.493,9836,0
20141106,24.437,24.493,24.417,24.417,3203,0
20141107,24.503,24.551,24.503,24.513,3350,0
20141110,24.483,24.493,24.473,24.473,1883,0
20141111,24.483,24.493,24.446,24.483,10248,0
20141112,24.437,24.464,24.437,24.464,1314,0
20141113,24.437,24.437,24.407,24.417,3587,0
20141114,24.407,24.407,24.387,24.387,1852,0
20141117,24.348,24.348,24.348,24.348,1082,0
20141118,24.309,24.377,24.271,24.271,2279,0
20141119,24.241,24.289,24.241,24.289,516,0
20141120,24.281,24.281,24.271,24.271,1548,0
20141121,24.281,24.309,24.271,24.271,15970,0
20141126,24.348,24.348,24.329,24.339,4076,0
20141128,24.261,24.271,24.116,24.116,6608,0
20141201,24.201,24.21,24.123,24.123,5025,0
20141202,23.9,24.016,23.9,23.996,1852,0
20141203,24.006,24.016,23.928,24.006,7315,0
20141204,23.996,24.006,23.947,23.967,4425,0
20141205,24.026,24.026,23.928,23.928,3791,0
20141208,23.928,23.938,23.84,23.89,1786,0
20141209,23.773,23.773,23.666,23.743,14882,0
20141210,23.539,23.684,23.53,23.539,2619,0
20141211,23.549,23.549,23.549,23.549,353,0
20141212,23.461,23.461,23.315,23.315,5945,0
20141215,23.334,23.334,23.248,23.324,126570,0
20141216,23.219,23.248,23.12,23.248,5001,0
20141217,23.13,23.393,23.13,23.393,41581,0
20141218,23.364,23.373,23.305,23.305,2570,0
20141219,23.714,23.724,23.52,23.724,3824,0
20141222,23.734,23.773,23.734,23.773,775,0
20141223,23.792,23.821,23.704,23.792,11336,0
20141224,23.89,23.89,23.89,23.89,310,0
20141226,23.908,23.908,23.908,23.908,1202,0
20141229,23.84,23.89,23.763,23.821,11499,0
20141230,23.9,23.9,23.655,23.87,6316,0
20141231,23.88,23.918,23.85,23.85,996,0
20150102,23.987,23.987,23.908,23.918,2835,0
20150105,23.763,23.84,23.733,23.733,1556,0
20150106,23.743,23.83,23.635,23.635,14956,0
20150107,23.88,23.88,23.821,23.83,4121,0
20150108,23.83,23.938,23.83,23.87,23660,0
20150109,23.88,24.007,23.88,23.947,13295,0
20150112,23.928,23.977,23.928,23.967,2858,0
20150113,23.977,23.977,23.792,23.947,11010,0
20150114,23.918,23.918,23.918,23.918,738,0
20150115,23.957,23.957,23.792,23.85,19551,0
20150116,23.87,23.947,23.783,23.947,8000,0
20150120,23.938,23.987,23.928,23.947,2767,0
20150121,23.977,23.987,23.821,23.987,6532,0
20150122,24.045,24.045,23.9,23.997,2937,0
20150123,24.065,24.104,24.037,24.045,8258,0
20150126,24.104,25.363,24.065,24.065,7886,0
