Date,Open,High,Low,Close,Volume,OpenInt
20141201,37.346,37.346,37.337,37.337,4795,0
20141203,37.293,37.293,37.289,37.293,2038,0
20141205,37.464,37.48,37.445,37.46,1990,0
20141208,37.081,37.081,37.081,37.081,490,0
20141210,36.669,36.669,36.669,36.669,408,0
20141211,36.58,36.58,36.453,36.453,868,0
20141212,36.605,36.605,36.502,36.502,1222,0
20141215,36.502,36.531,36.502,36.502,600,0
20141216,36.55,36.55,36.55,36.55,218,0
20141217,36.609,36.609,36.609,36.609,368,0
20141219,36.467,36.467,36.467,36.467,250,0
20141222,36.453,36.453,36.453,36.453,204,0
20141223,36.354,36.354,36.354,36.354,204,0
20141224,36.447,36.447,36.447,36.447,228,0
20141226,36.487,36.487,36.487,36.487,204,0
20141230,36.586,36.675,36.586,36.675,772,0
20150102,36.701,36.701,36.701,36.701,204,0
20150202,36.675,36.754,36.675,36.685,1268,0
20150203,36.857,36.857,36.857,36.857,450,0
20150204,37.005,37.025,36.916,36.916,2939,0
20150209,36.833,36.833,36.833,36.833,708,0
20150210,36.838,36.838,36.838,36.838,850,0
20150217,36.903,36.903,36.903,36.903,276,0
20150225,37.005,37.005,37.001,37.001,54500,0
20150226,36.936,36.936,36.936,36.936,274,0
20150302,36.84,36.855,36.84,36.855,404,0
20150303,36.87,36.87,36.87,36.87,608,0
20150304,36.87,36.87,36.87,36.87,204,0
20150305,36.87,36.87,36.87,36.87,204,0
20150306,36.87,36.87,36.87,36.87,404,0
20150309,36.87,36.87,36.87,36.87,204,0
20150310,36.87,36.87,36.87,36.87,204,0
20150311,36.865,36.865,36.865,36.865,304,0
20150312,36.865,36.865,36.865,36.865,100,0
20150313,36.865,36.865,36.865,36.865,100,0
20150316,36.865,36.865,36.865,36.865,100,0
20150317,36.865,36.865,36.865,36.865,304,0
20150318,36.865,36.865,36.865,36.865,100,0
20150319,36.865,36.865,36.865,36.865,100,0
20150320,36.865,36.865,36.865,36.865,100,0
20150323,36.865,36.865,36.865,36.865,100,0
20150324,36.865,36.865,36.865,36.865,100,0
20150325,36.865,36.865,36.865,36.865,100,0
20150326,37.003,37.003,37.003,37.003,304,0
20150327,37.003,37.003,37.003,37.003,100,0
20150330,37.003,37.003,37.003,37.003,100,0
20150331,37.003,37.003,37.003,37.003,100,0
20150401,36.895,36.895,36.895,36.895,100,0
20150402,36.895,36.895,36.895,36.895,100,0
20150406,36.895,36.895,36.895,36.895,100,0
20150407,36.895,36.895,36.895,36.895,24,0
20150408,36.895,36.895,36.895,36.895,100,0
20150409,36.895,36.895,36.895,36.895,29,0
20150410,36.816,36.816,36.816,36.816,204,0
20150413,36.835,36.865,36.825,36.865,808,0
20150414,36.953,37.003,36.944,37.003,4447,0
20150415,36.993,37.033,36.963,36.963,5255,0
20150416,37.122,37.122,37.122,37.122,284,0
20150417,37.112,37.112,37.112,37.112,204,0
20150420,37.152,37.211,37.152,37.211,3739,0
20150421,37.162,37.162,37.102,37.122,7062,0
20150422,37.291,37.291,37.291,37.291,519,0
20150423,37.339,37.339,37.339,37.339,404,0
20150424,37.31,37.31,37.31,37.31,404,0
20150427,37.211,37.211,37.211,37.211,1212,0
20150428,37.329,37.329,37.319,37.319,504,0
20150429,37.379,37.379,37.3,37.3,908,0
20150430,37.3,37.3,37.3,37.3,100,0
20150501,37.247,37.247,37.247,37.247,906,0
20150504,37.247,37.257,37.247,37.247,706,0
20150505,37.356,37.356,37.356,37.356,403,0
20150506,37.436,37.436,37.346,37.346,392,0
20150507,37.346,37.346,37.346,37.346,3,0
20150508,37.346,37.346,37.346,37.346,100,0
20150511,37.346,37.346,37.346,37.346,100,0
20150512,37.297,37.366,37.297,37.366,1278,0
20150513,37.366,37.366,37.366,37.366,100,0
20150514,37.366,37.366,37.366,37.366,100,0
20150515,37.574,37.574,37.535,37.535,53837,0
20150518,37.535,37.535,37.535,37.535,359279,0
20150519,37.455,37.505,37.455,37.455,706,0
20150520,37.455,37.455,37.455,37.455,100,0
20150522,37.545,37.545,37.545,37.545,503,0
20150526,37.584,37.584,37.584,37.584,360,0
20150527,37.584,37.584,37.584,37.584,100,0
20150528,37.683,37.683,37.683,37.683,451,0
20150529,37.683,37.683,37.683,37.683,100,0
20150601,37.676,37.676,37.676,37.676,100,0
20150602,37.676,37.676,37.676,37.676,28,0
20150603,37.636,37.646,37.636,37.646,1006,0
20150604,37.646,37.646,37.646,37.646,100,0
20150605,37.666,37.666,37.586,37.586,202,0
20150608,37.586,37.586,37.586,37.586,100,0
20150609,37.666,37.666,37.586,37.596,1934,0
20150610,37.656,37.666,37.596,37.626,8851,0
20150611,37.696,37.696,37.636,37.646,3027,0
20150612,37.686,37.696,37.676,37.696,5028,0
20150615,37.646,37.646,37.566,37.566,4826,0
20150616,37.566,37.566,37.566,37.566,100,0
20150617,37.566,37.566,37.566,37.566,100,0
20150618,37.566,37.566,37.566,37.566,100,0
20150619,37.696,37.706,37.646,37.656,1608,0
20150622,37.656,37.656,37.656,37.656,100,0
20150623,37.716,37.716,37.716,37.716,308,0
20150624,37.766,37.786,37.756,37.786,2413,0
20150625,37.786,37.786,37.786,37.786,100,0
20150626,37.786,37.786,37.786,37.786,100,0
20150629,37.716,37.776,37.716,37.776,2714,0
20150630,37.845,37.845,37.706,37.815,4146,0
20150701,37.818,37.838,37.798,37.798,3108,0
20150702,37.798,37.798,37.798,37.798,100,0
20150706,37.588,37.598,37.588,37.588,1504,0
20150707,37.588,37.588,37.588,37.588,100,0
20150708,37.728,37.728,37.718,37.718,2306,0
20150709,37.758,37.758,37.608,37.648,1705,0
20150710,37.648,37.648,37.648,37.648,100,0
20150714,37.648,37.648,37.648,37.648,3,0
20150715,37.648,37.648,37.648,37.648,111,0
20150716,37.648,37.648,37.648,37.648,100,0
20150717,37.648,37.648,37.648,37.648,100,0
20150720,37.648,37.648,37.648,37.648,100,0
20150721,37.648,37.648,37.648,37.648,100,0
20150722,37.828,37.828,37.828,37.828,100,0
20150723,37.698,37.708,37.698,37.708,201,0
20150724,37.798,37.798,37.798,37.798,100,0
20150727,37.798,37.798,37.798,37.798,100,0
20150728,37.927,37.927,37.927,37.927,100,0
20150729,37.927,37.927,37.927,37.927,100,0
20150730,37.927,37.927,37.927,37.927,100,0
20150731,37.927,37.927,37.927,37.927,100,0
20150803,37.92,37.92,37.92,37.92,5,0
20150804,37.92,37.92,37.92,37.92,100,0
20150805,37.92,37.92,37.92,37.92,100,0
20150806,37.92,37.92,37.92,37.92,4,0
20150807,37.92,37.92,37.92,37.92,100,0
