Date,Open,High,Low,Close,Volume,OpenInt
20131220,98.309,98.309,98.309,98.309,1584,0
20131227,98.037,98.037,98.037,98.037,1113,0
20140103,98.107,98.127,98.107,98.127,734,0
20140110,99.121,99.121,99.121,99.121,973,0
20140113,98.22,98.309,98.22,98.309,1703,0
20140114,98.967,99.007,98.494,98.895,3357,0
20140116,98.905,98.905,98.905,98.905,611,0
20140122,98.817,98.855,98.817,98.855,1623,0
20140127,99.277,99.277,99.277,99.277,200,0
20140129,99.171,99.171,99.171,99.171,427,0
20140130,99.389,99.389,99.389,99.389,2139,0
20140203,99.84,99.94,99.84,99.94,4160,0
20140205,99.267,99.267,99.267,99.267,124,0
20140206,99.58,99.72,99.58,99.69,3738,0
20140210,99.91,99.91,99.91,99.91,252,0
20140213,99.87,99.97,99.87,99.97,310,0
20140220,99.78,99.83,99.7,99.8,1234,0
20140221,99.349,99.446,99.349,99.446,1595,0
20140226,100,100.1,100,100.09,567,0
20140227,100.1,100.1,100.1,100.1,113,0
20140310,99.267,99.267,99.258,99.258,260,0
20140312,99.62,99.62,99.62,99.62,364,0
20140313,99.51,99.59,99.51,99.59,284,0
20140314,99.87,99.87,99.309,99.6,2603,0
20140317,99.76,99.76,99.71,99.71,303,0
20140320,99.319,99.319,99.319,99.319,879,0
20140326,99.319,99.319,99.319,99.319,100,0
20140327,99.56,99.56,99.56,99.56,321,0
20140331,98.817,98.817,98.817,98.817,590,0
20140403,99.65,99.65,99.65,99.65,155,0
20140404,99.131,99.131,99.131,99.131,137,0
20140425,99.62,99.62,99.309,99.309,15724,0
20140428,99.267,99.267,99.267,99.267,292,0
20140430,99.466,99.466,99.297,99.297,308,0
20140502,99.319,99.319,99.319,99.319,101,0
20140506,99.496,99.68,99.426,99.446,9586,0
20140507,99.151,99.83,99.151,99.83,320,0
20140508,99.208,99.208,99.208,99.208,138,0
20140512,99.8,99.8,99.8,99.8,135,0
20140513,99.416,99.416,99.416,99.416,775,0
20140514,100.15,100.15,100.15,100.15,132,0
20140515,99.63,99.69,99.63,99.63,212,0
20140519,99.58,99.72,99.58,99.72,414,0
20140520,99.64,99.79,99.64,99.79,266,0
20140522,99.66,99.66,99.66,99.66,135,0
20140603,99.74,99.78,99.496,99.496,1320,0
20140606,99.83,99.83,99.83,99.83,106,0
20140610,99.83,99.83,99.83,99.83,100,0
20140625,99.56,99.64,99.486,99.486,506,0
20140626,100.27,100.27,100.27,100.27,539,0
20140630,100.23,100.23,100.23,100.23,131,0
20140702,100.23,100.23,100.23,100.23,100,0
20140703,99.94,99.94,99.94,99.94,306,0
20140707,100.11,100.11,100.03,100.03,1037,0
20140708,99.416,99.416,99.416,99.416,949,0
20140710,99.466,99.466,99.466,99.466,1518,0
20140715,99.466,99.466,98.807,98.807,1066,0
20140723,99.59,99.68,99.59,99.68,413,0
20140724,100.01,100.01,100.01,100.01,262,0
20140728,99.389,99.389,99.389,99.389,405,0
20140814,99.84,99.84,99.84,99.84,252,0
20140821,99.64,99.64,99.55,99.55,324,0
20140825,99.59,99.74,99.59,99.59,406,0
20140828,99.59,99.59,99.51,99.51,359,0
20140904,99.78,100.03,99.277,99.277,17266,0
20140905,99.496,99.83,99.496,99.76,19152,0
20140908,99.58,99.78,99.397,99.476,10810,0
20140909,99.329,99.53,99.228,99.379,6183,0
20140910,99.476,99.476,99.277,99.359,2131,0
20140911,99.277,99.51,99.258,99.359,2798,0
20140912,99.277,99.379,99.161,99.277,3651,0
20140915,99.6,99.6,99.6,99.6,309,0
20140916,99.379,99.496,99.379,99.426,2139,0
20140917,99.329,99.53,99.329,99.379,1939,0
