Date,Open,High,Low,Close,Volume,OpenInt
20150603,24.705,24.784,24.556,24.566,4334,0
20150604,24.189,24.189,24.189,24.189,202,0
20150605,24.139,24.139,24.139,24.139,101,0
20150608,24.01,24.02,23.911,23.931,706,0
20150609,23.871,23.881,23.871,23.871,907,0
20150610,23.871,23.871,23.871,23.871,76,0
20150611,24.139,24.139,24.139,24.139,222,0
20150612,23.931,23.931,23.921,23.921,202,0
20150615,23.772,23.831,23.742,23.831,1814,0
20150616,23.772,23.881,23.772,23.881,302,0
20150617,23.851,23.851,23.851,23.851,101,0
20150619,24.07,24.07,24.07,24.07,101,0
20150622,24.337,24.367,24.337,24.367,605,0
20150629,23.63,23.63,23.63,23.63,200,0
20150630,23.55,23.55,23.55,23.55,157,0
20150702,23.93,23.93,23.93,23.93,100,0
20150706,23.93,23.93,23.93,23.93,100,0
20150707,23.45,23.66,23.45,23.64,500,0
20150708,23.52,23.52,23.46,23.46,600,0
20150709,23.59,23.59,23.59,23.59,700,0
20150710,23.95,23.95,23.95,23.95,200,0
20150713,24.1,24.1,24.06,24.08,2700,0
20150715,24.08,24.08,24.08,24.08,20,0
20150717,24.32,24.32,24.32,24.32,200,0
20150720,24.27,24.27,24.27,24.27,400,0
20150721,24.27,24.27,24.27,24.27,100,0
20150723,23.72,23.72,23.72,23.72,200,0
20150724,23.77,23.77,23.77,23.77,300,0
20150727,23.54,23.54,23.54,23.54,100,0
20150729,23.86,23.96,23.77,23.96,7300,0
20150730,23.95,23.95,23.95,23.95,400,0
20150731,24.09,24.09,24.09,24.09,100,0
20150803,24.1,24.1,24.05,24.05,3279,0
20150806,23.8,23.8,23.8,23.8,100,0
20150807,23.94,23.94,23.94,23.94,100,0
