Date,Open,High,Low,Close,Volume,OpenInt
20130924,22.046,22.198,22.046,22.198,10059,0
20130925,22.169,22.178,22.127,22.178,42057,0
20130926,22.198,22.198,22.161,22.161,3019,0
20130927,22.135,22.144,22.117,22.117,4486,0
20130930,22.238,22.238,22.085,22.211,53985,0
20131001,22.036,22.178,22.029,22.144,64154,0
20131002,22.153,22.153,22.153,22.153,670,0
20131004,22.092,22.092,22.092,22.092,56886,0
20131007,22.055,22.074,22.029,22.046,1791,0
20131008,22.021,22.021,22.011,22.011,4084,0
20131009,21.974,21.974,21.947,21.947,4185,0
20131010,22.092,22.127,22.092,22.117,5239,0
20131011,22.145,22.208,22.145,22.198,3120,0
20131014,22.17,22.244,22.136,22.244,18500,0
20131015,22.341,22.341,22.136,22.136,7809,0
20131016,22.208,22.281,22.208,22.263,1873,0
20131017,22.341,22.523,22.341,22.523,7913,0
20131018,22.827,22.827,22.569,22.629,12147,0
20131021,22.62,22.673,22.62,22.655,6686,0
20131022,22.8,22.827,22.709,22.817,9025,0
20131023,22.791,22.862,22.791,22.836,12261,0
20131024,22.872,22.898,22.872,22.881,8245,0
20131025,22.898,22.907,22.881,22.907,1929,0
20131028,22.925,22.925,22.827,22.836,20942,0
20131029,22.755,22.764,22.737,22.764,3342,0
20131030,22.755,22.773,22.7,22.719,1198,0
20131031,22.741,22.786,22.677,22.75,9552,0
20131101,22.673,22.682,22.612,22.629,60454,0
20131104,22.664,22.729,22.664,22.729,6800,0
20131105,22.629,22.639,22.629,22.639,558,0
20131106,22.664,22.664,22.647,22.647,798,0
20131107,22.623,22.623,22.488,22.488,332,0
20131108,22.471,22.471,22.362,22.415,3847,0
20131111,22.424,22.424,22.372,22.372,1588,0
20131112,22.344,22.381,22.318,22.362,2665,0
20131113,22.335,22.452,22.335,22.452,4221,0
20131114,22.536,22.607,22.536,22.607,1671,0
20131115,22.623,22.66,22.607,22.633,4775,0
20131118,22.686,22.704,22.677,22.686,1258,0
20131119,22.633,22.633,22.527,22.527,2444,0
20131120,22.573,22.589,22.553,22.563,1667,0
20131121,22.471,22.563,22.471,22.563,2111,0
20131122,22.553,22.633,22.553,22.623,1999,0
20131125,22.822,22.822,22.642,22.66,3966,0
20131126,22.642,22.642,22.633,22.633,473,0
20131205,22.415,22.415,22.291,22.291,535,0
20131209,22.284,22.284,22.284,22.284,501,0
20131210,22.407,22.407,22.407,22.407,111,0
20131211,22.998,22.998,22.268,22.268,2389,0
20131212,22.164,22.212,22.164,22.212,487,0
20131216,20.854,22.303,20.829,22.277,22755,0
20131217,22.268,22.303,22.268,22.293,1436,0
20131218,22.313,22.313,22.277,22.277,1326,0
20131219,22.383,22.383,22.336,22.346,1545,0
20131220,22.383,22.474,22.383,22.464,1106,0
20131223,22.548,22.619,22.539,22.567,3203,0
20131224,22.576,22.628,22.576,22.628,1574,0
20131226,22.646,22.663,22.638,22.638,2010,0
20131227,22.9,22.9,22.9,22.9,487,0
20131230,22.908,23.089,22.908,23.089,9671,0
20131231,23.126,23.126,23.126,23.126,330,0
20140102,22.672,22.672,22.638,22.638,9749,0
20140103,22.681,22.7,22.681,22.691,774,0
20140106,22.783,22.8,22.764,22.764,16014,0
20140107,22.818,22.837,22.8,22.828,1578,0
20140108,22.774,22.774,22.728,22.728,1326,0
20140109,22.759,22.759,22.712,22.732,11498,0
20140110,22.823,22.878,22.823,22.878,1096,0
20140113,22.868,22.914,22.813,22.813,15053,0
20140114,22.942,22.942,22.831,22.887,2753,0
20140115,22.895,22.97,22.895,22.96,2191,0
20140116,22.942,22.97,22.933,22.97,1315,0
20140117,22.95,22.95,22.942,22.95,439,0
20140121,23.187,23.187,22.995,22.995,783,0
20140122,23.053,23.053,23.053,23.053,306,0
20140123,23.062,23.062,23.062,23.062,262,0
20140124,23.16,23.16,22.904,22.904,1318,0
20140127,22.924,22.924,22.732,22.732,709,0
20140128,22.841,22.841,22.841,22.841,142,0
20140129,22.795,22.795,22.795,22.795,875,0
20140130,22.759,22.851,22.759,22.851,220,0
20140204,22.702,22.702,22.702,22.702,159,0
20140205,22.684,22.684,22.684,22.684,109,0
20140206,22.851,22.887,22.851,22.887,619,0
20140210,22.89,22.89,22.881,22.881,449,0
20140212,22.999,22.999,22.999,22.999,767,0
20140213,23.019,23.019,23.019,23.019,109,0
20140214,23.082,23.082,23.065,23.065,7222,0
20140218,23.164,23.164,23.164,23.164,1095,0
20140219,23.182,23.192,23.164,23.164,3818,0
20140221,23.192,23.192,23.192,23.192,2786,0
20140224,23.285,23.285,23.285,23.285,2630,0
20140226,23.192,23.2,23.182,23.2,977,0
20140227,23.2,23.2,23.2,23.2,201,0
20140228,23.247,23.247,23.247,23.247,327,0
20140306,23.348,23.348,23.348,23.348,463,0
20140317,23.428,23.428,23.301,23.301,32762,0
