Date,Open,High,Low,Close,Volume,OpenInt
20150603,40.903,40.903,40.903,40.903,301,0
20150604,40.903,40.903,40.903,40.903,100,0
20150605,40.375,40.375,40.375,40.375,501,0
20150608,40.454,40.454,40.135,40.305,3809,0
20150609,40.305,40.305,40.205,40.205,621,0
20150610,40.554,40.604,40.484,40.484,1554,0
20150611,40.574,40.634,40.574,40.604,646,0
20150612,40.464,40.634,40.464,40.484,401,0
20150615,40.345,40.345,40.345,40.345,1303,0
20150616,40.345,40.345,40.345,40.345,100,0
20150617,40.544,40.564,40.325,40.484,601,0
20150618,40.784,40.903,40.784,40.903,301,0
20150619,40.78,40.83,40.78,40.83,500,0
20150622,40.77,40.93,40.77,40.92,600,0
20150623,40.89,40.93,40.82,40.82,1306,0
20150624,40.53,40.53,40.45,40.45,600,0
20150625,40.5,40.5,40.36,40.44,700,0
20150626,40.24,40.24,40.24,40.24,200,0
20150629,40,40,39.63,39.63,2200,0
20150630,39.68,39.71,39.47,39.52,1196,0
20150701,39.49,39.49,39.49,39.49,600,0
20150702,39.78,39.78,39.78,39.78,300,0
20150706,39.16,39.39,39.16,39.26,1000,0
20150707,39.3,39.47,39.1,39.47,800,0
20150708,39.01,39.01,39,39.01,400,0
20150709,39.31,39.31,39.22,39.22,500,0
20150710,39.32,39.43,39.32,39.43,600,0
20150713,39.67,39.68,39.67,39.68,700,0
20150714,39.96,39.99,39.96,39.99,7444,0
20150715,39.83,39.84,39.72,39.72,749,0
20150716,39.81,39.92,39.81,39.92,800,0
20150717,39.64,39.64,39.47,39.47,300,0
20150720,39.39,39.46,39.39,39.46,500,0
20150721,39.25,39.29,39.25,39.29,600,0
20150722,39.29,39.29,39.29,39.29,100,0
20150723,39.29,39.29,39.29,39.29,100,0
20150724,38.92,38.92,38.55,38.59,2600,0
20150727,38.33,38.35,38.19,38.19,2100,0
20150728,38.89,38.89,38.89,38.89,400,0
20150729,39.36,39.36,39.35,39.35,5000,0
20150730,39.02,39.36,39.02,39.23,46000,0
20150731,39.33,39.48,39.33,39.48,2300,0
20150803,39.16,39.21,38.93,38.93,592,0
20150804,39.02,39.02,39.02,39.02,400,0
20150805,39.42,39.42,39.15,39.15,5900,0
20150806,38.71,38.8,38.71,38.8,2586,0
20150807,38.74,38.89,38.74,38.8,2700,0
