Date,Open,High,Low,Close,Volume,OpenInt
20140514,24.749,24.838,24.749,24.768,3654,0
20140515,24.759,24.828,24.699,24.828,412186,0
20140516,24.847,24.877,24.709,24.788,30202,0
20140519,24.768,24.778,24.768,24.768,1574,0
20140520,24.662,24.662,24.593,24.593,3463,0
20140521,24.662,24.778,24.662,24.778,3107,0
20140522,24.798,24.808,24.719,24.798,2216,0
20140523,24.679,24.759,24.679,24.749,4171,0
20140527,24.808,24.818,24.768,24.798,2162,0
20140528,24.896,24.896,24.749,24.768,6549,0
20140529,24.788,24.847,24.788,24.847,3297,0
20140530,24.808,24.877,24.808,24.877,2599,0
20140602,24.808,24.838,24.798,24.798,1402,0
20140603,24.828,24.828,24.778,24.778,1314,0
20140604,24.759,24.759,24.759,24.759,295,0
20140605,24.857,24.943,24.798,24.933,3925,0
20140606,24.915,25.012,24.905,25.012,4369,0
20140609,24.915,24.993,24.915,24.983,2454,0
20140610,24.973,25.021,24.973,25.003,1437,0
20140611,24.933,24.943,24.886,24.886,6723,0
20140612,24.953,25.003,24.943,24.943,10506,0
20140613,24.924,24.924,24.857,24.877,5245,0
20140616,25.012,25.012,24.915,24.953,4579,0
20140617,24.993,24.993,24.867,24.963,2365,0
20140618,25.003,25.178,24.963,25.168,2379,0
20140619,25.257,25.257,25.187,25.197,6948,0
20140620,25.207,25.305,25.197,25.197,1380,0
20140623,25.243,25.243,25.027,25.105,3005,0
20140624,25.057,25.057,25.008,25.008,2438,0
20140625,24.92,24.92,24.881,24.901,1821,0
20140626,24.998,24.998,24.675,24.881,6101,0
20140627,24.852,24.92,24.852,24.92,3313,0
20140630,25.096,25.096,24.958,24.988,366,0
20140701,25.135,25.174,25.135,25.174,4591,0
20140702,25.115,25.115,25.115,25.115,716,0
20140703,25.203,25.311,25.203,25.311,3401,0
20140707,25.203,25.203,24.998,25.008,3743,0
20140708,24.881,24.91,24.773,24.783,9196,0
20140709,24.783,24.823,24.763,24.813,2336,0
20140710,24.597,24.597,24.441,24.49,18485,0
20140711,24.451,24.518,24.451,24.49,6921,0
20140714,24.91,24.91,24.684,24.714,4120,0
20140715,24.675,24.803,24.49,24.578,4421,0
