Date,Open,High,Low,Close,Volume,OpenInt
20150603,26.281,26.34,26.114,26.202,86892,0
20150604,26.124,26.192,25.721,25.809,108259,0
20150605,25.73,25.73,25.554,25.662,56978,0
20150608,25.475,25.485,25.19,25.278,82924,0
20150609,25.347,25.386,25.151,25.2,175463,0
20150610,25.504,25.721,25.426,25.612,67058,0
20150611,25.898,25.907,25.622,25.681,115710,0
20150612,25.278,25.416,25.21,25.416,29303,0
20150615,25.082,25.082,24.895,24.983,115890,0
20150616,24.905,25.19,24.905,25.131,42937,0
20150617,25.082,25.082,24.708,24.807,100628,0
20150618,24.767,25.426,24.767,25.033,162083,0
20150619,25.141,25.151,25.023,25.052,34899,0
20150622,25.58,25.68,25.48,25.57,76600,0
20150623,26.01,26.05,25.92,26.01,129502,0
20150624,25.83,25.85,25.63,25.67,93200,0
20150625,25.85,25.89,25.71,25.71,97800,0
20150626,25.96,25.97,25.82,25.91,34900,0
20150629,25.28,25.4,24.83,24.9,169600,0
20150630,25.17,25.25,24.86,25.06,50400,0
20150701,25.54,25.79,25.3,25.46,101800,0
20150702,25.44,25.44,25.23,25.31,80300,0
20150706,24.76,24.86,24.54,24.7,146200,0
20150707,24.6,24.85,24.27,24.84,203100,0
20150708,24.56,24.56,24.21,24.31,151700,0
20150709,24.96,25,24.86,24.86,96500,0
20150710,25.5,25.73,25.45,25.66,78000,0
20150713,25.94,26.02,25.91,25.97,141500,0
20150714,25.82,25.99,25.69,25.9,98285,0
20150715,26.04,26.04,25.81,25.95,64923,0
20150716,26.37,26.44,26.27,26.42,108300,0
20150717,26.46,26.47,26.38,26.46,56000,0
20150720,26.67,26.68,26.58,26.65,78100,0
20150721,26.53,26.54,26.34,26.43,63800,0
20150722,26.34,26.44,26.3,26.43,66000,0
20150723,26.35,26.39,26.19,26.22,161600,0
20150724,26.3,26.35,26.09,26.12,63200,0
20150727,25.8,25.83,25.57,25.59,206700,0
20150728,25.76,26.02,25.76,25.99,58800,0
20150729,26.02,26.27,26.01,26.2,34700,0
20150730,26.14,26.21,26.01,26.19,198800,0
20150731,26.21,26.3,26.17,26.29,22700,0
20150803,26.42,26.51,26.37,26.47,43009,0
20150804,26.38,26.47,26.37,26.43,104200,0
20150805,26.6,26.6,26.48,26.48,435800,0
20150806,26.57,26.63,26.38,26.48,35315,0
20150807,26.27,26.27,26.16,26.24,37800,0
