Date,Open,High,Low,Close,Volume,OpenInt
20050225,15.972,16.285,15.972,16.221,135318,0
20050228,16.395,16.405,16.101,16.193,401066,0
20050301,16.111,16.183,16.009,16.128,74235,0
20050302,16.092,16.267,16.009,16.267,90975,0
20050303,16.221,16.331,16.212,16.276,56518,0
20050304,16.551,16.736,16.423,16.652,137601,0
20050307,16.626,16.644,16.515,16.607,138253,0
20050308,16.699,16.855,16.699,16.855,83799,0
20050309,17.306,17.306,16.726,16.774,410846,0
20050310,16.782,16.782,16.478,16.551,247706,0
20050311,16.588,16.662,16.515,16.607,234118,0
20050314,16.579,16.607,16.469,16.588,113255,0
20050315,16.607,16.717,16.57,16.57,115537,0
20050316,16.598,16.699,16.488,16.515,163687,0
20050317,16.506,16.764,16.506,16.699,414869,0
20050318,16.662,16.764,16.626,16.662,166621,0
20050321,16.652,16.652,16.386,16.45,173794,0
20050322,16.423,16.652,16.377,16.377,280963,0
20050323,16.285,16.285,15.907,16.064,225966,0
20050324,16.074,16.221,16.045,16.101,263245,0
20050328,16.082,16.082,15.825,15.926,193360,0
20050329,15.963,16.164,15.88,15.88,237378,0
20050330,15.982,16.009,15.825,16.009,77604,0
20050331,16.193,16.423,16.164,16.423,439652,0
20050401,16.478,16.478,16.303,16.35,194012,0
20050404,16.35,16.377,16.257,16.267,197163,0
20050405,16.249,16.331,16.249,16.331,205531,0
20050406,16.267,16.413,16.193,16.413,131188,0
20050407,16.423,16.431,16.193,16.285,159012,0
20050408,16.147,16.285,16.111,16.202,110973,0
20050411,16.101,16.23,16.055,16.128,72170,0
20050412,16.147,16.147,15.88,16.026,264876,0
20050413,16,16.026,15.825,15.862,171078,0
20050414,15.825,15.825,15.52,15.558,262702,0
20050415,15.549,15.587,15.365,15.392,343895,0
20050418,15.273,15.539,15.181,15.539,170534,0
20050419,15.587,15.761,15.52,15.64,85321,0
20050420,15.725,15.778,15.485,15.623,91842,0
20050421,15.742,15.742,15.568,15.668,64452,0
20050422,15.715,15.871,15.65,15.65,113798,0
20050425,15.64,15.834,15.64,15.742,52062,0
20050426,15.613,15.732,15.613,15.687,58909,0
20050427,15.568,15.568,15.42,15.485,105103,0
20050428,15.43,15.43,15.301,15.31,115430,0
20050429,15.411,15.43,15.282,15.42,87171,0
20050502,15.392,15.623,15.337,15.558,201839,0
20050503,15.587,15.587,15.449,15.494,152057,0
20050504,15.043,15.806,15.043,15.788,78473,0
20050505,15.788,15.917,15.769,15.778,138036,0
20050506,15.954,15.963,15.825,15.889,50323,0
20050509,16.036,16.045,15.871,15.99,104124,0
20050510,16.026,16.026,15.853,15.889,60214,0
20050511,15.715,15.853,15.65,15.687,53366,0
20050512,15.613,15.659,15.382,15.457,68690,0
20050513,15.319,15.392,15.153,15.171,196510,0
20050516,15.134,15.245,15.07,15.227,112820,0
20050517,15.19,15.382,15.19,15.375,85540,0
20050518,15.365,15.64,15.365,15.53,82822,0
20050519,15.53,15.623,15.485,15.568,41847,0
20050520,15.594,15.594,15.43,15.485,75647,0
20050523,15.457,15.732,15.457,15.732,48042,0
20050524,15.623,15.725,15.604,15.64,17718,0
20050525,15.594,15.706,15.52,15.613,21195,0
20050526,15.623,15.632,15.512,15.623,53475,0
20050527,15.696,15.954,15.687,15.889,53366,0
20050531,15.936,15.963,15.844,15.844,80321,0
20050601,15.917,16.045,15.917,15.972,391610,0
20050602,15.871,16.064,15.871,15.88,81953,0
20050603,15.871,16.036,15.871,15.99,41519,0
20050606,16.009,16.074,15.963,16,73040,0
20050607,16.101,16.101,15.982,16,29562,0
20050608,16.074,16.193,15.982,16,73365,0
20050609,16,16.12,15.907,16.074,88475,0
20050610,16.147,16.212,16.111,16.212,21630,0
20050613,16.138,16.249,16.036,16.23,110646,0
20050614,16.12,16.285,16.12,16.285,62280,0
20050615,16.377,16.524,16.377,16.524,243138,0
20050616,16.543,16.764,16.543,16.671,198142,0
20050617,16.846,16.902,16.671,16.764,143470,0
20050620,16.745,16.827,16.726,16.8,95974,0
20050621,16.837,16.846,16.662,16.755,268246,0
20050622,16.708,16.902,16.708,16.846,267269,0
20050623,16.883,16.975,16.774,16.818,140646,0
20050624,16.791,16.947,16.774,16.827,128255,0
20050627,16.883,16.929,16.764,16.837,123690,0
20050628,16.827,16.993,16.808,16.929,38911,0
20050629,16.893,16.993,16.837,16.975,102495,0
20050630,16.911,16.993,16.699,16.699,92714,0
20050701,16.689,16.699,16.561,16.579,187272,0
20050705,16.561,16.874,16.561,16.755,318353,0
20050706,16.965,17.002,16.874,16.965,120538,0
20050707,16.837,17.104,16.837,17.104,280853,0
20050708,17.251,17.38,17.251,17.38,276290,0
20050711,17.298,17.527,17.279,17.472,357049,0
20050712,17.656,17.71,17.573,17.71,148797,0
20050713,17.684,17.684,17.481,17.581,351938,0
20050714,17.719,17.719,17.342,17.361,179882,0
20050715,17.342,17.37,17.177,17.204,102602,0
20050718,17.261,17.342,17.204,17.316,96735,0
20050719,17.389,17.508,17.316,17.499,94343,0
20050720,17.591,17.619,17.351,17.581,122493,0
20050721,17.684,17.738,17.581,17.637,94017,0
20050722,17.665,17.719,17.61,17.684,56302,0
20050725,17.71,17.748,17.591,17.71,170534,0
20050726,17.591,17.665,17.462,17.518,145753,0
20050727,17.499,17.701,17.444,17.693,87495,0
20050728,17.693,17.803,17.647,17.794,96843,0
20050729,17.886,17.895,17.665,17.675,107279,0
20050801,17.867,17.976,17.71,17.822,93365,0
20050802,17.951,18.262,17.951,18.098,333569,0
20050803,18.171,18.218,18.106,18.143,159231,0
20050804,18.189,18.235,18.098,18.171,172490,0
20050805,18.153,18.153,17.976,18.043,278354,0
20050808,18.272,18.392,18.143,18.199,571166,0
20050809,18.262,18.262,18.153,18.208,315310,0
20050810,18.309,18.392,18.262,18.392,229011,0
20050811,18.492,18.658,18.492,18.63,364329,0
20050812,18.686,18.714,18.538,18.613,180318,0
20050815,18.621,18.621,18.448,18.567,455627,0
20050816,18.538,18.538,18.281,18.309,238249,0
20050817,18.244,18.272,17.995,18.014,328896,0
20050818,17.867,17.867,17.628,17.748,322918,0
20050819,17.822,18.051,17.822,18.014,247487,0
20050822,18.253,18.328,18.171,18.253,471497,0
20050823,18.346,18.382,18.171,18.189,235749,0
20050824,18.235,18.429,18.227,18.346,139014,0
20050825,18.457,18.485,18.309,18.429,183578,0
20050826,18.475,18.492,18.218,18.227,529755,0
20050829,18.392,18.429,18.227,18.328,239227,0
20050830,18.291,18.52,18.244,18.438,218683,0
20050831,18.53,18.852,18.501,18.768,606055,0
20050901,18.768,19.23,18.759,19.082,662248,0
20050902,18.954,18.99,18.806,18.925,440086,0
20050906,18.925,18.972,18.778,18.925,443019,0
20050907,18.88,19.017,18.852,18.935,1021250,0
20050908,18.925,19.22,18.925,18.954,461280,0
20050909,19.182,19.412,19.11,19.32,605837,0
20050912,19.23,19.275,19.063,19.119,558338,0
20050913,19.155,19.303,19.073,19.092,438672,0
20050914,19.782,19.782,19.138,19.267,323025,0
20050915,19.311,19.311,19.11,19.311,306941,0
20050916,19.303,19.497,19.303,19.404,435848,0
20050919,19.587,19.791,19.542,19.698,765612,0
20050920,19.679,20.03,19.497,19.506,915822,0
20050921,19.67,19.763,19.524,19.542,557362,0
20050922,19.679,19.773,19.33,19.412,572796,0
20050923,20.141,20.141,19.092,19.441,359328,0
20050926,19.32,19.754,19.284,19.661,595076,0
20050927,19.625,19.744,19.55,19.744,471605,0
20050928,19.855,19.864,19.56,19.744,593339,0
20050929,19.754,19.817,19.597,19.717,437587,0
20050930,19.754,19.965,19.644,19.845,529537,0
20051003,19.855,19.974,19.782,19.965,876259,0
20051004,19.791,19.873,19.506,19.542,796696,0
20051005,19.368,19.477,18.852,18.906,1001360,0
20051006,18.695,18.806,18.41,18.557,957994,0
20051007,18.63,18.925,18.63,18.824,328460,0
20051010,19.017,19.017,18.586,18.668,255094,0
20051011,18.759,18.843,18.676,18.797,1266454,0
20051012,18.814,18.935,18.595,18.595,493886,0
20051013,18.356,18.438,17.995,18.272,812892,0
20051014,18.051,18.4,18.051,18.363,413132,0
20051017,18.557,18.639,18.475,18.595,254551,0
20051018,18.448,18.492,18.199,18.218,282377,0
20051019,18.115,18.52,17.951,18.4,424977,0
20051020,18.319,18.438,17.803,17.986,457693,0
20051021,17.508,18.115,17.508,17.976,285638,0
20051024,17.932,18.309,17.913,18.235,304222,0
20051025,18.346,18.492,18.3,18.448,213250,0
20051026,18.4,18.604,18.262,18.309,358785,0
20051027,18.429,18.429,18.061,18.162,120319,0
20051028,18.153,18.309,18.033,18.227,282269,0
20051031,18.511,18.511,18.337,18.4,823000,0
20051101,18.4,18.586,18.337,18.466,423348,0
20051102,18.492,18.778,18.475,18.778,261834,0
20051103,18.954,19.017,18.814,18.906,344112,0
20051104,18.843,18.972,18.705,18.88,272486,0
20051107,18.787,18.843,18.686,18.759,369328,0
20051108,17.886,18.787,17.886,18.676,111080,0
20051109,18.695,18.862,18.613,18.778,843868,0
20051110,18.768,18.768,18.457,18.52,335416,0
20051111,18.457,18.733,18.457,18.695,254443,0
20051114,18.759,18.787,18.595,18.705,178797,0
20051115,18.733,18.768,18.52,18.676,183034,0
20051116,18.676,18.852,18.576,18.806,261726,0
20051117,18.906,19.008,18.862,18.906,210097,0
20051118,18.954,18.954,18.768,18.797,350091,0
20051121,18.916,19.155,18.897,19.155,296398,0
20051122,19.23,19.422,19.092,19.412,243791,0
20051123,19.459,19.487,19.311,19.477,310962,0
20051125,19.688,19.836,19.688,19.735,315201,0
20051128,19.773,19.773,19.515,19.587,579208,0
20051129,19.597,19.707,19.524,19.524,371936,0
20051130,19.431,19.56,19.368,19.368,387480,0
20051201,18.806,19.782,18.806,19.735,464432,0
20051202,19.799,19.873,19.717,19.864,194445,0
20051205,19.965,20.011,19.873,19.911,273465,0
20051206,19.911,20.168,19.873,20.075,495190,0
20051207,20.149,20.204,20.075,20.075,652900,0
20051208,20.168,20.241,20.02,20.195,626597,0
20051209,20.241,20.287,20.131,20.159,323352,0
20051212,20.305,20.333,20.149,20.159,401501,0
20051213,20.287,20.426,20.176,20.297,363569,0
20051214,20.379,20.388,20.159,20.168,413021,0
20051215,20.131,20.159,19.965,20.011,915278,0
20051216,20.176,20.287,19.993,20.093,561709,0
20051219,20.213,20.241,19.946,20.002,217705,0
20051220,20.048,20.057,19.919,19.993,315417,0
20051221,20.039,20.241,20.002,20.204,486497,0
20051222,20.315,20.333,20.075,20.213,333352,0
20051223,20.075,20.176,19.965,20.112,183034,0
20051227,20.02,20.131,19.698,19.773,366828,0
20051228,20.03,20.159,19.936,20.149,363785,0
20051229,20.141,20.241,19.984,20.222,213683,0
20051230,20.084,20.213,20.011,20.149,209771,0
20060103,20.231,20.71,20.204,20.655,893105,0
20060104,20.665,20.913,20.591,20.904,949514,0
20060105,20.701,20.701,20.517,20.591,736155,0
20060106,20.701,20.885,20.636,20.793,641379,0
20060109,20.701,20.793,20.618,20.645,571601,0
20060110,20.71,20.793,20.555,20.737,378022,0
20060111,20.866,20.941,20.775,20.857,353352,0
20060112,20.904,20.922,20.71,20.71,614751,0
20060113,20.766,20.866,20.71,20.822,541819,0
20060117,20.968,21.004,20.83,20.941,1143962,0
20060118,20.674,20.693,20.417,20.555,903322,0
20060119,20.618,20.995,20.572,20.904,848867,0
20060120,21.133,21.235,20.931,20.968,544537,0
20060123,21.106,21.318,21.013,21.318,1710889,0
20060124,21.262,21.262,21.069,21.189,1641324,0
20060125,21.299,21.391,21.069,21.124,1384165,0
20060126,21.235,21.337,21.051,21.337,970166,0
20060127,21.547,21.63,21.474,21.566,1794796,0
20060130,21.621,21.888,21.621,21.805,1079072,0
20060131,21.824,22.062,21.778,21.971,1339168,0
20060201,22.062,22.081,21.851,21.934,966253,0
20060202,21.879,21.897,21.648,21.796,811044,0
20060203,21.723,21.824,21.529,21.786,1291235,0
20060206,21.851,22.062,21.805,22.026,928972,0
20060207,21.869,21.869,21.28,21.337,4741380,0
20060208,21.216,21.391,21.051,21.29,2665620,0
20060209,21.437,21.686,21.299,21.299,3451338,0
20060210,21.409,21.456,20.894,21.069,1161895,0
20060213,21.042,21.042,20.71,20.793,856041,0
20060214,20.793,21.087,20.71,21.079,842348,0
20060215,21.004,21.161,20.822,20.857,297701,0
20060216,20.866,21.161,20.866,21.142,1026249,0
20060217,21.299,21.391,21.253,21.373,759415,0
20060221,21.667,21.667,21.466,21.492,746156,0
20060222,21.437,21.447,21.344,21.437,600185,0
20060223,21.437,21.483,21.253,21.253,869953,0
20060224,21.418,21.511,21.363,21.456,353786,0
20060227,21.519,21.575,21.391,21.391,889301,0
20060228,21.391,21.502,21.207,21.474,1394273,0
20060301,21.511,21.741,21.437,21.713,695181,0
20060302,21.824,21.99,21.723,21.971,530950,0
20060303,22.036,22.136,21.851,22.053,648118,0
20060306,22.081,22.081,21.667,21.805,690289,0
20060307,21.519,21.575,21.299,21.391,1903487,0
20060308,21.116,21.253,20.959,21.161,1265804,0
20060309,21.244,21.344,21.116,21.161,1159720,0
20060310,21.069,21.373,20.995,21.309,755069,0
20060313,21.344,21.466,21.262,21.418,567470,0
20060314,21.511,21.723,21.409,21.648,562146,0
20060315,21.741,21.851,21.686,21.851,510842,0
20060316,21.869,21.98,21.805,21.943,463453,0
20060317,21.924,21.924,21.612,21.64,411500,0
20060320,21.594,21.759,21.483,21.483,315417,0
20060321,21.4,21.63,21.28,21.511,386176,0
20060322,21.437,21.529,21.344,21.492,636922,0
20060323,21.547,21.594,21.344,21.529,545406,0
20060324,21.502,21.75,21.502,21.676,213467,0
20060327,21.585,21.695,21.566,21.603,171078,0
20060328,21.529,21.723,21.483,21.547,211837,0
20060329,21.529,21.796,21.474,21.732,541710,0
20060330,21.99,22.174,21.971,22.043,473235,0
20060331,21.75,21.879,21.657,21.741,333352,0
20060403,21.796,22.036,21.759,21.842,979513,0
20060404,21.934,22.036,21.815,21.971,950711,0
20060405,21.99,22.265,21.99,22.191,497257,0
20060406,22.348,22.523,22.248,22.458,576164,0
20060407,22.541,22.587,22.293,22.311,1150482,0
20060410,22.496,22.531,22.311,22.403,751372,0
20060411,22.661,22.661,22.248,22.284,689638,0
20060412,22.367,22.367,22.174,22.274,517581,0
