Date,Open,High,Low,Close,Volume,OpenInt
20101213,29.656,29.656,29.578,29.578,525,0
20101214,29.578,29.578,29.485,29.513,7555,0
20101215,29.588,29.588,29.55,29.588,639,0
20101216,29.513,29.675,29.513,29.675,2001,0
20101217,29.578,29.685,29.578,29.685,2525,0
20101220,29.78,30.046,29.78,29.94,3681,0
20101221,30.065,30.244,30.065,30.197,19768,0
20101222,30.302,30.312,30.263,30.283,8005,0
20101223,30.369,30.369,30.197,30.197,7754,0
20101228,30.263,30.263,30.254,30.254,318,0
20101229,30.508,30.508,30.3,30.347,2436,0
20101230,30.396,30.396,30.347,30.347,481,0
20101231,30.22,30.278,30.154,30.154,2227,0
20110103,30.359,30.711,30.359,30.626,5513,0
20110104,30.568,30.606,29.912,30.168,58010,0
20110105,30.036,30.445,30.036,30.445,11656,0
20110106,30.398,30.464,30.359,30.369,2157,0
20110107,30.273,30.398,29.883,29.931,6103,0
20110110,30.187,30.349,29.949,30.283,1442,0
20110111,30.597,30.597,30.33,30.464,18590,0
20110112,30.814,30.814,30.606,30.663,7825,0
20110113,30.692,30.777,30.654,30.654,4738,0
20110114,30.663,30.939,30.663,30.939,9513,0
20110118,30.711,30.843,30.711,30.843,2628,0
20110119,31.005,31.005,30.187,30.187,3836,0
20110120,30.065,30.065,29.656,29.77,4364,0
20110121,29.807,29.845,29.513,29.513,30322,0
20110124,29.627,29.854,29.627,29.797,3247,0
20110125,29.713,29.713,29.627,29.636,2342,0
20110126,30.215,30.425,30.206,30.302,4427,0
20110127,30.416,30.416,30.254,30.254,2043,0
20110128,30.435,30.435,29.704,29.704,1157,0
20110131,29.837,29.962,29.828,29.837,2304,0
20110201,30.378,30.481,30.378,30.481,3078,0
20110202,30.406,30.616,30.406,30.454,1696,0
20110203,30.302,30.378,30.302,30.369,1091,0
20110204,30.349,30.425,30.349,30.425,755,0
20110207,30.416,30.843,30.416,30.748,5323,0
20110208,30.738,30.805,30.738,30.805,717,0
20110209,30.786,30.786,30.72,30.748,1677,0
20110210,30.738,30.814,30.738,30.795,4017,0
20110211,30.814,31.119,30.814,31.119,1387,0
20110214,31.3,31.318,31.291,31.291,947,0
20110215,31.347,31.347,31.091,31.091,5260,0
20110216,31.347,31.357,31.347,31.357,1298,0
20110218,31.689,31.689,31.604,31.612,2151,0
20110222,31.271,31.471,30.871,30.871,10840,0
20110223,30.738,31.034,30.378,30.558,2280,0
20110224,30.578,30.654,30.312,30.654,14531,0
20110225,30.948,31.176,30.833,31.176,1225,0
20110228,31.233,31.262,31.233,31.262,498,0
20110301,31.482,31.567,30.863,30.863,4723,0
20110302,30.749,30.979,30.749,30.979,2473,0
20110303,31.415,31.605,31.359,31.539,8322,0
20110304,31.528,31.528,31.233,31.386,92859,0
20110307,30.748,31.053,30.748,30.968,8523,0
20110308,31.015,31.452,30.814,31.414,59114,0
20110309,31.3,31.367,31.185,31.262,4194,0
20110310,30.455,30.455,30.398,30.407,968,0
20110311,30.178,30.178,30.178,30.178,318,0
20110314,29.998,30.131,29.978,30.131,5541,0
20110315,29.598,30.121,29.55,30.121,59302,0
20110316,29.742,29.836,29.636,29.636,11382,0
20110317,30.053,30.053,29.842,29.842,3848,0
20110318,30.225,30.302,30.225,30.254,5280,0
20110321,30.853,30.969,30.825,30.95,9208,0
20110322,30.834,31.225,30.834,30.921,5281,0
20110323,30.863,31.177,30.674,31.073,11410,0
20110324,31.195,31.195,31.148,31.148,1071,0
20110325,31.397,31.643,31.397,31.482,6737,0
20110328,31.596,31.653,31.359,31.359,6582,0
20110329,31.302,31.738,31.302,31.72,27565,0
20110331,32.07,32.128,32.07,32.128,1844,0
20110401,32.452,32.472,32.365,32.365,11983,0
20110404,32.462,32.462,32.443,32.443,786,0
20110405,32.481,32.606,32.481,32.606,360,0
20110406,32.728,32.738,32.728,32.738,6251,0
20110408,32.31,32.328,32.062,32.062,5193,0
20110411,32.225,32.225,31.883,31.883,7881,0
20110412,31.691,31.691,31.397,31.425,4443,0
20110413,31.407,31.529,31.205,31.32,9618,0
20110414,31.12,31.464,30.94,31.444,3984,0
20110415,31.397,31.777,31.397,31.777,5695,0
20110418,31.292,31.339,31.177,31.339,5455,0
20110419,31.253,31.31,31.234,31.273,5440,0
20110420,31.71,31.825,31.71,31.825,4310,0
20110421,31.864,31.995,31.864,31.995,4762,0
20110425,31.995,31.995,31.854,31.947,1791,0
20110426,32.09,32.5,32.062,32.385,17358,0
20110427,32.347,32.529,32.253,32.529,6572,0
