Date,Open,High,Low,Close,Volume,OpenInt
20050225,14.292,14.3,14.225,14.285,78594,0
20050228,14.323,14.376,14.285,14.376,120025,0
20050301,14.346,14.472,14.346,14.412,140273,0
20050302,14.451,14.465,14.412,14.458,63676,0
20050303,14.465,14.494,14.428,14.458,102707,0
20050304,14.443,14.48,14.396,14.42,104972,0
20050307,14.472,14.48,14.405,14.465,148538,0
20050308,14.42,14.48,14.42,14.451,132679,0
20050309,14.472,14.511,14.396,14.437,155327,0
20050310,14.405,14.472,14.361,14.405,73398,0
20050311,14.353,14.382,14.285,14.285,84987,0
20050314,14.271,14.346,14.264,14.271,116028,0
20050315,14.331,14.338,14.195,14.232,66341,0
20050316,14.181,14.307,14.142,14.264,95649,0
20050317,14.201,14.307,14.165,14.232,97514,0
20050318,14.232,14.24,14.12,14.24,93913,0
20050321,14.165,14.173,14.044,14.076,99911,0
20050322,14.084,14.106,13.993,14.021,67939,0
20050323,14.021,14.209,13.872,14.021,133215,0
20050324,14.061,14.15,13.947,14.021,102442,0
20050328,13.933,13.977,13.662,13.889,316648,0
20050329,13.881,13.947,13.872,13.919,70872,0
20050330,13.872,14.008,13.872,13.947,63676,0
20050331,13.947,14.084,13.919,13.947,65811,0
20050401,13.797,13.993,13.797,13.933,82460,0
20050404,13.933,14.037,13.813,13.947,48889,0
20050405,13.986,14.127,13.939,14.069,75667,0
20050406,14.112,14.112,13.91,13.933,92050,0
20050407,13.947,13.986,13.797,13.91,106038,0
20050408,13.857,13.895,13.813,13.864,93512,0
20050411,13.903,13.903,13.684,13.746,104833,0
20050412,13.782,13.834,13.708,13.82,80057,0
20050413,13.849,13.91,13.782,13.806,83524,0
20050414,13.76,13.864,13.739,13.864,72333,0
20050415,13.864,13.872,13.61,13.774,128683,0
20050418,13.79,13.872,13.684,13.797,105375,0
20050419,13.857,13.857,13.669,13.76,119762,0
20050420,13.752,13.806,13.626,13.766,135879,0
20050421,13.708,13.834,13.7,13.739,82460,0
20050422,13.708,13.79,13.708,13.774,82191,0
20050425,13.76,13.806,13.693,13.752,140937,0
20050426,13.752,13.782,13.638,13.638,221806,0
20050427,13.646,13.746,13.638,13.7,84864,0
20050428,13.669,13.774,13.638,13.7,100712,0
20050429,13.662,13.669,13.572,13.61,75134,0
20050502,13.587,13.693,13.578,13.654,67536,0
20050503,13.61,13.626,13.542,13.602,45691,0
20050504,13.578,13.669,13.578,13.654,76594,0
20050505,13.619,13.654,13.551,13.638,80460,0
20050506,13.638,13.669,13.566,13.638,88589,0
20050509,13.578,13.669,13.528,13.587,65670,0
20050510,13.578,13.646,13.496,13.542,79932,0
20050511,13.578,13.578,13.43,13.43,140273,0
20050512,13.458,13.482,13.378,13.439,66737,0
20050513,13.439,13.466,13.439,13.445,69805,0
20050516,13.445,13.512,13.445,13.451,53955,0
20050517,13.445,13.551,13.31,13.347,106573,0
20050518,13.347,13.378,13.243,13.295,114300,0
20050519,13.354,13.354,13.197,13.22,151066,0
20050520,13.22,13.31,13.22,13.265,101778,0
20050523,13.228,13.271,13.159,13.228,111498,0
20050524,13.25,13.265,13.009,13.009,181441,0
20050525,13.015,13.107,12.934,12.985,318516,0
20050526,12.964,13.107,12.964,13.077,132815,0
20050527,13.107,13.363,13.107,13.315,136144,0
20050531,13.315,13.422,13.278,13.415,92584,0
20050601,13.315,13.439,13.315,13.383,108570,0
20050602,13.415,13.415,13.271,13.302,71669,0
20050603,13.302,13.332,13.22,13.295,93251,0
20050606,13.257,13.302,13.235,13.271,49822,0
20050607,13.257,13.278,13.203,13.235,69671,0
20050608,13.166,13.228,13.136,13.166,97112,0
20050609,13.128,13.152,13.039,13.077,104833,0
20050610,13.091,13.152,13.039,13.152,126154,0
20050613,13.064,13.144,13.064,13.091,114030,0
20050614,13.107,13.122,13.064,13.122,90319,0
20050615,13.107,13.122,13.039,13.056,97112,0
20050616,13.048,13.159,13.039,13.107,94316,0
20050617,13.039,13.243,13.039,13.159,199155,0
20050620,13.159,13.197,13.048,13.115,65010,0
20050621,13.107,13.181,13.064,13.175,98046,0
20050622,13.098,13.159,13.056,13.056,110165,0
20050623,13.056,13.098,12.948,12.979,122421,0
20050624,12.979,13.023,12.876,12.911,144275,0
20050627,12.882,12.934,12.821,12.919,105237,0
