Date,Open,High,Low,Close,Volume,OpenInt
20060315,17.529,17.606,17.504,17.598,98209,0
20060316,17.651,17.687,17.624,17.659,48176,0
20060317,17.659,17.687,17.606,17.606,34013,0
20060320,17.677,17.677,17.575,17.606,25191,0
20060321,17.606,17.615,17.478,17.478,31111,0
20060322,17.582,17.703,17.575,17.703,16951,0
20060323,17.694,17.71,17.659,17.687,10331,0
20060324,17.687,17.735,17.677,17.687,32155,0
20060327,17.71,17.71,17.659,17.677,6037,0
20060328,17.659,17.703,17.575,17.575,18805,0
20060329,17.575,17.651,17.539,17.651,17762,0
20060330,17.598,17.651,17.487,17.494,7199,0
20060331,17.557,17.557,17.445,17.445,9405,0
20060403,17.478,17.615,17.478,17.521,19385,0
20060404,17.521,17.651,17.521,17.633,15673,0
20060405,17.642,17.659,17.606,17.659,7548,0
20060406,17.615,17.615,17.512,17.548,39124,0
20060407,17.606,17.615,17.391,17.409,27630,0
20060410,17.445,17.445,17.358,17.401,6387,0
20060411,17.445,17.445,17.271,17.271,49568,0
20060412,17.229,17.263,17.22,17.254,58510,0
20060413,17.254,17.289,17.203,17.238,95076,0
20060417,17.271,17.298,17.203,17.203,11260,0
20060418,17.28,17.504,17.254,17.504,20314,0
20060419,17.504,17.504,17.366,17.418,9635,0
20060420,17.445,17.512,17.445,17.47,5342,0
20060421,17.487,17.529,17.462,17.487,5804,0
20060424,17.445,17.494,17.401,17.494,5342,0
20060425,17.487,17.487,17.462,17.47,4641,0
20060426,17.598,17.598,17.539,17.566,2088,0
20060427,17.529,17.875,17.529,17.847,5342,0
20060428,17.83,18.004,17.83,18.004,6502,0
20060501,18.004,18.004,17.875,17.875,10101,0
20060502,17.901,17.919,17.875,17.919,4062,0
20060503,17.892,17.901,17.857,17.857,4527,0
20060504,17.959,17.959,17.934,17.95,13698,0
20060505,18.004,18.125,17.977,18.125,4062,0
20060508,18.166,18.166,18.09,18.09,5921,0
20060509,18.081,18.116,18.081,18.107,6735,0
20060510,18.098,18.098,18.023,18.03,28213,0
20060511,18.09,18.09,17.807,17.875,17413,0
20060512,17.838,17.838,17.687,17.687,8358,0
20060515,17.744,17.789,17.71,17.71,15324,0
20060516,17.814,17.814,17.754,17.789,1391,0
20060517,17.659,17.659,17.494,17.633,6735,0
20060518,17.566,17.566,17.409,17.409,20314,0
20060519,17.427,17.539,17.427,17.453,15091,0
20060522,17.487,17.575,17.427,17.512,9288,0
20060523,17.529,17.575,17.529,17.539,3714,0
20060524,17.366,17.512,17.366,17.487,16137,0
20060525,17.512,17.575,17.512,17.575,1623,0
20060526,17.703,17.772,17.669,17.772,10447,0
20060530,17.744,17.744,17.548,17.548,3481,0
20060531,17.591,17.687,17.591,17.598,4758,0
20060601,17.726,17.866,17.726,17.822,1391,0
20060602,17.959,17.996,17.91,17.996,3135,0
20060605,17.996,17.996,17.875,17.875,5575,0
20060606,17.857,17.857,17.659,17.677,8708,0
20060607,17.807,17.892,17.799,17.799,2903,0
20060608,17.789,17.838,17.651,17.799,27861,0
20060609,17.799,17.866,17.799,17.866,3830,0
20060612,17.857,17.883,17.838,17.857,3830,0
20060613,17.726,17.772,17.669,17.669,6967,0
20060614,17.575,17.575,17.341,17.445,23448,0
20060615,17.566,17.789,17.566,17.754,8938,0
20060616,17.754,17.754,17.726,17.744,7661,0
20060619,17.83,17.83,17.651,17.651,42603,0
20060620,17.694,17.735,17.694,17.694,7893,0
20060621,17.71,17.772,17.694,17.71,9984,0
20060622,17.744,17.744,17.642,17.694,13930,0
20060623,17.591,17.591,17.436,17.462,38307,0
20060626,17.478,17.548,17.478,17.548,2088,0
20060627,17.566,17.566,17.478,17.478,2205,0
20060628,17.512,17.548,17.478,17.529,6502,0
20060629,17.591,17.799,17.591,17.799,6154,0
20060630,17.866,17.866,17.814,17.847,2669,0
20060703,17.807,17.875,17.807,17.857,3714,0
20060705,17.857,17.883,17.822,17.847,3714,0
20060706,17.875,17.987,17.866,17.934,20200,0
20060707,17.919,18.03,17.919,17.95,16368,0
20060710,18.045,18.081,18.013,18.013,12073,0
20060711,18.013,18.013,17.883,18.013,13351,0
20060712,17.996,17.996,17.847,17.847,4989,0
20060713,17.83,17.83,17.575,17.582,8708,0
20060714,17.575,17.606,17.539,17.606,4989,0
20060717,17.582,17.606,17.566,17.598,3135,0
20060718,17.624,17.633,17.521,17.606,15555,0
20060719,17.762,18.013,17.762,17.996,14861,0
20060720,18.053,18.072,18.004,18.03,5804,0
20060721,18.004,18.107,18.004,18.013,6735,0
20060724,18.174,18.27,18.174,18.237,6735,0
20060725,18.296,18.435,18.296,18.435,8241,0
20060726,18.408,18.555,18.399,18.502,11958,0
20060727,18.623,18.623,18.399,18.435,30298,0
20060728,18.52,18.709,18.52,18.658,6735,0
20060731,18.676,18.676,18.538,18.538,10447,0
20060801,18.588,18.588,18.494,18.546,6851,0
20060802,18.676,18.693,18.581,18.606,22171,0
20060803,18.615,18.735,18.615,18.7,12884,0
20060804,18.856,18.856,18.744,18.753,8708,0
20060807,18.796,18.796,18.667,18.667,34362,0
20060808,18.735,18.788,18.658,18.658,9171,0
20060809,18.856,18.856,18.546,18.606,27513,0
20060810,18.623,18.623,18.443,18.588,10912,0
20060811,18.485,18.502,18.425,18.502,8475,0
20060814,18.676,18.693,18.511,18.511,13118,0
20060815,18.727,18.744,18.667,18.744,21478,0
20060816,18.779,18.821,18.744,18.788,3714,0
20060817,18.753,18.805,18.727,18.77,20432,0
20060818,18.856,18.865,18.831,18.865,6502,0
20060821,18.865,18.883,18.847,18.847,12652,0
20060822,18.865,18.933,18.865,18.899,33086,0
20060823,18.908,18.908,18.839,18.856,28213,0
20060824,18.874,18.924,18.874,18.924,7083,0
20060825,18.951,18.951,18.874,18.933,18343,0
20060828,18.986,19.037,18.942,19.003,33200,0
20060829,19.037,19.045,18.942,19.037,25308,0
20060830,19.124,19.124,19.045,19.089,39239,0
20060831,19.107,19.107,18.986,18.986,40050,0
20060901,19.098,19.157,19.028,19.098,63499,0
20060905,19.132,19.132,19.089,19.115,24495,0
20060906,19.115,19.115,19.071,19.08,8938,0
20060907,19.063,19.063,18.908,18.908,19851,0
20060908,19.08,19.157,18.933,19.028,14511,0
20060911,18.977,19.063,18.977,19.045,13118,0
20060912,19.071,19.21,19.071,19.193,26236,0
20060913,19.193,19.244,19.14,19.236,19619,0
20060914,19.278,19.296,19.21,19.296,26351,0
20060915,19.408,19.408,19.252,19.287,37614,0
20060918,19.296,19.296,19.175,19.252,28906,0
20060919,19.416,19.416,19.166,19.269,152772,0
20060920,19.399,19.425,19.321,19.416,174366,0
20060921,19.468,19.468,19.296,19.356,138146,0
20060922,19.425,19.425,19.364,19.39,49800,0
20060925,19.408,19.425,19.218,19.304,115044,0
20060926,19.296,19.321,19.218,19.321,96237,0
20060927,19.381,19.408,19.227,19.287,78707,0
20060928,19.296,19.339,19.227,19.269,26006,0
20060929,19.296,19.33,19.201,19.244,42024,0
20061002,19.313,19.313,19.184,19.201,35523,0
20061003,19.166,19.348,19.166,19.304,53284,0
20061004,19.356,19.416,19.227,19.416,147896,0
20061005,19.425,19.425,19.339,19.39,102506,0
20061006,19.433,19.433,19.296,19.356,64430,0
20061009,19.408,19.408,19.296,19.381,56998,0
20061010,19.451,19.468,19.304,19.39,51078,0
20061011,19.408,19.408,19.313,19.313,26467,0
20061012,19.356,19.536,19.356,19.511,49568,0
20061013,19.536,19.554,19.451,19.545,40861,0
20061016,19.58,19.58,19.425,19.477,42603,0
20061017,19.33,19.451,19.33,19.442,74182,0
20061018,19.484,19.545,19.433,19.52,59204,0
20061019,19.536,19.572,19.511,19.563,24262,0
20061020,19.597,19.648,19.511,19.648,32853,0
20061023,19.675,19.752,19.589,19.752,82538,0
20061024,19.675,19.726,19.597,19.726,44464,0
20061025,19.718,19.839,19.692,19.839,26584,0
20061026,19.872,19.881,19.76,19.847,39239,0
20061027,19.787,19.812,19.726,19.76,63268,0
20061030,19.666,19.744,19.666,19.701,38423,0
20061031,19.735,19.735,19.614,19.666,46321,0
20061101,19.735,19.744,19.597,19.632,50501,0
20061102,19.657,19.657,19.536,19.589,37149,0
20061103,19.554,19.605,19.442,19.511,44810,0
20061106,19.433,19.657,19.433,19.657,23448,0
20061107,19.657,19.787,19.657,19.726,147547,0
20061108,19.666,19.769,19.58,19.744,61645,0
20061109,19.709,19.709,19.511,19.554,63036,0
20061110,19.589,19.589,19.46,19.545,50034,0
20061113,19.46,19.666,19.46,19.589,31924,0
20061114,19.554,19.675,19.433,19.657,69073,0
20061115,19.683,19.683,19.554,19.64,39355,0
20061116,19.709,19.769,19.648,19.752,59784,0
20061117,19.744,19.855,19.692,19.855,30066,0
20061120,19.847,19.872,19.795,19.821,35757,0
20061121,19.847,19.847,19.683,19.744,58858,0
20061122,19.692,19.752,19.692,19.752,32270,0
20061124,19.709,19.744,19.709,19.718,8708,0
20061127,19.64,19.657,19.484,19.528,51310,0
20061128,19.468,19.605,19.46,19.554,24728,0
20061129,19.572,19.804,19.572,19.787,75339,0
20061130,19.726,19.855,19.726,19.821,34711,0
20061201,19.847,19.847,19.657,19.76,19501,0
20061204,19.718,19.752,19.666,19.683,23912,0
20061205,19.726,19.804,19.701,19.804,29718,0
20061206,19.804,19.83,19.726,19.83,25191,0
20061207,19.881,19.881,19.76,19.795,34362,0
20061208,19.769,19.847,19.675,19.812,34130,0
20061211,19.899,19.976,19.899,19.976,18573,0
20061212,19.976,19.984,19.855,19.984,24495,0
20061213,20.063,20.071,20.019,20.063,25191,0
20061214,20.088,20.2,20.063,20.192,19735,0
20061215,20.226,20.286,20.209,20.278,61877,0
20061218,20.295,20.355,20.286,20.313,112024,0
20061219,20.346,20.389,20.166,20.364,28329,0
20061220,20.425,20.425,20.329,20.364,18573,0
20061221,20.304,20.372,20.131,20.192,213023,0
20061222,20.183,20.183,20.063,20.14,41907,0
20061226,20.14,20.226,20.096,20.2,11376,0
20061227,20.26,20.416,20.26,20.416,30298,0
20061228,20.407,20.407,20.295,20.346,9984,0
20061229,20.338,20.355,20.234,20.26,12305,0
20070103,20.416,20.476,20.252,20.329,44232,0
20070104,20.346,20.416,20.269,20.338,23912,0
20070105,20.295,20.295,20.114,20.157,25540,0
20070108,20.079,20.192,20.002,20.166,34245,0
20070109,20.217,20.269,20.054,20.183,34013,0
20070110,20.183,20.192,20.088,20.157,20432,0
20070111,20.226,20.269,20.209,20.252,44232,0
20070112,20.278,20.329,20.26,20.269,19735,0
20070116,20.372,20.372,20.209,20.321,25657,0
20070117,20.329,20.329,20.226,20.243,21244,0
20070118,20.313,20.372,20.304,20.355,26236,0
20070119,20.364,20.364,20.286,20.346,30415,0
