Date,Open,High,Low,Close,Volume,OpenInt
20120224,29.26,29.26,29.26,29.26,125,0
20120227,29.045,29.045,29.045,29.045,107,0
20120228,29.167,29.167,29.167,29.167,1068,0
20120313,43.582,43.582,43.582,43.582,107,0
20120314,29.317,29.317,29.083,29.083,1413,0
20120316,29.26,29.325,29.26,29.325,2246,0
20120320,28.746,28.746,28.746,28.746,481,0
20120322,28.484,28.484,28.484,28.484,160,0
20120323,28.558,28.558,28.558,28.558,109,0
20120327,28.784,28.784,28.784,28.784,179,0
20120416,27.501,27.501,27.501,27.501,296,0
20120423,27.137,27.137,27.137,27.137,213,0
20120503,27.839,27.839,27.839,27.839,432,0
20120510,26.772,26.772,26.772,26.772,134,0
20120511,26.537,26.537,26.537,26.537,107,0
20120516,25.154,25.154,25.154,25.154,2139,0
20120517,25.024,25.024,25.024,25.024,288,0
20120530,24.668,24.668,24.668,24.668,160,0
20120604,23.76,23.76,23.76,23.76,213,0
20120605,24.06,24.106,24.06,24.106,213,0
20120618,25.398,25.398,25.398,25.398,854,0
20120621,25.06,25.06,25.06,25.06,197,0
20120622,24.743,24.743,24.743,24.743,107,0
20120627,24.658,24.658,24.658,24.658,213,0
20120702,25.501,25.501,25.463,25.463,213,0
20120705,25.724,25.724,25.724,25.724,160,0
20120808,26.023,26.023,26.023,26.023,2139,0
20120817,26.266,26.266,26.266,26.266,429,0
20120905,25.949,25.949,25.949,25.949,321,0
20120906,26.025,26.733,26.025,26.733,1040,0
20120912,26.735,26.735,26.735,26.735,285,0
20120925,27.553,27.553,27.553,27.553,1060,0
20120926,26.93,26.93,26.93,26.93,583,0
20120927,27.269,27.269,27.269,27.269,1707,0
20121001,27.892,27.892,27.731,27.741,4455,0
20121002,27.703,27.703,27.703,27.703,339,0
20121003,27.722,27.722,27.722,27.722,847,0
20121009,28.118,28.505,26.411,26.543,847,0
20121017,28.637,28.637,28.637,28.637,126,0
20121102,29.364,29.364,28.995,28.995,5516,0
20121105,29.145,29.145,29.137,29.145,2970,0
20121107,29.316,29.382,29.316,29.316,3286,0
20121109,29.297,29.297,29.297,29.297,547,0
20121112,29.032,29.032,29.032,29.032,318,0
20121115,28.779,28.779,28.779,28.779,211,0
20121121,29.071,29.071,29.071,29.071,426,0
20121123,29.674,29.674,29.674,29.674,426,0
20121127,29.513,29.513,29.513,29.513,380,0
20121130,29.784,29.784,29.784,29.784,105,0
20121211,30.844,30.844,30.816,30.816,211,0
20121213,30.645,30.739,30.645,30.693,426,0
20121219,31.616,31.616,31.616,31.616,105,0
20121224,31.419,31.419,31.419,31.419,239,0
20121226,31.805,31.805,31.805,31.805,105,0
20121228,31.975,31.975,31.843,31.889,1697,0
20121231,32.545,32.553,32.545,32.553,630,0
20130102,33.351,33.408,33.323,33.408,830,0
20130103,33.399,33.57,33.162,33.162,2650,0
20130104,33.399,33.408,33.304,33.351,788,0
20130107,33.785,33.785,33.777,33.785,529,0
20130108,33.681,33.681,33.681,33.681,159,0
20130109,34.304,34.322,34.229,34.285,4827,0
20130110,34.266,34.408,34.172,34.342,2970,0
20130111,34.012,34.163,33.777,34.163,6283,0
20130114,34.38,34.38,34.257,34.257,1485,0
20130115,34.134,34.37,34.078,34.124,917,0
20130117,34.275,34.36,34.275,34.36,383,0
20130118,34.418,34.473,34.304,34.473,3488,0
20130122,34.634,34.634,34.624,34.624,483,0
20130123,34.512,34.53,34.285,34.445,5619,0
20130124,34.558,34.663,34.445,34.54,8377,0
20130125,34.435,34.435,34.02,34.285,5016,0
20130128,34.351,34.54,33.474,33.909,3963,0
20130129,34.2,34.285,33.681,34.285,2631,0
20130131,34.482,34.482,34.482,34.482,105,0
20130201,34.454,34.729,34.454,34.729,4008,0
20130204,33.87,34.38,33.87,33.87,1459,0
20130205,34.823,34.823,34.163,34.36,4962,0
20130206,34.351,34.351,34.351,34.351,174,0
20130207,34.03,34.124,34.03,34.087,1697,0
20130208,34.473,34.503,34.454,34.503,1221,0
20130211,34.503,34.558,34.172,34.493,1046,0
20130212,34.408,34.408,34.408,34.408,128,0
20130213,35.077,35.077,34.69,35.068,7264,0
20130214,35.293,35.416,34.889,35.209,3291,0
20130215,35.012,35.124,34.793,34.851,5603,0
20130219,35.002,35.002,35.002,35.002,636,0
20130220,35.058,35.058,34.709,34.709,1657,0
20130221,34.05,34.634,34.05,34.634,3122,0
20130225,34.418,34.54,34.351,34.351,1466,0
20130226,34.275,34.275,34.275,34.275,211,0
20130227,34.653,34.653,34.558,34.558,636,0
20130228,34.892,34.892,34.863,34.892,753,0
20130301,34.889,34.889,34.841,34.889,2650,0
20130304,34.793,34.832,34.266,34.445,1102,0
20130305,34.86,35.333,34.86,35.097,4703,0
20130306,35.258,35.342,35.144,35.342,2550,0
20130307,35.352,35.352,35.275,35.275,2421,0
20130308,35.333,35.333,35.2,35.2,690,0
20130311,35.012,35.012,34.813,34.813,908,0
20130312,34.69,34.69,34.69,34.69,583,0
20130313,34.634,34.634,34.435,34.568,742,0
20130314,34.624,34.643,34.604,34.643,901,0
20130315,34.748,34.898,34.718,34.784,2128,0
20130318,34.435,34.493,34.351,34.454,2147,0
20130319,34.387,34.397,34.086,34.086,1088,0
20130320,34.603,34.653,34.407,34.653,1485,0
20130321,34.482,34.689,34.387,34.387,630,0
20130322,34.577,34.738,34.462,34.596,1228,0
20130325,34.907,34.907,34.501,34.501,2275,0
20130326,35.04,35.04,34.784,35.002,432,0
20130327,35.03,35.058,34.926,35.058,425,0
20130328,34.983,35.012,34.936,34.936,476,0
20130401,34.936,35.087,34.88,34.88,805,0
20130402,35.03,35.03,34.926,34.936,3016,0
20130403,34.653,34.738,34.369,34.397,1655,0
20130404,34.227,34.472,34.227,34.472,635,0
20130405,34.009,34.265,33.858,34.265,1281,0
20130408,34.218,34.265,34.057,34.265,4337,0
20130409,34.218,34.748,34.218,34.369,425,0
20130410,34.851,35.115,34.851,34.898,2437,0
20130411,35.172,35.172,35.172,35.172,211,0
20130412,34.898,34.936,34.728,34.774,1052,0
20130415,34.756,34.756,34.048,34.048,1563,0
20130416,34.68,34.68,34.52,34.623,1994,0
20130417,34.443,34.443,34,34.33,2593,0
20130418,34.52,34.52,34.246,34.274,3201,0
20130419,35.077,35.077,34.803,34.803,845,0
20130422,35.408,35.408,34.926,34.926,2978,0
20130423,35.324,35.455,35.258,35.417,1873,0
20130424,35.522,35.522,35.342,35.522,599,0
20130425,35.598,35.853,35.598,35.844,4776,0
20130426,35.654,35.654,35.371,35.417,3389,0
20130429,35.625,35.795,35.408,35.663,5198,0
20130430,35.832,36.326,35.832,35.907,1740,0
20130501,36.127,36.127,35.219,35.219,4775,0
20130502,35.408,35.909,35.408,35.634,2119,0
20130503,36.164,36.164,36.145,36.145,1133,0
20130506,36.335,36.381,36.203,36.288,8642,0
20130507,36.799,36.799,36.561,36.656,4438,0
20130508,36.647,36.808,36.581,36.589,134162,0
20130509,36.74,36.75,36.438,36.476,83820,0
20130510,36.656,36.656,36.288,36.448,98606,0
20130513,36.598,36.598,36.194,36.381,15224,0
20130514,36.458,36.864,36.42,36.561,48031,0
20130515,36.345,36.628,36.154,36.561,22493,0
20130516,36.656,36.789,36.561,36.571,6714,0
20130517,36.892,36.902,36.685,36.712,2219,0
20130520,36.873,37.034,36.704,36.769,6520,0
20130521,36.968,37.006,36.704,36.968,3095,0
20130522,36.864,37.175,36.288,36.354,17445,0
20130523,35.719,36.372,35.683,36.372,8670,0
20130524,35.844,36.136,35.844,36.07,6401,0
20130528,36.598,36.647,36.458,36.495,4608,0
20130529,36.554,36.554,36.116,36.363,2698,0
20130530,36.335,36.589,36.335,36.486,4923,0
20130531,36.448,36.448,35.73,35.777,10042,0
20130603,35.352,35.654,35.012,35.617,4745,0
20130604,35.765,35.765,35.243,35.243,1842,0
20130605,35.357,35.413,34.644,34.91,314344,0
20130606,34.369,34.758,34.311,34.758,7854,0
20130607,34.986,35.118,34.73,34.882,9924,0
20130610,34.728,34.728,34.359,34.397,9586,0
20130611,33.552,33.884,33.513,33.552,13957,0
20130612,33.838,33.838,32.997,33.659,6376,0
20130613,33.433,34.162,33.433,34.162,16526,0
20130614,34.246,34.246,33.552,33.58,15836,0
20130617,34.349,34.407,33.916,34.112,7507,0
20130618,33.933,34.102,33.798,33.884,7337,0
20130619,33.818,33.933,33.305,33.305,2041,0
20130620,32.744,35.917,31.434,31.823,11383,0
20130621,32.032,32.375,31.186,31.804,39732,0
20130624,30.844,30.997,30.236,30.435,24758,0
20130625,30.892,31.072,30.712,31.015,1020,0
20130626,31.643,31.937,31.3,31.671,26863,0
20130627,32.145,32.183,31.975,31.975,8802,0
20130628,31.776,32.022,31.708,31.784,5790,0
