Date,Open,High,Low,Close,Volume,OpenInt
20110517,18.55,18.587,18.405,18.405,1721,0
20110518,18.665,18.778,18.655,18.778,3903,0
20110519,18.741,18.741,18.665,18.665,1078,0
20110520,18.751,18.751,18.616,18.713,2188,0
20110523,18.32,18.376,18.32,18.376,1670,0
20110524,18.481,18.511,18.366,18.405,2148,0
20110525,18.415,18.511,18.415,18.511,2252,0
20110526,18.606,18.636,18.606,18.616,1568,0
20110531,18.74,18.749,18.74,18.749,468,0
20110602,18.386,18.511,18.386,18.511,2402,0
20110603,18.262,18.262,18.262,18.262,1069,0
20110606,18.08,18.08,18.08,18.08,100,0
20110607,18.211,18.231,18.173,18.173,4224,0
20110608,18,18.125,17.99,18.058,9711,0
20110609,18.557,18.557,18.068,18.231,5735,0
20110610,18.116,18.116,18.116,18.116,1147,0
20110613,17.887,17.887,17.869,17.869,1252,0
20110614,18.087,18.125,18.087,18.125,2815,0
20110615,17.76,17.78,17.701,17.76,5521,0
20110616,17.848,17.848,17.711,17.711,937,0
20110617,17.913,17.913,17.913,17.913,626,0
20110620,17.731,17.731,17.731,17.731,365,0
20110621,17.971,18.163,17.943,18.154,20005,0
20110622,18.173,18.201,18.163,18.201,3957,0
20110623,17.78,18.01,17.674,18.01,3957,0
20110628,17.99,18.192,17.99,18.192,1357,0
20110629,18.26,18.27,18.26,18.27,2970,0
20110630,18.348,18.551,18.348,18.551,9011,0
20110701,18.47,18.749,18.47,18.749,9148,0
20110706,18.786,18.786,18.786,18.786,1533,0
20110707,19.009,19.028,19.009,19.009,121405,0
20110708,18.855,18.855,18.845,18.845,312,0
20110711,18.605,18.663,18.499,18.499,14485,0
20110712,18.433,18.433,18.433,18.433,156,0
20110713,18.567,18.575,18.509,18.509,14032,0
20110714,18.47,18.47,18.384,18.433,19141,0
20110715,18.442,18.48,18.442,18.48,783,0
20110718,18.433,18.433,18.346,18.346,1810,0
20110719,18.538,18.538,18.538,18.538,738,0
20110720,18.673,18.711,18.673,18.692,11746,0
20110721,18.768,18.865,18.721,18.845,4872,0
20110722,18.806,18.845,18.806,18.845,1276,0
20110725,18.663,18.692,18.663,18.692,1251,0
20110726,18.721,18.73,18.721,18.73,1240,0
20110727,18.48,18.48,18.318,18.327,6889,0
20110728,18.374,18.374,18.374,18.374,100,0
20110729,18.125,18.201,18.087,18.201,1265,0
20110801,18.413,18.413,17.923,17.923,1719,0
20110802,17.971,17.971,17.701,17.721,119359,0
20110803,17.482,17.54,17.482,17.482,520,0
20110804,17.185,17.214,16.81,16.81,5119,0
20110805,16.648,16.955,16.34,16.694,279991,0
20110808,16.194,16.444,15.686,15.706,80729,0
20110809,16.081,16.101,15.648,16.022,11146,0
20110810,16.013,16.081,15.793,15.841,4273,0
20110811,15.783,16.156,15.783,16.156,847,0
20110812,16.512,16.531,16.444,16.502,2781,0
20110815,16.648,16.742,16.551,16.742,5226,0
20110816,16.667,16.79,16.57,16.694,68751,0
20110817,16.686,16.686,16.686,16.686,86801,0
20110818,15.773,16.139,15.773,15.773,2252,0
20110819,15.677,15.764,15.667,15.667,11375,0
20110822,15.524,15.716,15.486,15.486,54049,0
20110823,15.629,15.716,15.629,15.716,257,0
20110824,15.955,16.032,15.955,16.032,10865,0
20110825,15.946,15.994,15.946,15.994,2314,0
20110826,15.812,16.233,15.783,16.166,7356,0
20110829,16.398,16.551,16.398,16.551,2006,0
20110830,16.482,16.482,16.482,16.482,1210,0
20110831,16.882,16.892,16.651,16.68,11137,0
20110901,16.723,16.723,16.723,16.723,156,0
20110902,16.255,16.323,16.12,16.167,7788,0
20110906,15.677,16.052,15.677,16.052,3040,0
20110907,16.512,16.512,16.512,16.512,360,0
20110908,16.57,16.57,16.406,16.406,11409,0
20110909,16.224,16.224,15.868,15.936,7303,0
20110913,16.061,16.147,16.061,16.147,262,0
20110914,16.541,16.608,16.426,16.426,1310,0
20110915,16.618,16.676,16.618,16.657,12221,0
20110916,16.887,16.887,16.704,16.819,6009,0
20110920,16.857,16.857,16.608,16.608,727,0
20110922,15.658,15.734,15.293,15.524,20063,0
20110923,15.418,15.56,15.418,15.56,1193,0
20110926,15.629,15.812,15.629,15.812,520,0
20110927,16.388,16.388,16.292,16.292,2186,0
20110928,16.253,16.253,15.994,16.013,1292,0
20110929,15.907,15.907,15.878,15.878,727,0
20110930,15.705,15.705,15.637,15.637,401,0
20111003,15.359,15.359,15.302,15.359,605,0
20111004,14.803,14.994,14.803,14.994,312,0
20111005,15.486,15.803,15.486,15.803,290,0
20111007,16.129,16.129,16.129,16.129,210,0
20111011,16.454,16.57,16.454,16.57,1354,0
20111012,16.752,16.857,16.752,16.857,3125,0
20111013,16.608,16.638,16.608,16.638,15822,0
20111014,16.819,16.993,16.819,16.993,1959,0
20111017,16.638,16.638,16.638,16.638,452,0
20111018,16.761,16.761,16.752,16.752,17400,0
20111019,16.732,16.732,16.732,16.732,2484,0
20111020,16.57,16.761,16.57,16.761,1384,0
20111021,17.039,17.039,16.975,16.984,1008,0
20111024,17.309,17.309,17.309,17.309,415,0
20111025,17.087,17.107,16.993,16.993,7765,0
20111026,17.087,17.155,17.087,17.155,1536,0
