Date,Open,High,Low,Close,Volume,OpenInt
20110502,20.766,20.766,20.766,20.766,259,0
20110504,20.519,20.519,20.254,20.254,821,0
20110505,20.401,20.401,20.401,20.401,273,0
20110506,20.234,20.234,20.234,20.234,506,0
20110509,20.263,20.519,20.263,20.49,1857,0
20110510,20.647,20.647,20.647,20.647,386,0
20110511,20.716,20.716,20.597,20.597,562,0
20110512,20.391,20.637,20.391,20.637,598,0
20110513,20.451,20.451,20.451,20.451,100,0
20110517,19.859,19.919,19.859,19.919,10737,0
20110518,19.998,20.106,19.998,20.106,888,0
20110519,20.371,20.431,20.332,20.332,684,0
20110520,20.087,20.282,20.087,20.214,1121,0
20110523,19.849,19.849,19.77,19.77,779,0
20110524,19.81,19.81,19.81,19.81,313,0
20110525,19.958,19.958,19.72,19.958,303,0
20110526,19.938,20.224,19.938,20.204,1326,0
20110527,20.292,20.332,20.292,20.332,811,0
20110531,20.49,20.49,20.332,20.362,9952,0
20110601,20.342,20.342,19.958,19.958,7666,0
20110602,19.929,20.067,19.929,20.067,450,0
20110603,19.652,19.889,19.642,19.829,8153,0
20110607,19.534,19.534,19.514,19.514,760,0
20110608,19.276,19.276,19.257,19.257,973,0
20110609,19.306,19.395,19.306,19.395,1839,0
20110615,19.12,19.12,19.12,19.12,608,0
20110616,19.1,19.11,18.893,18.893,2602,0
20110617,19.14,19.14,19.021,19.021,1522,0
20110620,19.189,19.218,19.189,19.218,1268,0
20110621,19.672,19.672,19.672,19.672,295,0
20110622,19.652,19.72,19.652,19.72,525,0
20110623,19.514,19.73,19.514,19.73,380,0
20110624,19.633,19.633,19.633,19.633,405,0
20110627,19.652,19.77,19.594,19.76,1978,0
20110628,19.849,20.067,19.849,20.067,806,0
20110629,20.077,20.292,20.077,20.282,2370,0
20110630,20.421,20.48,20.421,20.48,613,0
20110701,20.607,20.796,20.597,20.746,110584,0
20110705,20.865,20.865,20.865,20.865,329,0
20110706,20.954,21.032,20.954,21.032,2627,0
20110707,21.22,21.339,21.22,21.269,188385,0
20110708,20.983,21.131,20.983,21.131,11955,0
20110711,20.983,20.983,20.607,20.607,994,0
20110712,20.637,20.667,20.529,20.529,7200,0
20110713,20.825,20.885,20.637,20.657,3753,0
20110714,20.796,20.835,20.282,20.441,16606,0
20110715,20.431,20.48,20.371,20.48,1439,0
20110718,20.48,20.48,20.126,20.244,19815,0
20110719,20.597,20.756,20.548,20.736,4804,0
20110720,20.548,20.627,20.49,20.578,4075,0
20110721,20.746,20.746,20.667,20.716,2361,0
20110722,20.736,20.885,20.657,20.815,8035,0
20110725,20.756,20.805,20.627,20.627,2184,0
20110726,20.5,20.51,20.5,20.51,666,0
20110727,19.919,19.919,19.919,19.919,116,0
20110728,19.938,19.948,19.849,19.849,1620,0
20110729,19.73,19.73,19.72,19.72,551,0
20110801,19.652,19.652,19.385,19.564,11522,0
20110802,19.544,19.603,19.13,19.13,608,0
20110803,19.041,19.11,18.873,19.11,13204,0
20110804,18.745,18.745,17.976,17.976,30318,0
20110805,18.015,18.025,17.246,17.659,294259,0
20110808,17.109,17.109,16.486,16.565,6772,0
20110809,16.832,16.852,16.298,16.733,26008,0
20110810,16.951,17.168,16.951,17.158,3276,0
20110811,17.089,17.64,16.852,17.64,2271,0
20110812,17.966,17.966,17.62,17.868,3636,0
20110815,18.163,18.163,17.868,18.143,49771,0
20110816,17.976,17.976,17.739,17.739,537,0
20110817,17.818,17.818,17.57,17.65,5443,0
20110818,16.792,16.792,16.713,16.713,6774,0
20110819,16.466,16.703,16.466,16.615,2223,0
20110822,16.427,16.427,16.427,16.427,1135,0
20110823,16.733,17.118,16.733,17.05,4695,0
20110824,17.158,17.168,17.158,17.168,2551,0
20110825,17.05,17.05,16.971,16.971,7012,0
20110826,17.474,17.474,17.474,17.474,1014,0
20110830,18.261,18.291,18.173,18.231,56887,0
20110831,18.488,18.488,18.094,18.251,2616,0
20110901,18.409,18.409,17.956,17.956,82639,0
20110902,17.532,17.532,17.425,17.503,15180,0
20110907,17.709,17.917,17.709,17.858,11415,0
20110908,17.788,18.035,17.689,17.709,13691,0
20110909,17.59,17.699,17.168,17.256,9555,0
20110912,17.198,17.198,17.198,17.198,1014,0
20110913,17.659,17.788,17.415,17.689,10548,0
20110914,17.6,18.291,17.6,18.055,17707,0
20110915,18.143,18.33,17.995,18.271,6660,0
20110916,18.36,18.36,18.231,18.231,1671,0
20110919,17.917,18.231,17.917,18.173,21904,0
20110920,18.379,18.379,18.379,18.379,1318,0
20110921,17.768,17.848,17.6,17.63,10057,0
20110922,16.664,16.674,16.546,16.625,23098,0
20110923,16.822,16.842,16.753,16.842,6506,0
20110926,17.128,17.128,17.128,17.128,186,0
20110928,17.099,17.128,17.079,17.128,2991,0
20110929,17.483,17.483,16.931,16.961,2940,0
20110930,16.683,16.683,16.683,16.683,750,0
20111003,16.486,16.486,15.806,15.806,6209,0
20111004,15.51,16.023,15.51,16.023,1092,0
20111006,17.02,17.02,17.02,17.02,811,0
20111007,17.089,17.198,16.941,17.198,12719,0
20111010,17.512,17.512,17.512,17.512,212,0
20111011,17.57,17.57,17.493,17.541,1330,0
20111012,17.946,17.946,17.868,17.868,1202,0
20111014,18.094,18.094,18.094,18.094,303,0
