Date,Open,High,Low,Close,Volume,OpenInt
20130215,17.647,17.647,17.498,17.551,65322,0
20130219,17.605,17.605,17.576,17.586,21030,0
20130220,17.605,17.638,17.551,17.595,23091,0
20130221,17.576,17.605,17.569,17.586,31571,0
20130222,17.605,17.744,17.595,17.613,90716,0
20130225,17.613,17.771,17.613,17.638,81602,0
20130226,17.761,17.761,17.586,17.656,54342,0
20130227,17.737,17.737,17.63,17.647,179788,0
20130228,17.663,17.663,17.637,17.655,91940,0
20130301,17.62,17.647,17.613,17.647,65174,0
20130304,17.683,17.683,17.647,17.683,45127,0
20130305,17.771,17.848,17.674,17.71,209841,0
20130306,17.741,17.758,17.696,17.758,89747,0
20130307,17.884,17.893,17.665,17.7,82114,0
20130308,17.867,17.91,17.665,17.728,94318,0
20130311,17.728,17.752,17.665,17.665,22453,0
20130312,17.71,17.71,17.665,17.683,72447,0
20130313,17.857,17.857,17.683,17.71,108984,0
20130314,17.823,17.823,17.719,17.737,248597,0
20130315,17.867,17.874,17.71,17.752,43169,0
20130318,17.771,17.778,17.744,17.771,93614,0
20130319,17.972,18.593,17.737,17.778,216034,0
20130320,17.806,17.813,17.752,17.771,107862,0
20130321,17.819,17.836,17.776,17.827,284489,0
20130322,17.951,18.208,17.81,17.836,84137,0
20130325,17.854,17.873,17.802,17.836,58134,0
20130326,17.776,17.863,17.776,17.827,71514,0
20130327,17.819,17.854,17.802,17.844,98928,0
20130328,17.854,17.898,17.854,17.873,164934,0
20130401,18.552,18.552,17.836,17.915,68882,0
20130402,18.085,18.085,17.83,17.918,57246,0
20130403,18.021,18.021,17.863,17.89,35949,0
20130404,17.972,17.972,17.883,17.901,24689,0
20130405,17.892,17.91,17.847,17.892,22776,0
20130408,17.978,17.978,17.854,17.88,57825,0
20130409,17.978,17.978,17.827,17.88,37149,0
20130410,17.981,17.981,17.856,17.883,26637,0
20130411,17.827,17.934,17.758,17.898,164295,0
20130412,18.023,18.023,17.883,17.945,36783,0
20130415,17.995,17.995,17.898,17.925,75342,0
20130416,18.029,18.029,17.925,17.969,94929,0
20130417,18.077,18.077,17.953,17.988,33544,0
20130418,18.013,18.047,17.986,18.005,71610,0
20130419,18.095,18.095,17.981,17.989,77229,0
20130422,17.981,18.657,17.927,17.937,31168,0
20130423,17.953,17.998,17.91,17.972,24745,0
20130424,18.023,18.023,17.972,17.981,63763,0
20130425,18.015,18.059,17.972,17.981,49106,0
20130426,17.962,18.041,17.962,18.041,72197,0
20130429,18.059,18.085,18.015,18.077,70567,0
20130430,18.091,18.109,18.073,18.109,33612,0
20130501,18.166,18.174,18.095,18.113,43784,0
