Date,Open,High,Low,Close,Volume,OpenInt
20130524,20.679,20.721,20.639,20.679,2331929,0
20130528,20.688,20.721,20.679,20.721,408014,0
20130529,20.721,20.754,20.679,20.704,228003,0
20130530,20.713,20.762,20.679,20.679,232507,0
20130531,20.725,20.725,20.683,20.725,185235,0
20130603,20.721,20.762,20.679,20.762,262756,0
20130604,20.721,20.754,20.679,20.728,157285,0
20130605,20.688,20.704,20.679,20.704,141354,0
20130606,20.704,20.704,20.679,20.704,163510,0
20130607,20.704,20.704,20.679,20.688,146250,0
20130610,20.704,20.754,20.679,20.679,119399,0
20130611,20.721,20.721,20.679,20.721,139496,0
20130612,20.713,20.721,20.679,20.688,192199,0
20130613,20.679,20.695,20.679,20.695,122360,0
20130614,20.679,20.762,20.679,20.737,125479,0
20130617,20.695,20.721,20.639,20.721,153298,0
20130618,20.679,20.713,20.679,20.679,150201,0
20130619,20.695,20.721,20.679,20.721,131108,0
20130620,20.679,20.704,20.639,20.639,271018,0
20130621,20.639,20.663,20.523,20.589,303795,0
20130624,20.547,20.555,20.266,20.274,588351,0
20130625,20.266,20.316,20.225,20.225,263347,0
20130626,20.225,20.431,20.225,20.391,192081,0
20130627,20.266,20.29,19.854,20.051,1272883,0
20130628,20.78,21.006,20.318,20.99,683799,0
20130701,20.472,20.679,20.282,20.515,187545,0
20130702,20.515,20.672,20.25,20.498,130974,0
20130703,20.49,20.49,20.391,20.472,68520,0
20130705,20.547,20.547,20.166,20.216,81811,0
20130708,20.018,20.051,19.572,19.653,192258,0
20130709,19.48,19.48,19.117,19.439,226328,0
20130710,19.48,19.538,19.314,19.538,144178,0
20130711,19.439,19.892,19.439,19.854,110053,0
20130712,20.102,20.102,19.447,19.926,129025,0
20130715,19.926,19.986,19.356,19.364,115586,0
20130716,19.322,19.381,18.768,18.959,302858,0
20130717,19.017,19.373,18.86,18.908,202619,0
20130718,18.86,19.091,18.651,18.76,182447,0
20130719,18.926,19.587,18.695,19.066,140924,0
20130722,19.348,19.504,19.041,19.48,160856,0
20130723,19.628,19.645,19.14,19.14,155972,0
20130724,19.099,19.489,18.975,19.198,198590,0
20130725,19.125,19.25,18.86,19.24,189062,0
20130726,19.299,19.34,18.985,19.174,121423,0
20130729,19.108,19.48,18.926,19.108,152952,0
20130730,18.943,19.257,18.72,18.819,247079,0
20130731,18.943,19.009,18.082,18.479,530252,0
20130801,18.348,18.531,17.93,18.29,268852,0
20130802,18.388,18.491,18.014,18.449,165374,0
20130805,18.331,18.905,18.114,18.131,135827,0
20130806,18.114,18.322,17.908,18.231,206653,0
20130807,18.317,18.456,17.982,18.131,149227,0
20130808,18.239,18.317,18.006,18.058,120351,0
20130809,18.114,18.231,17.948,18.072,160065,0
20130812,18.299,18.464,18.082,18.114,160322,0
20130813,18.114,18.197,17.658,17.723,352209,0
20130814,17.733,18.032,17.54,17.99,196856,0
20130815,17.925,17.925,17.49,17.608,345862,0
20130816,17.59,17.765,17.348,17.599,277422,0
20130819,17.54,17.54,16.825,17.007,444220,0
20130820,16.95,17.548,16.95,17.374,324886,0
20130821,17.124,17.65,17.075,17.507,323728,0
20130822,17.548,17.715,17.282,17.498,269977,0
20130823,17.399,17.623,17.257,17.439,161669,0
20130826,17.448,17.563,17.065,17.374,346206,0
20130827,17.365,17.74,17.298,17.666,231141,0
20130828,17.43,17.784,17.43,17.733,238221,0
20130829,17.784,17.898,17.548,17.848,231388,0
20130830,17.924,18.108,17.896,18.083,119487,0
20130903,17.801,17.97,17.379,17.532,245484,0
20130904,17.464,17.735,17.219,17.446,319300,0
20130905,17.615,17.615,17.338,17.379,159128,0
20130906,17.833,17.833,17.372,17.456,197013,0
20130909,17.465,17.572,17.23,17.348,279345,0
20130910,17.405,17.651,17.302,17.464,207085,0
20130911,17.407,17.85,17.407,17.767,226441,0
20130912,17.808,17.86,17.632,17.707,178284,0
20130913,17.869,17.996,17.692,17.861,282358,0
20130916,17.876,18.171,17.867,17.901,311206,0
20130917,17.876,18.001,17.548,17.698,345414,0
20130918,17.767,17.934,17.28,17.793,469995,0
20130919,17.8,17.893,17.304,17.498,341279,0
20130920,17.446,17.615,17.294,17.363,226283,0
20130923,17.34,17.43,17.23,17.355,321281,0
20130924,17.354,17.615,17.32,17.388,457842,0
20130925,17.437,17.489,17.253,17.413,378420,0
20130926,17.421,17.572,17.328,17.497,224508,0
20130927,17.516,17.668,17.379,17.54,304827,0
20130930,17.802,18.203,17.633,18.179,1203562,0
20131001,17.826,18.24,17.682,18.166,205692,0
20131002,18.039,18.139,17.979,18.098,174067,0
20131003,18.123,18.207,17.913,17.922,121342,0
20131004,17.877,18.123,17.861,18.08,162568,0
20131007,17.953,17.987,17.532,17.547,323062,0
20131008,17.497,17.624,17.363,17.363,293377,0
20131009,17.278,17.48,17.253,17.347,193906,0
20131010,17.437,17.809,17.363,17.708,327946,0
20131011,17.642,17.886,17.624,17.818,233315,0
20131014,17.682,18.293,17.608,18.157,316313,0
20131015,18.367,18.367,18.013,18.19,330655,0
20131016,18.088,18.088,17.674,17.75,348739,0
20131017,17.743,18.113,17.608,17.852,340848,0
20131018,17.869,17.929,17.682,17.692,228936,0
20131021,17.717,17.794,17.516,17.615,270245,0
20131022,17.682,17.913,17.674,17.835,605299,0
20131023,17.787,18.013,17.768,17.778,279416,0
20131024,17.852,17.945,17.54,17.794,418937,0
20131025,17.843,17.913,17.717,17.759,310979,0
20131028,17.75,17.869,17.668,17.726,252685,0
20131029,17.743,17.826,17.659,17.794,290570,0
20131030,17.787,17.895,17.674,17.743,290478,0
20131031,18.017,18.077,17.93,18.017,260272,0
20131101,17.746,17.857,17.618,17.763,284634,0
20131104,17.737,17.975,17.534,17.919,248216,0
20131105,17.782,17.909,17.754,17.857,240320,0
20131106,17.891,18.018,17.874,18.009,392241,0
20131107,17.891,18.018,17.73,17.746,371837,0
20131108,17.703,17.791,17.363,17.406,497866,0
20131111,17.498,17.584,17.397,17.43,283628,0
20131112,17.439,17.491,17.211,17.235,424629,0
20131113,17.228,17.38,17.192,17.278,433354,0
20131114,17.32,17.55,17.32,17.466,365220,0
20131115,17.654,17.654,17.456,17.542,295785,0
20131118,17.517,17.661,17.517,17.661,405535,0
20131119,17.566,17.627,17.43,17.475,624581,0
20131120,17.339,17.498,17.339,17.389,540039,0
20131121,17.329,17.363,17.218,17.278,591389,0
20131122,17.278,17.347,17.1,17.228,811723,0
20131125,17.202,17.38,17.175,17.339,824061,0
20131126,17.389,17.558,17.347,17.525,391999,0
20131127,17.517,17.635,17.447,17.558,349586,0
20131129,17.682,17.751,17.538,17.608,166363,0
20131202,17.614,17.614,17.485,17.513,337934,0
20131203,17.46,17.58,17.451,17.495,377640,0
20131204,17.451,17.529,17.383,17.47,450043,0
20131205,17.408,17.47,17.408,17.417,526473,0
20131206,17.426,17.622,17.426,17.562,456106,0
20131209,17.562,17.658,17.479,17.513,399361,0
20131210,17.513,17.562,17.495,17.513,446726,0
20131211,17.521,17.598,17.441,17.479,660240,0
20131212,17.495,17.545,17.479,17.521,375043,0
20131213,17.521,17.658,17.485,17.539,321927,0
20131216,17.608,17.744,17.58,17.58,436168,0
20131217,17.651,17.735,17.58,17.658,522151,0
20131218,17.631,17.744,17.58,17.735,704486,0
20131219,17.641,17.836,17.622,17.788,517897,0
20131220,17.735,17.949,17.735,17.751,549849,0
20131223,17.769,17.966,17.769,17.811,820171,0
20131224,17.811,18.054,17.811,17.949,326929,0
20131226,17.949,18.137,17.855,18.045,713473,0
20131227,18.19,18.501,18.146,18.467,496679,0
20131230,18.379,18.467,18.034,18.084,779538,0
20131231,18.06,18.451,18.007,18.424,722677,0
20140102,18.313,18.458,18.276,18.458,153693,0
20140103,18.397,18.458,18.294,18.327,109599,0
20140106,18.321,18.416,18.294,18.379,191902,0
20140107,18.363,18.476,18.313,18.387,177235,0
20140108,18.406,18.517,18.321,18.467,217274,0
20140109,18.425,18.657,18.425,18.58,216532,0
20140110,18.615,18.71,18.572,18.647,175139,0
20140113,18.631,18.702,18.546,18.64,191961,0
20140114,18.676,18.676,18.355,18.406,288031,0
20140115,18.485,18.508,18.363,18.45,240858,0
20140116,18.387,18.588,18.387,18.536,207177,0
20140117,18.494,18.631,18.494,18.58,183229,0
20140121,18.536,18.71,18.517,18.527,314322,0
20140122,18.501,18.667,18.501,18.631,273154,0
20140123,18.624,18.71,18.606,18.657,315866,0
20140124,18.64,18.657,18.555,18.606,227167,0
20140127,18.64,18.676,18.321,18.327,250025,0
20140128,18.397,18.485,18.276,18.294,350373,0
20140129,18.25,18.285,18.224,18.257,323955,0
20140130,18.294,18.327,18.241,18.294,281859,0
20140131,18.25,18.363,18.233,18.267,268124,0
20140203,18.34,18.348,18.208,18.243,295207,0
20140204,18.321,18.358,18.208,18.235,322979,0
20140205,18.252,18.428,18.243,18.391,235850,0
20140206,18.461,18.644,18.461,18.628,376224,0
20140207,18.742,18.803,18.689,18.733,261853,0
20140210,18.803,18.899,18.751,18.899,468714,0
