Date,Open,High,Low,Close,Volume,OpenInt
20070511,29.145,29.155,29.145,29.155,1128,0
20070523,29.624,29.624,29.624,29.624,1335,0
20070524,29.575,29.575,29.331,29.331,2259,0
20070605,29.838,29.838,29.838,29.838,203,0
20070606,29.526,29.565,29.526,29.565,1335,0
20070607,29.282,29.282,29.04,29.04,1128,0
20070608,29.203,29.282,29.203,29.242,4926,0
20070611,29.282,29.282,29.282,29.282,100,0
20070612,29.02,29.02,29.02,29.02,100,0
20070618,29.887,29.887,29.77,29.81,6980,0
20070619,29.662,29.682,29.662,29.682,1335,0
20070620,29.702,29.702,29.398,29.398,516,0
20070621,29.565,29.565,29.555,29.555,1335,0
20070622,29.35,29.359,29.35,29.359,2052,0
20070625,29.447,29.447,29.447,29.447,1024,0
20070626,29.04,29.04,28.981,28.981,1541,0
20070629,29.427,29.427,29.252,29.252,617,0
20070702,29.467,29.467,29.437,29.437,203,0
20070703,29.585,29.585,29.585,29.585,516,0
20070705,29.8,29.8,29.8,29.8,100,0
20070706,29.917,30.11,29.917,30.033,18986,0
20070709,30.003,30.003,30.003,30.003,4209,0
20070710,29.751,29.751,29.614,29.614,305,0
20070711,29.624,29.741,29.624,29.682,2463,0
20070712,30.061,30.256,30.061,30.256,2259,0
20070713,30.304,30.304,30.304,30.304,3284,0
20070716,30.353,30.412,30.314,30.314,6362,0
20070717,30.402,30.402,30.246,30.246,617,0
20070718,30.208,30.208,30.159,30.159,1745,0
20070719,30.481,30.481,30.461,30.461,3593,0
20070720,30.246,30.246,29.993,30.081,7285,0
20070724,29.858,29.858,29.526,29.526,1745,0
20070725,29.565,29.594,29.437,29.594,1128,0
20070726,29.233,29.272,28.777,28.883,10160,0
20070727,28.777,29.02,28.55,28.55,14881,0
20070730,28.55,28.796,28.55,28.796,410,0
20070731,28.922,28.922,28.922,28.922,305,0
20070801,28.532,28.57,28.133,28.278,30990,0
20070802,28.796,28.796,28.796,28.796,516,0
20070803,28.668,28.668,28.268,28.268,1437,0
20070806,27.831,28.006,27.831,28.006,10468,0
20070807,28.522,28.619,28.414,28.59,16830,0
20070808,28.844,28.844,28.844,28.844,100,0
