Date,Open,High,Low,Close,Volume,OpenInt
20120416,28.873,28.873,28.873,28.873,107,0
20120423,27.905,27.905,27.905,27.905,103,0
20120502,29.02,29.02,29.02,29.02,154,0
20120503,29.069,29.069,29.069,29.069,154,0
20120509,28.179,28.179,28.179,28.179,103,0
20120517,27.328,27.358,27.279,27.279,529,0
20120524,26.664,26.664,26.664,26.664,303,0
20120525,26.439,26.439,26.439,26.439,204,0
20120718,26.214,26.214,26.214,26.214,111,0
20120723,25.813,25.813,25.813,25.813,103,0
20120725,25.676,25.676,25.676,25.676,126,0
20120803,27.006,27.006,27.006,27.006,2556,0
20120808,27.436,27.436,27.436,27.436,221,0
20120809,27.836,27.836,27.836,27.836,2556,0
20120921,28.737,28.737,28.737,28.737,4091,0
20120927,28.051,28.051,27.993,28.042,2141,0
20121004,28.051,28.051,28.051,28.051,904,0
20121008,27.836,27.836,27.836,27.836,204,0
20121107,26.693,26.693,26.693,26.693,1761,0
20121109,27.367,27.367,27.279,27.279,283,0
20121114,26.712,26.712,26.712,26.712,2966,0
20121211,28.737,28.737,28.737,28.737,181,0
20130124,28.355,28.355,28.355,28.355,172,0
20130131,28.336,28.385,28.336,28.385,399,0
20130212,28.794,28.794,28.794,28.794,281,0
20130215,28.844,28.844,28.844,28.844,1718,0
20130306,29.45,29.45,29.45,29.45,1504,0
20130315,29.254,29.313,29.254,29.254,615,0
20130405,29.46,29.46,29.46,29.46,186,0
20130410,29.176,29.176,29.176,29.176,186,0
20130426,29.871,29.9,29.871,29.9,3871,0
20130503,30.966,30.966,30.966,30.966,103,0
20130507,30.819,30.819,30.819,30.819,133,0
20130508,31.24,31.24,31.24,31.24,103,0
20130520,31.044,31.044,31.044,31.044,3784,0
20130607,30.349,30.398,30.349,30.369,1022,0
20130710,29.353,29.353,29.353,29.353,135,0
20130718,29.743,29.743,29.743,29.743,204,0
20130731,29.195,29.195,29.195,29.195,105,0
20130822,28.247,28.296,28.247,28.296,409,0
20130910,31.057,31.067,30.858,30.897,98593,0
20130911,30.721,30.79,30.545,30.624,11558,0
20130912,30.614,30.653,30.359,30.389,30989,0
20130913,30.529,30.589,30.42,30.44,46024,0
20130916,30.545,30.907,30.545,30.77,3040,0
20130917,30.659,30.659,30.41,30.41,23626,0
20130918,30.579,30.579,30.49,30.49,204,0
20130919,31.534,31.534,31.534,31.534,123,0
20130924,31.236,31.236,31.076,31.076,201,0
20131002,30.858,30.858,30.858,30.858,108,0
