Date,Open,High,Low,Close,Volume,OpenInt
20070504,42.259,42.318,42.014,42.03,4844,0
20070507,42.106,42.106,42.072,42.072,3899,0
20070508,41.955,41.955,41.793,41.811,5909,0
20070509,42.309,42.309,42.158,42.158,4727,0
20070510,42.106,42.182,41.709,41.709,11814,0
20070511,41.938,42.242,41.938,42.242,2481,0
20070514,42.334,42.343,42.056,42.056,7088,0
20070515,42.216,42.216,41.353,41.353,7445,0
20070516,40.845,40.845,40.845,40.845,1062,0
20070517,40.405,40.414,40.203,40.296,7445,0
20070518,39.881,39.881,39.508,39.763,4963,0
20070521,39.754,40.168,39.754,39.983,8506,0
20070522,40.227,40.624,40.227,40.482,5909,0
20070523,40.769,40.769,40.101,40.101,20085,0
20070524,39.584,39.584,39.363,39.363,4963,0
20070525,40.101,40.101,39.517,39.517,24221,0
20070529,40.744,40.744,40.744,40.744,592,0
20070530,42.199,42.199,42.199,42.199,236,0
20070605,41.862,41.862,41.862,41.862,236,0
20070606,41.294,41.294,41.294,41.294,118,0
20070611,39.771,39.771,39.771,39.771,118,0
20070613,39.965,39.965,39.965,39.965,118,0
20070614,39.508,39.508,39.508,39.508,118,0
20070615,40.093,40.093,40.093,40.093,118,0
20070621,38.086,38.434,38.086,38.434,476,0
20070622,38.136,38.332,38.136,38.332,592,0
20070625,37.943,37.943,37.528,37.553,16068,0
20070626,37.629,37.629,37.629,37.629,118,0
20070627,38.426,38.426,38.289,38.289,476,0
20070628,38.466,38.466,38.466,38.466,118,0
20070629,38.095,38.095,37.68,37.748,708,0
20070702,38.602,38.695,38.602,38.695,236,0
20070703,38.822,38.822,38.647,38.661,1656,0
20070705,39.592,39.592,39.416,39.416,825,0
20070706,39.111,39.339,39.111,39.339,236,0
20070709,39.205,39.205,39.205,39.205,236,0
20070710,38.374,38.434,38.374,38.417,1892,0
20070711,37.908,37.925,37.908,37.925,708,0
20070712,38.214,38.214,38.214,38.214,118,0
20070713,38.594,39.059,38.594,39.059,2360,0
