Date,Open,High,Low,Close,Volume,OpenInt
20050225,17.199,17.324,17.101,17.281,1028588,0
20050228,17.434,17.434,17.281,17.317,1003550,0
20050301,17.37,17.37,17.208,17.235,1005888,0
20050302,17.048,17.064,16.867,16.912,802574,0
20050303,17.038,17.048,16.984,17.02,551185,0
20050304,17.02,17.02,16.804,16.903,779538,0
20050307,16.921,17.01,16.894,16.974,708425,0
20050308,17.101,17.111,17.055,17.073,741479,0
20050309,17.12,17.135,17.001,17.001,1110717,0
20050310,17.001,17.001,16.849,16.903,871681,0
20050311,17.01,17.02,16.93,16.974,550518,0
20050314,17.001,17.02,16.948,16.974,480408,0
20050315,16.921,16.921,16.669,16.687,671705,0
20050316,16.777,16.812,16.687,16.687,1440558,0
20050317,16.804,16.992,16.795,16.984,927433,0
20050318,16.957,16.966,16.912,16.921,544176,0
20050321,17.048,17.048,16.894,16.921,401953,0
20050322,16.867,16.867,16.535,16.535,645330,0
20050323,16.517,16.517,16.337,16.382,987527,0
20050324,16.472,16.517,16.426,16.445,603597,0
20050328,16.508,16.508,16.399,16.426,429663,0
20050329,16.328,16.355,16.175,16.175,700081,0
20050330,16.22,16.337,16.21,16.328,529818,0
20050331,16.355,16.39,16.328,16.355,479074,0
20050401,16.525,16.552,16.39,16.418,534157,0
20050404,16.472,16.498,16.39,16.49,565207,0
20050405,16.562,16.562,16.436,16.453,317490,0
20050406,16.535,16.597,16.517,16.552,325502,0
20050407,16.587,16.659,16.571,16.634,319160,0
20050408,16.777,16.777,16.651,16.669,679383,0
20050411,16.687,16.715,16.597,16.651,357884,0
20050412,16.579,16.659,16.472,16.643,754165,0
20050413,16.741,16.741,16.571,16.606,442016,0
20050414,16.651,16.651,16.426,16.436,743147,0
20050415,16.382,16.382,15.942,15.96,889040,0
20050418,15.725,15.924,15.709,15.924,874017,0
20050419,16.023,16.112,15.995,16.112,415309,0
20050420,16.103,16.112,15.797,15.797,487420,0
20050421,15.942,16.337,15.942,16.319,545175,0
20050422,16.399,16.399,16.175,16.264,289447,0
20050425,16.328,16.472,16.328,16.418,325837,0
20050426,16.436,16.597,16.436,16.49,476736,0
20050427,16.436,16.436,16.264,16.283,1373787,0
20050428,16.355,16.355,16.192,16.229,653343,0
20050429,16.355,16.571,16.301,16.571,945461,0
20050502,16.49,16.597,16.445,16.597,578560,0
20050503,16.508,16.508,16.399,16.418,280100,0
20050504,16.472,16.659,16.426,16.643,526480,0
20050505,16.741,16.741,16.579,16.669,380587,0
20050506,16.741,16.741,16.687,16.715,182616,0
20050509,16.768,16.785,16.733,16.777,491760,0
20050510,16.741,16.741,16.544,16.571,266412,0
20050511,16.552,16.643,16.552,16.624,368903,0
20050512,16.624,16.624,16.283,16.292,1059636,0
20050513,16.311,16.355,16.283,16.311,538499,0
20050516,16.311,16.399,16.301,16.399,353882,0
20050517,16.149,16.166,16.048,16.158,330511,0
20050518,16.139,16.256,16.095,16.229,417980,0
20050519,16.264,16.346,16.248,16.328,310814,0
20050520,16.311,16.337,16.273,16.328,333181,0
20050523,16.319,16.319,16.21,16.292,394943,0
20050524,16.273,16.292,16.21,16.238,304471,0
20050525,16.086,16.112,16.023,16.103,174937,0
20050526,16.095,16.166,16.058,16.139,417313,0
20050527,16.248,16.319,16.248,16.301,406628,0
20050531,16.328,16.382,16.328,16.363,481412,0
20050601,16.328,16.399,16.283,16.328,617288,0
20050602,16.337,16.346,16.192,16.22,477738,0
20050603,16.238,16.248,16.139,16.166,240372,0
20050606,16.238,16.382,16.238,16.382,739142,0
20050607,16.453,16.517,16.418,16.418,408631,0
20050608,16.615,16.634,16.552,16.571,682719,0
20050609,16.597,16.606,16.508,16.552,246714,0
