Date,Open,High,Low,Close,Volume,OpenInt
20071210,18.513,18.513,18.374,18.374,7516,0
20071211,18.448,18.448,18.397,18.397,818,0
20071212,18.315,18.315,18.315,18.315,13666,0
20071214,18.009,18.009,17.934,17.934,273,0
20071218,17.393,17.518,17.379,17.518,5875,0
20071219,17.423,17.423,17.19,17.19,11206,0
20071220,17.627,17.635,17.627,17.635,409,0
20071221,17.84,17.913,17.84,17.913,8474,0
20071224,18.732,18.732,17.971,18.168,18039,0
20071227,18.11,18.125,18.081,18.081,5466,0
20071228,18.155,18.952,18.155,18.184,5875,0
20071231,18.732,18.732,18.176,18.315,8199,0
20080102,18.732,18.797,18.732,18.791,1912,0
20080103,18.791,18.88,18.791,18.842,4510,0
20080104,18.916,18.916,16.896,16.902,21594,0
20080107,16.39,16.985,16.39,16.977,6970,0
20080109,16.99,17.049,16.479,17.049,6013,0
20080110,17.006,17.108,17.006,17.108,2461,0
20080111,17.035,17.167,17.035,17.1,3143,0
20080114,17.145,17.182,17.145,17.182,1912,0
20080115,17.013,17.013,16.837,16.837,5058,0
20080116,16.691,16.691,16.691,16.691,6289,0
20080117,16.61,16.61,16.186,16.186,2049,0
20080118,16.281,16.325,16.069,16.069,2188,0
20080122,13.83,15.879,13.83,15.879,2188,0
20080123,15.659,16.135,15.653,16.135,3553,0
20080124,16.178,16.178,16.178,16.178,137,0
20080125,16.397,16.397,16.397,16.397,1368,0
20080128,16.508,16.508,16.508,16.508,685,0
20080129,16.581,16.581,16.581,16.581,685,0
20080130,16.523,16.523,16.516,16.516,818,0
20080131,16.464,16.552,16.42,16.552,3284,0
20080201,16.727,16.786,16.727,16.778,959,0
20080204,16.866,16.866,16.866,16.866,2323,0
20080205,16.706,16.706,16.706,16.706,1368,0
20080206,16.603,16.603,16.405,16.405,1095,0
20080207,16.405,16.405,16.405,16.405,2049,0
20080211,16.435,16.435,16.42,16.42,409,0
20080213,16.42,16.42,16.42,16.42,137,0
20080214,16.295,16.295,15.981,15.981,1229,0
20080219,16.178,16.229,16.178,16.201,1368,0
20080220,16.852,16.852,16.077,16.171,3417,0
20080221,16.12,16.127,15.981,15.981,23507,0
20080225,16.04,16.178,16.04,16.178,1503,0
20080226,16.397,16.508,16.397,16.508,3417,0
