Date,Open,High,Low,Close,Volume,OpenInt
20070131,42.766,42.995,42.766,42.885,7203,0
20070201,43.461,43.622,43.461,43.622,12519,0
20070202,43.715,43.902,43.715,43.902,2718,0
20070205,43.783,43.969,43.723,43.731,4606,0
20070206,44.325,44.476,44.325,44.476,4489,0
20070207,44.764,44.764,44.63,44.63,12283,0
20070208,44.341,44.511,44.197,44.511,1770,0
20070209,44.46,44.671,44.281,44.409,2244,0
20070212,44.393,44.393,44.29,44.29,1770,0
20070213,44.476,44.544,44.443,44.544,18071,0
20070214,44.68,44.891,44.68,44.841,2009,0
20070215,44.967,44.976,44.689,44.714,28937,0
20070216,44.722,44.722,44.612,44.697,2009,0
20070220,44.722,44.874,44.68,44.874,2125,0
20070221,44.562,44.595,44.476,44.595,22205,0
20070222,44.434,44.553,44.434,44.443,4489,0
20070223,44.562,44.68,44.562,44.68,5670,0
20070226,45.306,45.569,45.306,45.358,4370,0
20070227,45.205,45.205,43.723,43.783,9447,0
20070228,44.054,44.137,43.866,43.925,17242,0
20070301,43.418,43.664,43.283,43.587,4489,0
20070302,43.376,43.579,43.206,43.206,4016,0
20070305,42.741,42.986,42.665,42.733,3780,0
20070306,42.733,43.292,42.733,43.292,1534,0
20070307,43.292,43.706,43.292,43.519,2009,0
20070308,43.843,43.961,43.843,43.961,1534,0
20070312,43.799,44.137,43.799,44.137,2718,0
20070313,43.969,44.036,43.334,43.334,2009,0
20070314,43.393,43.393,43.393,43.393,118,0
20070315,43.545,43.689,43.545,43.689,237,0
20070316,44.095,44.095,44.095,44.095,118,0
20070319,44.4,44.4,44.375,44.375,1182,0
20070320,44.375,44.714,44.375,44.714,2480,0
20070321,44.782,45.619,44.739,45.619,2718,0
20070322,45.619,45.619,45.441,45.501,11338,0
20070323,45.578,45.637,45.578,45.603,3072,0
20070326,45.569,45.731,45.493,45.731,7086,0
20070327,45.569,45.662,45.569,45.662,2597,0
20070328,45.713,45.713,45.468,45.468,2597,0
20070329,45.772,45.772,45.569,45.569,1302,0
20070330,45.654,45.739,45.611,45.611,1534,0
20070402,45.654,46.043,45.654,45.983,1653,0
20070403,46.687,46.687,46.585,46.61,2480,0
20070404,46.61,46.644,46.458,46.458,4843,0
20070405,46.416,46.661,46.416,46.568,7557,0
20070409,46.644,46.738,46.644,46.72,4134,0
20070410,46.72,46.95,46.72,46.89,944,0
20070411,46.958,46.958,46.754,46.754,4606,0
20070412,46.712,46.882,46.712,46.882,5316,0
20070413,46.856,47.009,46.856,47.009,1063,0
20070416,47.009,47.305,47.009,47.305,827,0
20070417,47.474,47.474,47.228,47.254,31417,0
20070418,47.254,47.313,47.254,47.305,2244,0
20070419,46.797,47.136,46.797,47.136,6025,0
20070420,47.254,47.44,47.254,47.398,2480,0
20070423,47.398,47.863,47.22,47.347,7914,0
20070424,47.389,47.516,47.338,47.516,1890,0
20070425,47.821,47.957,47.821,47.957,709,0
20070426,47.855,47.855,47.642,47.642,5550,0
20070427,47.482,47.482,47.296,47.431,827,0
20070430,47.678,47.678,47.431,47.431,590,0
20070501,47.406,47.406,47.169,47.398,6734,0
20070502,47.592,47.812,47.592,47.812,590,0
20070503,47.762,47.846,47.71,47.821,10392,0
20070504,47.966,47.966,47.846,47.906,6261,0
20070507,48.134,48.228,48.134,48.228,5079,0
20070508,48.057,48.057,47.863,47.99,3072,0
20070509,47.99,48.109,47.939,48.084,21966,0
20070510,47.719,47.855,47.127,47.127,13110,0
20070511,47.423,47.796,47.423,47.769,6851,0
20070514,48.057,48.066,47.889,47.922,123658,0
20070515,48.185,48.363,48.041,48.041,4016,0
