Date,Open,High,Low,Close,Volume,OpenInt
20070323,50.571,50.633,50.562,50.633,4781,0
20070326,50.957,51.362,50.615,51.362,4893,0
20070327,50.661,50.67,50.48,50.48,6894,0
20070328,50.382,50.382,49.778,49.778,19128,0
20070329,50.48,50.535,50.301,50.301,8564,0
20070330,50.904,51.074,50.589,50.589,17016,0
20070402,50.615,50.642,50.471,50.642,6784,0
20070403,51.326,51.533,51.281,51.281,14347,0
20070404,51.497,51.649,51.497,51.649,224,0
20070405,51.802,51.857,51.722,51.821,7451,0
20070409,52.216,52.442,52.1,52.1,1778,0
20070410,52.324,52.513,52.298,52.414,3891,0
20070411,52.647,52.647,51.965,52.018,2223,0
20070412,51.928,52.773,51.829,52.773,9008,0
20070413,52.864,52.917,52.666,52.881,10898,0
20070416,53.646,53.762,53.493,53.646,17904,0
20070417,53.394,53.493,53.079,53.214,10787,0
20070418,53.088,53.268,53.088,53.259,556,0
20070419,52.549,52.683,52.198,52.683,12677,0
20070420,53.53,53.637,53.348,53.412,8897,0
20070423,53.574,53.574,53.412,53.412,1557,0
20070424,53.511,53.511,53.195,53.304,1001,0
20070425,53.969,54.203,53.789,54.184,90081,0
20070426,53.969,54.059,53.736,53.781,10565,0
20070427,53.394,53.511,53.33,53.502,20017,0
20070430,53.304,53.304,52.629,52.629,13678,0
20070501,52.513,52.828,52.459,52.782,19350,0
20070502,53.133,53.53,52.567,53.53,16460,0
20070503,53.834,54.221,53.834,54.113,8564,0
20070504,54.446,54.625,54.302,54.329,20242,0
20070507,54.554,54.717,54.554,54.644,7451,0
20070508,54.599,54.599,53.978,54.105,7339,0
20070509,54.275,54.778,54.275,54.778,51714,0
20070510,54.319,54.535,53.718,53.718,13457,0
20070511,53.718,54.76,53.718,54.76,17237,0
20070514,54.717,54.769,54.059,54.159,19573,0
20070515,54.231,54.572,54.123,54.221,15125,0
20070516,54.545,55.12,54.527,55.12,15125,0
20070517,54.491,55.021,54.446,54.877,16570,0
20070518,55.427,55.427,54.904,55.183,5116,0
20070521,55.382,55.543,55.382,55.543,3003,0
20070522,55.67,55.821,55.526,55.67,9453,0
20070523,55.867,55.939,55.427,55.427,22132,0
20070524,55.067,55.246,54.068,54.113,52827,0
20070525,54.698,55.004,54.698,55.004,5226,0
20070529,55.129,55.228,54.644,54.824,4116,0
20070530,54.016,55.201,54.016,55.201,18460,0
20070531,55.705,55.723,55.382,55.444,8008,0
20070601,56.128,56.289,56.128,56.272,5782,0
20070604,56.18,56.415,56.163,56.371,27136,0
20070605,56.146,56.146,55.813,56.028,2893,0
20070606,55.543,55.543,55.004,55.139,12456,0
20070607,55.219,55.292,54.176,54.438,37811,0
20070608,54.499,55.479,54.499,55.479,15792,0
20070611,55.273,55.948,55.273,55.876,4448,0
20070612,55.382,55.605,54.769,54.769,11344,0
20070613,55.264,55.867,55.264,55.867,8453,0
20070614,56.424,56.631,56.38,56.631,4559,0
20070615,57.368,57.736,57.368,57.657,12900,0
20070618,57.809,58.195,57.693,57.917,3225,0
20070619,57.917,57.961,57.917,57.926,779,0
20070620,58.384,58.384,57.693,57.693,4226,0
20070621,58.033,58.519,57.818,58.296,8897,0
20070622,58.421,58.421,57.62,57.872,8228,0
20070625,57.872,58.195,57.306,57.53,10787,0
20070626,57.485,57.638,56.992,56.992,14902,0
20070627,56.541,58.195,56.541,58.195,14568,0
