Date,Open,High,Low,Close,Volume,OpenInt
20070323,49.26,49.285,49.26,49.285,4601,0
20070326,49.816,49.816,49.452,49.572,3796,0
20070327,49.425,49.66,49.347,49.66,4830,0
20070328,49.59,49.599,49.408,49.408,17827,0
20070329,50.199,50.269,50.138,50.269,3680,0
20070330,50.311,50.4,50.269,50.286,14263,0
20070402,50.086,50.094,50.051,50.051,11848,0
20070403,50.008,50.094,50.008,50.094,460,0
20070404,50.224,50.442,50.224,50.442,1265,0
20070405,50.773,50.851,50.729,50.824,17944,0
20070409,50.642,50.816,50.582,50.816,21969,0
20070410,51.312,51.65,51.295,51.65,9316,0
20070411,51.815,51.876,51.459,51.625,13457,0
20070412,51.112,51.711,51.076,51.711,16334,0
20070413,52.034,52.12,51.92,52.085,11502,0
20070416,52.364,52.503,52.364,52.503,49229,0
20070417,51.946,52.094,51.842,52.025,51646,0
20070418,51.39,51.59,51.242,51.416,55441,0
20070419,50.433,51.034,50.415,50.981,25881,0
20070420,52.138,52.416,51.92,52.068,17484,0
20070423,51.859,52.18,51.859,52.138,15528,0
20070424,52.051,52.156,51.929,52.156,8281,0
20070425,52.511,52.859,52.503,52.859,8168,0
20070426,53.033,53.033,52.207,52.294,17597,0
20070427,51.573,51.859,51.485,51.773,9891,0
20070430,51.608,51.608,50.86,50.946,33472,0
20070501,51.085,51.085,50.486,50.834,29562,0
20070502,50.86,51.181,50.86,51.138,24385,0
20070503,51.355,51.441,51.312,51.416,18288,0
20070504,51.555,51.746,51.555,51.703,23695,0
20070507,51.903,51.911,51.79,51.834,16218,0
20070508,51.121,51.121,50.894,51.068,11273,0
20070509,50.876,51.024,50.842,51.024,10928,0
20070510,50.574,50.59,50.182,50.277,7591,0
20070511,49.294,49.616,49.277,49.616,28641,0
20070514,49.721,49.755,49.511,49.685,8051,0
20070515,49.016,49.452,48.947,49.103,16448,0
20070516,49.616,49.703,49.452,49.616,3911,0
20070517,49.364,49.416,49.243,49.416,16104,0
20070518,49.643,50.043,49.643,49.982,17597,0
20070521,49.99,50.224,49.964,50.051,24568,0
20070522,50.094,50.12,50.008,50.094,9434,0
20070523,49.476,49.625,49.408,49.452,10697,0
20070524,48.86,48.93,48.373,48.426,33012,0
20070525,48.739,48.886,48.739,48.886,19208,0
20070529,47.756,47.911,47.52,47.625,26455,0
20070530,47.146,47.774,47.146,47.774,26340,0
20070531,48.834,49.06,48.8,48.92,26455,0
20070601,49.946,50.173,49.894,50.138,11157,0
20070604,50.069,50.365,50.043,50.269,11041,0
20070605,50.155,50.373,50.069,50.269,8168,0
20070606,49.694,49.747,49.539,49.676,7707,0
20070607,48.991,49.103,48.45,48.45,31977,0
20070608,48.45,49.016,48.381,49.016,35771,0
20070611,48.877,49.252,48.834,49.208,15757,0
20070612,48.86,48.886,48.609,48.609,20933,0
20070613,48.886,49.669,48.869,49.476,19900,0
20070614,49.799,50.391,49.799,50.382,42788,0
20070615,51.208,51.216,51.051,51.208,31977,0
20070618,51.685,51.685,51.564,51.59,2992,0
20070619,51.468,51.807,51.468,51.773,5636,0
20070620,52.007,52.034,51.45,51.45,3796,0
20070621,51.321,51.703,51.068,51.312,4025,0
20070622,51.59,51.59,51.242,51.345,15182,0
20070625,51.25,51.399,50.799,50.799,9775,0
20070626,51.703,51.989,51.512,51.634,20933,0
20070627,51.199,51.903,51.173,51.834,5176,0
20070628,54.138,54.138,52.085,52.138,7016,0
20070629,52.494,52.494,51.885,52.138,3911,0
20070702,52.694,52.903,52.694,52.903,4485,0
20070703,53.694,53.694,53.546,53.546,7936,0
20070705,54.18,54.399,54.18,54.399,14723,0
20070706,54.268,54.529,54.268,54.529,4715,0
20070709,55.075,55.138,54.92,54.98,9434,0
20070710,53.999,54.441,53.903,54.049,26569,0
20070711,54.424,54.875,54.354,54.729,11617,0
20070712,55.772,56.337,55.772,56.337,11502,0
20070713,56.337,56.484,56.337,56.475,2875,0
20070716,56.293,56.406,56.25,56.406,8512,0
20070717,56.137,56.137,55.859,56.137,13457,0
20070718,55.641,55.659,55.276,55.485,4371,0
20070719,56.64,56.711,56.615,56.711,11962,0
20070720,56.337,56.354,56.05,56.093,10811,0
20070723,56.98,57.075,56.875,56.963,7246,0
20070724,56.345,56.503,55.468,55.468,14610,0
20070725,55.989,55.989,55.138,55.528,36348,0
20070726,54.094,54.094,52.789,53.181,40487,0
20070727,52.581,52.659,51.964,52.18,27261,0
20070730,52.833,53.528,52.728,53.441,40142,0
20070731,53.894,54.007,53.095,53.095,15872,0
20070801,52.503,52.789,52.094,52.094,48884,0
20070802,52.946,52.964,52.789,52.876,14610,0
20070803,53.164,53.164,52.268,52.268,25191,0
20070806,52.207,52.694,52.075,52.607,8856,0
20070807,52.503,53.215,52.503,53.215,8740,0
20070808,53.807,54.268,53.789,53.816,17256,0
20070809,52.068,52.529,51.876,51.964,22660,0
20070810,51.051,51.529,50.876,51.355,26340,0
20070813,51.964,51.981,51.485,51.485,18864,0
20070814,51.45,51.45,50.92,50.938,55441,0
20070815,50.094,50.224,49.452,49.452,19554,0
20070816,47.843,48.165,47.19,48.165,22773,0
20070817,48.669,49.103,48.669,49.103,1610,0
20070820,48.886,48.973,48.469,48.973,4371,0
20070821,48.016,48.104,47.851,47.851,2759,0
20070822,49.364,49.511,49.277,49.485,4715,0
20070823,49.964,49.964,49.53,49.773,5865,0
20070824,49.843,50.669,49.843,50.538,4830,0
20070827,50.685,50.729,50.4,50.608,5062,0
20070828,50.365,50.365,49.73,49.834,4601,0
20070829,50.199,50.486,44.531,50.486,9548,0
20070830,50.164,50.415,49.955,50.191,6901,0
20070831,51.668,52.129,51.268,51.685,22545,0
20070904,53.338,53.338,51.145,52.225,25651,0
20070905,51.225,52.138,51.181,51.408,69013,0
20070906,51.399,51.512,51.337,51.416,2645,0
