Date,Open,High,Low,Close,Volume,OpenInt
20070426,28.714,28.758,28.714,28.742,3854,0
20070427,28.714,28.751,28.671,28.751,10318,0
20070430,28.662,28.758,28.662,28.68,5103,0
20070501,28.6,28.6,28.6,28.6,113,0
20070502,28.592,28.758,28.334,28.758,20072,0
20070503,28.714,28.803,28.714,28.767,6463,0
20070504,28.936,29.023,28.936,29.023,1814,0
20070507,29.199,29.244,29.199,29.244,3288,0
20070508,28.803,28.936,28.751,28.936,681,0
20070509,29.095,29.095,28.988,28.988,1928,0
20070510,28.847,28.847,28.433,28.574,5216,0
20070511,28.847,29.015,28.847,28.979,1474,0
20070514,28.936,28.936,28.891,28.891,681,0
20070515,28.847,28.979,28.54,28.54,1814,0
20070516,28.979,28.979,28.979,28.979,3288,0
20070517,28.936,28.936,28.936,28.936,227,0
20070518,28.909,29.023,28.909,29.023,454,0
20070521,29.067,29.067,28.493,29.023,9638,0
20070522,29.111,29.111,29.111,29.111,227,0
20070523,29.332,29.332,29.244,29.244,2948,0
20070524,29.244,29.244,29.119,29.119,2042,0
20070529,29.199,29.199,28.758,28.873,3854,0
20070530,28.688,28.936,28.688,28.936,1474,0
20070531,29.377,29.42,29.377,29.42,2722,0
20070601,29.464,29.464,29.226,29.226,1928,0
20070604,29.552,29.595,29.552,29.595,1246,0
20070605,29.552,29.552,29.199,29.464,2153,0
20070606,29.323,29.323,28.847,28.847,1474,0
20070607,28.829,28.847,28.493,28.493,567,0
20070611,28.882,28.979,28.803,28.891,1701,0
20070612,28.671,28.671,28.6,28.6,227,0
20070614,28.936,29.067,28.936,29.067,227,0
20070618,29.552,29.552,29.552,29.552,227,0
20070620,29.562,29.562,29.297,29.42,1246,0
20070621,29.199,29.377,28.485,29.377,1701,0
20070622,29.181,29.181,29.181,29.181,227,0
20070625,29.111,29.111,29.111,29.111,1246,0
20070626,29.174,29.174,29.156,29.156,454,0
20070628,29.156,29.156,29.156,29.156,113,0
20070629,29.377,29.377,28.847,28.847,1474,0
20070702,29.429,29.685,29.429,29.685,1589,0
20070703,29.816,29.816,29.816,29.816,567,0
20070705,29.861,29.861,29.782,29.816,1021,0
20070706,29.861,30.019,29.861,30.019,2267,0
20070709,30.082,30.125,30.055,30.125,2948,0
20070710,29.993,30.019,29.888,29.888,567,0
20070711,29.923,29.923,29.782,29.782,1134,0
20070712,30.108,30.108,30.108,30.108,227,0
20070713,30.567,30.584,30.496,30.496,2835,0
20070716,30.567,30.61,30.567,30.61,339,0
20070717,30.347,30.417,30.347,30.417,567,0
20070718,30.099,30.099,29.879,29.949,906,0
20070719,30.417,30.417,30.417,30.417,113,0
20070720,30.436,30.436,30.32,30.347,794,0
20070723,30.39,30.39,30.39,30.39,227,0
20070724,29.896,29.905,29.816,29.816,5896,0
20070725,29.658,29.658,29.385,29.42,1474,0
20070726,29.015,29.015,28.847,28.847,2948,0
20070727,28.627,28.627,28.521,28.521,3854,0
20070730,28.521,28.54,28.521,28.54,1360,0
20070731,28.936,28.936,28.662,28.662,2835,0
20070801,28.493,28.583,28.344,28.583,7031,0
20070803,28.485,28.723,28.485,28.54,98764,0
20070806,28.54,28.54,28.381,28.381,2267,0
20070807,28.512,28.512,28.512,28.512,227,0
20070809,28.362,28.583,28.327,28.327,2153,0
20070810,27.665,27.736,27.665,27.736,681,0
20070813,28.141,28.274,28.141,28.141,454,0
20070814,27.886,27.886,27.798,27.798,567,0
20070815,27.26,27.445,27.26,27.41,794,0
20070816,26.739,27.189,26.211,26.739,3173,0
20070820,26.836,26.836,26.607,26.696,88784,0
20070821,27.039,27.18,27.03,27.083,8052,0
20070822,27.708,27.708,27.708,27.708,339,0
20070823,27.974,27.974,27.904,27.904,1021,0
20070824,27.974,28.45,27.974,28.097,12132,0
20070827,28.221,28.23,28.141,28.186,681,0
20070828,27.974,27.974,27.445,27.445,1360,0
20070829,27.841,28.141,27.824,28.141,1246,0
20070831,28.381,28.381,28.381,28.381,227,0
20070904,28.714,28.758,28.653,28.758,2722,0
20070905,28.301,28.301,28.301,28.301,227,0
20070906,28.485,28.618,28.476,28.6,1589,0
20070907,28.141,28.141,28.107,28.123,794,0
20070911,28.414,28.493,28.334,28.493,1701,0
20070913,28.688,28.751,28.671,28.751,1360,0
20070917,28.079,28.079,28.045,28.045,567,0
20070918,28.362,28.688,28.362,28.688,6237,0
20070919,29.332,29.332,29.261,29.261,3742,0
20070921,29.34,29.42,29.34,29.42,5331,0
20070924,28.618,29.358,28.036,29.358,2382,0
20070926,29.642,29.642,29.552,29.552,2153,0
20070927,29.853,29.923,29.801,29.923,2042,0
20070928,29.949,29.993,29.949,29.993,454,0
20071001,29.959,30.046,29.959,30.019,6350,0
20071002,30.549,30.549,30.223,30.268,2608,0
20071003,30.293,30.788,23.996,29.879,4081,0
20071004,30.249,30.347,30.231,30.347,3854,0
20071005,30.601,30.619,30.522,30.558,6916,0
20071008,30.399,30.399,30.311,30.329,794,0
20071009,30.549,30.558,30.46,30.46,1474,0
20071010,30.522,30.673,30.522,30.673,794,0
20071011,31.227,31.227,30.567,30.567,2948,0
20071012,30.699,30.858,30.699,30.813,1134,0
20071015,30.451,30.451,30.451,30.451,227,0
20071016,30.09,30.249,29.791,29.932,1928,0
20071017,30.522,30.522,30.24,30.24,227,0
20071018,30.223,30.61,30.223,30.61,794,0
20071019,30.197,30.284,28.564,29.464,14400,0
20071022,29.42,29.623,29.42,29.623,227,0
20071023,30.187,30.364,30.143,30.24,12699,0
20071024,29.932,29.993,29.932,29.949,2153,0
20071025,30.356,30.356,30.284,30.284,2608,0
20071026,30.744,30.903,30.744,30.903,906,0
20071029,30.999,31.025,30.823,30.982,681,0
20071030,31.007,31.007,30.955,30.964,2722,0
20071031,31.114,31.395,31.025,31.395,4989,0
20071101,30.964,30.982,30.788,30.788,12699,0
20071102,31.034,31.034,30.744,30.964,9299,0
20071105,30.479,30.479,30.39,30.46,5103,0
20071106,30.788,30.946,30.788,30.946,1360,0
20071107,30.875,30.893,30.347,30.347,3514,0
20071108,30.522,30.522,30.125,30.337,5670,0
20071109,30.082,30.214,29.905,29.905,3173,0
20071112,30.805,30.805,29.306,29.306,2874,0
20071113,29.923,29.923,29.721,29.808,5670,0
20071114,30.09,30.178,30.09,30.108,1021,0
20071115,29.808,29.808,29.34,29.34,4196,0
20071116,28.979,29.552,28.979,29.552,1277,0
20071119,29.156,29.156,28.936,28.936,567,0
20071120,29.393,29.393,29.306,29.306,1589,0
20071121,28.794,28.891,28.583,28.891,2382,0
20071123,29.244,29.332,29.235,29.332,1474,0
20071126,29.508,29.508,28.979,28.979,1246,0
20071127,29.235,29.358,29.067,29.358,2722,0
20071128,29.675,30.064,29.552,30.038,5556,0
20071129,29.782,29.914,29.782,29.914,567,0
20071130,30.47,30.479,29.905,29.905,2722,0
20071203,29.993,30.038,29.993,29.993,4422,0
20071204,29.685,29.685,29.685,29.685,113,0
20071205,30.082,30.134,30.028,30.134,3403,0
20071206,29.905,30.436,29.905,30.436,2948,0
20071207,30.47,30.47,30.347,30.39,2042,0
20071210,30.09,30.522,30.09,30.522,4081,0
20071211,30.567,30.567,29.905,29.905,906,0
20071212,30.699,30.699,30.187,30.187,4764,0
20071213,29.535,29.694,29.508,29.552,3173,0
20071214,29.455,29.455,28.803,29.111,11226,0
20071217,28.583,28.714,28.54,28.54,1474,0
20071218,28.583,28.714,28.362,28.627,3173,0
20071219,28.723,28.723,28.362,28.397,1474,0
20071220,28.671,28.936,28.53,28.838,3854,0
20071221,28.397,28.777,28.397,28.777,6350,0
20071224,28.997,28.997,28.751,28.838,3854,0
20071226,28.751,28.751,28.751,28.751,227,0
20071227,28.882,28.909,28.882,28.909,2042,0
20071228,29.103,29.103,29.103,29.103,3403,0
20071231,29.015,29.095,28.397,28.962,4535,0
20080102,29.119,29.119,28.265,28.662,4081,0
20080103,28.926,28.926,28.291,28.751,1589,0
20080104,28.723,28.723,28.31,28.414,6735,0
20080107,28.221,28.353,28.045,28.221,6009,0
20080108,28.53,28.618,28.132,28.132,2042,0
20080109,28.107,28.194,27.92,28.176,3288,0
20080110,27.877,28.485,27.339,28.397,4309,0
20080111,27.957,27.957,27.692,27.692,906,0
20080114,28.132,28.132,28.009,28.009,1814,0
20080115,28.441,28.441,26.105,26.854,6916,0
