Date,Open,High,Low,Close,Volume,OpenInt
20091231,41.47,41.487,41.287,41.287,10478,0
20100104,41.636,42.111,41.636,42.093,6413,0
20100105,42.146,42.146,42.059,42.059,798,0
20100106,42.181,42.19,42.111,42.181,3330,0
20100107,42.068,42.138,41.927,42.138,1760,0
20100108,42.093,42.119,42.093,42.119,1930,0
20100111,42.199,42.199,42.119,42.19,1937,0
20100112,41.829,44.078,41.698,41.743,5409,0
20100113,41.909,42.111,41.707,42.102,7357,0
20100114,42.031,42.225,42.031,42.207,4215,0
20100115,42.076,42.076,41.601,41.689,2802,0
20100119,41.856,42.374,41.856,42.338,12135,0
20100120,41.786,41.786,41.268,41.575,5130,0
20100121,41.575,41.575,40.644,40.767,1902,0
20100122,40.522,40.522,39.793,39.793,1179,0
20100126,40.275,40.54,40.206,40.206,1367,0
20100127,40.064,40.346,39.864,40.346,1708,0
20100128,39.731,39.731,39.494,39.494,398,0
20100129,39.405,39.405,39.405,39.405,570,0
20100201,39.864,39.881,39.864,39.881,867,0
20100202,40.994,41.075,40.994,41.075,1252,0
20100203,40.74,40.74,40.284,40.284,281,0
20100204,39.301,39.301,38.818,38.818,3048,0
20100205,38.668,38.668,36.702,38.045,4357,0
20100208,38.598,38.598,38.326,38.326,10219,0
20100209,39.02,39.318,38.968,39.318,768,0
20100210,39.073,39.073,39.065,39.065,485,0
20100211,38.985,39.494,38.985,39.388,19177,0
20100212,38.968,38.968,38.968,38.968,112,0
20100216,39.143,39.74,39.143,39.715,9572,0
20100218,40.039,40.346,39.994,40.24,105866,0
20100219,40.048,40.267,40.048,40.267,6724,0
20100222,40.188,40.225,40.188,40.215,4692,0
20100223,40.17,40.17,39.617,39.617,12179,0
20100224,39.969,39.969,39.969,39.969,226,0
20100225,39.582,39.582,39.441,39.441,3632,0
20100301,40.311,40.311,40.311,40.311,112,0
20100302,40.513,40.522,40.513,40.522,3645,0
20100303,40.872,40.872,40.872,40.872,284,0
20100304,40.706,40.819,40.679,40.819,20344,0
20100305,41.435,41.567,41.435,41.567,6152,0
20100308,41.531,41.567,41.487,41.531,10684,0
20100309,41.346,41.655,41.346,41.495,4758,0
20100310,41.61,41.786,41.61,41.689,3965,0
20100311,41.671,41.671,41.567,41.628,5944,0
20100312,41.671,41.68,41.636,41.68,1848,0
20100315,41.628,41.628,41.416,41.487,1139,0
20100316,41.804,41.829,41.724,41.829,1852,0
20100317,42.031,42.076,41.927,41.997,10696,0
20100318,42.014,42.049,42.014,42.049,258,0
20100319,42.111,42.111,41.795,41.822,513,0
20100322,41.311,41.838,41.311,41.838,1480,0
20100323,41.768,42.199,41.751,42.199,1651,0
20100324,41.865,41.918,41.715,41.918,3809,0
20100325,42.172,42.409,41.989,42.04,2511,0
20100326,42.19,42.19,42.083,42.172,1373,0
20100329,42.059,42.295,42.059,42.295,1789,0
20100330,42.207,42.332,42.207,42.332,7259,0
20100331,42.111,42.172,42.102,42.138,1819,0
20100401,42.567,42.611,42.498,42.611,14767,0
20100405,42.926,42.954,42.875,42.91,3695,0
20100406,42.804,42.919,42.804,42.919,3883,0
20100407,42.778,42.778,42.664,42.664,226,0
20100408,42.716,42.76,42.699,42.743,4199,0
20100409,43.068,43.068,42.786,42.963,6401,0
20100412,43.033,43.033,43.024,43.024,1223,0
20100413,43.051,43.068,43.051,43.051,2313,0
20100414,43.218,43.375,43.218,43.375,2815,0
20100415,43.227,43.418,43.165,43.375,6025,0
20100416,43.102,43.102,42.567,42.647,3987,0
20100420,42.926,42.98,42.883,42.963,17938,0
20100421,42.778,42.778,42.541,42.672,9078,0
20100422,42.162,42.346,41.936,42.323,8196,0
20100423,42.638,42.725,42.638,42.725,763,0
20100426,42.734,42.734,42.498,42.541,1688,0
20100427,41.592,41.592,41.39,41.39,352,0
20100428,41.39,41.442,41.101,41.251,4153,0
20100429,41.663,41.777,41.575,41.707,14054,0
20100430,41.62,41.62,40.987,40.987,115871,0
20100503,41.435,41.759,41.354,41.663,8201,0
20100504,40.469,40.503,40.346,40.503,18664,0
20100505,40.118,40.118,39.845,40.004,5872,0
20100506,39.475,39.651,34.341,37.992,67207,0
20100507,37.22,38.95,37.22,38.168,26993,0
20100510,39.048,40.644,39.048,40.408,2237,0
20100511,40.083,40.469,40.064,40.469,19090,0
20100512,39.626,40.812,39.626,40.812,8564,0
20100513,40.635,40.767,40.416,40.416,9612,0
20100514,39.459,39.547,39.415,39.547,2739,0
20100517,39.731,39.767,39.415,39.705,1026,0
20100518,39.942,40.099,39.17,39.291,5216,0
20100519,39.118,39.118,38.853,38.853,570,0
20100520,38.264,38.371,37.712,37.747,167034,0
20100521,36.913,37.616,36.439,37.616,1480,0
20100524,37.704,38.415,37.669,37.73,24674,0
20100525,37.08,38.045,37.053,38.045,40054,0
20100526,37.747,37.799,37.721,37.765,3891,0
20100527,39.029,39.038,38.774,39.038,15473,0
20100528,39.073,39.17,38.616,39.091,6698,0
20100601,38.564,38.749,38.467,38.537,10449,0
20100602,38.695,39.179,38.695,39.179,13218,0
20100603,39.557,39.557,39.056,39.318,1599,0
20100604,38.632,38.632,37.816,37.816,3165,0
20100607,38.211,38.396,37.923,37.923,2392,0
20100608,38.117,38.151,37.765,37.976,49639,0
20100609,38.345,40.479,38.133,38.133,1389,0
20100610,39.056,39.767,38.783,39.23,53713,0
20100611,39.056,39.372,39.048,39.17,11784,0
20100614,39.617,39.715,39.344,39.344,7011,0
20100615,39.924,40.433,39.82,40.433,18232,0
20100616,39.994,40.39,39.924,40.302,3245,0
20100617,40.206,40.215,39.872,40.17,13031,0
20100618,40.188,40.197,40.188,40.197,1140,0
20100621,40.697,40.697,40.319,40.319,1320,0
20100622,40.231,40.513,39.828,39.828,2299,0
20100623,39.74,39.994,39.715,39.864,4836,0
20100624,39.557,39.557,39.143,39.23,2167,0
20100625,39.109,39.256,38.924,39.256,2893,0
20100628,38.063,38.125,37.949,37.949,2922,0
20100629,37.352,37.352,36.719,36.719,18572,0
20100630,36.829,37.331,36.568,36.568,7818,0
20100701,36.648,36.835,36.122,36.632,38495,0
20100706,37.236,37.396,36.878,36.913,24216,0
20100707,37.669,37.985,37.51,37.985,8430,0
20100708,38.02,38.247,37.334,38.247,2682,0
20100709,38.255,38.44,38.142,38.44,3193,0
20100712,38.211,38.433,38.142,38.388,4459,0
20100713,38.625,38.872,38.625,38.836,9204,0
20100714,38.589,38.73,38.589,38.73,2925,0
20100715,38.739,38.739,38.335,38.73,4622,0
20100716,38.22,38.22,37.624,37.624,7539,0
20100719,37.66,37.861,37.66,37.861,917,0
20100720,37.642,37.791,37.624,37.738,4685,0
20100721,38.239,38.239,37.624,37.624,1670,0
20100722,38.668,38.765,38.608,38.608,4087,0
20100723,38.642,39.029,38.642,38.994,585,0
20100726,38.749,39.17,38.749,39.17,5877,0
20100727,39.309,39.334,39.256,39.334,1637,0
20100728,39.301,39.301,39.073,39.073,1245,0
20100729,39.723,39.723,38.863,39.152,2526,0
20100730,38.976,39.239,38.651,38.863,4590,0
20100802,39.776,39.881,39.723,39.881,1195,0
20100803,39.74,39.74,39.679,39.74,809,0
20100804,39.688,39.951,39.688,39.951,798,0
20100805,39.74,39.898,39.679,39.898,22128,0
20100806,39.547,39.855,39.247,39.855,12224,0
20100809,40.225,40.225,40.056,40.153,5553,0
20100810,39.334,39.696,39.334,39.696,2003,0
20100811,39.065,39.073,38.564,38.625,5875,0
20100812,38.66,38.739,38.625,38.625,1555,0
20100813,38.8,38.853,38.8,38.853,457,0
20100816,38.818,38.863,38.783,38.8,3856,0
20100817,39.266,39.415,39.136,39.22,2278,0
20100818,39.318,39.415,39.109,39.334,6600,0
20100819,39.344,39.344,38.388,38.608,8915,0
20100820,38.16,38.229,38.099,38.177,9237,0
20100823,38.501,38.501,38.449,38.449,555,0
20100824,37.931,37.931,37.712,37.844,1647,0
20100825,37.624,37.923,37.386,37.887,878,0
20100826,38.194,38.194,37.747,37.747,2911,0
20100827,38.345,38.546,37.896,38.546,2638,0
20100830,38.362,38.405,38.177,38.211,12973,0
20100831,38.09,38.309,37.941,37.941,2153,0
20100901,38.976,39.372,38.976,39.344,1142,0
20100902,39.309,39.38,39.309,39.38,825,0
20100903,39.626,39.66,39.626,39.66,1422,0
20100907,39.529,39.529,39.441,39.52,751,0
20100908,39.723,39.81,39.679,39.688,6905,0
20100909,39.81,40.039,39.793,39.864,3464,0
20100910,40.03,40.18,39.441,40.127,2853,0
20100913,40.346,40.363,40.145,40.257,4244,0
20100914,40.372,40.372,40.188,40.188,786,0
20100915,40.145,40.469,40.145,40.469,1008,0
20100916,40.136,40.319,40.136,40.319,3037,0
20100917,40.17,40.17,39.81,40.03,1184,0
20100920,40.109,40.557,40.048,40.557,2649,0
20100921,40.215,40.319,39.933,39.976,3582,0
20100922,40.03,40.162,39.951,39.951,1671,0
20100923,39.467,39.784,39.22,39.467,3171,0
20100924,39.872,40.099,39.872,40.099,2373,0
20100927,40.479,40.479,39.933,40.127,5355,0
20100928,39.864,40.127,39.864,40.118,888,0
20100929,40.127,40.127,39.767,39.767,2849,0
20100930,39.81,39.872,39.362,39.362,2186,0
20101001,40.012,40.012,39.67,39.802,1024,0
20101004,39.828,39.828,39.52,39.52,1243,0
20101005,39.767,40.486,39.767,40.398,3610,0
20101006,40.522,40.522,40.337,40.337,2192,0
20101007,40.486,40.486,40.257,40.424,3410,0
20101008,40.416,40.469,40.257,40.257,1788,0
20101011,40.609,40.758,40.39,40.398,4896,0
20101012,40.398,40.398,40.109,40.109,2709,0
20101013,40.785,41.146,40.785,41.146,2984,0
20101014,40.9,40.994,40.706,40.837,3025,0
20101015,40.398,40.715,40.372,40.54,2042,0
20101018,40.74,41.013,40.635,41.013,2429,0
20101019,40.469,40.661,40.162,40.372,12783,0
20101020,40.652,40.837,40.627,40.627,1400,0
20101021,40.812,40.812,40.319,40.319,3361,0
20101022,40.882,40.882,40.794,40.864,7466,0
20101025,41.084,41.092,40.635,40.635,38951,0
20101026,40.424,40.732,40.424,40.566,12184,0
20101027,40.574,40.882,40.39,40.74,20758,0
20101028,40.864,40.872,40.724,40.724,3058,0
20101029,40.726,40.824,40.609,40.609,8461,0
20101101,40.697,40.837,40.697,40.767,1363,0
20101102,40.926,41.049,40.891,41.013,5174,0
20101103,40.687,40.847,40.592,40.671,4543,0
20101104,41.198,41.558,41.198,41.479,4503,0
20101105,41.451,41.698,41.364,41.689,7105,0
20101108,41.172,41.487,41.172,41.277,2563,0
20101109,41.26,41.487,40.917,40.917,62154,0
20101110,41.251,41.39,41.075,41.373,3700,0
20101111,40.934,41.136,40.934,41.066,2310,0
20101112,41.373,41.373,40.828,40.828,633,0
20101115,40.828,41.225,40.828,41.066,2557,0
20101116,40.767,40.767,40.206,40.433,12824,0
20101117,40.547,40.652,40.39,40.652,615,0
20101118,41.111,41.242,41.111,41.242,333,0
20101119,41.066,41.155,40.732,40.847,2019,0
20101122,40.856,40.882,40.479,40.882,2806,0
20101123,39.82,40.099,39.679,40.099,33145,0
20101124,40.495,40.495,40.495,40.495,660,0
20101126,40.257,40.302,40.24,40.302,2924,0
20101129,40.039,40.039,39.334,39.644,61140,0
20101130,39.38,39.557,39.38,39.557,3345,0
20101201,39.81,40.127,39.705,40.127,32704,0
20101202,40.547,40.635,40.39,40.635,2467,0
20101203,40.408,40.495,40.206,40.495,1988,0
20101206,40.145,40.522,40.145,40.522,3133,0
20101207,40.872,40.882,40.592,40.609,1897,0
20101208,40.592,40.907,40.592,40.907,816,0
20101209,40.934,41.022,40.934,41.013,698,0
20101210,40.828,41.146,40.776,40.776,1534,0
20101213,40.994,41.32,40.994,41.022,636,0
20101214,41.337,41.381,41.251,41.268,5904,0
20101215,40.961,41.242,40.961,41.225,606,0
20101216,41.311,41.311,41.032,41.311,1774,0
20101217,41.207,41.207,40.961,40.961,1543,0
20101220,41.451,41.451,41.189,41.198,4893,0
20101221,41.407,41.68,41.407,41.68,1091,0
20101222,41.346,41.601,41.346,41.601,835,0
20101223,44.078,44.078,41.46,41.46,716,0
20101227,40.926,41.277,40.926,41.277,2394,0
20101228,41.311,41.311,41.311,41.311,940,0
20101229,41.444,41.516,41.444,41.516,5586,0
20101230,41.168,41.213,41.168,41.213,1815,0
20101231,41.14,41.14,41.14,41.14,798,0
