Date,Open,High,Low,Close,Volume,OpenInt
20130716,97.597,97.597,97.389,97.502,5583,0
20130717,97.646,97.646,97.646,97.646,4134,0
20130722,97.877,97.877,97.877,97.877,3001,0
20130723,97.976,97.976,97.976,97.976,1024,0
20130724,97.782,97.782,97.782,97.782,150,0
20130725,97.369,97.369,97.369,97.369,2019,0
20130726,97.877,97.887,97.867,97.887,20159,0
20130730,97.752,97.937,97.646,97.646,22693,0
20130731,97.455,97.455,97.349,97.437,3827,0
20130802,97.216,97.725,97.216,97.666,818,0
20130805,97.646,97.715,97.646,97.715,1259,0
20130806,97.762,97.762,97.762,97.762,100,0
20130807,98.28,98.28,97.782,97.841,824,0
20130808,97.857,97.857,97.857,97.857,251,0
20130809,97.927,97.927,97.877,97.927,443,0
20130813,97.887,97.887,97.597,97.597,276,0
20130814,97.455,97.455,97.455,97.455,140,0
20130815,97.349,97.463,97.349,97.417,591,0
20130816,97.407,97.407,97.186,97.186,2066,0
20130819,97.186,97.236,97.186,97.206,724,0
20130820,97.321,97.321,97.321,97.321,754,0
20130822,96.972,96.972,96.836,96.865,1246,0
20130823,96.885,97.149,96.885,97.07,972,0
20130827,97.389,97.417,97.329,97.417,1215,0
20130828,97.349,97.349,97.321,97.321,6209,0
20130829,97.321,97.321,96.982,97.099,980,0
20130903,97.031,97.08,96.992,96.992,3093,0
20130904,97.482,97.482,96.758,96.758,8880,0
20130905,96.516,96.585,96.451,96.585,1410,0
20130906,96.671,96.875,96.652,96.699,2428,0
20130909,96.885,96.953,96.885,96.953,1301,0
20130910,96.836,96.846,96.526,96.806,2406,0
20130911,97.001,97.001,96.575,97.001,4064,0
20130912,96.982,97.351,96.865,97.237,25675,0
20130913,96.962,97.011,96.826,96.856,37671,0
20130916,97.472,97.561,97.39,97.463,1523,0
20130917,97.946,97.946,97.15,97.207,23056,0
20130918,97.341,97.867,97.312,97.705,19895,0
20130919,97.841,98.107,97.841,98.059,4134,0
20130920,98.127,98.176,98.127,98.166,1819,0
20130924,97.752,98.29,97.752,98.29,421,0
20130925,98.379,98.379,98.359,98.359,200,0
20130926,98.206,98.438,98.206,98.438,2676,0
20130927,98.409,98.419,98.04,98.339,4947,0
20131004,98.778,98.876,98.659,98.719,5497,0
20131007,98.526,98.526,98.458,98.458,353,0
20131008,98.768,98.768,98.419,98.428,15229,0
20131009,98.659,98.797,98.087,98.087,2165,0
20131010,98.566,98.748,98.566,98.699,1253,0
20131011,98.976,99.016,98.866,99.006,2568,0
20131014,99.065,99.065,98.906,98.906,200,0
20131015,98.946,99.025,98.946,98.986,1692,0
20131016,99.006,99.15,98.996,99.15,964,0
20131017,99.296,99.296,99.035,99.075,721,0
20131018,99.79,99.79,99.424,99.424,302,0
20131021,99.366,99.366,99.366,99.366,200,0
20131022,100.08,100.08,100.08,100.08,195,0
20131023,100.17,100.17,99.336,99.95,900,0
20131024,99.316,99.316,99.316,99.316,3650,0
20131025,99.62,99.62,99.62,99.62,342,0
20131028,99.79,99.98,99.6,99.67,3729,0
20131029,99.77,99.95,99.77,99.95,461,0
20131030,100.07,100.07,99.23,99.23,1750,0
20131101,99.91,99.91,99.494,99.76,2146,0
20131104,99.78,99.78,99.78,99.78,196,0
20131105,99.78,99.78,99.68,99.78,1941,0
20131106,99.89,99.9,99.474,99.86,1067,0
20131107,99.494,100,99.494,99.58,968,0
20131108,99.246,99.246,99.2,99.2,1440,0
20131111,98.986,98.986,98.986,98.986,155,0
20131112,99.306,99.306,99.306,99.306,351,0
20131113,99.22,99.306,99.15,99.296,5811,0
20131114,99.384,99.414,99.374,99.374,560,0
20131115,99.77,99.77,99.346,99.384,2172,0
20131118,99.384,99.59,99.384,99.59,422,0
20131119,99.82,99.82,99.52,99.52,1239,0
20131120,99.73,99.73,99.5,99.54,1912,0
20131121,99.7,99.7,99.424,99.494,2676,0
20131122,99.306,100.07,99.306,99.8,656,0
20131125,100.11,100.11,99.82,99.83,1735,0
20131126,99.89,99.92,99.89,99.92,883,0
20131127,100.54,100.54,99.83,99.83,3729,0
20131202,99.92,99.92,99.92,99.92,288,0
20131203,100.29,100.29,99.85,99.85,919,0
20131204,100.15,100.15,99.69,99.77,2219,0
20131205,100.1,100.1,99.6,99.6,1414,0
20131206,100.21,100.21,99.67,99.73,1199,0
20131209,100.05,100.05,98.916,98.916,13160,0
20131210,99.22,99.65,99.22,99.53,1547,0
20131211,99.494,99.67,99.14,99.63,5216,0
20131212,99.434,99.62,99.414,99.62,493,0
20131213,99.8,99.81,99.68,99.68,2666,0
20131216,99.82,99.98,99.82,99.98,3609,0
20131217,100.38,100.38,100.1,100.23,3955,0
