Date,Open,High,Low,Close,Volume,OpenInt
20140806,25.115,25.86,24.617,24.716,66833,0
20140807,24.915,25.045,24.538,24.637,92038,0
20140808,24.706,24.975,24.676,24.975,81229,0
20140811,25.354,25.354,24.985,25.015,123393,0
20140812,25.065,25.115,24.865,24.935,54112,0
20140813,25.015,25.145,25.005,25.125,35296,0
20140814,25.145,25.185,25.115,25.145,43643,0
20140815,25.264,25.314,25.065,25.175,53459,0
20140818,25.364,25.472,25.354,25.472,76642,0
20140819,25.671,25.671,25.541,25.631,67850,0
20140820,25.761,25.761,25.571,25.701,51780,0
20140821,25.721,25.82,25.661,25.81,187864,0
20140822,25.83,25.9,25.741,25.81,54591,0
20140825,26.159,26.159,25.86,25.88,80898,0
20140826,25.89,26,25.88,25.95,69219,0
20140827,26.1,26.1,25.84,25.89,61504,0
20140828,25.84,25.91,25.761,25.87,104150,0
20140829,26.08,26.1,25.83,25.93,40348,0
20140902,26.08,26.09,25.82,25.89,70147,0
20140903,26.04,26.04,25.81,25.84,59594,0
20140904,25.91,26.05,25.761,25.82,53020,0
20140905,25.751,25.84,25.631,25.84,52676,0
20140908,25.84,25.88,25.701,25.83,147090,0
20140909,25.86,25.88,25.621,25.681,130997,0
20140910,25.681,25.741,25.531,25.701,74806,0
20140911,25.651,25.701,25.521,25.681,43750,0
20140912,25.651,25.711,25.491,25.551,46447,0
20140915,25.611,25.611,25.364,25.424,69172,0
20140916,25.334,25.691,25.304,25.641,53515,0
20140917,25.731,25.741,25.501,25.591,48443,0
20140918,25.691,25.771,25.651,25.761,38101,0
20140919,25.86,25.97,25.571,25.671,45531,0
20140922,25.611,25.611,25.234,25.314,135618,0
20140923,25.142,25.421,25.132,25.281,45563,0
20140924,25.301,25.509,25.152,25.509,35426,0
20140925,25.559,25.559,25.022,25.072,65390,0
20140926,25.112,25.391,25.092,25.341,45939,0
20140929,25.172,25.311,25.032,25.301,55676,0
20140930,25.391,25.411,25.122,25.222,92263,0
20141001,25.132,25.142,24.712,24.772,232620,0
20141002,24.742,24.882,24.424,24.812,143415,0
20141003,24.962,25.132,24.882,25.072,110587,0
20141006,25.152,25.152,24.802,24.922,22585,0
20141007,24.772,24.882,24.544,24.554,165683,0
20141008,24.594,24.992,24.354,24.972,86670,0
20141009,24.992,24.992,24.184,24.224,118858,0
20141010,24.016,24.892,23.707,23.707,60183,0
20141013,23.717,23.776,23.189,23.219,30881,0
20141014,23.399,23.508,23.159,23.219,37756,0
20141015,22.94,23.229,22.223,23.209,24827,0
20141016,22.91,23.389,22.253,23.209,47117,0
20141017,23.438,23.637,23.289,23.428,73188,0
20141020,23.309,23.756,23.309,23.727,56777,0
20141021,23.846,24.324,23.846,24.304,22117,0
20141022,24.314,24.464,24.085,24.085,20652,0
20141023,24.184,24.544,24.184,24.444,11656,0
20141024,24.354,24.474,24.294,24.464,3914,0
20141027,24.354,24.474,24.324,24.444,5116,0
20141028,24.544,24.742,24.464,24.722,22869,0
20141029,24.802,24.872,24.623,24.772,12274,0
20141030,24.692,25.012,24.692,24.962,11943,0
20141031,25.281,25.639,25.112,25.281,108025,0
20141103,25.361,25.46,25.301,25.301,27242,0
20141104,25.152,25.231,24.882,25.042,34547,0
20141105,25.291,25.589,25.212,25.311,26990,0
20141106,25.321,25.469,25.271,25.469,19965,0
20141107,25.479,25.509,25.391,25.391,16865,0
20141110,25.46,25.489,24.852,25.401,22966,0
20141111,25.469,25.489,25.341,25.479,11884,0
20141112,25.45,25.519,25.401,25.479,8484,0
20141113,25.431,25.549,25.381,25.499,13604,0
20141114,25.549,25.599,25.489,25.559,15142,0
20141117,25.569,25.569,25.431,25.509,7308,0
20141118,25.499,25.759,25.499,25.709,12022,0
20141119,25.609,25.749,25.499,25.589,9195,0
20141120,25.519,25.719,25.489,25.669,15548,0
20141121,25.898,25.958,25.828,25.868,26313,0
20141124,25.978,26.048,25.948,25.998,24916,0
20141125,26.098,26.148,26.048,26.078,20256,0
20141126,26.088,26.158,26.008,26.068,20879,0
20141128,26.088,26.088,25.838,25.918,17361,0
20141201,25.789,25.918,25.579,25.639,21513,0
20141202,25.579,25.699,25.579,25.659,11639,0
20141203,25.828,25.868,25.689,25.868,28806,0
20141204,25.858,25.968,25.789,25.958,10068,0
20141205,26.008,26.138,25.978,26.078,6534,0
20141208,26.078,26.078,25.719,25.808,22959,0
20141209,25.549,25.769,25.062,25.769,15282,0
20141210,25.619,25.689,25.331,25.351,12781,0
20141211,25.598,25.728,25.498,25.508,19608,0
20141212,25.319,25.478,25.299,25.299,12978,0
20141215,25.319,25.389,24.97,25.07,24278,0
20141216,24.9,25.259,24.68,24.69,32299,0
20141217,24.73,25.329,24.73,25.249,21770,0
20141218,25.688,25.768,25.518,25.768,30311,0
20141219,25.877,25.987,25.837,25.927,13842,0
20141222,25.987,25.987,25.877,25.937,9577,0
20141223,26.163,26.163,25.983,26.023,18051,0
20141224,26.033,26.103,26.003,26.053,8998,0
20141226,26.113,26.143,26.113,26.143,1537,0
20141229,26.033,26.223,25.963,26.173,27425,0
20141230,26.113,26.193,26.093,26.123,5993,0
20141231,26.153,26.253,25.913,25.913,16681,0
20150102,26.073,26.073,25.753,25.873,17372,0
20150105,25.653,25.653,25.254,25.294,18239,0
20150106,25.374,25.773,24.804,25.054,17530,0
20150107,25.094,25.314,25.074,25.234,26168,0
20150108,25.543,25.763,25.503,25.763,9233,0
20150109,25.663,25.923,25.513,25.513,4259,0
20150112,25.464,25.464,25.094,25.164,7101,0
20150113,25.364,25.543,24.834,25.044,14841,0
20150114,24.814,24.894,24.545,24.864,14807,0
20150115,24.944,24.944,24.545,24.545,34688,0
20150116,24.624,24.934,24.525,24.924,7929,0
20150120,25.064,25.184,24.744,24.964,13342,0
20150121,25.094,25.284,24.874,25.224,11526,0
20150122,25.284,25.643,25.214,25.613,9682,0
20150123,25.643,25.653,25.513,25.513,12912,0
20150126,25.424,25.653,25.364,25.603,31081,0
20150127,25.364,25.454,25.214,25.294,23429,0
20150128,25.384,25.384,24.904,24.944,20902,0
20150129,25.014,25.264,24.834,25.264,6696,0
20150130,25.194,25.214,25.004,25.004,13891,0
20150202,24.934,25.114,24.674,25.094,9869,0
20150203,25.304,25.464,25.214,25.464,11280,0
20150204,25.454,25.563,25.404,25.434,20470,0
20150205,25.543,25.573,25.473,25.563,9209,0
20150206,25.613,25.863,25.404,25.424,24586,0
20150209,25.394,25.454,25.314,25.364,31199,0
20150210,25.513,25.713,25.434,25.713,7764,0
20150211,25.693,25.753,25.573,25.713,6726,0
20150212,25.783,26.013,25.783,25.993,15487,0
20150213,26.113,26.213,26.013,26.213,32196,0
20150217,26.313,26.402,26.243,26.362,15420,0
20150218,26.382,26.382,26.313,26.362,2485,0
20150219,26.332,26.532,26.332,26.502,10481,0
20150220,26.512,26.672,26.372,26.672,10113,0
20150223,26.622,26.632,26.482,26.552,28086,0
20150224,26.592,26.632,26.432,26.632,10654,0
20150225,26.652,26.702,26.562,26.672,2542,0
20150226,26.612,26.622,26.392,26.432,7862,0
20150227,26.472,26.482,26.303,26.303,9419,0
20150302,26.432,26.552,26.382,26.552,27440,0
20150303,26.362,26.462,26.233,26.382,15422,0
20150304,26.123,26.332,26.123,26.313,5709,0
20150305,26.313,26.323,26.243,26.283,9514,0
20150306,26.273,26.273,25.863,25.873,10115,0
20150309,25.853,25.973,25.853,25.973,9814,0
20150310,25.543,25.663,25.493,25.493,14621,0
20150311,25.444,25.503,25.414,25.424,3605,0
20150312,25.473,25.693,25.473,25.693,13720,0
20150313,25.743,25.743,25.374,25.374,56682,0
20150316,25.703,25.773,25.563,25.753,3805,0
20150317,25.663,25.723,25.593,25.713,5909,0
20150318,25.653,26.163,25.613,26.093,27340,0
20150319,26.003,26.113,25.993,26.043,8212,0
20150320,26.063,26.303,26.063,26.273,12618,0
20150323,26.263,26.352,26.233,26.263,6610,0
20150324,26.17,26.32,26.17,26.22,13761,0
20150325,26.1,26.16,25.79,25.79,12615,0
20150326,25.6,25.75,25.59,25.75,4005,0
20150327,25.79,25.79,25.7,25.75,2002,0
20150330,25.95,26.01,25.87,25.98,8810,0
20150331,25.92,26.08,25.86,25.86,9711,0
20150401,25.66,25.9,25.6,25.62,8209,0
20150402,25.66,25.81,25.62,25.8,7609,0
20150406,25.57,25.97,25.57,25.9,8510,0
20150407,25.97,26.01,25.85,25.87,4849,0
20150408,25.96,25.99,25.94,25.97,3704,0
20150409,25.97,26.07,25.96,26.04,2692,0
20150410,26.02,26.11,26.02,26.11,4005,0
20150413,26.16,26.16,25.98,25.98,7208,0
20150414,25.97,26.04,25.84,26.04,5807,0
20150415,26.15,26.3,26.13,26.3,7524,0
20150416,26.16,26.21,26.11,26.14,8057,0
20150417,25.86,25.91,25.78,25.85,7308,0
20150420,25.97,26.1,25.96,26.09,7071,0
20150421,26.13,26.17,26.08,26.08,37814,0
20150422,26.18,26.25,26,26.25,7001,0
20150423,26.24,26.32,26.19,26.32,3204,0
20150424,26.339,26.399,26.33,26.349,2503,0
20150427,26.399,26.419,26.22,26.22,9411,0
20150428,26.11,26.17,25.91,26.07,38645,0
20150429,26.03,26.1,25.92,26.07,8109,0
20150430,25.98,26,25.67,25.68,4906,0
20150501,25.92,26.13,25.83,26.13,5306,0
20150504,26.28,26.28,26.17,26.2,20724,0
20150505,26.12,26.12,25.84,25.84,3905,0
20150506,25.94,25.94,25.52,25.63,11831,0
20150507,25.66,25.85,25.64,25.85,17963,0
20150508,26,26.25,26,26.19,10612,0
20150511,26.24,26.27,26.13,26.14,7308,0
20150512,25.97,25.99,25.9,25.99,6051,0
20150513,25.95,26.05,25.95,25.97,18021,0
20150514,26.13,26.28,26.05,26.28,10012,0
20150515,26.409,26.409,26.21,26.27,4640,0
20150518,26.23,26.379,26.23,26.369,3071,0
20150519,26.389,26.459,26.339,26.359,25029,0
20150520,26.2,26.359,26.2,26.359,5006,0
20150521,26.29,26.439,26.23,26.439,8510,0
20150522,26.419,26.459,26.379,26.449,5306,0
20150526,26.31,26.349,26.01,26.01,5929,0
20150527,26.05,26.29,26.05,26.28,3304,0
20150528,26.3,26.3,26.19,26.22,2975,0
20150529,26.21,26.28,26.1,26.28,6808,0
20150601,26.31,26.509,26.2,26.489,16219,0
20150602,26.389,26.569,26.339,26.479,2275,0
20150603,26.519,26.589,26.429,26.479,55364,0
20150604,26.31,26.419,26.23,26.26,20724,0
20150605,26.26,26.26,26.17,26.19,17420,0
