Date,Open,High,Low,Close,Volume,OpenInt
20100111,23.786,23.786,23.786,23.786,2746,0
20100112,23.79,23.828,23.786,23.828,14652,0
20100113,23.876,23.914,23.876,23.909,14075,0
20100114,23.904,23.904,23.895,23.895,2994,0
20100115,23.961,23.99,23.961,23.975,5273,0
20100119,24.017,24.017,24.017,24.017,200,0
20100120,24.013,24.013,24.013,24.013,3848,0
20100121,24.013,24.013,24.013,24.013,2307,0
20100122,24.031,24.031,24.031,24.031,1265,0
20100125,24.031,24.031,24.031,24.031,1051,0
20100126,24.037,24.041,24.037,24.041,5273,0
20100127,24.037,24.059,24.037,24.055,9805,0
20100128,24.055,24.055,24.055,24.055,200,0
20100129,24.096,24.096,24.096,24.096,200,0
20100201,24.072,24.078,24.072,24.078,5899,0
20100203,24.12,24.12,24.12,24.12,1051,0
20100204,24.154,24.154,24.154,24.154,1051,0
20100205,24.162,24.162,24.162,24.162,400,0
20100208,24.191,24.191,24.191,24.191,200,0
20100209,24.139,24.144,24.116,24.116,31320,0
20100210,24.106,24.106,24.106,24.106,400,0
20100211,24.116,24.116,24.106,24.106,1883,0
20100216,24.106,24.116,24.106,24.116,1605,0
20100217,24.124,24.124,24.124,24.124,1051,0
20100219,24.116,24.116,24.116,24.116,1605,0
20100224,24.158,24.158,24.158,24.158,200,0
20100301,24.214,24.214,24.214,24.214,2121,0
20100302,24.214,24.22,24.214,24.22,4210,0
20100303,24.191,24.191,23.999,23.999,1591,0
20100305,24.301,24.306,24.301,24.301,10763,0
20100308,24.296,24.31,24.296,24.31,2509,0
20100309,24.348,24.348,24.348,24.348,200,0
20100310,24.334,24.334,24.334,24.334,834,0
20100311,24.339,24.344,24.339,24.344,2307,0
20100312,24.344,24.344,24.344,24.344,1051,0
20100315,24.348,24.358,24.344,24.358,6588,0
20100316,24.358,24.358,24.348,24.348,3122,0
20100317,24.339,24.339,24.339,24.339,3586,0
20100322,24.344,24.358,24.344,24.344,9701,0
20100323,24.334,24.334,24.334,24.334,1051,0
20100324,24.214,24.214,24.214,24.214,1031,0
20100325,24.186,24.186,24.051,24.065,3320,0
20100326,23.975,23.984,23.956,23.956,5065,0
20100330,23.966,23.966,23.966,23.966,650,0
20100331,23.9,23.9,23.886,23.9,1467,0
20100401,23.876,23.876,23.876,23.876,1035,0
20100405,23.834,23.862,23.814,23.848,2113,0
20100408,23.834,23.834,23.834,23.834,200,0
20100409,23.867,23.867,23.867,23.867,2503,0
20100413,23.857,23.857,23.857,23.857,400,0
20100414,23.886,23.886,23.886,23.886,614,0
20100415,23.956,23.956,23.951,23.956,1693,0
20100416,23.961,23.961,23.956,23.956,1583,0
20100419,23.961,23.961,23.956,23.956,2329,0
20100420,23.984,23.984,23.98,23.98,1913,0
20100421,24.017,24.017,24.007,24.017,4148,0
20100422,24.031,24.037,24.027,24.031,13748,0
20100423,24.051,24.055,24.031,24.046,2389,0
20100426,24.046,24.046,23.766,24.046,11701,0
20100427,24.068,24.068,24.059,24.059,4210,0
20100428,24.059,24.096,24.059,24.096,1583,0
20100429,24.096,24.096,24.065,24.072,2597,0
20100430,24.068,24.078,24.055,24.068,13235,0
