Date,Open,High,Low,Close,Volume,OpenInt
20140211,24.808,24.808,24.768,24.808,1397,0
20140212,24.848,24.848,24.788,24.788,2530,0
20140213,24.778,24.778,24.738,24.768,5575,0
20140214,24.798,24.798,24.798,24.798,991,0
20140218,24.828,24.828,24.798,24.798,21950,0
20140219,24.808,24.828,24.798,24.808,4894,0
20140221,24.878,24.878,24.808,24.828,4935,0
20140224,24.808,24.828,24.788,24.828,12616,0
20140225,24.878,24.878,24.848,24.858,35207,0
20140226,24.908,24.908,24.898,24.898,1891,0
20140227,24.888,24.978,24.888,24.908,47119,0
20140228,24.978,24.998,24.978,24.978,6857,0
20140303,25.035,25.035,25.006,25.006,1628,0
20140304,25.035,25.035,25.026,25.035,10723,0
20140305,25.016,25.026,25.016,25.026,6605,0
20140306,24.976,24.976,24.976,24.976,4744,0
20140307,24.936,24.936,24.886,24.896,27135,0
20140310,24.896,24.906,24.896,24.896,7492,0
20140311,24.866,24.866,24.856,24.856,1191,0
20140312,24.876,24.896,24.876,24.896,1360,0
20140313,24.886,24.886,24.876,24.876,6066,0
20140314,24.936,24.946,24.936,24.946,1478,0
20140317,24.926,24.926,24.836,24.926,2727,0
20140318,24.936,24.936,24.936,24.936,1377,0
20140319,24.886,24.896,24.766,24.766,12111,0
20140320,24.826,24.856,24.826,24.856,24158,0
20140321,24.696,24.756,24.677,24.696,34943,0
20140324,24.687,24.696,24.578,24.578,20455,0
20140325,24.598,24.608,24.499,24.569,4528,0
20140326,24.618,24.628,24.618,24.628,3248,0
20140327,24.638,24.638,24.539,24.628,8383,0
20140328,24.658,24.658,24.598,24.658,5200,0
20140331,24.696,24.696,24.628,24.687,6900,0
20140401,24.678,24.707,24.599,24.688,5441,0
20140402,24.688,24.688,24.669,24.688,6181,0
20140403,24.697,24.697,24.659,24.659,1434,0
20140404,24.707,24.707,24.697,24.707,6145,0
20140407,24.717,24.757,24.717,24.757,2052,0
20140408,24.777,24.777,24.757,24.757,614,0
20140409,24.737,24.777,24.737,24.777,13524,0
20140410,24.697,24.857,24.697,24.837,7454,0
20140411,24.877,24.877,24.857,24.867,5319,0
20140414,24.777,24.777,24.777,24.777,296,0
20140416,24.907,24.937,24.887,24.887,15008,0
20140417,24.897,26.319,24.867,24.907,41245,0
20140421,24.947,25.046,24.927,25.007,47544,0
20140422,24.877,24.927,24.877,24.927,5350,0
20140423,24.857,24.927,24.857,24.897,3279,0
20140424,24.857,24.927,24.837,24.907,7521,0
20140425,24.917,24.937,24.867,24.897,3123,0
20140428,24.867,24.887,24.837,24.837,14636,0
20140429,24.857,24.877,24.857,24.877,7382,0
20140430,24.877,24.897,24.867,24.887,4864,0
20140501,24.848,24.868,24.848,24.858,7395,0
20140502,24.778,24.798,24.778,24.798,5874,0
20140505,24.838,25.008,24.758,24.858,18735,0
20140506,24.848,24.878,24.838,24.868,22997,0
20140507,24.878,24.898,24.798,24.898,3009,0
20140508,24.908,24.918,24.888,24.918,49447,0
20140509,24.878,24.918,24.878,24.918,1528,0
20140512,24.918,24.968,24.908,24.948,6817,0
20140513,24.908,24.948,24.888,24.918,12193,0
20140514,24.978,24.988,24.968,24.978,3643,0
20140515,24.998,24.998,24.998,24.998,1132,0
20140516,24.998,25.008,24.978,25.008,7681,0
20140519,25.018,25.018,24.968,24.978,4074,0
20140520,24.978,24.998,24.978,24.998,10330,0
20140521,24.968,25.018,24.958,25.008,8871,0
20140522,24.968,25.116,24.958,25.116,7078,0
20140523,24.968,25.037,24.958,24.958,2451,0
20140527,24.958,25.018,24.958,24.978,5420,0
20140528,24.988,25.067,24.988,25.008,6060,0
20140529,25.028,25.037,24.988,24.998,2629,0
20140530,24.988,25.047,24.988,25.047,2078,0
20140602,24.978,25.028,24.968,24.988,13956,0
20140603,24.978,25.037,24.918,24.968,20975,0
20140604,24.998,24.998,24.938,24.958,10389,0
20140605,24.968,24.978,24.938,24.948,20839,0
20140606,24.918,24.948,24.898,24.948,7768,0
20140609,24.858,24.918,24.858,24.918,3894,0
20140610,24.898,24.898,24.878,24.878,3742,0
20140611,24.918,24.918,24.858,24.898,13701,0
20140612,24.908,24.968,24.878,24.938,27026,0
20140613,24.928,24.978,24.918,24.948,13951,0
20140616,24.928,24.928,24.918,24.918,2053,0
20140617,24.888,24.908,24.848,24.848,16584,0
20140618,24.928,24.948,24.888,24.938,26783,0
20140619,24.928,24.928,24.868,24.908,3715,0
20140620,24.918,24.928,24.908,24.908,4155,0
20140623,24.928,25.165,24.888,24.908,22149,0
20140624,25.452,25.452,24.928,24.958,9321,0
20140625,24.978,25.442,24.978,25.008,20439,0
20140626,25.018,25.018,25.018,25.018,400,0
20140627,25.028,25.037,25.008,25.018,5504,0
20140630,25.028,25.047,25.008,25.028,9906,0
20140701,25.022,25.041,25.022,25.032,20763,0
20140702,25.012,25.101,25.002,25.022,46294,0
20140703,25.022,25.032,25.022,25.022,4732,0
20140707,24.992,24.992,24.982,24.982,3760,0
20140708,24.972,25.012,24.972,24.982,26619,0
20140709,24.882,24.922,24.852,24.852,15576,0
20140710,24.902,24.902,24.872,24.872,2497,0
20140711,24.902,24.952,24.892,24.922,20685,0
20140714,24.872,24.922,24.872,24.922,2973,0
20140715,24.942,24.982,24.892,24.922,6962,0
20140716,24.942,24.962,24.942,24.952,9108,0
20140717,25.002,25.041,24.932,25.022,21661,0
20140718,25.002,25.002,24.992,24.992,6284,0
20140721,24.982,25.032,24.972,25.032,15051,0
20140722,25.022,25.051,24.992,25.022,9504,0
20140723,24.992,25.11,24.992,25.071,4057,0
20140724,25.032,25.051,25.012,25.051,10283,0
20140725,25.051,25.091,25.051,25.051,5310,0
20140728,25.071,25.071,25.012,25.061,1428,0
20140729,25.12,25.12,25.091,25.11,7209,0
20140730,25.022,25.032,25.002,25.012,14808,0
20140731,25.032,25.071,25.032,25.051,10013,0
20140801,25.102,25.102,25.063,25.093,6784,0
20140804,25.063,25.083,25.063,25.063,6565,0
20140805,24.964,25.063,24.964,25.053,9955,0
20140806,25.112,25.112,25.112,25.112,911,0
