Date,Open,High,Low,Close,Volume,OpenInt
20130625,22.548,22.565,22.548,22.565,209,0
20130626,22.737,22.861,22.538,22.861,1372,0
20130628,22.814,22.814,22.727,22.727,315,0
20130701,23.202,23.22,23.202,23.22,315,0
20130703,23.097,24.948,23.097,24.948,2108,0
20130705,22.853,22.925,22.853,22.925,2213,0
20130708,23.041,23.714,22.965,23.135,4429,0
20130709,22.925,22.935,22.925,22.935,209,0
20130710,22.766,22.766,22.766,22.766,209,0
20130712,23.269,23.269,23.269,23.269,103,0
20130716,23.93,23.93,23.067,23.93,424,0
20130717,24.635,25.307,24.587,24.73,3267,0
20130718,25.05,25.458,25.05,25.05,736,0
20130719,25.137,25.137,25.137,25.137,239,0
20130722,25.393,25.601,25.006,25.137,164356,0
20130723,25.06,25.316,25.06,25.316,315,0
20130724,25.373,25.373,25.155,25.155,1132,0
20130725,25.345,25.345,25.345,25.345,103,0
20130730,25.535,25.535,25.033,25.118,549,0
20130731,25.024,25.024,24.948,24.948,1054,0
20130801,25.07,25.088,25.024,25.024,527,0
20130805,25.763,25.763,25.582,25.735,413,0
20130806,25.941,25.941,25.697,25.697,209,0
20130808,25.601,25.601,25.573,25.573,844,0
20130809,26.076,26.076,26.076,26.076,103,0
20130812,25.63,26.085,25.621,26.085,9762,0
20130813,26.037,26.037,25.649,25.819,647,0
20130815,26.153,26.153,25.783,25.783,209,0
20130819,25.687,25.687,24.921,24.921,477,0
20130822,25.649,25.649,25.173,25.173,635,0
20130823,25.014,25.014,25.014,25.014,141,0
20130826,24.769,24.769,24.635,24.635,315,0
20130827,24.284,24.359,24.228,24.245,2425,0
20130828,24.749,24.749,24.749,24.749,208,0
20130830,25.193,25.193,24.445,24.464,2425,0
20130903,24.948,24.948,24.948,24.948,103,0
20130906,24.759,24.759,24.617,24.617,1372,0
20130909,25.024,25.024,24.853,24.853,3058,0
20130910,25.203,25.28,25.203,25.28,1685,0
20130911,25.611,25.611,25.373,25.506,1263,0
20130912,25.563,25.658,25.373,25.421,17501,0
20130913,25.573,25.573,25.241,25.241,9878,0
20130916,25.458,25.458,25.383,25.383,209,0
20130917,25.553,25.553,25.373,25.383,3163,0
20130918,25.63,25.951,25.412,25.951,4323,0
20130919,25.941,26.047,25.884,25.884,4215,0
20130930,26.153,26.162,26.085,26.134,3690,0
20131001,26.559,26.578,26.53,26.53,424,0
20131002,26.276,26.276,26.276,26.276,2635,0
20131007,26.444,26.444,26.444,26.444,209,0
20131015,27.042,27.042,27.004,27.004,251,0
20131016,27.415,27.415,26.968,26.968,2085,0
20131017,27.184,27.184,26.995,26.995,72110,0
20131018,27.282,27.633,27.167,27.176,3225,0
20131021,27.319,27.319,27.176,27.184,1685,0
20131022,27.396,27.396,27.396,27.396,592,0
20131024,27.224,27.224,26.816,26.968,1502,0
20131025,27.233,27.233,27.233,27.233,148,0
20131030,27.081,27.081,26.855,26.855,633,0
20131031,26.664,26.664,26.664,26.664,103,0
20131105,26.228,26.228,26.018,26.124,14866,0
20131106,26.085,26.085,25.865,26.066,1001,0
20131107,25.744,25.744,25.735,25.735,527,0
20131108,25.289,25.289,24.997,24.997,1453,0
20131111,24.948,25.07,24.948,25.07,7561,0
20131113,24.835,24.835,24.835,24.835,209,0
20131118,25.468,25.468,25.289,25.364,10498,0
20131122,24.872,25.043,24.759,24.759,633,0
20131127,24.902,24.902,24.455,24.455,948,0
20131129,24.559,24.654,24.427,24.427,12336,0
