Date,Open,High,Low,Close,Volume,OpenInt
20070613,22.981,23.232,22.981,23.223,44174,0
20070614,23.781,23.902,23.781,23.875,23428,0
20070615,23.958,24.004,23.744,23.781,24507,0
20070618,23.977,23.986,23.921,23.948,12253,0
20070619,23.882,23.958,23.856,23.939,37725,0
20070620,24.161,24.655,23.827,23.865,40306,0
20070621,23.754,25.614,23.679,23.679,38908,0
20070622,23.688,23.717,23.447,23.511,41273,0
20070625,23.475,23.65,23.418,23.418,50944,0
20070626,23.511,23.52,23.316,23.326,19024,0
20070627,23.176,23.363,23.148,23.363,7845,0
20070628,23.485,23.771,23.447,23.485,15048,0
20070629,23.688,23.771,23.595,23.698,61372,0
20070702,23.882,24.032,23.882,24.022,22249,0
20070703,24.404,25.335,24.312,24.423,44174,0
20070705,24.171,24.321,24.143,24.302,74593,0
20070706,24.312,24.471,24.312,24.442,20315,0
20070709,24.581,24.628,24.506,24.572,86951,0
20070710,24.442,24.535,24.293,24.525,30845,0
20070711,24.395,24.516,24.359,24.516,30739,0
20070712,24.713,25.112,24.516,25.112,47935,0
20070713,24.907,25.018,24.87,25.018,46861,0
20070716,24.897,25.056,24.879,24.934,31170,0
20070717,24.897,24.934,24.823,24.87,10640,0
20070718,24.749,25.586,24.618,24.804,29880,0
20070719,25.075,25.075,24.963,25.018,24398,0
20070720,24.953,24.953,24.636,24.74,19345,0
20070723,24.87,25.13,24.87,24.972,30955,0
20070724,24.471,24.471,24.108,24.171,26439,0
20070725,24.395,24.423,24.08,24.238,23752,0
20070726,23.726,24.19,22.991,23.055,60727,0
20070727,23.363,23.503,23.204,23.223,21818,0
20070730,23.288,23.511,23.288,23.503,33104,0
20070731,23.911,24.08,23.65,23.66,24722,0
20070801,23.418,23.418,23.14,23.409,17412,0
20070802,23.399,23.529,23.344,23.529,16231,0
20070803,23.288,23.316,23.055,23.055,44282,0
20070806,23.074,23.194,19.362,23.194,9995,0
20070807,23.046,23.297,22.981,23.223,15155,0
20070808,23.018,23.185,22.915,23.055,18165,0
20070809,22.749,22.852,21.325,22.543,35576,0
20070810,21.716,22.003,21.678,21.948,27836,0
20070813,22.432,22.432,22.218,22.227,19240,0
20070814,22.227,22.292,21.939,21.976,22249,0
20070815,21.556,21.623,16.375,21.269,16444,0
20070816,21.064,21.167,16.747,21.167,77708,0
20070817,21.13,21.362,20.516,21.362,14725,0
20070820,21.594,21.631,21.046,21.575,21497,0
20070821,21.521,21.556,20.935,21.446,32029,0
20070822,21.939,22.145,21.939,22.145,16231,0
20070823,22.404,22.404,22.153,22.301,25364,0
20070824,22.499,23.503,22.451,22.712,31492,0
20070827,22.59,22.683,22.499,22.627,33965,0
20070828,22.499,26.303,21.083,22.162,138757,0
20070829,22.358,22.702,22.358,22.702,17627,0
20070830,22.311,22.702,22.311,22.526,8275,0
20070831,23.046,23.131,22.944,23.131,3977,0
20070904,23.036,23.326,23.027,23.268,37080,0
20070905,22.962,23.084,22.852,22.962,54707,0
20070906,22.962,23.194,22.962,23.148,58361,0
20070907,22.823,22.878,22.693,22.767,24934,0
20070910,22.664,23.447,22.34,22.58,13221,0
20070911,22.897,23,22.852,23,28589,0
20070912,22.888,23.084,22.888,23.018,7738,0
20070913,23,23.113,22.944,23.046,17412,0
20070914,22.74,22.87,22.693,22.823,21497,0
20070917,22.46,22.507,22.145,22.321,30308,0
20070918,22.441,23.194,22.441,23.167,22249,0
20070919,23.428,23.485,23.307,23.372,19561,0
20070920,23.466,23.726,23.447,23.539,12575,0
20070921,23.819,23.911,23.819,23.846,13758,0
20070924,23.708,23.726,23.539,23.605,15584,0
20070925,23.372,23.494,23.335,23.494,9029,0
20070926,23.65,23.679,23.595,23.66,9779,0
20070927,23.911,23.939,23.837,23.902,17305,0
20070928,24.051,24.161,23.958,24.08,23538,0
20071001,24.08,24.404,24.08,24.339,25579,0
20071002,23.986,24.543,23.865,24.543,20528,0
20071003,24.525,24.525,24.359,24.359,6879,0
20071004,24.479,24.581,24.479,24.572,13758,0
20071005,24.74,24.916,24.74,24.897,12360,0
20071008,24.851,25.112,24.562,24.757,15155,0
20071009,24.665,24.823,24.636,24.814,34071,0
20071010,25.047,25.047,24.888,24.963,58038,0
20071011,25.269,25.438,25.085,25.195,20636,0
20071012,25.075,25.195,25.056,25.167,15155,0
20071015,25.122,25.138,24.897,24.963,19668,0
20071016,24.757,24.804,24.675,24.732,29450,0
20071017,24.944,24.944,24.264,24.842,33856,0
20071018,24.916,25.577,24.916,25.122,64057,0
20071019,24.963,24.963,24.553,24.618,90713,0
20071022,22.795,24.516,22.795,24.19,52773,0
20071023,24.498,24.535,24.331,24.433,29450,0
20071024,24.506,24.665,24.283,24.516,39230,0
20071025,24.368,25.539,24.283,24.553,22783,0
20071026,24.757,27.903,24.749,25.122,162080,0
20071029,25.138,25.242,24.099,25.232,52343,0
20071030,25.056,25.122,25.009,25.047,50406,0
20071031,25.224,25.539,25.167,25.335,31277,0
20071101,25.13,25.242,24.99,25.009,24507,0
20071102,24.786,24.851,24.618,24.832,23538,0
20071105,24.302,24.433,24.209,24.385,25042,0
20071106,24.18,24.274,24.061,24.274,56748,0
20071107,24.461,24.489,24.022,24.022,23752,0
20071108,24.127,24.161,23.754,24.161,31277,0
20071109,23.669,24.349,23.547,23.547,13004,0
20071112,22.721,23.428,21.455,23.084,25260,0
20071113,22.972,23.679,22.972,23.679,29127,0
20071114,23.781,23.781,23.409,23.466,21389,0
20071115,23.176,23.503,22.86,23.036,20207,0
20071116,22.991,23.036,22.842,23.027,14188,0
20071119,22.517,22.517,20.832,22.107,67712,0
20071120,22.376,22.58,21.409,22.58,13327,0
20071121,22.079,22.079,21.781,21.866,29858,0
20071123,22.218,22.321,22.2,22.321,16121,0
20071126,22.376,22.46,21.799,21.985,24722,0
20071127,21.79,22.06,21.575,22.041,15261,0
20071128,21.892,23.036,21.892,22.981,17691,0
20071129,25.047,25.047,22.749,22.87,26549,0
20071130,23.344,23.353,23.018,23.113,21818,0
20071203,23.074,23.113,23,23.065,88456,0
20071204,22.721,22.852,22.721,22.795,22571,0
20071205,22.925,23,22.842,22.953,33856,0
20071206,23.232,28.368,22.897,28.368,30158,0
20071207,29.773,29.773,23.278,23.335,35247,0
20071210,23.447,23.529,23.335,23.475,21172,0
20071211,23.529,23.865,22.962,22.972,33856,0
20071212,23.456,23.503,22.636,23.372,32029,0
20071213,23.093,23.093,22.795,23.018,18165,0
20071214,22.526,22.731,22.358,22.422,16444,0
20071217,21.856,21.966,21.641,21.762,22676,0
20071218,22.003,22.003,21.631,21.688,24934,0
20071219,21.808,21.827,21.531,21.669,21497,0
20071220,21.678,21.678,21.306,21.604,46325,0
20071221,21.892,23.232,21.093,21.604,155523,0
20071224,20.776,24.032,19.836,22.05,26011,0
20071226,21.92,22.712,20.384,22.2,51059,0
20071227,21.409,22.619,21.121,22.609,58173,0
20071228,22.181,22.349,22.181,22.218,41379,0
20071231,22.227,22.367,21.92,22.098,34008,0
20080102,21.847,24.498,21.707,22.499,140260,0
20080103,22.499,22.702,22.032,22.237,42777,0
20080104,24.238,24.238,21.511,21.66,45033,0
20080107,21.484,21.484,21.017,21.017,34600,0
20080108,21.474,21.502,20.935,20.935,25151,0
20080109,21.232,21.418,20.384,21.241,43400,0
20080110,20.998,22.145,20.208,20.98,22464,0
20080111,20.878,21.149,20.86,21.093,104254,0
20080114,21.288,21.288,21.064,21.176,15907,0
20080115,20.851,21.399,20.608,20.748,123601,0
20080116,20.888,20.888,19.855,19.957,45358,0
20080117,20.144,20.273,19.63,19.63,40842,0
20080118,20.163,20.163,19.63,19.808,16554,0
20080122,18.403,19.64,18.403,19.167,58782,0
20080123,18.721,19.296,18.32,19.296,60404,0
20080124,19.594,19.902,19.576,19.902,16013,0
20080125,21.688,22.599,19.669,19.669,20422,0
20080128,19.855,22.87,19.511,20.012,52128,0
20080129,20.255,20.935,20.163,20.208,39218,0
20080130,20.088,25.651,20.003,20.144,93280,0
20080131,20.655,20.655,19.64,20.144,32213,0
20080201,20.263,20.608,20.263,20.571,12682,0
20080204,20.701,20.73,20.618,20.626,14402,0
20080205,19.975,20.134,19.77,19.77,33104,0
20080206,19.697,19.921,19.585,19.63,27302,0
20080207,19.604,19.697,19.408,19.539,11202,0
20080208,19.389,19.483,19.232,19.436,108125,0
20080211,19.473,19.604,19.269,19.52,9340,0
20080212,19.77,20.153,19.752,20.153,11500,0
20080213,19.818,20.097,19.678,20.003,23538,0
20080214,20.366,20.432,20.163,20.199,6771,0
20080215,20.245,20.321,19.325,20.181,47399,0
20080219,20.516,20.776,20.506,20.562,18681,0
20080220,20.339,20.535,20.181,20.384,11402,0
20080221,20.655,20.73,20.554,20.599,21710,0
20080222,20.72,20.72,20.329,20.432,16121,0
20080225,19.659,21.939,19.659,20.097,100388,0
20080226,20.19,21.409,20.19,21.306,26345,0
20080227,21.149,21.484,21.112,21.38,31568,0
20080228,21.213,21.399,21.204,21.39,11176,0
20080229,20.822,20.86,19.836,20.608,37217,0
20080303,20.73,20.73,20.506,20.589,6663,0
20080304,20.413,20.422,20.031,20.422,19886,0
20080305,20.432,20.701,20.432,20.599,17842,0
20080306,20.748,20.804,20.525,20.562,29020,0
20080307,21.465,21.465,19.77,20.292,37327,0
20080310,20.134,20.134,19.492,19.743,24903,0
20080311,20.442,20.442,19.353,20.218,23109,0
20080312,20.469,20.571,20.459,20.459,12253,0
20080313,20.208,20.45,20.078,20.375,19991,0
20080314,20.302,20.403,19.939,20.031,11083,0
20080317,19.65,22.33,19.473,19.911,32029,0
20080318,20.088,20.283,19.985,20.097,8384,0
20080319,20.153,20.153,19.343,19.539,13435,0
20080320,19.306,19.939,19.306,19.799,7094,0
20080324,18.997,20.05,18.989,19.975,65347,0
20080325,20.311,20.358,20.19,20.321,53202,0
20080326,20.45,20.589,20.432,20.525,25423,0
20080327,20.795,20.925,20.655,20.655,34823,0
20080328,20.832,21.213,20.701,20.701,3761,0
20080331,20.469,20.674,20.45,20.516,4408,0
20080401,20.851,21.167,20.766,21.064,8490,0
20080402,21.502,23.547,21.334,21.585,42928,0
20080403,21.334,21.808,21.074,21.334,13864,0
20080404,21.297,21.446,21.259,21.269,16116,0
20080407,22.227,22.227,21.409,21.436,9432,0
20080408,21.093,22.441,21.093,21.259,32997,0
20080409,21.121,21.158,20.99,20.99,6448,0
20080410,21.027,21.112,20.86,20.935,6879,0
20080411,20.925,21.194,20.851,20.99,43207,0
20080414,20.785,21.121,20.785,20.943,16982,0
20080415,20.711,21.353,20.711,20.888,11702,0
20080416,21.418,21.631,21.325,21.631,10887,0
20080417,21.771,21.771,21.334,21.465,11031,0
20080418,21.493,21.753,21.493,21.753,12036,0
20080421,21.847,21.847,20.375,21.847,12126,0
20080422,21.66,21.79,21.427,21.66,21335,0
20080423,21.54,22.05,21.511,21.65,13950,0
20080424,21.344,21.818,21.297,21.455,10640,0
20080425,20.683,21.688,20.683,21.594,48304,0
20080428,21.771,22.237,21.735,21.753,12664,0
20080429,21.697,21.726,21.575,21.623,11073,0
20080430,21.455,22.06,21.455,21.771,15653,0
20080501,22.041,22.041,21.575,21.745,38665,0
20080502,21.911,22.33,21.911,21.995,19307,0
20080505,22.013,22.292,22.013,22.117,9375,0
20080506,22.032,22.422,22.032,22.2,22325,0
20080507,22.135,22.135,21.762,22.069,26338,0
20080508,22.451,22.552,22.003,22.003,8634,0
20080509,21.985,21.995,21.818,21.929,10069,0
20080512,22.321,22.321,21.259,22.041,9164,0
20080513,21.976,22.079,21.976,21.976,3458,0
20080514,22.208,22.33,22.032,22.032,22206,0
20080515,22.2,22.499,22.2,22.499,6356,0
20080516,22.552,22.897,22.526,22.86,27892,0
20080519,23.009,23.009,22.571,22.571,15304,0
20080520,22.683,22.74,22.451,22.561,22547,0
20080521,22.925,22.925,22.237,22.301,38108,0
20080522,22.413,22.526,22.283,22.367,135617,0
20080523,22.321,22.33,22.06,22.227,14423,0
20080527,22.041,22.702,21.781,22.022,19846,0
20080528,21.874,22.292,21.781,21.985,16502,0
20080529,21.866,22.041,21.866,21.976,14370,0
20080530,22.153,22.292,22.003,22.208,104762,0
20080602,22.022,22.079,21.866,21.985,14480,0
20080603,21.985,22.145,21.771,21.911,29111,0
20080604,21.985,22.145,21.66,21.837,23507,0
20080605,21.556,22.702,20.971,22.237,115805,0
20080606,21.966,25.708,21.531,21.531,36658,0
20080609,22.385,22.721,21.306,21.371,43754,0
20080610,21.13,21.185,20.935,20.935,13030,0
20080611,21.446,21.446,20.358,20.776,48442,0
20080612,21.54,23.065,20.237,20.748,32313,0
20080613,21.232,21.232,20.645,20.776,13789,0
20080616,20.218,21.158,20.218,21.112,37274,0
20080617,21.223,21.39,21.093,21.213,17771,0
20080618,21.269,21.269,20.851,20.878,20704,0
20080619,20.655,20.795,20.097,20.795,37476,0
20080620,21.409,21.409,20.106,20.163,37836,0
20080623,20.571,20.571,19.549,19.725,44236,0
20080624,19.343,19.846,19.343,19.725,39271,0
20080625,20.358,20.358,19.78,20.263,37407,0
20080626,19.846,19.846,19.558,19.621,20853,0
20080627,19.734,19.911,19.408,19.911,55726,0
20080630,19.707,19.707,19.473,19.539,11417,0
20080701,19.167,19.241,18.644,19.138,31504,0
20080702,19.157,20.497,18.162,18.868,64504,0
20080703,18.868,20.003,18.644,19.353,36449,0
20080707,19.558,19.678,18.505,18.673,16835,0
20080708,18.572,19.417,18.393,18.775,55393,0
20080709,18.944,20.171,18.311,18.496,52420,0
20080710,18.663,18.739,17.864,18.711,33411,0
20080711,17.5,18.887,17.5,18.887,45064,0
20080714,19.353,19.353,18.329,18.46,19011,0
20080715,17.65,18.842,17.65,18.03,33965,0
20080716,17.445,18.654,17.203,18.534,94020,0
20080717,19.259,19.259,17.715,18.878,24064,0
20080718,19.045,19.129,18.85,19.111,27195,0
20080721,19.334,19.343,18.524,19.296,14367,0
20080722,19.111,19.77,19.093,19.446,101850,0
20080723,19.37,19.836,19.334,19.799,30751,0
20080724,20.106,20.106,19.214,19.306,38327,0
20080725,19.315,19.315,18.989,19.093,16903,0
20080728,19.167,19.176,18.441,18.524,22614,0
20080729,18.421,18.775,18.421,18.775,14616,0
20080730,18.832,18.954,18.515,18.515,134776,0
20080731,18.98,18.98,17.073,18.264,132403,0
20080801,18.581,18.581,18.329,18.572,22388,0
20080804,18.329,18.496,18.32,18.384,4128,0
20080805,18.608,18.85,18.487,18.842,40753,0
20080806,18.757,18.85,18.644,18.842,8755,0
20080807,18.673,18.692,18.469,18.487,14996,0
20080808,18.375,18.479,17.24,18.479,181520,0
20080811,18.505,18.747,18.348,18.365,261666,0
20080812,18.162,18.46,18.162,18.311,38129,0
20080813,18.152,18.227,17.901,18.143,11697,0
20080814,18.04,18.114,17.595,17.958,8666,0
20080815,17.958,18.114,17.751,17.958,121216,0
20080818,19.296,19.296,17.798,17.808,24321,0
20080819,17.677,17.677,17.335,17.455,23796,0
20080820,17.343,17.585,17.297,17.445,70661,0
20080821,17.538,17.715,17.474,17.659,23380,0
20080822,17.668,17.939,17.668,17.817,12474,0
20080825,17.78,17.78,17.407,17.407,22552,0
20080826,17.519,18.663,17.407,17.5,20541,0
20080827,17.335,17.846,17.335,17.817,32062,0
