Date,Open,High,Low,Close,Volume,OpenInt
20120501,26.992,27.108,26.947,27.108,1450,0
20120502,27.628,27.628,26.965,27.018,2742,0
20120503,26.965,26.965,26.938,26.938,671,0
20120504,26.822,26.822,26.822,26.822,335,0
20120507,26.831,26.884,26.831,26.884,3214,0
20120508,26.814,26.814,26.814,26.814,12395,0
20120509,26.643,26.643,26.643,26.643,6067,0
20120510,26.652,26.652,26.615,26.615,1025,0
20120511,26.723,26.723,26.723,26.723,112,0
20120514,26.615,26.615,26.552,26.552,1262,0
20120516,26.212,26.339,26.212,26.339,356,0
20120517,26.15,26.15,26.15,26.15,378,0
20120518,26.034,26.034,25.981,25.981,2011,0
20120521,26.088,26.204,26.088,26.204,1919,0
20120524,26.132,26.132,26.061,26.061,480,0
20120525,26.052,26.122,26.034,26.122,1456,0
20120529,26.24,26.24,26.24,26.24,112,0
20120530,26.14,26.15,26.088,26.088,4374,0
20120531,26.116,26.116,26.116,26.116,185,0
20120601,26.016,26.016,26.016,26.016,1116,0
20120604,25.972,25.972,25.953,25.953,2030,0
20120605,26.088,26.088,25.856,26.024,4132,0
20120606,26.23,26.321,26.23,26.321,8863,0
20120607,26.347,26.347,26.347,26.347,892,0
20120608,26.356,26.402,26.356,26.402,4144,0
20120613,26.41,26.473,26.356,26.356,1470,0
20120614,26.518,26.518,26.518,26.518,112,0
20120615,26.68,26.713,26.643,26.713,4415,0
20120618,26.723,26.732,26.624,26.732,1785,0
20120619,26.875,26.875,26.875,26.875,2808,0
20120620,26.841,26.975,26.822,26.938,4476,0
20120621,26.866,26.911,26.552,26.552,52125,0
20120622,26.705,26.705,26.599,26.599,4839,0
20120625,26.562,26.562,26.527,26.527,2233,0
20120626,26.562,26.58,26.562,26.571,1580,0
20120627,26.76,26.769,26.59,26.769,11228,0
20120628,26.67,26.67,26.661,26.661,671,0
20120629,26.66,26.712,26.632,26.686,1413,0
20120702,26.687,26.76,26.687,26.76,884,0
20120703,26.858,26.992,26.858,26.992,12934,0
20120705,26.841,26.902,26.841,26.866,81169,0
20120706,26.741,26.814,26.741,26.814,1670,0
20120709,26.751,26.777,26.732,26.732,33092,0
20120710,26.875,26.875,26.713,26.751,3127,0
20120711,26.822,26.831,26.786,26.786,1179,0
20120712,26.67,26.777,26.652,26.769,4017,0
20120713,27.1,27.1,26.866,26.92,3985,0
20120716,26.929,26.965,26.929,26.965,1564,0
20120717,26.938,26.975,26.911,26.956,8401,0
20120718,27.018,27.108,26.984,27.092,6179,0
20120719,27.074,27.144,27.074,27.144,1959,0
20120720,27.036,27.036,26.875,26.884,4775,0
20120723,26.732,26.822,26.705,26.822,6904,0
20120724,26.705,26.705,26.599,26.634,3408,0
20120725,26.705,26.705,26.687,26.687,781,0
20120726,26.866,26.956,26.841,26.875,4637,0
20120727,27.064,27.083,27.002,27.083,4725,0
20120730,27.18,27.198,27.046,27.198,1894,0
20120731,27.112,27.184,27.112,27.148,3779,0
20120801,27.233,27.233,27.18,27.18,3172,0
20120802,26.849,27.055,26.814,26.929,27719,0
20120803,26.984,27.26,26.984,27.242,2531,0
20120806,27.224,27.288,27.163,27.288,288450,0
20120807,27.26,27.324,27.252,27.26,2484,0
20120808,27.252,27.26,27.171,27.26,4559,0
20120809,27.125,27.233,27.125,27.153,5313,0
20120810,27.252,27.252,27.224,27.224,1304,0
20120813,27.135,27.26,27.135,27.233,2446,0
20120814,27.216,27.216,27.216,27.216,366,0
20120815,27.153,27.153,27.117,27.117,446,0
20120816,27.18,27.224,27.117,27.224,1943,0
20120817,27.125,27.224,27.1,27.163,2227,0
20120820,27.208,27.216,27.18,27.18,2525,0
20120821,27.298,27.316,27.224,27.233,31019,0
20120822,27.233,27.341,27.233,27.341,118055,0
20120823,27.324,27.324,27.269,27.269,2066,0
20120824,27.332,27.332,27.324,27.324,571,0
20120827,27.377,27.377,27.358,27.377,1127,0
20120828,27.216,27.368,27.216,27.288,2362,0
20120829,27.35,27.35,27.252,27.316,8530,0
20120830,27.288,27.288,27.208,27.216,12922,0
20120831,27.356,27.374,27.312,27.374,1897,0
20120904,27.374,27.374,27.256,27.284,3525,0
20120905,27.293,27.356,27.293,27.32,128767,0
20120906,27.383,27.564,27.383,27.545,6607,0
20120907,27.736,27.745,27.671,27.699,3991,0
20120910,27.663,27.69,27.628,27.628,16336,0
20120911,27.671,27.78,27.646,27.761,4962,0
20120912,27.754,27.754,27.621,27.69,20415,0
20120913,27.736,27.977,27.671,27.968,10738,0
20120914,28.026,28.052,27.89,27.907,16091,0
20120917,27.879,27.879,27.879,27.879,335,0
20120918,27.95,27.95,27.888,27.897,6857,0
20120919,27.986,27.986,27.879,27.95,30440,0
20120920,27.879,27.879,27.726,27.807,9305,0
20120921,27.799,27.907,27.799,27.899,7982,0
20120924,27.842,27.87,27.799,27.799,4582,0
20120925,27.87,27.87,27.736,27.77,21442,0
20120926,27.736,27.736,27.653,27.671,14984,0
20120927,27.699,27.844,27.699,27.827,3448,0
20120928,27.753,27.753,27.589,27.66,9866,0
20121001,27.817,27.834,27.662,27.736,2266,0
20121002,27.69,27.78,27.69,27.78,8215,0
20121003,27.817,27.817,27.762,27.808,150562,0
20121004,28.44,28.44,27.762,27.834,5927,0
20121005,27.953,27.971,27.844,27.844,7090,0
20121008,27.746,27.827,27.69,27.827,2817,0
20121009,27.799,27.799,27.671,27.69,10085,0
20121010,27.653,27.653,27.573,27.601,1988,0
20121011,27.671,27.746,27.671,27.727,1952,0
20121012,27.863,27.863,27.699,27.754,6730,0
20121015,27.78,27.853,27.746,27.827,5609,0
20121016,27.997,28.016,27.979,28.007,7518,0
20121017,28.052,28.107,28.052,28.107,9029,0
20121018,28.042,28.097,28.026,28.042,3815,0
20121019,28.061,28.061,27.899,27.899,8556,0
20121022,27.899,27.899,27.827,27.834,1565,0
20121023,27.834,27.834,27.627,27.718,5805,0
20121024,27.69,27.746,27.653,27.699,6998,0
20121025,27.718,27.718,27.62,27.653,1718,0
20121026,27.591,27.627,27.591,27.627,302,0
20121031,27.671,27.844,27.671,27.844,28639,0
20121101,27.871,28.133,27.79,27.899,7527,0
20121102,27.736,27.79,27.671,27.671,3703,0
20121105,27.69,27.727,27.61,27.727,10905,0
20121106,27.746,27.808,27.68,27.79,134531,0
20121107,27.754,27.754,27.545,27.627,15775,0
20121108,27.61,27.627,27.492,27.545,10476,0
20121109,27.583,27.583,27.455,27.5,2097,0
20121112,27.573,27.573,27.492,27.5,11251,0
20121113,27.237,27.5,27.237,27.392,6861,0
20121114,27.392,27.392,27.22,27.22,7805,0
20121115,27.211,27.256,27.138,27.184,14175,0
20121116,27.129,27.274,27.129,27.274,21896,0
20121119,27.428,27.465,27.392,27.392,8271,0
20121120,27.492,27.492,27.392,27.455,5299,0
20121121,27.509,27.509,27.455,27.455,5593,0
20121123,27.554,27.653,27.554,27.653,3760,0
20121126,27.69,27.989,27.61,27.61,2285,0
20121127,27.662,27.727,27.653,27.653,9013,0
20121128,27.653,27.736,27.645,27.69,7779,0
20121129,27.853,27.899,27.736,27.881,71682,0
20121130,27.915,27.915,27.862,27.88,8679,0
20121203,27.934,27.943,27.871,27.907,13316,0
20121204,28.026,28.026,27.89,27.953,24511,0
20121205,27.979,28.071,27.953,28.016,231405,0
20121206,28.042,28.079,28.007,28.042,9469,0
20121207,28.042,28.042,27.997,28.026,12733,0
20121210,28.448,28.448,28.016,28.071,15271,0
