Date,Open,High,Low,Close,Volume,OpenInt
20080725,24.076,24.076,24.076,24.076,111,0
20080730,23.591,23.591,23.591,23.591,111,0
20080815,24.301,24.301,23.162,23.162,670,0
20080910,22.104,22.203,22.104,22.203,3144,0
20080926,21.567,21.567,21.567,21.567,111,0
20081001,20.437,20.437,20.437,20.437,111,0
20081006,18.331,18.331,18.009,18.009,1058,0
20081007,17.695,17.695,17.3,17.3,2035,0
20081010,16.403,16.403,16.403,16.403,111,0
20081014,18.258,18.555,18.258,18.555,444,0
20081015,17.578,17.578,17.318,17.318,333,0
20081022,16.403,16.403,16.403,16.403,111,0
20081023,15.14,15.14,15.14,15.14,111,0
20081028,15.956,17.658,15.956,17.658,333,0
20081029,16.86,16.897,16.582,16.582,1675,0
20081103,17.031,17.031,16.825,17.013,6581,0
20081104,17.515,17.515,17.515,17.515,111,0
20081107,16.475,16.573,16.475,16.573,1115,0
20081112,15.516,15.516,15.516,15.516,333,0
20081113,14.943,14.943,14.799,14.799,444,0
20081124,14.986,14.986,14.986,14.986,366,0
20081201,14.117,14.117,14.073,14.073,6006,0
20081219,14.79,14.79,14.79,14.79,111,0
20081226,15.57,15.57,15.57,15.57,350,0
20081229,13.984,13.984,13.984,13.984,111,0
20090113,14.61,14.61,14.61,14.61,111,0
20090120,14.503,14.503,14.503,14.503,221,0
20090223,13.633,13.633,13.633,13.633,221,0
20090320,14.638,14.638,14.638,14.638,5577,0
20090323,14.887,14.887,14.887,14.887,444,0
20090324,15.033,15.033,15.033,15.033,111,0
20090326,15.273,16.047,15.257,15.257,7253,0
20090331,14.441,14.441,14.422,14.431,8925,0
20090403,16.484,16.484,16.457,16.457,804,0
20090406,16.224,16.941,16.047,16.941,1807,0
20090413,16.664,16.789,16.582,16.789,9819,0
20090414,16.817,16.817,16.672,16.672,4051,0
20090415,16.69,16.69,16.69,16.69,3047,0
20090416,16.825,16.851,16.762,16.851,2519,0
20090417,17.067,17.165,16.977,17.165,2497,0
20090420,16.484,16.511,16.412,16.511,1389,0
20090421,16.529,16.771,16.529,16.771,1188,0
20090422,16.699,17.157,16.699,17.148,7296,0
20090423,17.112,17.173,17.112,17.173,1184,0
20090424,17.614,17.793,17.614,17.756,1136,0
20090427,17.442,17.632,17.318,17.632,729,0
20090428,16.977,17.148,16.977,17.148,475,0
20090429,17.442,17.442,15.784,15.784,1124,0
20090430,17.847,18,17.686,17.686,26164,0
20090501,17.756,17.828,17.756,17.828,2047,0
20090504,18.331,18.331,18.222,18.222,522,0
20090505,18.356,18.356,18.348,18.348,277,0
20090506,18.635,18.635,18.475,18.546,1216,0
20090507,18.503,18.503,18.089,18.089,2221,0
20090508,18.509,18.509,18.475,18.493,550,0
20090511,18.089,18.34,18.061,18.231,1143,0
20090512,18.375,18.429,17.945,17.945,776,0
20090513,17.747,17.747,17.578,17.595,2776,0
20090514,17.487,17.765,17.451,17.704,7030,0
20090515,17.883,17.883,17.407,17.497,1346,0
20090518,17.722,17.963,17.13,17.919,14463,0
20090519,18.079,18.356,18.035,18.124,9970,0
20090520,18.231,18.429,18.079,18.24,5899,0
20090521,18.107,18.107,18.035,18.035,244,0
20090522,18.178,18.331,18.178,18.331,1000,0
20090526,18.503,18.59,18.393,18.59,1932,0
20090527,18.546,18.546,18.044,18.151,1707,0
20090528,17.945,18.356,17.945,18.356,571,0
20090529,18.466,18.555,18.466,18.475,1969,0
20090601,19.335,19.442,19.335,19.442,492,0
20090602,19.325,19.63,19.325,19.63,1970,0
20090603,19.145,19.145,17.837,17.837,2563,0
20090604,19.057,19.154,19.047,19.154,610,0
20090605,18.904,18.904,18.832,18.832,1449,0
20090608,18.582,18.582,18.582,18.582,161,0
20090609,18.823,18.823,18.823,18.823,1564,0
20090610,18.904,18.904,18.904,18.904,111,0
20090611,19.316,20.527,19.316,19.407,771,0
20090612,19.092,19.092,19.092,19.092,1337,0
20090615,18.68,18.68,18.68,18.68,561,0
20090616,18.555,18.555,18.321,18.321,745,0
20090617,18.429,18.447,18.213,18.276,6247,0
20090618,18.294,18.294,18.044,18.107,12704,0
20090623,18.027,18.027,18.027,18.027,111,0
20090624,18.285,18.285,18.285,18.285,365,0
20090625,17.954,18.142,17.936,18.142,1929,0
20090626,18.393,18.527,18.384,18.527,1622,0
20090630,18.276,18.276,18.276,18.276,111,0
20090701,18.789,18.798,18.68,18.68,1330,0
20090702,18.124,18.142,18.124,18.142,778,0
20090706,17.892,17.91,17.722,17.722,5986,0
20090710,17.695,17.856,17.086,17.605,24257,0
20090713,17.533,17.73,17.533,17.73,3101,0
20090715,18.509,18.626,18.438,18.438,1954,0
20090716,18.493,18.493,18.493,18.493,271,0
20090717,18.608,18.608,18.608,18.608,111,0
20090720,19.2,19.2,19.173,19.173,929,0
20090721,19.335,19.335,19.335,19.335,856,0
20090722,19.38,19.578,19.353,19.531,3158,0
20090723,19.2,19.836,19.2,19.774,1832,0
20090724,19.801,19.801,19.801,19.801,134,0
20090727,19.766,19.766,19.739,19.739,596,0
20090728,19.693,19.819,19.693,19.819,222,0
20090729,19.73,19.757,19.73,19.757,1574,0
20090730,20.231,20.293,20.169,20.169,1683,0
20090731,20.536,20.536,20.536,20.536,610,0
20090803,20.884,21.181,20.884,21.181,969,0
20090804,21.038,21.038,20.992,20.992,967,0
20090805,20.912,20.912,20.555,20.705,670,0
20090806,21.02,21.02,21.011,21.011,402,0
20090807,20.768,21.011,20.696,21.011,766,0
20090810,20.759,20.759,20.536,20.536,643,0
20090812,20.644,20.859,20.249,20.627,1774,0
20090813,20.696,20.759,20.696,20.759,961,0
20090814,20.84,20.84,20.473,20.599,1600,0
20090817,20.356,20.356,20.356,20.356,814,0
20090818,20.321,20.321,20.043,20.043,1019,0
20090819,20.015,20.678,20.015,20.627,1396,0
20090820,22.266,22.266,20.768,20.884,6634,0
20090821,21.091,21.091,21.091,21.091,480,0
20090824,20.921,21.047,20.921,21.047,793,0
20090825,21.425,21.425,21.425,21.425,221,0
20090826,20.931,21.074,20.931,21.074,689,0
20090828,21.235,21.235,21.235,21.235,485,0
20090901,20.618,20.618,20.527,20.527,444,0
20090902,20.266,20.293,20.142,20.293,1949,0
20090903,20.555,20.723,20.257,20.723,4119,0
20090904,20.777,20.777,20.723,20.723,428,0
20090908,21.189,21.406,21.189,21.369,1045,0
20090909,21.406,21.818,21.406,21.656,894,0
20090910,21.656,21.836,21.647,21.836,6669,0
20090911,21.763,21.763,21.763,21.763,221,0
20090914,21.504,21.656,21.504,21.656,2544,0
20090915,21.36,21.496,21.36,21.496,356,0
20090916,20.903,21.863,20.903,21.863,2678,0
20090917,21.853,21.996,21.853,21.996,1466,0
20090918,21.916,22.095,21.916,22.067,1393,0
20090921,21.664,21.673,21.477,21.477,2217,0
20090922,22.067,22.067,21.996,21.996,490,0
20090923,22.221,22.221,21.907,21.907,600,0
20090924,21.907,21.907,21.567,21.745,1193,0
20090925,21.772,21.772,21.772,21.772,412,0
20090929,21.629,21.629,21.441,21.441,2055,0
20090930,21.673,21.682,21.673,21.682,832,0
20091001,20.966,21.181,20.966,21.162,2320,0
20091002,20.447,20.714,20.447,20.714,390,0
20091006,20.94,21.369,20.94,21.306,859,0
20091007,21.226,21.245,21.226,21.245,1895,0
20091009,21.881,21.881,21.763,21.809,1523,0
20091012,22.077,22.077,21.978,22.077,4438,0
20091013,22.058,22.123,21.933,22.086,5882,0
20091014,22.321,22.391,22.077,22.391,3678,0
20091015,22.452,22.452,22.428,22.428,524,0
20091019,22.355,22.355,22.167,22.167,2280,0
20091020,22.294,22.499,22.285,22.285,3522,0
20091021,22.33,22.436,22.221,22.221,1764,0
20091023,22.257,22.257,22.257,22.257,233,0
20091026,22.213,22.213,21.558,21.781,4063,0
20091027,21.477,21.601,21.477,21.601,894,0
20091028,21.064,21.064,21.064,21.064,333,0
20091029,21.306,21.406,21.306,21.352,1291,0
20091030,21.352,21.415,21.352,21.415,334,0
20091102,21.254,21.254,20.859,21.038,2344,0
20091103,21.029,21.029,21.029,21.029,111,0
20091104,21.477,21.531,21.379,21.531,503,0
20091106,21.682,21.916,21.61,21.61,4060,0
20091109,22.132,22.132,22.132,22.132,2230,0
20091110,21.889,21.933,21.79,21.933,5027,0
20091111,21.978,21.978,21.978,21.978,233,0
20091112,21.916,21.916,21.691,21.691,719,0
20091113,21.881,21.881,21.881,21.881,187,0
20091116,22.311,22.311,22.294,22.302,1491,0
20091117,22.05,22.086,22.05,22.086,1197,0
20091120,21.79,21.79,21.27,21.27,1504,0
20091124,21.441,21.531,21.369,21.504,1223,0
20091125,21.781,21.781,21.781,21.781,134,0
20091130,21.325,21.441,21.297,21.441,2606,0
20091201,21.951,22.123,21.951,22.104,3136,0
20091203,22.516,22.534,22.391,22.409,23043,0
20091204,22.381,22.445,22.033,22.123,1380,0
20091209,21.978,21.987,21.818,21.818,795,0
20091210,21.97,22.114,21.943,21.943,4213,0
20091211,22.14,22.14,22.14,22.14,670,0
20091214,22.294,22.294,22.294,22.294,748,0
20091215,22.077,22.077,22.077,22.077,529,0
20091216,22.221,22.346,21.198,22.221,3592,0
20091218,21.907,21.907,21.154,21.682,1325,0
20091221,21.836,21.836,21.826,21.836,670,0
20091222,21.826,21.907,21.809,21.907,1809,0
20091228,22.186,22.338,22.186,22.248,1675,0
20091229,22.338,22.462,22.23,22.275,4302,0
20091230,22.149,22.149,22.14,22.14,709,0
20091231,22.285,22.294,22.257,22.294,1275,0
20100104,22.659,22.804,22.651,22.794,2785,0
20100105,22.696,22.705,22.311,22.598,1923,0
20100106,22.723,22.723,22.723,22.723,111,0
20100107,22.615,22.615,22.186,22.499,1273,0
20100108,22.23,22.821,22.23,22.821,2127,0
20100111,22.561,22.893,22.561,22.659,4914,0
20100112,22.964,22.964,22.624,22.884,2289,0
20100113,22.983,23.109,22.912,22.921,6351,0
20100115,23.083,23.083,22.912,22.912,3010,0
20100119,23.154,23.225,23.154,23.225,532,0
20100120,22.928,22.928,22.452,22.452,1097,0
20100121,22.579,22.579,22.33,22.33,2027,0
20100122,22.33,22.33,22.302,22.302,926,0
20100125,22.086,22.248,21.629,22.221,14228,0
20100126,21.899,22.158,21.781,22.033,2269,0
20100127,21.549,21.71,21.549,21.71,263,0
20100129,21.682,21.682,20.618,21.226,1842,0
20100201,21.549,21.549,21.11,21.11,568,0
20100202,21.763,22.132,21.763,22.132,2853,0
20100203,21.872,21.872,21.691,21.818,1446,0
20100204,21.54,21.54,20.921,21.101,9229,0
20100205,20.662,20.804,19.721,20.696,30755,0
20100208,20.508,20.777,19.721,20.5,10789,0
20100209,20.821,21.297,20.821,21.27,10335,0
20100210,21.002,21.145,20.992,21.145,894,0
20100211,20.903,21.235,20.903,21.235,3496,0
20100212,20.974,20.974,20.786,20.921,894,0
20100216,20.983,21.262,20.983,21.262,915,0
20100218,21.477,21.477,21.189,21.369,894,0
20100223,21.181,21.181,21.029,21.047,10149,0
20100224,21.011,21.011,21.011,21.011,354,0
20100225,20.768,20.768,20.768,20.768,125,0
20100301,21.388,21.531,21.235,21.531,3518,0
20100302,21.728,21.728,21.664,21.664,1002,0
20100303,21.978,21.978,21.629,21.872,703,0
20100304,21.487,21.567,21.487,21.567,638,0
20100305,21.899,22.132,21.899,22.132,1659,0
20100308,22.195,22.195,22.158,22.158,1607,0
20100309,22.177,22.186,22.14,22.186,3570,0
20100310,22.186,22.186,22.149,22.149,2421,0
20100311,22.355,22.372,22.203,22.203,113861,0
20100312,22.542,22.57,22.516,22.516,1361,0
20100315,22.516,22.516,22.516,22.516,232,0
20100317,22.687,22.938,22.687,22.912,10598,0
20100319,22.462,22.462,22.452,22.452,221,0
20100322,22.294,22.776,22.294,22.607,1441,0
20100323,22.659,22.687,22.642,22.642,780,0
20100324,22.526,22.526,22.364,22.419,1018,0
20100325,22.678,22.723,22.678,22.723,614,0
20100326,22.804,22.804,22.804,22.804,333,0
20100329,22.865,22.865,22.865,22.865,111,0
20100330,22.767,22.767,22.705,22.705,791,0
20100331,22.615,22.758,22.615,22.758,1903,0
20100401,22.912,22.956,22.912,22.956,2901,0
20100405,23.306,25.403,23.288,23.359,64871,0
20100406,23.118,23.27,23.091,23.27,3953,0
20100407,23.083,23.083,22.829,22.983,4491,0
20100408,22.974,23.036,22.776,23.036,9626,0
20100409,23.083,23.242,22.938,22.938,5990,0
20100412,23.179,23.349,23.073,23.073,3754,0
20100413,23.144,23.331,23.027,23.331,3744,0
20100414,23.448,23.575,23.323,23.575,1264,0
20100415,23.315,23.43,23.234,23.421,4408,0
20100416,23.216,23.225,22.804,22.964,2053,0
20100419,22.776,23.091,22.551,22.847,29892,0
20100420,23.234,23.278,23.019,23.278,16106,0
20100421,23.216,23.306,23.109,23.306,4432,0
20100422,22.974,23.171,22.856,23.135,3666,0
20100423,23.118,23.278,23.118,23.171,2409,0
20100426,23.315,23.6,23.315,23.439,4212,0
20100427,23.288,23.288,22.865,22.865,2540,0
20100428,22.598,22.633,22.507,22.633,948,0
20100429,23.027,23.154,22.974,22.974,1263,0
20100430,23.162,23.162,22.847,22.847,6089,0
20100503,22.964,23.252,22.428,23.252,7656,0
20100504,22.651,22.651,22.149,22.23,2603,0
20100505,21.647,22.015,21.647,21.881,1341,0
20100506,21.79,21.924,20.5,20.508,6775,0
20100507,20.894,21.235,19.451,20.84,100999,0
20100510,21.8,22.248,21.656,21.656,6428,0
20100511,21.8,21.8,21.8,21.8,153,0
20100512,22.4,22.4,22.311,22.311,580,0
20100513,22.829,22.839,22.723,22.723,1899,0
20100514,22.723,22.723,22.723,22.723,143,0
20100517,21.71,21.71,21.074,21.638,7597,0
20100518,21.638,21.638,21.619,21.619,859,0
20100519,21.047,21.262,21.011,21.262,3748,0
20100520,20.618,20.618,20.276,20.571,2685,0
20100521,20.249,20.795,20.249,20.669,8144,0
20100524,20.644,20.696,20.4,20.4,3876,0
20100525,19.757,20.169,19.739,20.169,32705,0
20100526,20.356,20.356,20.348,20.348,341,0
20100527,20.644,20.777,20.644,20.777,560,0
20100601,20.5,20.912,20.5,20.912,4825,0
20100602,20.536,20.653,20.536,20.653,995,0
20100604,20.293,20.293,20.284,20.284,1513,0
20100608,20.231,20.231,19.845,20.06,2763,0
20100610,20.696,20.696,20.696,20.696,240,0
20100611,20.662,20.804,20.662,20.804,1396,0
20100614,21.162,21.343,21.162,21.343,333,0
20100615,21.719,21.719,21.719,21.719,153,0
20100616,21.496,21.558,21.334,21.369,5055,0
20100618,21.496,21.496,21.352,21.352,464,0
20100621,21.691,21.691,21.691,21.691,192,0
20100622,21.459,21.459,21.181,21.181,1563,0
20100623,21.297,21.388,21.288,21.388,1372,0
20100624,21.074,21.074,21.074,21.074,114,0
20100625,21.181,21.181,21.047,21.091,689,0
20100628,20.374,20.894,20.374,20.894,286,0
20100629,20.24,20.24,20.24,20.24,132,0
20100630,20.52,20.52,20.52,20.52,194,0
20100701,20.383,20.392,19.801,20.043,3757,0
20100702,20.284,20.284,20.114,20.114,768,0
20100706,21.056,21.056,20.599,20.599,1754,0
20100707,20.974,21.235,20.894,21.235,54056,0
20100708,21.02,21.02,21.02,21.02,123,0
20100712,21.154,21.297,21.154,21.27,584,0
20100713,21.691,22.598,21.656,21.818,4611,0
20100714,21.737,21.753,21.592,21.753,535,0
20100715,21.504,21.504,21.504,21.504,160,0
20100716,21.619,21.619,21.549,21.549,921,0
20100719,21.288,21.288,21.288,21.288,371,0
20100720,21.064,21.181,21.002,21.181,961,0
20100721,21.343,21.343,20.992,21.118,1322,0
20100722,21.737,21.737,21.682,21.682,703,0
20100726,22.104,22.104,22.104,22.104,738,0
20100727,22.123,22.123,21.781,21.781,460,0
20100728,22.058,22.058,21.582,21.836,2572,0
20100729,21.951,21.951,21.951,21.951,129,0
20100730,22.104,22.104,22.095,22.095,288,0
20100802,22.723,23.036,22.696,22.856,35883,0
20100803,22.829,22.912,22.741,22.893,279628,0
20100804,22.938,22.974,22.705,22.829,30984,0
20100805,22.884,22.902,22.705,22.856,92838,0
20100806,22.794,22.912,22.615,22.875,7349,0
20100809,22.902,22.974,22.338,22.928,16545,0
20100810,22.499,22.75,22.338,22.75,6272,0
20100811,22.015,22.015,21.558,21.691,5020,0
20100812,21.61,21.682,21.558,21.656,6556,0
20100813,21.853,23.216,21.647,21.682,4119,0
20100816,21.863,21.863,21.719,21.719,709,0
20100817,22.195,22.239,22.024,22.024,2590,0
20100818,22.095,22.302,22.095,22.302,1322,0
20100819,22.302,22.302,21.872,21.924,2448,0
20100820,21.459,21.701,21.459,21.701,3309,0
20100823,21.425,21.425,21.406,21.406,5577,0
20100824,21.198,21.198,21.162,21.181,14416,0
