Date,Open,High,Low,Close,Volume,OpenInt
20130424,23.372,23.409,23.372,23.4,1427,0
20130426,23.446,23.446,23.446,23.446,44047,0
20130429,23.816,23.816,23.816,23.816,217,0
20130430,24.277,24.277,23.848,23.848,744,0
20130501,23.77,23.77,23.77,23.77,1078,0
20130502,23.825,24.04,23.825,23.863,8089,0
20130503,24.086,24.141,24.086,24.132,22571,0
20130506,24.04,24.086,24.03,24.076,102198,0
20130507,24.067,24.067,23.937,24.05,39642,0
20130508,24.233,24.242,24.215,24.233,12756,0
20130509,24.168,24.168,24.03,24.03,863,0
20130510,23.984,24.001,23.909,24.001,14992,0
20130513,24.04,24.096,23.929,24.021,20792,0
20130514,24.058,24.096,24.011,24.011,18796,0
20130515,23.993,24.03,23.993,24.03,18672,0
20130516,24.03,24.058,24.011,24.011,11938,0
20130517,24.021,24.021,24.021,24.021,11274,0
20130520,24.178,24.178,24.168,24.168,217,0
20130521,24.28,24.448,24.28,24.319,17709,0
20130522,24.289,24.289,24.122,24.122,4314,0
20130523,23.594,23.955,23.566,23.78,14886,0
20130524,24.132,24.132,23.585,23.649,22179,0
20130528,23.854,23.899,23.854,23.863,10625,0
20130529,23.652,24.035,23.596,23.764,42678,0
20130530,23.798,23.798,23.798,23.798,1510,0
20130531,24.159,24.159,23.41,23.41,1941,0
20130603,24.053,24.053,23.279,23.428,8909,0
20130604,23.457,23.549,23.336,23.336,6763,0
20130605,23.148,23.187,23.001,23.011,68890,0
20130606,23.457,23.457,22.879,23.019,6819,0
20130607,23.244,23.616,23.167,23.252,38689,0
20130610,23.801,23.801,23.122,23.187,33633,0
20130611,22.944,23.001,22.944,22.973,2577,0
20130612,23.056,23.056,22.822,22.822,72020,0
20130613,22.963,23.244,22.963,23.244,13258,0
20130614,23.103,23.177,22.991,22.991,11148,0
20130617,23.326,23.326,23.14,23.14,8240,0
20130618,23.289,23.355,23.289,23.355,751,0
20130619,22.879,22.963,22.879,22.963,3220,0
20130620,22.377,23.029,21.994,22.004,78111,0
20130621,21.984,22.032,21.984,22.032,10724,0
20130624,21.679,21.679,21.528,21.528,9125,0
20130625,21.826,21.949,21.817,21.949,29737,0
20130626,22.143,22.153,22.079,22.153,6646,0
20130627,22.322,22.322,22.322,22.322,890,0
20130628,22.235,22.562,22.235,22.385,23239,0
20130701,22.591,22.618,22.591,22.609,18115,0
20130702,22.357,22.525,22.153,22.433,21933,0
20130703,22.211,22.379,22.191,22.323,19874,0
