Date,Open,High,Low,Close,Volume,OpenInt
20080725,27.773,27.773,27.773,27.773,107,0
20080728,28.928,28.928,28.18,28.18,555,0
20080729,28.134,28.268,28.125,28.225,18019,0
20080730,28.494,28.632,28.494,28.632,10740,0
20080804,27.231,27.231,27.231,27.231,107,0
20080811,25.931,25.931,25.335,25.335,443,0
20080815,25.29,25.29,25.29,25.29,107,0
20080818,25.443,25.443,25.443,25.443,107,0
20080819,26.382,26.382,24.927,25.198,13105,0
20080820,25.695,25.695,25.695,25.695,107,0
20080821,25.831,25.831,25.831,25.831,242,0
20080822,26.038,26.038,26.038,26.038,2215,0
20080825,26.084,26.084,26.084,26.084,107,0
20080827,25.361,25.876,25.361,25.876,443,0
20080828,26.328,26.328,26.328,26.328,221,0
20080829,26.328,26.328,26.328,26.328,221,0
20080902,25.378,25.378,25.352,25.352,899,0
20080905,23.998,23.998,23.093,23.112,2846,0
20080908,24.72,24.72,23.167,23.167,555,0
20080910,22.155,22.155,21.75,21.75,221,0
20080911,21.594,21.812,21.594,21.812,221,0
20080915,22.489,22.489,22.489,22.489,664,0
20080916,21.207,21.207,21.207,21.207,221,0
20080917,21.27,21.298,19.644,19.961,4778,0
20080918,20.783,21.658,20.683,21.658,1519,0
20080919,22.67,22.67,22.67,22.67,664,0
20080922,22.002,23.808,22.002,23.437,664,0
20080923,23.346,23.346,23.346,23.346,776,0
20080924,22.715,22.715,22.715,22.715,221,0
20080925,22.625,22.67,22.625,22.661,331,0
20080926,21.812,21.812,21.812,21.812,107,0
20081001,19.771,19.844,19.771,19.844,720,0
20081002,19.174,19.183,18.471,18.56,1661,0
20081006,16.907,16.907,15.679,16.032,5757,0
20081007,16.836,16.836,16.393,16.393,2640,0
20081008,15.942,15.942,15.48,15.48,555,0
20081009,16.185,16.195,15.986,15.986,664,0
20081010,14.542,14.587,14.495,14.495,953,0
20081013,15.535,15.923,15.535,15.923,4984,0
20081014,17.422,17.422,16.935,16.935,443,0
20081015,15.797,15.797,14.994,14.994,2711,0
20081016,13.539,13.539,13.539,13.539,2327,0
20081017,13.548,14.09,13.548,14.09,221,0
20081020,14.334,14.404,14.334,14.404,730,0
20081021,14.811,14.811,14.631,14.631,1761,0
20081022,13.457,13.457,13.114,13.114,443,0
