Date,Open,High,Low,Close,Volume,OpenInt
20121025,97.655,97.655,97.655,97.655,511,0
20121026,97.675,97.675,97.675,97.675,264,0
20121031,97.753,97.753,97.753,97.753,1130,0
20121105,97.831,97.86,97.8,97.8,5788,0
20121106,97.76,97.841,97.76,97.841,2992,0
20121109,97.851,97.851,97.851,97.851,200,0
20121114,97.895,97.895,97.895,97.895,1024,0
20121115,97.895,97.905,97.895,97.895,278,0
20121116,97.935,97.935,97.935,97.935,100,0
20121119,97.831,97.831,97.821,97.821,839,0
20121120,97.76,97.76,97.712,97.712,2828,0
20121126,97.865,97.865,97.865,97.865,190,0
20121127,97.875,97.875,97.875,97.875,461,0
20121129,97.811,97.935,97.76,97.77,28297,0
20121204,97.76,97.76,97.741,97.741,12814,0
20121205,98.49,98.49,97.8,97.811,496,0
20121206,97.712,97.79,97.712,97.79,1044,0
20121210,97.8,97.8,97.684,97.684,5453,0
20121211,97.78,97.78,97.665,97.76,915,0
20121212,97.78,97.78,97.741,97.741,613,0
20121213,97.655,97.665,97.655,97.665,200,0
20121214,97.636,97.741,97.636,97.741,3350,0
20121217,97.722,97.722,97.702,97.702,755,0
20121218,97.636,97.665,97.636,97.636,1716,0
20121219,97.597,97.626,97.597,97.626,1208,0
20121221,97.597,97.617,97.597,97.617,715,0
20121224,97.597,97.597,97.597,97.597,210,0
20121226,97.575,97.635,97.575,97.615,3537,0
20121227,97.605,97.664,97.585,97.664,6256,0
20121228,97.683,97.683,97.683,97.683,458,0
20121231,97.708,97.718,97.671,97.671,1641,0
20130103,97.885,97.885,97.664,97.664,2253,0
20130104,97.615,97.615,97.615,97.615,130,0
20130107,97.625,97.635,97.605,97.615,7481,0
20130108,97.538,97.674,97.538,97.674,745,0
20130109,97.653,97.788,97.653,97.788,12408,0
20130110,97.691,97.691,97.691,97.691,244,0
20130114,97.71,97.71,97.692,97.692,337,0
20130115,97.615,97.73,97.605,97.674,20375,0
20130116,97.654,97.654,97.654,97.654,100,0
20130117,97.683,97.692,97.654,97.654,30436,0
20130118,97.643,97.7,97.643,97.663,562,0
20130122,97.664,97.664,97.585,97.654,1603,0
20130123,97.647,97.677,97.628,97.628,11685,0
20130124,97.605,97.71,97.595,97.605,6455,0
20130125,97.595,97.595,97.498,97.498,6801,0
20130128,97.488,97.518,97.488,97.508,1705,0
20130130,97.527,97.537,97.508,97.537,663,0
20130131,97.544,97.776,97.544,97.544,1076,0
20130201,97.585,97.624,97.585,97.585,5396,0
20130206,97.647,97.677,97.647,97.647,507,0
20130207,97.657,97.723,97.657,97.723,1233,0
20130208,97.694,97.694,97.588,97.618,2607,0
20130211,97.682,97.682,97.682,97.682,100,0
20130212,97.537,97.653,97.527,97.653,1888,0
20130213,97.498,97.614,97.498,97.595,3377,0
20130214,97.634,97.673,97.634,97.673,3412,0
20130219,97.566,97.643,97.537,97.537,2725,0
20130220,97.647,97.686,97.55,97.559,7527,0
20130221,97.604,97.74,97.604,97.74,233,0
20130222,97.752,97.811,97.743,97.811,43055,0
20130226,97.925,97.946,96.803,97.798,17540,0
20130227,97.946,97.956,97.946,97.956,330,0
20130228,97.613,97.865,97.603,97.865,20695,0
20130301,97.885,97.895,97.865,97.885,5461,0
20130304,97.713,97.885,97.713,97.865,1816,0
20130305,97.865,97.865,97.841,97.865,2923,0
20130306,97.831,97.841,97.794,97.831,3536,0
20130307,97.784,97.784,97.784,97.784,210,0
20130308,97.433,97.723,97.423,97.694,7539,0
20130311,97.694,97.694,97.677,97.686,1046,0
20130312,97.608,97.752,97.608,97.743,1691,0
20130313,97.694,97.723,97.677,97.713,5019,0
20130314,97.713,97.713,97.713,97.713,1024,0
20130315,97.494,97.821,97.494,97.659,4548,0
20130318,97.831,97.851,97.752,97.831,7439,0
20130319,97.86,97.885,97.86,97.885,5785,0
20130320,97.792,97.86,97.713,97.86,1135,0
20130321,97.851,97.86,97.841,97.841,1639,0
20130322,98.091,98.091,97.794,97.811,2303,0
20130325,97.821,97.851,97.821,97.851,1344,0
20130326,97.811,97.946,97.801,97.885,14887,0
20130327,97.925,97.935,97.915,97.935,1742,0
20130328,97.895,97.946,97.895,97.946,567,0
20130401,97.915,97.956,97.841,97.851,2819,0
20130402,97.925,97.935,97.915,97.935,4576,0
20130403,97.966,98.011,97.956,98.011,2233,0
20130404,98.041,98.124,98.041,98.071,4438,0
20130405,98.071,98.081,98.061,98.081,1142,0
20130408,98.061,98.071,98.006,98.071,4934,0
20130409,98.071,98.153,97.865,97.865,10081,0
20130410,98.041,98.041,98.011,98.031,1745,0
20130411,98.031,98.051,98.011,98.041,7437,0
20130412,98.071,98.071,98.071,98.071,1181,0
20130415,98.071,98.091,97.966,98.091,4827,0
20130416,98.081,98.091,98.081,98.091,1205,0
20130417,98.071,98.104,98.071,98.104,21943,0
20130418,98.133,98.133,98.104,98.114,5441,0
20130419,98.124,98.124,98.104,98.114,5942,0
20130422,98.133,98.133,98.071,98.133,786,0
20130423,98.153,98.153,98.071,98.143,1074,0
20130424,99.067,99.067,98.133,98.153,4805,0
20130425,98.183,98.183,98.071,98.143,2419,0
20130426,98.104,98.294,98.104,98.294,3356,0
20130429,98.304,98.313,98.235,98.304,3824,0
20130430,98.383,98.383,98.383,98.383,1739,0
20130501,98.48,98.48,98.412,98.48,55663,0
20130502,98.918,98.918,98.918,98.918,100,0
20130503,98.808,98.908,98.343,98.788,9132,0
20130506,98.838,99.7,98.758,98.778,10865,0
20130507,98.808,98.828,98.573,98.818,6991,0
20130508,99.162,99.191,99.007,99.182,5564,0
20130509,98.244,98.828,92.743,98.818,5181,0
20130510,98.748,98.758,98.62,98.65,6229,0
20130513,98.689,98.689,98.583,98.62,7156,0
20130514,98.66,98.66,98.323,98.431,54959,0
20130515,98.64,98.64,98.333,98.431,45373,0
20130516,98.613,98.65,98.323,98.46,22389,0
20130517,98.603,98.613,98.431,98.431,30410,0
20130520,98.534,98.66,98.373,98.65,6976,0
20130521,98.603,98.67,98.353,98.66,10166,0
20130522,98.583,98.583,98.524,98.534,2350,0
20130523,98.573,98.583,98.383,98.583,7350,0
20130524,98.553,98.62,98.412,98.603,3147,0
20130528,98.514,98.573,98.071,98.071,27209,0
20130529,98.104,98.373,98.104,98.254,28330,0
20130530,98.402,98.49,98.091,98.091,24053,0
20130531,98.263,98.313,97.996,98.313,7357,0
20130603,98.254,98.363,97.966,98.143,6035,0
20130604,97.996,98.183,97.798,97.986,11239,0
20130605,97.758,98.195,97.758,98.133,3341,0
20130606,98.163,98.283,98.114,98.114,2644,0
20130607,97.76,98.173,97.721,98.081,8297,0
20130610,97.996,98.051,97.741,98.051,14287,0
20130611,97.684,98.031,97.528,97.986,4633,0
20130612,98.021,98.061,97.693,98.061,10815,0
20130613,97.636,98.163,97.636,98.163,4097,0
20130614,98.64,98.64,98.205,98.263,6573,0
20130617,98.294,98.294,97.875,98.244,3831,0
20130618,97.739,98.183,97.739,98.183,3215,0
20130619,97.925,98.163,97.721,97.875,6196,0
20130620,97.234,97.283,96.922,97.263,5437,0
20130621,97.221,97.309,96.869,97.074,4996,0
20130624,96.552,96.999,96.552,96.999,6985,0
20130625,97.064,97.094,96.8,97.094,7904,0
20130626,97.231,97.231,97.094,97.221,4196,0
20130627,97.29,98.061,97.241,97.398,11213,0
20130628,97.482,98.163,97.413,97.541,11268,0
20130701,97.388,97.467,97.25,97.467,8525,0
20130702,97.641,97.728,97.446,97.622,42995,0
20130703,97.996,98.006,97.241,97.241,65472,0
20130705,97.241,97.438,97.241,97.398,11866,0
20130708,97.29,97.672,97.26,97.26,5202,0
20130709,97.748,97.748,97.191,97.398,14282,0
20130710,97.153,97.594,97.104,97.507,2375,0
20130711,97.885,97.935,97.29,97.935,51012,0
20130712,97.925,97.976,97.408,97.841,1374,0
20130715,97.956,97.976,97.946,97.966,3021,0
20130716,97.986,97.996,97.767,97.976,5076,0
20130717,98.153,98.153,97.536,97.536,809,0
20130718,97.672,98.124,97.672,98.041,6449,0
20130719,97.698,98.021,97.698,98.021,819,0
20130722,98.153,98.153,97.851,98.124,2968,0
20130723,98.081,98.124,97.851,98.124,4725,0
20130724,98.061,98.061,97.935,98.031,9722,0
20130725,97.841,98.031,97.841,98.031,7519,0
20130726,97.976,97.976,97.935,97.935,1013,0
20130729,97.935,98.124,97.507,97.935,16826,0
20130730,97.976,97.986,97.841,97.915,18457,0
20130731,97.851,98.011,97.787,97.976,19605,0
20130801,97.935,97.935,97.604,97.604,1896,0
20130802,97.996,98.081,97.811,98.031,3937,0
20130805,98.041,98.051,97.966,98.021,9146,0
20130806,97.956,97.986,97.399,97.555,6812,0
20130807,97.612,97.821,97.602,97.777,4427,0
20130808,97.86,97.86,97.777,97.821,2036,0
20130809,97.641,98.006,97.641,98.006,8313,0
20130812,98.011,98.373,97.787,97.787,8874,0
20130813,97.69,98.153,97.525,97.554,15600,0
20130814,97.554,98.828,97.554,97.728,7538,0
20130815,97.612,97.641,97.496,97.496,5222,0
20130816,97.641,97.641,97.535,97.535,937,0
20130819,97.496,97.545,97.446,97.506,2460,0
20130820,97.477,97.624,97.477,97.594,5418,0
20130821,97.446,97.582,97.397,97.446,10373,0
20130822,97.447,98.244,97.349,97.399,9111,0
20130823,97.104,97.526,97.104,97.231,6501,0
20130826,97.565,97.565,97.517,97.517,1699,0
20130827,97.604,97.604,97.419,97.526,1212,0
20130828,97.604,98.244,97.319,97.565,15404,0
20130829,97.526,97.575,97.399,97.575,7273,0
20130830,97.763,97.763,97.744,97.753,1504,0
20130903,97.457,97.457,97.27,97.309,3585,0
20130904,97.25,97.477,97.201,97.201,2427,0
20130905,97.231,97.231,96.918,96.938,1061,0
20130906,97.409,97.419,97.114,97.114,972,0
20130909,97.181,97.457,97.181,97.319,2952,0
20130910,97.359,97.379,97.231,97.379,6429,0
20130911,97.409,97.729,97.25,97.7,5431,0
20130912,97.546,97.976,97.457,97.467,5143,0
20130913,97.497,98.173,97.399,97.467,13050,0
20130916,97.788,98.393,97.624,98.143,9007,0
20130917,97.71,97.935,97.477,97.673,5935,0
20130918,97.7,98.393,97.614,97.841,9860,0
20130919,98.021,98.031,97.935,97.976,3382,0
20130920,97.643,97.976,97.643,97.976,6328,0
20130923,98.383,98.383,97.739,97.976,8734,0
20130924,97.976,98.021,97.966,98.011,2070,0
20130925,98.041,98.114,98.041,98.114,5492,0
20130926,98.061,98.061,97.778,97.778,5456,0
20130927,98.091,98.091,97.811,97.811,1220,0
20130930,98.294,98.294,97.986,98.104,5965,0
20131001,98.143,98.143,97.986,98.124,3479,0
20131002,98.153,98.153,97.915,98.133,3802,0
20131003,98.114,98.215,97.905,98.061,4016,0
20131004,98.173,98.868,98.163,98.858,3618,0
20131007,98.195,98.205,97.841,98.124,4668,0
20131008,98.071,98.071,97.821,97.821,4504,0
20131009,97.865,98.808,97.865,98.49,16946,0
20131010,98.071,98.699,98.071,98.524,4893,0
20131011,98.133,99.143,97.996,98.263,23013,0
20131014,98.353,98.46,97.743,97.801,8011,0
20131015,97.821,98.45,97.821,98.383,10573,0
20131016,97.885,98.283,97.885,98.283,1225,0
20131017,98.47,99.047,98.333,98.343,24867,0
20131018,98.524,98.524,98.235,98.45,2689,0
20131021,98.514,98.514,98.071,98.393,2363,0
20131022,98.583,98.583,98.48,98.48,12079,0
20131023,98.603,98.603,98.48,98.553,5353,0
20131024,98.48,98.553,98.244,98.283,11893,0
20131025,98.543,98.978,98.254,98.613,36457,0
20131028,98.758,98.758,98.383,98.68,5019,0
20131029,98.768,98.778,98.583,98.748,3930,0
20131030,98.838,98.838,98.393,98.62,7440,0
20131031,98.798,98.808,98.699,98.699,6215,0
20131101,98.67,98.68,97.562,98.353,14181,0
20131104,98.583,98.583,98.45,98.524,6748,0
20131105,98.563,98.563,98.173,98.48,7061,0
20131106,98.64,98.65,98.333,98.543,5194,0
20131107,98.728,98.728,98.543,98.563,4358,0
20131108,98.441,98.441,98.353,98.431,7233,0
20131111,98.45,98.45,98.373,98.383,13491,0
20131112,98.402,98.402,98.294,98.333,6708,0
20131113,98.441,98.5,98.294,98.393,7179,0
20131114,98.543,98.603,98.441,98.5,3676,0
