Date,Open,High,Low,Close,Volume,OpenInt
20100823,23.656,23.711,23.434,23.434,64888,0
20100824,23.136,23.21,23.071,23.089,50716,0
20100825,22.867,23.182,22.867,23.182,37158,0
20100826,23.061,23.071,22.931,22.94,26152,0
20100827,23.052,23.266,23.052,23.266,28300,0
20100830,23.247,23.32,23.033,23.033,13968,0
20100831,22.988,23.033,22.801,22.913,34054,0
20100901,24.556,24.556,23.293,23.507,41512,0
20100902,23.618,23.775,23.618,23.757,21803,0
20100903,24.082,24.082,23.953,24.035,8422,0
20100907,24.017,24.017,23.878,23.961,12769,0
20100908,23.925,24.073,23.925,23.998,21435,0
20100909,24.054,24.1,24.017,24.064,25170,0
20100910,24.082,24.185,24.064,24.175,19915,0
20100913,24.369,24.463,24.314,24.463,18443,0
20100914,24.398,24.611,24.398,24.499,48025,0
20100915,24.379,24.565,24.379,24.565,12935,0
20100916,24.547,24.62,24.528,24.62,24503,0
20100917,24.741,24.759,24.602,24.695,10485,0
20100920,24.75,25.066,24.75,25.056,14728,0
20100921,25.019,25.141,24.973,25.085,7954,0
20100922,24.973,25.047,24.954,25,74167,0
20100923,24.973,25,24.787,24.787,20938,0
20100924,25.131,25.288,25.131,25.232,32214,0
20100927,25.278,25.363,25.278,25.353,13177,0
20100928,25.028,25.251,24.973,25.186,22640,0
20100929,25.297,25.297,25.186,25.186,19216,0
20100930,25.4,25.455,25.016,25.175,49090,0
20101001,25.307,25.344,25.141,25.214,30802,0
20101004,25.168,25.168,24.926,25.019,21301,0
20101005,25.353,25.529,25.269,25.511,37018,0
20101006,25.483,25.566,25.455,25.52,22702,0
20101007,25.642,25.642,25.382,25.511,38078,0
20101008,25.502,25.762,25.464,25.752,18273,0
20101011,25.771,25.771,25.734,25.744,68322,0
20101012,25.651,25.771,25.651,25.771,69786,0
20101013,26.013,26.132,26.013,26.123,28923,0
20101014,26.067,26.115,25.929,26.039,41590,0
20101015,26.3,26.3,26.105,26.18,58393,0
20101018,26.319,26.44,26.291,26.402,22248,0
20101019,26.048,26.17,25.874,25.958,43201,0
20101020,26.096,26.355,26.086,26.291,25431,0
20101021,26.345,26.44,26.17,26.345,19017,0
20101022,26.345,26.393,26.337,26.374,23550,0
20101025,26.551,26.699,26.496,26.504,17265,0
20101026,26.43,26.523,26.43,26.514,38803,0
20101027,26.345,26.43,26.208,26.43,36113,0
20101028,26.411,26.496,26.291,26.459,18994,0
20101029,26.405,26.49,26.386,26.424,36826,0
20101101,26.587,26.69,26.411,26.486,25412,0
20101102,26.708,26.782,26.69,26.746,13616,0
20101103,26.809,26.828,26.615,26.782,28894,0
20101104,27.117,27.321,27.117,27.303,57188,0
20101105,27.312,27.376,27.275,27.376,43718,0
20101108,27.284,27.339,27.275,27.33,17504,0
20101109,27.478,27.478,27.2,27.219,25906,0
20101110,27.237,27.33,27.237,27.303,18212,0
20101111,27.005,27.173,26.921,27.173,80969,0
20101112,27.042,27.088,26.69,26.828,114078,0
20101115,26.903,26.949,26.727,26.727,64779,0
20101116,26.477,26.477,26.218,26.218,36372,0
20101117,26.374,26.411,26.337,26.337,24777,0
