Date,Open,High,Low,Close,Volume,OpenInt
20050225,45.186,45.909,45.186,45.78,51041,0
20050228,45.566,45.584,44.935,45.121,30537,0
20050301,45.593,45.817,44.667,45.817,50934,0
20050302,45.78,46.001,45.242,45.761,221105,0
20050303,46.02,46.03,45.408,45.78,23848,0
20050304,45.742,46.196,45.631,45.956,247976,0
20050307,46.049,46.196,45.798,45.798,35827,0
20050308,46.011,46.086,45.649,45.649,42949,0
20050309,45.807,45.807,45.261,45.261,52228,0
20050310,45.89,45.918,45.418,45.678,73809,0
20050311,45.807,45.862,45.242,45.584,35069,0
20050314,45.223,45.539,44.954,45.112,16509,0
20050315,45.826,45.826,45.038,45.362,31942,0
20050316,45.381,45.381,44.733,45.121,31834,0
20050317,44.751,45.186,44.667,45.159,26871,0
20050318,45.038,45.038,44.482,44.927,29028,0
20050321,44.898,44.898,44.167,44.769,26654,0
20050322,44.537,44.964,44.214,44.584,52660,0
20050323,44.574,45.047,44.334,44.88,56112,0
20050324,45.065,45.28,44.63,45.093,29458,0
20050328,45.084,45.084,44.584,44.667,30323,0
20050329,44.648,44.908,44.334,44.686,21258,0
20050330,44.76,45.186,44.482,44.954,25792,0
20050331,44.621,45.074,44.5,44.5,19316,0
20050401,45.065,45.065,44.232,44.482,15972,0
20050404,44.602,44.751,44.251,44.751,14568,0
20050405,45.074,45.4,44.954,45.065,40574,0
20050406,45.669,45.669,45.251,45.251,127332,0
20050407,45.214,45.761,45.103,45.593,27516,0
20050408,45.826,45.88,45.4,45.455,34639,0
20050411,45.686,45.843,45.464,45.733,19857,0
20050412,45.51,45.973,45.047,45.956,26654,0
20050413,45.918,46.243,45.64,46.158,41761,0
20050414,46.141,46.27,45.612,45.659,53308,0
20050415,46.336,46.874,46.158,46.336,94313,0
20050418,46.346,46.437,45.733,46.196,338621,0
20050419,45.965,46.521,45.965,46.15,584868,0
20050420,46.196,46.196,45.408,45.807,36149,0
20050421,46.289,46.308,45.78,46.243,636771,0
20050422,46.158,46.428,45.918,46.15,276895,0
20050425,46.215,46.243,45.696,46.215,92155,0
20050426,46.215,46.346,45.733,45.872,120103,0
20050427,46.058,46.381,45.64,46.104,44351,0
20050428,46.02,46.511,45.89,46.011,43812,0
20050429,46.437,46.826,46.02,46.808,46727,0
20050502,46.836,46.9,46.428,46.893,110822,0
20050503,46.937,47.215,46.605,46.984,120210,0
20050504,46.937,47.55,46.799,47.447,343042,0
20050505,47.401,47.595,47.067,47.586,99062,0
20050506,47.586,47.614,47.262,47.42,117189,0
20050509,47.224,47.475,47.003,47.133,68307,0
20050510,47.169,47.205,46.706,46.893,72299,0
20050511,47.123,47.308,46.614,47.243,54493,0
20050512,47.243,47.42,46.874,47.096,49314,0
20050513,46.864,47.021,46.428,46.437,42840,0
20050516,46.437,47.234,46.437,47.234,53523,0
20050517,47.077,47.298,46.576,47.188,145138,0
20050518,47.401,47.502,47.012,47.401,166396,0
20050519,47.355,47.383,46.946,47.215,69603,0
20050520,47.205,47.298,46.937,47.224,64530,0
20050523,46.808,47.484,46.808,47.272,63342,0
20050524,47.447,47.484,47.161,47.161,109097,0
20050525,47.161,47.456,46.984,47.355,68848,0
20050526,47.475,47.484,47.058,47.466,56436,0
20050527,47.475,47.475,47.021,47.42,25034,0
20050531,47.411,47.411,46.799,46.808,56869,0
20050601,46.808,47.392,46.799,47.169,78665,0
20050602,46.836,47.253,46.836,47.021,54819,0
20050603,47.096,47.253,46.808,47.096,53954,0
20050606,47.096,47.253,46.808,47.077,23741,0
20050607,46.946,47.437,46.946,46.956,38631,0
20050608,47.188,47.281,46.716,46.9,43163,0
20050609,46.893,47.224,46.548,47.188,32265,0
20050610,47.169,47.196,46.446,46.799,29244,0
20050613,46.614,47.133,46.428,46.984,122477,0
20050614,47.03,47.243,46.893,47.243,37013,0
20050615,47.243,47.243,46.586,47.021,22770,0
20050616,46.893,47.178,46.799,47.133,38631,0
20050617,47.058,47.336,47.039,47.336,19531,0
20050620,47.317,47.346,46.927,47.096,36799,0
20050621,47.326,47.447,46.956,47.374,38307,0
20050622,47.456,47.456,46.994,47.012,24927,0
