Date,Open,High,Low,Close,Volume,OpenInt
20050225,46.692,47.249,46.692,47.037,5631,0
20050228,47.047,47.316,47.047,47.191,4590,0
20050301,47.134,47.459,47.134,47.344,4693,0
20050302,47.219,47.738,47.219,47.546,2295,0
20050303,47.421,47.575,46.884,46.999,33687,0
20050304,47.364,47.556,47.229,47.267,7926,0
20050307,47.459,48.178,47.364,47.824,23156,0
20050308,47.795,48.044,47.421,47.459,11577,0
20050309,47.584,47.748,47.134,47.364,7093,0
20050310,47.594,47.594,46.942,47.556,29831,0
20050311,47.326,47.699,46.702,46.702,31604,0
20050314,46.741,47.124,46.692,47.124,30768,0
20050315,46.596,46.788,46.5,46.788,1877,0
20050316,46.645,46.645,46.126,46.126,28579,0
20050317,46.07,46.453,46.031,46.396,1982,0
20050318,46.165,46.261,45.781,45.781,3546,0
20050321,46.041,46.117,45.589,45.781,3755,0
20050322,45.742,46.021,45.312,45.312,9491,0
20050323,45.734,45.734,45.446,45.495,8239,0
20050324,45.542,46.021,45.542,45.734,1044,0
20050328,45.925,45.925,45.589,45.868,2920,0
20050329,45.111,45.589,45.111,45.206,37132,0
20050330,45.273,45.868,45.273,45.456,5737,0
20050331,45.772,45.839,45.628,45.686,11995,0
20050401,45.551,45.897,45.551,45.58,3024,0
20050404,45.111,45.638,45.111,45.417,1564,0
20050405,45.811,45.811,45.407,45.619,1564,0
20050406,45.83,45.934,45.83,45.934,208,0
20050407,45.878,45.925,45.791,45.791,2712,0
20050408,46.021,46.309,46.021,46.165,5215,0
20050411,45.83,45.925,45.599,45.599,2295,0
20050412,45.398,45.619,45.36,45.599,835,0
20050413,45.734,45.734,45.062,45.062,12932,0
20050414,45.062,45.062,44.488,44.488,2817,0
20050415,43.528,43.595,43.02,43.02,30144,0
20050418,43.165,43.241,42.915,43.241,3337,0
20050419,43.615,43.709,43.289,43.709,6779,0
20050420,44.008,44.008,43.145,43.145,5737,0
20050421,43.817,44.449,43.817,44.449,11995,0
20050422,44.535,44.535,44.103,44.381,2920,0
20050425,44.248,44.631,44.113,44.488,28056,0
20050426,44.439,44.718,44.248,44.391,2608,0
20050427,44.008,44.248,43.719,44.248,3546,0
20050428,44.074,44.074,43.576,43.719,3233,0
20050429,44.056,44.056,43.336,43.855,6050,0
20050502,44.218,44.248,43.682,43.682,1564,0
20050503,44.276,44.535,44.152,44.2,3024,0
20050504,44.43,44.842,44.391,44.842,6363,0
20050505,45.053,45.053,44.554,44.958,8553,0
20050506,45.062,45.15,45.062,45.15,1564,0
20050509,45.159,45.159,44.88,45.159,145603,0
20050510,44.88,45.014,44.66,44.66,627,0
20050511,44.919,44.967,44.343,44.967,6674,0
20050512,45.014,45.187,44.497,44.88,4276,0
20050513,44.88,45.628,44.88,45.303,1564,0
20050516,45.495,45.734,45.234,45.734,3546,0
20050517,45.589,45.907,45.35,45.82,8239,0
20050518,46.156,46.721,46.156,46.443,12203,0
20050519,46.741,46.971,46.741,46.884,3233,0
20050520,46.884,47.076,46.606,47.076,5319,0
20050523,47.172,47.316,47.009,47.009,9283,0
20050524,47.124,47.44,46.951,47.364,5944,0
20050525,47.163,47.163,46.606,46.981,5737,0
20050526,47.402,47.556,47.181,47.364,14812,0
20050527,47.651,47.651,47.459,47.651,3860,0
20050531,47.459,47.459,46.971,47.172,25658,0
