Date,Open,High,Low,Close,Volume,OpenInt
20050225,55.787,56.129,55.758,56.129,360196,0
20050228,56.005,56.3,55.834,56.158,16703,0
20050301,56.357,56.729,56.3,56.719,11449,0
20050302,56.548,57.081,56.433,56.823,1043508,0
20050303,56.928,57.148,56.634,56.899,27418,0
20050304,57.214,57.31,57.081,57.272,269018,0
20050307,57.262,57.557,57.119,57.452,21536,0
20050308,57.356,57.404,57.015,57.034,37396,0
20050309,56.889,57.034,56.509,56.577,42015,0
20050310,56.5,56.673,56.319,56.471,17436,0
20050311,56.5,56.7,56.224,56.375,17959,0
20050314,56.452,56.625,56.3,56.538,32145,0
20050315,56.767,56.976,56.548,56.69,19541,0
20050316,56.452,56.5,56.072,56.319,30988,0
20050317,56.263,56.644,56.263,56.634,5148,0
20050318,56.452,56.548,56.101,56.319,112713,0
20050321,56.224,56.224,55.787,56.092,18802,0
20050322,56.072,56.31,55.691,55.691,21536,0
20050323,55.691,55.843,55.557,55.691,8400,0
20050324,55.654,55.899,55.586,55.701,28992,0
20050328,55.701,56.168,55.701,56.034,8513,0
20050329,55.88,56.043,55.358,55.358,7772,0
20050330,55.691,56.168,55.625,56.11,39602,0
20050331,56.215,56.263,55.976,56.139,17331,0
20050401,56.215,56.348,55.348,55.452,308619,0
20050404,55.452,55.814,55.215,55.778,203363,0
20050405,55.88,56.196,55.805,56.139,26472,0
20050406,56.215,56.366,55.88,55.889,45905,0
20050407,55.899,56.215,55.691,56.148,8718,0
20050408,56.148,56.215,55.644,55.644,49791,0
20050411,55.644,55.691,55.49,55.577,7878,0
20050412,55.368,55.976,55.053,55.957,54411,0
20050413,55.739,55.995,55.368,55.396,48845,0
20050414,55.31,55.499,54.795,54.824,153890,0
20050415,54.692,54.692,53.872,53.872,543919,0
20050418,53.787,54.14,53.674,53.977,29622,0
20050419,53.958,54.092,53.74,54.015,16489,0
20050420,53.787,53.901,53.044,53.044,54307,0
20050421,53.929,54.3,53.635,54.178,61554,0
20050422,53.977,54.006,53.063,53.311,26367,0
20050425,53.453,53.911,53.453,53.843,21743,0
20050426,53.655,54.13,53.578,53.597,10713,0
20050427,53.453,53.787,53.073,53.693,58615,0
20050428,53.693,53.693,52.997,53.016,119645,0
20050429,53.216,53.216,52.359,53.092,19119,0
20050502,53.453,53.721,53.14,53.539,184667,0
20050503,53.369,53.939,53.311,53.635,89603,0
20050504,53.693,54.51,53.693,54.472,38971,0
20050505,54.406,54.795,54.206,54.434,31619,0
20050506,54.834,54.834,54.291,54.434,48424,0
20050509,54.415,54.759,54.377,54.635,7563,0
20050510,54.358,54.491,54.121,54.121,18069,0
20050511,54.073,54.244,53.693,54.169,9140,0
20050512,53.929,54.397,53.872,53.977,48213,0
20050513,54.073,54.102,53.578,53.693,42544,0
20050516,53.939,54.415,53.939,54.415,95800,0
20050517,54.397,54.872,54.377,54.778,241494,0
20050518,55.205,55.758,55.035,55.72,23320,0
20050519,55.918,56.158,55.88,56.12,21427,0
20050520,56.168,56.168,55.701,55.976,12080,0
20050523,56.129,56.395,56.072,56.328,30778,0
20050524,56.024,56.253,56.005,56.224,18802,0
20050525,56.072,56.139,55.758,55.928,28467,0
20050526,56.072,56.328,56.063,56.263,13865,0
20050527,56.424,56.433,56.263,56.366,9665,0
20050531,56.215,56.291,55.986,56.082,37499,0
20050601,56.063,56.7,56.063,56.49,251368,0
20050602,56.328,56.996,56.328,56.957,153783,0
20050603,56.947,57.015,56.375,56.48,57144,0
20050606,56.48,56.719,56.414,56.673,11449,0
20050607,56.596,57.233,56.596,56.738,29202,0
20050608,56.88,56.899,56.338,56.424,26155,0
20050609,56.48,56.842,56.272,56.625,13655,0
20050610,56.738,56.738,56.328,56.586,20171,0
20050613,56.452,56.889,56.385,56.738,28780,0
20050614,56.833,57.395,56.833,57.32,31934,0
20050615,57.452,57.452,56.861,57.301,40442,0
20050616,57.356,57.471,57.233,57.404,37710,0
20050617,57.643,57.663,57.291,57.433,45378,0
20050620,57.281,57.499,57.024,57.442,9347,0
20050621,57.518,57.605,57.31,57.414,19328,0
20050622,57.653,57.653,57.157,57.499,17331,0
20050623,57.452,57.452,56.615,56.664,18175,0
20050624,56.548,56.567,56.129,56.139,19119,0
20050627,56.034,56.263,55.938,56.024,6617,0
20050628,56.092,56.833,56.043,56.719,56513,0
20050629,56.786,56.899,56.49,56.577,18698,0
20050630,56.738,56.833,56.3,56.3,75948,0
20050701,56.548,56.548,56.224,56.348,170279,0
20050705,56.263,57.063,56.263,57.043,73427,0
20050706,57.015,57.015,56.557,56.557,18594,0
20050707,56.31,56.664,56.11,56.548,21743,0
20050708,56.673,57.452,56.577,57.395,16808,0
20050711,57.595,57.776,57.471,57.653,30041,0
20050712,57.69,58.109,57.663,58.052,36346,0
20050713,57.975,57.975,57.682,57.748,51786,0
20050714,58.052,58.413,57.861,57.965,68066,0
20050715,57.88,58.214,57.861,58.167,13444,0
20050718,58.119,58.224,58.014,58.138,19749,0
20050719,58.281,58.375,58.138,58.272,37499,0
20050720,58.147,58.624,58.014,58.508,26575,0
20050721,58.557,58.653,58.091,58.272,73848,0
20050722,58.328,58.663,58.281,58.547,15756,0
20050725,58.595,58.738,58.157,58.233,10713,0
20050726,58.404,58.663,58.394,58.663,20797,0
20050727,58.69,58.785,58.365,58.785,14075,0
20050728,58.898,59.375,58.898,59.366,45274,0
20050729,59.366,59.413,58.851,58.851,20903,0
20050801,59.09,59.156,58.841,58.975,26785,0
20050802,59.023,59.118,58.841,59.118,9873,0
20050803,58.927,58.985,58.718,58.985,17016,0
20050804,58.832,58.832,58.186,58.328,23320,0
20050805,58.147,58.147,57.851,57.975,19644,0
20050808,58.119,58.214,57.758,57.776,8930,0
20050809,58.023,58.394,57.985,58.262,13655,0
20050810,58.404,58.908,58.091,58.099,16072,0
20050811,58.431,58.518,58.072,58.413,19644,0
20050812,58.291,58.337,57.946,58.233,12292,0
20050815,58.262,58.785,58.099,58.69,12708,0
20050816,58.233,58.243,57.518,57.585,130253,0
20050817,57.471,58.091,57.452,57.937,153051,0
20050818,57.595,57.908,57.576,57.69,57038,0
20050819,57.786,57.805,57.395,57.48,91706,0
20050822,57.528,57.739,57.024,57.347,130046,0
20050823,57.338,57.338,57.024,57.204,27418,0
20050824,57.119,57.424,56.634,56.644,378474,0
20050825,56.673,56.947,56.673,56.786,26575,0
20050826,56.738,56.738,56.442,56.548,71536,0
20050829,56.31,56.88,56.224,56.719,46428,0
20050830,56.596,56.596,55.928,56.205,47690,0
20050831,56.291,56.644,56.005,56.644,60191,0
20050901,56.548,56.767,56.034,56.101,119750,0
20050902,56.375,56.375,55.853,55.928,17331,0
20050906,56.072,56.928,56.072,56.842,39602,0
20050907,56.899,57.395,56.795,57.262,18485,0
20050908,56.928,57.053,56.738,56.823,11136,0
20050909,57.005,57.272,56.918,57.214,10506,0
20050912,57.119,57.518,57.119,57.395,10610,0
20050913,57.31,57.31,56.654,56.709,32145,0
20050914,56.786,56.814,56.12,56.168,26998,0
20050915,56.168,56.319,56.034,56.234,23109,0
20050916,56.385,56.509,56.234,56.404,12292,0
20050919,56.404,56.404,55.586,55.682,50843,0
20050920,55.814,55.909,54.939,54.939,30461,0
20050921,54.785,54.785,53.987,54.112,101787,0
20050922,54.073,54.91,53.825,54.805,26155,0
20050923,54.644,55.234,54.568,54.939,24579,0
20050926,55.415,55.415,54.673,54.891,50422,0
20050927,54.929,55.129,54.663,54.901,38550,0
20050928,55.025,55.111,54.568,54.644,11976,0
20050929,54.549,55.187,54.32,55.177,38653,0
20050930,55.215,55.615,55.168,55.519,15545,0
20051003,55.843,55.853,55.415,55.499,11029,0
20051004,55.548,55.843,55.282,55.282,26155,0
20051005,55.119,55.148,54.529,54.607,47059,0
20051006,54.644,55.177,54.178,54.549,50317,0
20051007,54.644,54.882,54.597,54.72,20273,0
20051010,54.834,54.882,54.472,54.481,11238,0
20051011,54.5,54.739,54.196,54.235,21536,0
20051012,54.188,54.31,53.435,53.626,293284,0
20051013,53.5,53.74,53.34,53.616,17959,0
20051014,54.025,54.31,53.711,54.188,31934,0
20051017,54.073,54.272,53.929,54.235,618078,0
20051018,54.253,54.253,53.711,53.759,27312,0
20051019,53.529,54.824,53.407,54.824,165653,0
20051020,54.692,55.092,53.977,54.244,15440,0
20051021,54.644,54.644,54.196,54.196,10819,0
20051024,54.71,55.035,54.434,55.035,12184,0
20051025,54.834,54.929,54.358,54.607,245698,0
20051026,54.453,54.72,54.13,54.178,793610,0
20051027,53.891,54.006,53.025,53.083,36451,0
20051028,53.462,54.064,53.398,53.958,65968,0
20051031,54.444,55.139,54.444,54.739,518182,0
20051101,54.977,55.035,54.71,54.891,22060,0
20051102,54.834,55.834,54.834,55.787,26472,0
20051103,56.357,56.366,55.739,55.966,63026,0
20051104,56.072,56.101,55.88,56.092,19010,0
20051107,56.5,56.557,56.205,56.424,35820,0
20051108,56.244,56.244,55.928,56.005,34664,0
20051109,56.072,56.3,55.871,56.129,13972,0
20051110,56.148,57.024,56.082,56.947,51156,0
20051111,56.957,57.138,56.957,57.073,42230,0
20051114,57.233,57.356,57.053,57.148,40651,0
20051115,57.148,57.148,56.395,56.442,66284,0
20051116,56.433,56.596,56.187,56.385,12817,0
20051117,56.557,57.176,56.557,57.167,82354,0
20051118,57.347,57.461,57.015,57.385,47901,0
20051121,57.31,57.69,57.31,57.663,34768,0
20051122,57.547,58.023,57.452,58.014,22374,0
20051123,57.965,58.48,57.927,58.319,26575,0
20051125,58.423,58.423,58.157,58.347,13865,0
20051128,58.309,58.309,57.758,57.758,25631,0
20051129,57.833,58.062,57.442,57.547,17123,0
20051130,57.518,57.653,57.167,57.167,11449,0
20051201,57.499,57.805,57.395,57.729,35506,0
20051202,57.7,57.975,57.7,57.918,11029,0
20051205,57.833,57.88,57.366,57.605,20591,0
20051206,57.833,58.138,57.69,57.71,22584,0
20051207,57.7,57.88,57.624,57.851,13341,0
20051208,57.805,57.908,57.414,57.528,17016,0
20051209,57.585,57.889,57.366,57.71,13025,0
20051212,57.861,58.081,57.776,57.87,17229,0
20051213,57.585,58.128,57.566,58.052,45168,0
20051214,58.033,58.375,57.985,58.262,21010,0
20051215,58.186,58.272,57.824,58.052,13341,0
20051216,58.262,58.262,57.88,57.975,46324,0
20051219,57.851,57.975,57.376,57.376,13761,0
20051220,57.301,57.48,57.063,57.272,32145,0
20051221,57.404,57.672,57.176,57.376,18802,0
20051222,57.214,57.347,57.024,57.329,38550,0
20051223,57.356,57.537,57.356,57.471,12605,0
20051227,57.508,57.663,56.986,56.986,5776,0
20051228,56.976,57.252,56.976,57.081,18908,0
20051229,57.073,57.301,57.005,57.005,26998,0
20051230,56.928,56.986,56.748,56.748,21848,0
20060103,56.738,57.204,56.129,57.024,106515,0
20060104,57.043,57.262,57.005,57.214,57251,0
20060105,57.176,57.233,56.88,56.996,33715,0
20060106,57.301,57.528,57.043,57.452,26260,0
20060109,57.385,57.889,57.385,57.889,25947,0
20060110,57.739,57.824,57.595,57.786,9665,0
20060111,57.975,58.138,57.824,58.052,18594,0
20060112,57.918,58.014,57.7,57.786,19223,0
20060113,57.927,57.946,57.595,57.7,11029,0
20060117,57.48,57.528,57.214,57.452,21220,0
20060118,57.195,57.748,57.063,57.452,16179,0
20060119,57.595,58.004,57.442,57.814,18277,0
20060120,57.69,57.69,56.88,56.938,23004,0
20060123,57.005,57.073,56.7,56.758,134455,0
20060124,56.909,57.301,56.909,57.291,16489,0
20060125,57.301,57.461,56.996,57.015,18594,0
20060126,57.557,57.595,57.385,57.433,19328,0
20060127,57.585,58.023,57.499,57.758,15653,0
20060130,57.786,57.861,57.566,57.566,25001,0
20060131,57.547,57.729,57.404,57.461,50104,0
20060201,57.643,57.758,57.404,57.758,14182,0
20060202,57.927,57.927,57.414,57.672,21322,0
20060203,57.442,57.518,57.214,57.291,12605,0
20060206,57.329,57.329,57.034,57.272,16387,0
20060207,57.195,57.385,56.87,57.015,22688,0
20060208,57.034,57.508,57.034,57.508,11870,0
20060209,57.499,57.69,57.329,57.329,11136,0
20060210,57.385,57.643,57.214,57.595,13131,0
20060213,57.376,57.537,57.262,57.424,10926,0
20060214,57.404,58.119,57.395,58.109,13551,0
20060215,57.889,58.508,57.889,58.508,17229,0
20060216,58.404,58.634,58.384,58.585,11345,0
20060217,58.528,58.528,58.157,58.157,29937,0
20060221,58.451,58.451,57.71,57.918,20797,0
20060222,57.889,58.319,57.889,58.224,9456,0
20060223,58.214,58.48,58.052,58.091,19328,0
20060224,57.946,58.023,57.71,57.975,24791,0
20060227,58.252,58.663,58.252,58.441,15126,0
20060228,58.451,58.451,57.898,58.072,12817,0
20060301,58.147,58.499,57.975,58.451,24684,0
20060302,57.985,58.224,57.927,58.204,12921,0
20060303,57.833,58.46,57.833,58.119,17754,0
20060306,58.081,58.186,57.748,57.841,9873,0
20060307,57.748,57.824,57.508,57.663,14603,0
20060308,57.557,57.898,57.547,57.758,16703,0
20060309,57.7,57.937,57.424,57.433,19010,0
20060310,57.518,57.985,57.508,57.87,23109,0
20060313,57.739,58.243,57.739,57.927,15126,0
20060314,57.795,58.537,57.795,58.537,38869,0
20060315,58.566,58.728,58.365,58.728,10506,0
20060316,58.747,59.023,58.747,58.869,18175,0
20060317,58.879,59.127,58.879,59.043,8194,0
20060320,59.109,59.29,59.004,59.043,9456,0
