Date,Open,High,Low,Close,Volume,OpenInt
20071204,35.464,35.676,35.464,35.676,2510,0
20071205,35.684,35.684,35.684,35.684,7931,0
20071206,35.569,35.601,35.569,35.601,4096,0
20071207,35.609,35.615,35.609,35.615,16920,0
20071210,35.701,35.789,35.701,35.789,10175,0
20071211,35.934,35.934,35.758,35.758,8462,0
20071212,35.825,35.856,35.668,35.668,13880,0
20071213,35.773,35.773,35.676,35.676,7802,0
20071214,35.797,35.797,35.676,35.676,3964,0
20071217,35.813,35.813,35.668,35.706,1188,0
20071218,35.848,35.848,35.805,35.805,252,0
20071219,35.652,35.781,35.652,35.781,1322,0
20071220,35.864,35.864,35.729,35.765,2379,0
20071221,35.84,35.84,35.706,35.706,1985,0
20071224,35.729,35.729,35.66,35.66,5815,0
20071226,35.684,35.684,35.601,35.644,2909,0
20071228,35.701,35.701,35.525,35.676,9518,0
20071231,35.744,35.744,35.609,35.66,5024,0
20080102,35.744,35.751,35.738,35.738,3042,0
20080103,35.773,35.773,35.425,35.425,5682,0
20080104,35.561,35.561,34.891,35.095,26573,0
20080107,35.365,35.365,35.08,35.291,4496,0
20080108,35.464,35.464,35.015,35.38,5682,0
20080109,35.184,35.411,35.04,35.04,5550,0
20080110,35.095,35.095,34.27,34.844,50366,0
20080111,34.905,34.951,34.467,34.7,6609,0
20080114,34.913,34.913,34.694,34.717,2249,0
20080115,34.623,34.623,34.557,34.557,1849,0
20080116,34.859,34.859,34.739,34.739,7007,0
20080117,34.489,34.489,33.972,34.191,4496,0
20080118,34.403,34.403,34.222,34.222,2379,0
20080122,34.27,34.27,33.891,34.262,10309,0
20080123,34.247,34.278,33.914,34.255,5550,0
20080124,34.262,34.381,34.177,34.177,6082,0
20080125,34.504,34.504,33.013,33.798,33839,0
20080128,34.058,34.087,33.822,34.081,51738,0
20080129,34.155,34.191,34.002,34.126,92003,0
20080130,34.569,35.015,34.527,34.717,1941373,0
20080131,34.639,34.867,34.459,34.827,49519,0
20080201,34.951,35.729,34.781,34.781,95530,0
20080204,35.002,35.002,34.231,34.27,54381,0
20080205,34.255,34.262,33.972,34.168,31656,0
20080206,34.41,34.41,33.899,34.087,28407,0
20080207,33.709,34.01,33.709,33.853,172111,0
20080208,33.883,33.883,33.731,33.806,63459,0
20080211,33.665,33.695,33.642,33.695,21322,0
20080212,33.594,33.782,33.566,33.782,17980,0
20080213,33.57,33.822,33.57,33.746,27362,0
20080214,34.118,34.118,33.535,33.782,28949,0
20080215,33.57,33.642,33.453,33.642,67248,0
20080219,33.899,33.899,33.526,33.798,87003,0
20080220,33.814,33.814,33.609,33.746,33996,0
20080221,33.586,33.746,33.566,33.642,19077,0
20080222,33.634,33.665,33.586,33.665,1874979,0
20080225,33.594,33.822,33.3,33.601,82213,0
20080226,33.883,33.883,33.518,33.665,31470,0
20080227,33.853,33.853,33.518,33.566,35293,0
20080228,33.526,33.642,33.438,33.558,62089,0
20080229,33.498,33.891,33.083,33.413,47171,0
20080303,33.853,34.451,33.141,33.367,101352,0
20080304,33.55,33.57,33.083,33.264,37989,0
20080305,33.492,33.492,32.967,33.306,27892,0
20080306,33.287,33.3,33.15,33.295,30800,0
20080307,33.118,33.217,33.118,33.201,27490,0
20080310,33.295,33.295,33.013,33.118,45604,0
20080311,33.118,33.217,33.102,33.15,50898,0
20080312,33.15,33.15,32.967,33.004,35504,0
20080313,32.922,32.922,32.652,32.778,18910,0
20080314,32.778,32.848,32.031,32.476,20457,0
20080317,32.543,32.543,32.204,32.332,89757,0
20080318,32.293,32.771,32.293,32.597,38606,0
20080319,33.178,33.178,32.521,32.521,86721,0
20080320,32.644,32.734,32.559,32.734,30933,0
20080324,32.922,33.021,32.885,32.967,53125,0
20080325,33.075,33.15,32.952,33.141,171335,0
20080326,33.249,33.55,33.141,33.164,64291,0
20080327,33.15,33.287,33.09,33.134,266747,0
20080328,33.217,33.39,33.193,33.339,70706,0
20080331,33.295,33.374,33.164,33.339,104034,0
20080401,33.295,33.3,32.982,33.141,106085,0
20080402,33.118,33.118,32.856,32.996,78520,0
20080403,32.967,33.126,32.967,33.11,79623,0
20080404,33.15,33.295,33.118,33.295,139083,0
20080407,33.413,33.413,33.306,33.367,48250,0
20080408,33.853,33.853,33.461,33.586,66098,0
20080409,33.535,33.586,33.15,33.518,97884,0
20080410,33.505,33.665,33.083,33.649,211747,0
20080411,33.806,33.806,33.3,33.476,176135,0
20080414,33.492,33.498,33.405,33.492,156071,0
20080415,33.657,33.657,33.339,33.512,42772,0
20080416,33.601,33.626,33.453,33.594,32676,0
20080417,33.526,33.739,33.526,33.709,63545,0
20080418,33.853,34.051,33.853,33.959,142055,0
20080421,34.096,34.096,33.763,33.944,289539,0
20080422,34.155,34.155,33.883,34.051,1026556,0
20080423,34.262,34.262,34.126,34.162,157332,0
20080424,34.239,34.239,34.111,34.133,235411,0
20080425,34.214,34.214,34.081,34.126,115795,0
20080428,34.308,34.308,34.155,34.285,268757,0
20080429,34.222,34.323,34.162,34.308,243101,0
20080430,34.3,34.549,34.199,34.3,175400,0
20080501,34.451,34.607,34.231,34.527,185979,0
20080502,34.631,34.731,34.247,34.247,113131,0
20080505,34.607,34.664,34.231,34.351,141706,0
20080506,34.27,34.315,34.177,34.177,142108,0
20080507,34.087,34.247,34.087,34.206,117835,0
20080508,34.184,34.285,34.133,34.206,92587,0
20080509,34.087,34.126,33.972,34.096,56831,0
20080512,34.118,34.239,33.979,34.239,72815,0
20080513,34.222,34.222,34.104,34.126,97107,0
20080514,34.206,34.214,34.087,34.126,70722,0
20080515,34.058,34.278,34.058,34.239,165898,0
20080516,34.27,34.27,34.155,34.206,112527,0
20080519,34.395,34.496,34.214,34.403,72364,0
20080520,34.33,34.459,34.308,34.351,53011,0
20080521,34.474,34.474,34.323,34.373,326447,0
20080522,34.222,34.278,34.111,34.184,50968,0
20080523,34.141,34.177,33.673,33.746,108349,0
20080527,33.929,34.066,33.746,33.746,80097,0
20080528,33.57,33.944,33.57,33.688,120303,0
20080529,33.883,33.944,33.703,33.929,56606,0
20080530,34.081,34.206,34.074,34.177,92475,0
20080602,33.782,33.959,33.754,33.862,68976,0
20080603,33.746,33.798,33.642,33.709,185221,0
20080604,33.626,33.68,33.526,33.642,88732,0
20080605,33.498,33.899,33.484,33.83,73786,0
20080606,33.763,33.83,33.673,33.822,32550,0
20080609,33.798,33.838,33.739,33.79,34699,0
20080610,33.782,33.782,33.673,33.739,40681,0
20080611,33.709,33.814,33.673,33.731,42882,0
20080612,33.798,33.798,33.642,33.774,29393,0
20080613,33.774,33.87,33.642,33.649,40432,0
20080616,33.723,33.723,33.526,33.723,53812,0
20080617,33.782,33.782,33.642,33.763,44121,0
20080618,33.586,33.79,33.543,33.543,48556,0
20080619,33.526,33.526,33.413,33.43,42269,0
20080620,33.43,33.43,33.186,33.345,123885,0
20080623,33.264,33.3,33.157,33.24,68092,0
20080624,33.354,33.354,32.448,32.687,354611,0
20080625,32.666,32.848,32.468,32.702,56350,0
20080626,32.605,32.832,32.597,32.597,83413,0
20080627,32.771,32.771,32.536,32.702,39226,0
20080630,32.778,32.778,32.506,32.741,55600,0
20080701,32.439,32.482,32.22,32.448,1088864,0
20080702,32.392,32.694,32.142,32.196,67387,0
20080703,32.401,32.401,32.204,32.318,19726,0
20080707,32.249,32.301,31.962,32.024,59023,0
