Date,Open,High,Low,Close,Volume,OpenInt
20111107,27.715,27.715,27.203,27.259,28814,0
20111108,28.028,28.267,27.982,28.101,37434,0
20111109,27.25,27.25,27.048,27.048,219,0
20111111,27.487,27.532,27.487,27.487,5457,0
20111115,27.112,27.34,27.112,27.313,4585,0
20111121,25.208,25.208,24.951,24.958,114053,0
20111123,24.748,24.748,24.52,24.565,654,0
20111202,26.919,27.532,26.919,27.532,807,0
20111205,27.405,27.532,27.405,27.524,967,0
20111215,25.683,25.746,25.592,25.619,109141,0
20111222,26.618,26.68,26.553,26.609,54572,0
20111229,26.581,26.581,26.46,26.553,54680,0
20111230,26.481,26.549,26.453,26.481,54572,0
20120113,27.707,27.707,27.68,27.68,1746,0
20120117,27.991,27.991,27.405,27.405,328,0
20120118,27.55,27.89,27.55,27.883,3055,0
20120119,28.76,28.76,28.741,28.741,2183,0
20120120,28.834,28.844,28.825,28.834,10915,0
20120124,28.936,28.999,28.917,28.971,1963,0
20120131,28.796,28.796,28.709,28.709,219,0
20120209,30.539,30.557,30.475,30.502,11022,0
20120213,30.447,30.475,30.429,30.438,1746,0
20120309,31.048,31.048,31.048,31.048,328,0
20120314,32.076,32.076,31.975,31.975,11187,0
20120315,32.224,32.82,32.224,32.765,4505,0
20120319,32.955,33.177,32.687,33.177,339758,0
20120326,33.335,33.335,33.335,33.335,161,0
20120327,33.372,33.454,33.149,33.149,864,0
20120328,32.853,32.853,32.853,32.853,276,0
20120330,32.343,32.408,32.343,32.408,325,0
20120402,32.77,32.789,32.741,32.789,11223,0
20120405,31.676,31.676,31.658,31.658,364,0
20120410,30.771,30.771,30.771,30.771,539,0
20120413,30.631,30.631,30.631,30.631,146,0
20120417,30.881,30.881,30.881,30.881,106,0
20120418,30.605,30.605,30.605,30.605,161,0
20120425,30.429,30.429,30.429,30.429,106,0
20120426,30.763,30.763,30.763,30.763,328,0
20120503,29.717,29.717,29.717,29.717,325,0
20120511,28.346,28.373,28.245,28.364,1190,0
20120514,28.143,28.143,28.106,28.106,364,0
20120515,27.995,27.995,27.966,27.995,216,0
20120518,27.291,27.291,27.273,27.273,432,0
20120601,26.56,26.56,26.56,26.56,216,0
20120606,26.853,26.853,26.853,26.853,106,0
20120622,27.647,27.759,27.647,27.759,951,0
20120705,28.657,28.666,28.657,28.666,424,0
20120709,27.647,27.647,27.647,27.647,1059,0
20120712,27.41,27.41,27.41,27.41,158,0
20120719,27.637,27.637,27.637,27.637,132,0
20120726,27.05,27.05,27.05,27.05,1059,0
20120820,28.525,28.525,28.525,28.525,317,0
20120907,30.2,30.236,30.2,30.218,7410,0
20120910,30.252,30.252,30.252,30.252,619,0
20120913,30.29,30.29,30.29,30.29,317,0
20120914,31.289,31.289,31.289,31.289,103,0
20120921,30.313,30.313,30.313,30.313,633,0
20121003,29.745,29.745,29.745,29.745,316,0
20121106,30.864,30.864,30.864,30.864,1055,0
20121107,29.867,29.867,29.867,29.867,1055,0
20121112,29.356,29.356,29.356,29.356,948,0
20121115,29.319,29.319,28.747,28.824,633,0
20121128,29.924,29.934,29.924,29.934,2849,0
20121204,29.906,29.906,29.906,29.906,1055,0
20121218,31.289,31.508,31.289,31.498,55792,0
20121221,31.821,31.821,31.821,31.821,102,0
20121224,31.821,31.821,31.821,31.821,1040,0
20121227,31.35,31.35,31.35,31.35,312,0
20121228,31.447,31.447,31.447,31.447,670,0
20130107,33.33,33.34,33.195,33.272,13422,0
20130108,33.05,33.098,33.05,33.098,3643,0
20130109,33.32,33.33,33.32,33.33,6541,0
20130111,33.857,33.954,33.724,33.857,9990,0
20130115,33.925,33.925,33.925,33.925,102,0
20130116,33.887,33.992,33.887,33.992,1397,0
20130118,34.598,34.886,34.598,34.886,14919,0
20130122,35.242,35.348,34.906,35.328,13578,0
20130123,35.252,35.252,35.145,35.223,936,0
20130124,35.396,35.579,35.291,35.318,3274,0
20130125,35.444,35.618,35.444,35.618,2142,0
20130128,35.589,36.444,35.559,35.703,26377,0
20130129,35.693,35.964,35.618,35.964,9067,0
20130130,35.914,36.031,35.914,36.011,1972,0
20130201,36.538,36.627,36.538,36.627,1634,0
20130204,36.627,36.627,36.183,36.183,1055,0
20130205,36.415,36.751,36.367,36.722,141453,0
20130206,36.519,36.751,36.511,36.751,5554,0
20130207,37.127,37.127,36.665,36.857,2164,0
