Date,Open,High,Low,Close,Volume,OpenInt
20070625,18.743,18.743,18.578,18.578,2800,0
20070626,18.669,18.669,18.624,18.624,801,0
20070627,18.436,18.542,18.436,18.542,1203,0
20070628,18.782,18.782,18.782,18.782,267,0
20070629,18.826,18.826,18.743,18.751,7871,0
20070702,18.931,18.931,18.931,18.931,134,0
20070703,18.97,19.007,18.97,18.984,4401,0
20070705,19.059,19.082,19.059,19.082,1203,0
20070706,19.036,19.15,19.036,19.15,4936,0
20070709,19.193,19.193,19.112,19.134,6270,0
20070710,19.042,19.042,18.962,18.962,2936,0
20070711,19.134,19.134,18.715,18.715,5601,0
20070712,18.866,18.866,18.797,18.826,9601,0
20070713,18.893,18.924,18.872,18.924,22939,0
20070716,18.97,19.067,18.759,18.812,27612,0
20070717,18.826,18.909,18.826,18.893,3468,0
20070718,18.759,18.759,18.632,18.715,4135,0
20070719,18.774,18.917,18.774,18.917,13737,0
20070720,18.805,18.805,18.578,18.609,5201,0
20070723,18.669,18.669,18.384,18.384,2397,0
20070724,18.369,18.369,18.055,18.055,16538,0
20070725,18.145,18.145,17.905,17.905,1335,0
20070726,17.769,17.769,17.274,17.447,3737,0
20070727,17.274,17.395,17.274,17.281,1732,0
20070730,17.35,17.35,17.056,17.192,4401,0
20070731,17.47,17.47,16.96,16.96,44281,0
20070801,16.788,16.816,16.54,16.54,4801,0
20070802,16.764,16.764,16.749,16.749,2533,0
20070803,16.871,16.871,16.18,16.241,3737,0
20070806,15.991,16.172,15.541,16.172,6536,0
20070807,16.286,16.427,16.286,16.427,664,0
20070808,16.659,17.004,16.659,17.004,9205,0
20070809,16.578,16.833,16.578,16.675,5601,0
20070810,16.405,16.405,16.346,16.383,2800,0
20070813,16.555,16.555,16.555,16.555,134,0
20070814,15.872,15.872,15.872,15.872,1335,0
20070815,15.52,15.783,15.52,15.753,1466,0
20070816,15.213,15.453,14.965,15.453,1335,0
20070817,16.315,16.375,16.105,16.233,1732,0
20070820,16.54,16.563,16.435,16.488,1732,0
20070822,16.742,16.863,16.659,16.772,1466,0
20070823,16.809,16.833,16.809,16.833,1203,0
20070824,16.824,16.848,16.78,16.788,7335,0
20070828,16.383,16.383,16.255,16.255,801,0
20070829,16.517,16.517,16.517,16.517,1335,0
20070830,16.638,16.638,16.638,16.638,134,0
20070904,16.871,16.871,16.871,16.871,267,0
20070907,16.525,16.525,16.421,16.488,1335,0
20070910,16.346,16.473,16.346,16.448,3333,0
20070913,16.509,16.749,16.509,16.749,1066,0
20070914,16.705,16.705,16.705,16.705,267,0
20070918,16.878,17.08,16.878,17.08,532,0
20070919,17.507,17.507,17.424,17.424,267,0
20070921,17.245,17.41,17.245,17.41,1466,0
20070924,17.35,17.356,17.35,17.356,1601,0
