Date,Open,High,Low,Close,Volume,OpenInt
20071221,44.674,45.411,44.674,45.411,94270,0
20071224,45.526,45.618,45.526,45.545,28411,0
20071226,45.535,45.66,45.508,45.651,150431,0
20071227,45.402,45.402,45.194,45.194,34097,0
20071228,45.114,45.114,44.997,45.023,29304,0
20071231,44.835,44.988,44.665,44.988,75548,0
20080102,44.962,44.979,44.082,44.45,137951,0
20080103,45.32,45.32,44.217,44.305,32202,0
20080104,45.374,45.374,43.436,43.445,37106,0
20080107,43.974,43.974,43.4,43.535,52038,0
20080108,44.862,44.862,43.033,43.121,89811,0
20080109,42.96,43.47,42.763,43.47,41565,0
20080110,42.143,44.17,42.143,43.965,30308,0
20080111,45.77,45.77,43.462,43.616,32315,0
20080114,45.293,45.293,43.526,43.768,19723,0
20080115,43.948,43.948,42.806,42.816,11364,0
20080116,42.834,43.005,42.537,42.96,11255,0
20080117,43.838,43.838,41.282,41.291,20169,0
20080118,43.939,43.939,40.491,41.129,15722,0
20080122,41.991,41.991,39.029,40.519,31423,0
20080123,39.981,41.802,39.586,41.56,45465,0
20080124,41.676,41.963,41.505,41.722,5793,0
20080125,44.11,44.11,41.102,41.102,30758,0
20080128,41.982,41.982,38.662,41.946,19388,0
20080129,43.686,43.686,42.188,42.485,7801,0
20080130,42.664,42.879,42.178,42.178,12593,0
20080131,41.496,43.121,41.496,42.726,19276,0
20080201,42.934,43.47,42.898,43.4,14486,0
20080204,44.71,44.71,42.995,42.995,33765,0
20080205,43.543,43.543,41.478,41.478,14150,0
20080206,41.973,41.973,41.246,41.246,18609,0
20080207,41.238,41.767,41.238,41.533,4456,0
20080208,41.381,41.445,40.842,41.04,27635,0
20080211,42.655,42.655,40.644,41.05,13816,0
20080212,41.435,42.537,41.381,41.533,89477,0
20080213,43.041,43.041,41.74,42.072,19611,0
20080214,43.66,43.66,41.524,41.524,73766,0
20080215,41.282,41.685,41.273,41.685,17048,0
20080219,44.217,44.217,41.551,41.631,17720,0
20080220,40.833,41.919,40.833,41.758,33986,0
20080221,41.955,41.955,41.282,41.3,100399,0
20080222,41.165,41.784,40.922,41.784,5239,0
20080225,43.453,43.453,41.657,42.394,13371,0
20080226,41.146,42.619,35.96,42.439,27745,0
20080227,42.358,42.718,42.342,42.512,13816,0
20080228,42.178,42.278,41.902,42.035,12927,0
20080229,41.533,41.57,40.662,40.662,77888,0
20080303,40.861,40.904,40.519,40.805,4232,0
20080304,40.473,40.644,40.178,40.61,20614,0
20080305,40.833,40.994,40.582,40.582,5349,0
20080306,40.214,40.214,39.865,39.865,5682,0
20080307,39.874,39.881,39.119,39.477,29530,0
20080310,39.442,39.451,38.894,38.939,38332,0
20080311,41.579,41.579,39.541,40.6,16156,0
20080312,40.761,40.994,40.142,40.779,12701,0
20080313,39.613,40.482,39.297,40.277,26855,0
20080314,40.385,40.385,38.939,39.38,73766,0
20080317,38.795,39.434,38.58,39.245,15713,0
20080318,40.008,40.95,39.981,40.95,13929,0
20080319,41.21,41.435,40.16,40.16,11478,0
20080320,40.563,41.335,40.482,41.335,12258,0
20080324,41.776,42.045,41.551,41.731,27078,0
20080325,41.478,41.579,41.219,41.435,174498,0
20080326,41.246,41.335,40.95,41.003,15375,0
20080327,41.246,41.3,40.761,40.761,151545,0
20080328,40.941,40.941,40.313,40.313,5239,0
20080331,40.214,40.699,40.214,40.457,34097,0
20080401,41.121,41.846,41.121,41.846,15491,0
20080402,42.197,42.296,41.911,41.963,25517,0
20080403,41.82,42.178,41.82,42.035,5682,0
20080404,42.008,42.197,41.811,41.893,28193,0
20080407,42.546,42.546,42.054,42.117,12701,0
20080408,41.874,42.017,41.731,41.911,76885,0
20080409,41.911,41.911,41.408,41.505,49473,0
20080410,41.505,41.722,41.371,41.496,5793,0
20080411,40.788,41.031,40.538,40.563,19723,0
20080414,40.491,40.563,40.286,40.402,56977,0
20080415,40.681,40.681,40.321,40.591,19925,0
20080416,40.888,41.435,40.888,41.435,10867,0
20080417,41.362,41.624,41.219,41.524,17256,0
20080418,42.259,42.259,42.008,42.126,23664,0
20080421,41.883,41.883,41.597,41.802,6944,0
20080422,41.657,41.685,41.496,41.649,21579,0
