Date,Open,High,Low,Close,Volume,OpenInt
20091202,46.36,46.369,46.35,46.369,10584,0
20091203,46.416,46.416,46.406,46.416,5020,0
20091204,46.454,46.464,46.454,46.454,13210,0
20091207,46.464,46.464,46.454,46.464,23403,0
20091208,46.464,46.473,46.464,46.473,1940,0
20091209,46.464,46.464,46.397,46.406,8099,0
20091210,46.406,46.406,46.331,46.331,8264,0
20091211,46.341,46.341,46.276,46.276,10680,0
20091214,46.266,46.331,46.065,46.266,67674,0
20091215,46.276,46.276,46.229,46.249,5833,0
20091216,46.221,46.221,46.221,46.221,1186,0
20091217,46.229,46.239,46.229,46.229,10829,0
20091218,46.266,46.312,46.266,46.266,11879,0
20091221,46.266,46.266,46.229,46.249,19433,0
20091222,46.221,46.221,46.147,46.147,4741,0
20091223,46.156,46.166,46.093,46.147,4782,0
20091224,46.156,46.156,46.156,46.156,200,0
20091228,46.166,46.166,46.147,46.166,8204,0
20091229,46.102,46.111,46.102,46.111,3045,0
20091230,46.093,46.093,46.073,46.073,3076,0
20091231,45.998,46.036,45.998,46.036,3178,0
20100104,46.008,46.008,45.936,45.945,3816,0
20100105,45.945,46.017,45.945,46.008,8121,0
20100106,46.073,46.073,46.073,46.073,744,0
20100107,46.102,46.139,46.073,46.083,11308,0
20100108,46.166,46.166,46.147,46.147,980,0
20100111,46.156,46.166,46.156,46.166,1417,0
20100112,46.174,46.174,46.174,46.174,2034,0
20100113,46.229,46.229,46.202,46.202,3899,0
20100114,46.212,46.212,46.139,46.139,10349,0
20100115,46.184,46.184,46.184,46.184,2161,0
20100119,46.249,46.249,46.239,46.239,3402,0
20100120,46.249,46.257,46.249,46.257,980,0
20100121,46.284,46.284,46.276,46.276,543,0
20100122,46.284,46.303,46.284,46.303,4754,0
20100125,46.341,46.341,46.312,46.312,868,0
20100126,46.312,46.322,46.312,46.322,2459,0
20100127,46.293,46.312,46.284,46.312,4156,0
20100128,46.312,46.331,46.303,46.331,1568,0
20100129,46.266,46.266,46.239,46.239,3079,0
20100201,46.239,46.284,46.239,46.284,5698,0
20100202,46.312,46.35,46.312,46.35,1727,0
20100203,46.341,46.36,46.312,46.36,3459,0
20100204,46.397,46.482,46.397,46.482,5601,0
20100205,46.527,46.565,46.527,46.565,6700,0
20100208,46.61,46.61,46.593,46.61,11685,0
20100209,46.62,46.629,46.6,46.62,6061,0
20100210,46.6,46.61,46.6,46.61,4968,0
20100211,46.61,46.639,46.61,46.62,7441,0
20100212,46.62,46.648,46.62,46.639,7783,0
20100216,46.658,46.677,46.658,46.677,12386,0
20100217,46.667,46.677,46.667,46.677,9053,0
20100218,46.667,46.686,46.62,46.667,18844,0
20100219,46.677,46.677,46.658,46.658,22577,0
20100222,46.639,46.648,46.6,46.648,13713,0
20100223,46.658,46.677,46.658,46.677,4618,0
20100224,46.702,46.712,46.702,46.712,23233,0
20100225,46.74,46.749,46.74,46.749,2701,0
20100226,46.694,46.702,46.686,46.686,21225,0
20100301,46.702,46.702,46.694,46.702,11810,0
20100302,46.702,46.721,46.648,46.712,29500,0
20100303,46.73,46.796,46.712,46.749,26501,0
20100304,46.796,46.805,46.767,46.786,1624,0
20100305,46.813,46.813,46.805,46.813,5688,0
20100308,46.822,46.832,46.805,46.832,6508,0
20100309,46.832,46.858,46.805,46.858,8035,0
20100310,46.878,46.878,46.832,46.841,6460,0
20100311,46.878,46.887,46.868,46.878,8163,0
20100312,46.878,46.887,46.878,46.887,2342,0
20100315,46.878,46.878,46.858,46.868,4662,0
20100316,46.878,46.878,46.849,46.849,3090,0
20100317,46.868,46.868,46.786,46.786,8079,0
20100318,46.841,46.841,46.758,46.832,3684,0
20100319,46.822,46.832,46.777,46.777,5257,0
20100322,46.822,46.832,46.786,46.822,3366,0
20100323,46.777,46.805,46.749,46.777,21753,0
20100324,46.758,46.758,46.6,46.6,37731,0
20100325,46.545,46.545,46.221,46.229,133154,0
20100326,46.312,46.36,46.229,46.35,257738,0
20100329,46.202,46.322,46.202,46.221,47684,0
20100330,46.249,46.266,46.193,46.193,16219,0
20100331,46.156,46.156,46.073,46.139,7859,0
20100401,46.129,46.156,46.129,46.156,12961,0
20100405,46.056,46.093,46.046,46.083,21864,0
20100406,46.111,46.111,46.046,46.102,70677,0
20100407,46.065,46.065,46.008,46.027,8157,0
20100408,46.056,46.083,46.027,46.056,7421,0
20100409,46.046,46.073,46.046,46.065,814,0
20100412,46.083,46.102,46.017,46.102,11557,0
20100413,46.111,46.139,46.083,46.139,27697,0
20100414,46.083,46.156,46.083,46.129,7012,0
20100415,46.221,46.221,46.166,46.166,6545,0
20100416,46.184,46.239,46.184,46.239,1284,0
20100419,46.239,46.276,46.239,46.276,22929,0
20100420,46.331,46.331,46.322,46.322,4473,0
20100421,46.35,46.416,46.35,46.416,4733,0
20100422,46.426,46.435,46.426,46.435,1379,0
20100423,46.434,46.443,46.396,46.405,4954,0
20100426,46.36,46.445,46.36,46.426,7462,0
20100427,46.435,46.482,46.416,46.482,24398,0
20100428,46.499,46.499,46.499,46.499,254,0
20100429,46.507,46.507,46.426,46.464,4245,0
20100430,46.435,46.435,46.379,46.388,4166,0
20100503,46.435,46.445,46.397,46.445,1658,0
20100504,46.416,46.491,46.406,46.491,7772,0
20100505,46.426,46.435,46.426,46.426,2296,0
20100506,46.397,46.473,46.397,46.426,3443,0
20100507,46.435,46.435,46.426,46.435,6623,0
20100510,46.435,46.435,46.397,46.397,533,0
20100511,46.426,46.426,46.426,46.426,222,0
20100512,46.491,46.491,46.473,46.473,5513,0
20100513,46.473,46.473,46.473,46.473,200,0
20100514,46.491,46.491,46.491,46.491,643,0
20100517,46.574,46.584,46.507,46.555,7636,0
20100518,46.517,46.6,46.517,46.584,3216,0
20100519,46.639,46.639,46.639,46.639,338,0
20100520,46.658,46.777,46.658,46.694,7380,0
20100521,46.822,46.822,46.796,46.796,743,0
20100524,46.796,46.832,46.796,46.832,3716,0
20100525,46.878,46.916,46.858,46.887,2765,0
20100526,46.896,46.953,46.868,46.887,35761,0
20100527,46.916,46.916,46.896,46.896,10250,0
20100528,46.805,46.805,46.74,46.786,3255,0
20100601,46.758,46.822,46.758,46.822,1576,0
20100602,46.813,46.832,46.813,46.832,975,0
20100603,46.796,46.805,46.758,46.758,12574,0
20100604,46.777,46.841,46.777,46.832,5498,0
20100607,46.858,46.868,46.813,46.868,82580,0
20100608,46.841,46.868,46.813,46.822,45765,0
20100609,46.813,46.832,46.786,46.805,71396,0
20100610,46.712,46.749,46.677,46.721,106714,0
20100611,46.694,46.749,46.62,46.686,226039,0
20100614,46.702,46.702,46.61,46.61,5154,0
20100615,46.61,46.61,46.507,46.507,79836,0
20100616,46.584,46.584,46.464,46.565,30286,0
20100617,46.555,46.574,46.36,46.491,73539,0
20100618,46.555,46.574,46.331,46.464,86665,0
20100621,46.565,46.61,46.331,46.416,90260,0
20100622,46.6,46.6,46.369,46.416,112298,0
20100623,46.322,46.473,46.284,46.426,218209,0
20100624,46.527,46.702,46.527,46.565,1463,0
20100625,46.435,46.73,46.435,46.62,10539,0
20100628,46.73,46.805,46.73,46.805,5329,0
20100629,46.813,46.868,46.786,46.841,7998,0
20100630,46.793,46.839,46.699,46.82,5765,0
20100701,46.767,46.916,46.767,46.916,2470,0
20100702,46.971,46.971,46.916,46.916,15018,0
20100706,46.944,47.018,46.944,47.018,1144,0
20100707,47.092,47.176,47.092,47.139,30660,0
20100708,47.186,47.195,47.139,47.195,4714,0
20100709,47.205,47.205,47.186,47.195,16319,0
20100712,47.157,47.222,47.157,47.222,3349,0
20100713,47.295,47.295,47.186,47.24,13696,0
20100714,47.205,47.305,47.205,47.305,2343,0
20100715,47.341,47.351,47.341,47.351,1074,0
20100716,47.378,47.387,47.378,47.378,5093,0
20100719,47.351,47.351,47.341,47.351,643,0
20100720,47.434,47.48,47.434,47.48,3681,0
20100721,47.444,47.536,47.444,47.527,10000,0
20100722,47.573,47.581,47.573,47.581,694,0
20100723,47.61,47.61,47.61,47.61,1359,0
20100726,47.62,47.62,47.62,47.62,5401,0
20100727,47.628,47.628,47.628,47.628,373,0
20100728,47.581,47.665,47.581,47.665,1977,0
20100729,47.665,47.675,47.665,47.675,493,0
20100730,47.581,47.581,47.47,47.581,4520,0
20100802,47.591,47.601,47.564,47.573,27409,0
20100803,47.564,47.601,47.554,47.581,2797,0
20100804,47.62,47.62,47.554,47.62,9611,0
20100805,47.637,47.647,47.581,47.647,6067,0
20100806,47.665,47.694,47.637,47.694,6610,0
20100809,47.647,47.713,47.647,47.704,3135,0
20100810,47.713,47.732,47.713,47.723,12594,0
20100811,47.713,47.807,47.713,47.769,4978,0
20100812,47.807,47.887,47.798,47.878,7634,0
20100813,47.916,47.961,47.887,47.942,26417,0
20100816,47.934,48.027,47.934,48.008,2794,0
20100817,48.008,48.073,48.008,48.037,7506,0
20100818,48.127,48.165,48.118,48.137,3813,0
20100819,48.212,48.306,48.202,48.202,36362,0
20100820,48.278,48.287,48.269,48.287,7260,0
20100823,48.4,48.4,48.372,48.4,4788,0
20100824,48.437,48.491,48.437,48.491,41183,0
20100825,48.591,48.61,48.563,48.582,2372,0
20100826,48.674,48.674,48.665,48.674,2823,0
20100827,48.656,48.656,48.619,48.646,5257,0
20100830,48.526,48.665,48.526,48.646,5141,0
20100831,48.554,48.592,48.526,48.592,22868,0
20100901,48.582,48.601,48.535,48.563,11224,0
20100902,48.517,48.582,48.498,48.553,22029,0
20100903,48.498,48.498,48.481,48.481,11190,0
20100907,48.517,48.517,48.429,48.498,5155,0
20100908,48.498,48.498,48.41,48.419,30121,0
