Date,Open,High,Low,Close,Volume,OpenInt
20120720,17.056,17.056,16.924,16.933,74136,0
20120723,16.889,16.966,16.881,16.949,297648,0
20120724,16.956,16.974,16.827,16.87,134336,0
20120725,16.966,16.966,16.838,16.846,44940,0
20120726,16.915,16.941,16.881,16.941,70886,0
20120727,17.041,17.049,16.975,17.049,74927,0
20120730,17.107,17.116,17.025,17.049,85498,0
20120731,17.051,17.075,17.051,17.075,24798,0
20120801,17.183,17.183,17.033,17.056,117808,0
20120802,17.049,17.143,16.983,17.082,240586,0
20120803,17.116,17.126,17.098,17.116,39698,0
20120806,17.278,17.574,17.167,17.183,430945,0
20120807,17.236,17.295,17.151,17.175,230989,0
20120808,17.218,17.227,17.167,17.191,151031,0
20120809,17.312,17.312,17.2,17.236,122115,0
20120810,17.539,17.539,17.209,17.227,116047,0
20120813,17.236,17.245,17.191,17.2,133333,0
20120814,17.254,17.345,17.175,17.175,153548,0
20120815,17.254,17.254,17.167,17.2,119887,0
20120816,17.236,17.245,17.191,17.245,123420,0
20120817,17.263,17.303,17.236,17.303,117961,0
20120820,17.354,17.354,17.263,17.32,194204,0
20120821,17.303,17.303,17.183,17.254,123635,0
20120822,17.227,17.236,17.175,17.227,82902,0
20120823,17.227,17.227,17.167,17.218,98986,0
20120824,17.236,17.254,17.191,17.245,121495,0
20120827,17.245,17.278,17.218,17.272,123219,0
20120828,17.272,17.272,17.227,17.254,61897,0
20120829,17.287,17.295,17.263,17.295,56569,0
20120830,17.303,17.303,17.227,17.254,51016,0
20120831,17.36,17.36,17.258,17.3,129962,0
20120904,17.299,17.299,17.267,17.291,80548,0
20120905,17.299,17.34,17.291,17.34,74498,0
20120906,17.391,17.434,17.376,17.417,95199,0
20120907,17.456,17.506,17.438,17.49,56723,0
20120910,17.548,17.548,17.447,17.472,91807,0
20120911,17.506,17.506,17.438,17.438,58440,0
20120912,17.387,17.49,17.387,17.462,110315,0
20120913,17.49,17.566,17.462,17.566,71660,0
20120914,17.854,17.854,17.589,17.589,159045,0
20120917,17.938,17.938,17.54,17.566,125271,0
20120918,17.575,17.592,17.54,17.592,90143,0
20120919,17.592,17.642,17.584,17.607,305728,0
20120920,17.642,17.642,17.54,17.557,77552,0
20120921,17.622,17.622,17.527,17.563,113778,0
20120924,17.566,17.566,17.462,17.514,94613,0
20120925,17.54,17.54,17.429,17.456,79432,0
20120926,17.454,17.454,17.342,17.409,80969,0
20120927,17.462,17.462,17.418,17.445,102503,0
20120928,17.442,17.442,17.383,17.406,40402,0
20121001,17.359,17.461,17.359,17.4,66324,0
20121002,17.351,17.479,17.351,17.479,74837,0
20121003,17.401,17.513,17.401,17.496,50667,0
20121004,17.47,17.538,17.47,17.521,60303,0
20121005,17.563,17.613,17.536,17.563,71349,0
20121008,17.622,17.622,17.545,17.563,101340,0
20121009,17.563,17.581,17.486,17.527,141525,0
20121010,17.572,17.572,17.511,17.511,70445,0
20121011,17.581,17.589,17.511,17.511,133429,0
20121012,17.572,17.605,17.554,17.605,43694,0
20121015,17.622,17.622,17.527,17.536,61612,0
20121016,17.639,17.639,17.563,17.605,62193,0
20121017,17.674,17.674,17.605,17.657,82931,0
20121018,17.716,17.759,17.657,17.741,191233,0
20121019,17.821,17.821,17.651,17.677,68625,0
20121022,17.716,17.716,17.599,17.639,98670,0
20121023,17.617,17.617,17.506,17.522,146359,0
20121024,17.599,17.599,17.461,17.477,156766,0
20121025,17.589,17.589,17.477,17.486,91110,0
20121026,17.496,17.496,17.409,17.454,93697,0
20121031,17.179,17.875,17.179,17.717,155011,0
20121101,17.753,17.753,17.625,17.694,217147,0
20121102,17.805,17.805,17.633,17.642,37807,0
20121105,17.625,17.633,17.556,17.592,116340,0
20121106,17.593,17.653,17.593,17.644,76918,0
20121107,17.617,17.634,17.506,17.53,69689,0
20121108,17.548,17.557,17.462,17.462,66433,0
20121109,17.462,17.488,17.393,17.462,38230,0
20121112,17.488,17.488,17.418,17.479,62477,0
20121113,17.556,17.556,17.427,17.445,26545,0
20121114,17.529,17.529,17.154,17.204,473956,0
20121115,17.249,17.249,16.984,17.084,174982,0
20121116,17.221,17.24,17.049,17.231,111687,0
20121119,17.334,17.377,17.317,17.377,37160,0
20121120,17.342,17.401,17.317,17.401,50432,0
20121121,17.427,17.445,17.377,17.393,105777,0
20121123,17.418,17.489,17.418,17.455,13976,0
20121126,17.401,17.488,17.401,17.436,112373,0
20121127,17.47,17.496,17.427,17.454,39425,0
20121128,17.427,17.454,17.393,17.454,27132,0
20121129,17.454,17.529,17.454,17.529,68798,0
20121130,17.584,17.592,17.468,17.495,102712,0
20121203,17.608,17.688,17.401,17.401,52246,0
20121204,17.44,17.465,17.397,17.44,25291,0
20121205,17.446,17.455,17.378,17.418,221707,0
20121206,17.437,17.446,17.378,17.427,39197,0
20121207,17.418,17.462,17.418,17.462,26153,0
20121210,17.497,17.497,17.427,17.462,67083,0
20121211,17.514,17.514,17.427,17.427,36463,0
20121212,17.514,17.514,17.437,17.489,129156,0
20121213,17.489,17.489,17.393,17.437,72575,0
20121214,17.48,17.48,17.37,17.37,49205,0
20121217,17.462,17.489,17.386,17.418,78409,0
20121218,17.462,17.489,17.401,17.489,32261,0
20121219,17.557,17.626,17.54,17.593,359412,0
20121220,17.634,17.634,17.54,17.601,54797,0
20121221,17.593,17.669,17.53,17.584,288412,0
20121224,17.626,17.626,17.506,17.576,42186,0
20121226,17.617,17.617,17.514,17.584,61397,0
20121227,17.595,17.628,17.523,17.602,30437,0
20121228,17.681,17.681,17.585,17.636,42605,0
20121231,17.675,17.765,17.596,17.765,71656,0
20130102,17.819,17.88,17.776,17.792,71441,0
20130103,17.845,17.922,17.801,17.872,100146,0
20130104,17.896,17.93,17.854,17.913,100847,0
20130107,17.957,17.957,17.836,17.872,71467,0
20130108,17.896,17.93,17.845,17.889,569048,0
20130109,17.917,17.953,17.908,17.953,481214,0
20130110,17.997,18.015,17.927,17.997,127270,0
20130111,17.984,18.002,17.966,17.984,208347,0
20130114,18.011,18.011,17.957,17.975,72144,0
20130115,18.002,18.042,17.957,17.992,108772,0
20130116,17.992,18.002,17.889,17.922,111115,0
20130117,17.922,17.966,17.922,17.966,100589,0
20130118,18.007,18.015,17.953,18.015,112983,0
20130122,18.15,18.2,17.966,18.011,110276,0
20130123,18.017,18.017,17.972,17.972,105922,0
20130124,18.011,18.019,17.984,18.002,249363,0
20130125,18.007,18.032,17.989,18.032,144178,0
20130128,18.047,18.056,17.98,17.997,152215,0
20130129,18.015,18.015,17.953,17.962,90230,0
20130130,18.274,18.274,17.908,17.927,100732,0
20130131,17.913,17.922,17.896,17.905,147941,0
20130201,18.038,18.038,17.927,17.98,155396,0
20130204,17.98,18.064,17.867,17.901,46024,0
20130205,18.058,18.058,17.885,17.919,63255,0
20130206,17.964,17.964,17.902,17.946,47051,0
20130207,17.972,17.972,17.885,17.928,25136,0
20130208,18.033,18.033,17.909,17.936,42072,0
20130211,17.917,17.944,17.917,17.944,67946,0
20130212,17.98,17.98,17.927,17.98,46744,0
20130213,18.064,18.064,17.962,17.997,98274,0
20130214,17.908,17.97,17.867,17.867,73375,0
20130215,17.868,17.885,17.832,17.841,44847,0
20130219,17.822,17.893,17.822,17.876,50396,0
20130220,17.999,17.999,17.771,17.779,94070,0
20130221,17.77,17.77,17.666,17.717,96784,0
20130222,17.841,17.859,17.703,17.779,67062,0
20130225,17.814,17.831,17.717,17.717,28373,0
20130226,17.737,17.763,17.65,17.753,31235,0
20130227,17.797,17.815,17.745,17.815,71627,0
20130228,17.837,17.846,17.766,17.801,37946,0
20130301,17.859,17.859,17.676,17.737,66370,0
20130304,17.737,17.763,17.676,17.737,72428,0
20130305,17.775,17.855,17.767,17.801,85051,0
20130306,17.855,17.914,17.801,17.836,47314,0
20130307,17.873,17.873,17.811,17.846,81510,0
20130308,17.864,17.89,17.855,17.873,42071,0
20130311,17.877,17.877,17.823,17.877,81431,0
20130312,17.877,17.909,17.851,17.877,77684,0
20130313,17.851,17.885,17.807,17.885,27727,0
20130314,17.859,17.919,17.859,17.885,51869,0
20130315,17.924,17.942,17.873,17.924,41375,0
20130318,17.859,17.909,17.851,17.894,37228,0
20130319,17.919,17.972,17.823,17.851,60314,0
20130320,17.898,17.932,17.855,17.914,66532,0
20130321,17.855,17.924,17.855,17.906,43664,0
20130322,17.89,17.924,17.855,17.873,38867,0
20130325,17.906,17.906,17.846,17.873,68269,0
20130326,17.906,17.906,17.836,17.873,164197,0
20130327,17.898,17.898,17.846,17.873,36068,0
20130328,17.898,17.914,17.864,17.914,20847,0
20130401,17.978,18.03,17.855,17.873,97980,0
20130402,17.88,18.251,17.853,17.871,107194,0
20130403,17.96,17.96,17.819,17.855,92704,0
20130404,17.88,17.88,17.844,17.862,67066,0
20130405,17.864,17.932,17.757,17.855,56401,0
20130408,17.836,17.873,17.819,17.846,49347,0
20130409,17.855,17.914,17.819,17.873,165410,0
20130410,17.905,17.986,17.862,17.967,71843,0
20130411,18.013,18.046,17.942,18.037,79585,0
20130412,18.029,18.045,17.986,18.021,61409,0
20130415,18.03,18.03,17.864,17.89,105709,0
20130416,17.978,17.987,17.924,17.987,104655,0
20130417,18.013,18.045,17.888,17.931,57321,0
20130418,17.968,18.013,17.898,17.924,82866,0
20130419,18.251,18.251,17.931,17.958,30797,0
20130422,18.053,18.118,17.896,17.94,77580,0
20130423,17.958,17.994,17.958,17.986,85341,0
20130424,18.188,18.188,18.004,18.08,89500,0
20130425,18.188,18.188,18.089,18.146,126902,0
20130426,18.137,18.161,18.07,18.127,62398,0
20130429,18.188,18.223,18.137,18.214,97408,0
20130430,18.231,18.25,18.186,18.221,130055,0
20130501,18.26,18.285,18.171,18.188,160697,0
