Date,Open,High,Low,Close,Volume,OpenInt
20121211,23.446,23.503,23.373,23.373,17828,0
20121212,23.464,23.549,23.429,23.456,69031,0
20121213,23.549,23.549,23.382,23.392,20670,0
20121214,23.401,23.401,23.364,23.364,5620,0
20121217,23.456,23.521,23.456,23.503,16431,0
20121218,23.734,23.734,23.503,23.633,23574,0
20121219,23.688,23.743,23.688,23.688,6558,0
20121220,23.68,23.688,23.68,23.688,326,0
20121221,23.922,23.922,23.746,23.819,39705,0
20121224,23.894,23.894,23.701,23.71,10318,0
20121226,23.71,23.71,23.58,23.645,7266,0
20121227,23.755,23.755,23.58,23.58,15145,0
20121228,23.533,23.626,23.414,23.414,41163,0
20121231,23.352,23.558,23.193,23.213,51583,0
20130102,23.432,23.477,23.432,23.441,1458,0
20130103,23.486,23.524,23.486,23.496,7881,0
20130104,23.506,23.543,23.506,23.506,8649,0
20130107,23.607,23.607,23.459,23.459,6558,0
20130108,23.385,23.385,23.302,23.302,1166,0
20130109,23.357,23.414,23.357,23.414,972,0
20130110,23.524,23.524,23.449,23.514,2482,0
20130111,23.506,23.506,23.432,23.432,3485,0
20130114,23.496,23.496,23.385,23.432,3003,0
20130115,23.385,23.385,23.32,23.385,1728,0
20130117,23.533,23.571,23.533,23.571,1187,0
20130118,23.486,23.486,23.441,23.449,1264,0
20130122,23.441,23.543,23.441,23.543,647,0
20130123,23.598,23.626,23.496,23.598,16090,0
20130125,23.71,23.738,23.654,23.738,108655,0
20130128,23.765,23.765,23.701,23.719,33274,0
20130129,23.719,23.783,23.719,23.775,17608,0
20130130,23.857,23.857,23.71,23.729,89841,0
20130131,23.737,23.746,23.691,23.737,18536,0
20130201,23.701,23.932,23.701,23.932,1109,0
20130204,23.819,23.819,23.746,23.775,9897,0
20130205,23.894,23.913,23.876,23.913,6329,0
20130206,23.922,23.922,23.838,23.885,1794,0
20130207,23.746,23.819,23.746,23.819,534,0
20130208,23.977,24.023,23.941,24.023,42528,0
20130211,24.005,24.005,23.951,23.977,5274,0
20130212,23.987,24.023,23.97,24.005,6187,0
20130213,24.07,24.07,23.96,23.987,2489,0
20130214,23.97,24.109,23.97,24.043,47718,0
20130215,24.08,24.08,23.951,24.005,11192,0
20130219,24.07,24.145,24.07,24.145,16671,0
20130220,24.246,24.246,23.941,23.941,23848,0
20130221,24.127,24.127,23.765,23.765,80596,0
20130222,24.033,24.033,23.904,23.987,23095,0
20130225,24.109,24.109,23.81,23.847,7206,0
20130226,23.663,23.791,23.663,23.791,13853,0
20130227,23.765,23.847,23.729,23.847,29052,0
20130228,24.032,24.07,23.818,24.032,18706,0
20130301,24.099,24.099,23.857,23.997,16377,0
20130304,23.987,23.987,23.922,23.97,3120,0
20130305,24.109,24.155,24.043,24.052,4851,0
20130306,24.275,24.275,24.09,24.09,7963,0
20130307,24.164,24.164,24.109,24.128,6253,0
20130308,24.164,24.173,24.109,24.155,7042,0
20130311,24.109,24.135,24.099,24.135,6022,0
20130312,24.099,24.109,24.099,24.099,892,0
20130313,24.128,24.155,24.128,24.136,1403,0
20130314,24.201,24.22,24.182,24.201,1798,0
20130315,24.21,24.285,24.182,24.247,9374,0
20130318,24.182,24.22,24.182,24.182,3812,0
20130319,24.145,24.173,24.109,24.155,3632,0
20130320,23.997,24.136,23.997,24.118,1514,0
20130321,24.099,24.128,24.052,24.062,6963,0
20130322,24.145,25.251,24.145,24.192,52051,0
20130325,24.145,24.145,24.136,24.136,754,0
20130326,24.229,24.321,24.229,24.321,1982,0
20130327,24.285,24.358,24.247,24.312,5933,0
20130328,24.312,24.443,24.312,24.424,19663,0
20130401,24.424,24.424,24.239,24.239,4135,0
20130402,24.331,24.414,24.331,24.358,920,0
20130403,24.331,24.331,24.145,24.145,4646,0
20130404,24.239,24.239,24.192,24.229,1687,0
20130405,23.951,24.136,23.951,24.136,6545,0
20130408,24.09,24.192,24.09,24.192,3647,0
