Date,Open,High,Low,Close,Volume,OpenInt
20061024,23.735,23.735,23.601,23.698,10122,0
20061025,23.908,23.908,23.899,23.908,524,0
20061026,24.128,24.244,23.936,24.244,4695,0
20061027,24.1,24.118,23.86,23.86,11374,0
20061030,23.955,24.033,23.792,24.013,24317,0
20061031,24.072,24.072,23.841,23.994,3130,0
20061101,24.147,24.147,23.429,23.429,20246,0
20061102,23.237,23.237,23.218,23.218,418,0
20061103,23.362,23.362,23.161,23.161,6262,0
20061106,23.458,23.601,23.37,23.601,15550,0
20061107,23.86,23.899,23.679,23.679,11479,0
20061108,23.659,23.936,23.601,23.86,6785,0
20061109,23.994,24.013,23.621,23.621,235640,0
20061110,23.698,23.698,23.601,23.611,3548,0
20061113,23.831,23.88,23.753,23.88,2610,0
20061114,23.984,24.254,23.792,24.254,4695,0
20061115,24.407,24.664,24.407,24.569,8245,0
20061116,24.693,24.693,24.464,24.464,20663,0
20061117,24.292,24.292,24.138,24.176,6785,0
20061120,24.254,24.301,24.128,24.196,10748,0
20061121,24.32,24.339,24.215,24.32,12731,0
20061122,24.456,24.456,24.32,24.368,8557,0
20061124,24.359,24.54,24.359,24.484,7408,0
20061127,24.407,24.407,23.88,23.916,7304,0
20061128,23.916,23.916,23.744,23.841,14403,0
20061129,24.282,24.484,24.273,24.474,16071,0
20061130,24.53,24.693,24.388,24.693,101123,0
20061201,24.53,24.53,24.147,24.349,14714,0
20061204,24.484,24.799,24.474,24.77,120430,0
20061205,24.799,24.933,24.78,24.866,111350,0
20061206,24.885,25.009,24.885,24.923,21184,0
20061207,25.009,25.009,24.721,24.721,126691,0
20061208,24.628,24.799,24.569,24.721,151423,0
20061211,24.684,24.741,24.608,24.608,5009,0
20061212,24.588,24.588,24.368,24.368,4277,0
20061213,24.503,24.503,24.31,24.339,5739,0
20061214,24.55,24.77,24.55,24.674,6367,0
20061215,24.684,24.684,24.512,24.54,8557,0
20061218,24.628,24.628,24.138,24.147,19515,0
20061219,23.899,24.215,23.85,24.167,3548,0
20061220,24.339,24.494,24.264,24.33,15653,0
20061221,24.398,24.398,24.109,24.109,2296,0
20061222,24.062,24.109,23.975,23.975,24211,0
20061226,23.955,24.118,23.955,24.091,88703,0
20061227,24.292,24.349,24.254,24.349,7829,0
20061228,24.339,24.339,24.254,24.273,5009,0
20061229,24.186,24.273,24.033,24.1,22959,0
20070103,24.273,24.301,23.707,23.87,28282,0
20070104,23.792,24.043,23.669,24.043,40386,0
20070105,23.821,23.821,23.525,23.572,20246,0
20070108,23.525,23.659,23.409,23.572,14921,0
20070109,23.458,23.487,23.18,23.487,10018,0
20070110,23.352,23.477,23.352,23.477,25673,0
20070111,23.505,23.773,23.505,23.601,113019,0
20070112,23.763,23.975,23.753,23.955,6262,0
20070116,24.109,24.109,23.812,23.841,19723,0
20070117,23.792,23.936,23.763,23.831,8662,0
20070118,23.726,23.726,23.332,23.332,19203,0
20070119,23.296,23.553,23.237,23.544,10018,0
20070122,23.515,23.515,23.342,23.39,11479,0
20070123,23.582,24.013,23.582,23.87,11689,0
20070124,23.86,23.916,23.717,23.916,6785,0
20070125,23.908,23.908,23.553,23.553,8557,0
20070126,23.582,23.916,23.582,23.916,7618,0
20070129,24.052,24.349,24.052,24.349,8245,0
20070130,24.368,24.569,24.368,24.569,7723,0
20070131,24.32,24.598,24.32,24.569,9079,0
20070201,24.837,24.837,24.618,24.76,13253,0
20070202,24.78,24.876,24.721,24.789,10331,0
20070205,24.837,25.039,24.827,24.923,7930,0
20070206,25.135,25.135,24.952,25.039,13880,0
20070207,25.106,25.221,25.077,25.201,9079,0
20070208,25.019,25.106,24.962,25.106,12835,0
20070209,25.144,25.144,24.751,24.809,6262,0
20070212,24.809,24.809,24.608,24.618,10958,0
20070213,24.827,24.827,24.751,24.818,4364,0
20070214,25.001,25.25,24.981,25.173,24577,0
20070215,25.173,25.25,25.144,25.25,10853,0
20070216,25.173,25.289,25.097,25.289,15446,0
20070220,25.306,25.662,25.306,25.614,11374,0
20070221,25.672,25.893,25.614,25.883,9705,0
20070222,26.083,26.168,26.007,26.168,16803,0
20070223,26.341,26.438,26.256,26.37,20350,0
20070226,26.514,26.514,26.266,26.428,23010,0
20070227,25.748,25.864,24.856,24.952,21603,0
20070228,25.001,25.135,24.598,25.058,15550,0
20070301,24.674,24.991,24.31,24.818,21811,0
20070302,24.827,24.827,24.264,24.264,33812,0
20070305,23.86,24.264,23.679,23.679,27969,0
20070306,24.167,24.436,24.043,24.417,5532,0
20070307,24.446,24.618,24.407,24.436,13253,0
20070308,24.789,24.837,24.569,24.618,8035,0
20070309,24.809,24.885,24.674,24.674,2713,0
20070312,24.78,24.972,24.76,24.895,9393,0
20070313,24.866,24.866,24.254,24.282,5217,0
20070314,24.339,24.339,23.955,24.244,11479,0
20070315,24.484,24.522,24.426,24.474,8140,0
20070316,24.598,24.628,24.359,24.426,8140,0
20070319,24.637,24.684,24.484,24.522,3860,0
20070320,24.608,24.721,24.56,24.721,4175,0
20070321,24.904,25.154,24.77,25.154,5009,0
20070322,25.231,25.298,25.125,25.201,11795,0
20070323,25.306,25.508,25.306,25.422,9808,0
20070326,25.49,25.653,25.201,25.306,5217,0
20070327,25.345,25.345,25.298,25.316,2713,0
20070328,25.298,25.345,25.009,25.192,5635,0
20070329,25.393,25.393,24.933,25.048,9913,0
20070330,25.058,25.115,24.885,25.001,7097,0
20070402,25.106,25.106,24.913,24.962,20663,0
20070403,25.192,25.335,25.192,25.269,8557,0
20070404,25.345,25.402,25.316,25.326,8140,0
20070405,25.355,25.47,25.355,25.412,3758,0
20070409,25.46,25.46,25.289,25.393,7514,0
20070410,25.451,25.47,25.326,25.364,5532,0
20070411,25.364,25.412,25.173,25.289,11795,0
20070412,25.345,25.508,25.345,25.508,3235,0
20070413,25.585,25.623,25.441,25.623,25153,0
20070416,25.864,26.083,25.864,26.065,12419,0
20070417,26.159,26.188,26.007,26.074,24941,0
20070418,25.94,25.997,25.893,25.987,9079,0
20070419,25.633,25.874,25.594,25.672,5950,0
20070420,26.055,26.055,25.854,25.978,8975,0
20070423,26.055,26.198,25.978,26.159,30682,0
20070424,26.341,26.495,26.256,26.448,8767,0
20070425,26.63,26.639,26.495,26.63,3965,0
20070426,26.735,26.735,26.514,26.572,4488,0
20070427,26.476,26.495,26.351,26.428,7723,0
20070430,26.39,26.39,25.969,25.969,8767,0
20070501,25.748,25.786,25.565,25.786,5009,0
20070502,26.007,26.351,26.007,26.236,7304,0
20070503,26.322,26.37,26.227,26.322,14193,0
20070504,26.601,26.725,26.562,26.687,8871,0
20070507,26.735,26.745,26.601,26.649,8662,0
20070508,26.495,26.572,26.36,26.572,6785,0
20070509,26.658,26.898,26.62,26.879,9286,0
20070510,26.591,26.725,26.293,26.293,8662,0
20070511,26.457,26.658,26.457,26.658,4801,0
20070514,26.687,26.706,26.331,26.38,3235,0
20070515,26.428,26.572,26.102,26.102,24211,0
20070516,26.322,26.322,26.065,26.284,7723,0
20070517,26.351,26.351,26.207,26.293,6992,0
20070518,26.275,26.553,26.198,26.495,24317,0
20070521,26.611,26.945,26.611,26.888,11167,0
20070522,27.003,27.358,27.003,27.338,12627,0
20070523,27.454,27.511,27.292,27.292,5532,0
20070524,27.282,27.454,26.774,26.813,26192,0
20070525,27.003,27.224,27.003,27.214,9185,0
20070529,27.425,27.922,27.243,27.358,7723,0
20070530,27.08,27.454,26.994,27.425,10644,0
20070531,27.597,27.616,27.492,27.558,11167,0
20070601,27.932,27.932,27.788,27.885,9185,0
20070604,27.932,27.941,27.778,27.941,8871,0
20070605,27.904,28.038,27.798,28.019,8245,0
20070606,27.73,27.73,27.578,27.683,7618,0
20070607,27.558,27.558,27.003,27.022,11063,0
20070608,26.888,27.253,26.879,27.253,6054,0
20070611,27.301,27.415,27.185,27.338,5843,0
20070612,27.253,27.263,26.974,26.984,3548,0
20070613,27.204,27.587,27.128,27.54,6262,0
20070614,27.895,28.087,27.895,27.971,11167,0
