Date,Open,High,Low,Close,Volume,OpenInt
20140609,59.412,59.432,59.412,59.422,1127,0
20140613,59.48,60.535,59.48,60.535,1864,0
20140616,59.402,59.92,59.275,59.343,1810,0
20140617,59.305,59.305,59.168,59.168,871,0
20140619,59.295,59.305,59.295,59.305,1639,0
20140620,59.337,59.337,59.337,59.337,153,0
20140623,59.318,59.318,58.957,58.957,1127,0
20140630,59.65,59.65,59.65,59.65,301,0
20140702,60.216,60.216,60.138,60.138,921,0
20140707,60.47,60.47,60.47,60.47,719,0
20140709,60.597,60.597,60.597,60.597,1639,0
20140711,60.46,60.46,60.46,60.46,492,0
20140715,61.339,61.339,60.587,60.704,820,0
20140716,61.037,61.037,61.007,61.007,1229,0
20140717,60.559,60.559,60.265,60.422,999,0
20140721,60.539,60.539,60.442,60.442,871,0
20140723,61.437,61.437,61.437,61.437,3072,0
20140728,61.418,61.535,61.418,61.535,717,0
20140729,61.281,61.281,61.281,61.281,697,0
20140730,62.15,62.15,60.978,61.066,3767,0
20140731,60.442,60.442,60.442,60.442,262,0
20140801,60.323,60.323,60.285,60.315,879,0
20140804,60.988,60.988,60.988,60.988,307,0
20140805,60.539,60.539,59.982,59.982,2284,0
20140807,59.68,59.68,59.65,59.65,328,0
20140814,61.446,61.446,61.446,61.446,404,0
20140819,62.101,62.101,62.101,62.101,103,0
20140826,62.208,62.208,62.208,62.208,133,0
20140827,62.541,62.541,62.491,62.491,719,0
20140828,62.023,62.023,62.023,62.023,153,0
20140902,61.974,61.974,61.809,61.886,3072,0
20140904,63.029,63.029,63.029,63.029,103,0
20140908,62.491,62.491,62.491,62.491,103,0
20140910,61.515,61.613,61.301,61.515,1332,0
20140911,61.027,61.398,61.027,61.291,14768,0
20140912,60.783,60.968,60.666,60.793,9013,0
20140915,60.587,60.597,60.422,60.587,4199,0
20140916,60.587,61.242,60.587,61.242,5365,0
20140917,61.027,61.037,60.831,61.017,3482,0
20140923,59.563,59.631,59.24,59.299,6110,0
20140924,59.787,59.817,59.65,59.807,2149,0
20140925,59.074,59.093,58.781,58.791,3990,0
20140926,58.869,59.22,58.869,59.025,820,0
20140930,58.44,58.44,58.44,58.44,212,0
20141001,57.278,57.278,57.219,57.219,850,0
20141002,57.17,57.17,57.17,57.17,103,0
20141007,58,58.029,58,58.029,1807,0
20141010,52.082,56.653,52.082,56.653,409,0
20141015,56.672,56.818,56.672,56.818,409,0
20141016,56.526,56.643,56.526,56.643,7026,0
20141017,57.414,57.414,57.414,57.414,398,0
20141022,57.472,57.472,57.385,57.463,748,0
20141023,57.599,57.599,57.561,57.561,680,0
20141024,57.463,58.401,57.463,58.401,2197,0
20141027,57.355,58.068,57.063,57.063,3156,0
20141028,58.059,58.059,57.697,58.059,717,0
20141103,58.586,58.586,58.586,58.586,256,0
20141104,58.508,58.508,58.508,58.508,103,0
20141107,57.326,57.541,57.18,57.541,1229,0
20141111,57.609,57.609,57.609,57.609,103,0
20141112,57.843,57.843,57.843,57.843,820,0
20141119,57.121,57.121,57.121,57.121,153,0
20141124,58.537,58.537,58.537,58.537,226,0
20141208,56.633,56.633,56.076,56.076,1332,0
20141210,55.315,57.072,55.207,57.072,1556,0
20141215,54.681,55.364,53.215,53.215,4031,0
20141219,54.98,55.159,54.881,55.159,1352,0
20141224,55.476,55.506,55.407,55.417,1031,0
20141229,55.655,55.655,55.655,55.655,225,0
20150102,55.218,56.091,55.218,55.218,318,0
20150105,54.077,54.187,54.077,54.187,496,0
20150106,54.137,54.137,54.137,54.137,3942,0
20150120,55.536,55.536,55.536,55.536,706,0
20150123,57.381,57.619,57.381,57.619,403,0
20150126,57.54,57.609,57.54,57.609,12018,0
20150127,57.143,57.143,57.143,57.143,6854,0
20150128,56.22,56.22,56.22,56.22,202,0
20150130,56.032,56.032,55.913,55.913,1290693,0
20150202,56.657,56.657,56.657,56.657,131,0
20150204,57.728,57.827,57.421,57.52,1473,0
20150205,57.679,57.679,57.679,57.679,298,0
20150211,55.774,56.567,55.774,56.429,514,0
20150212,56.528,56.756,56.339,56.756,6552,0
20150217,57.004,57.004,56.954,56.964,1633,0
20150223,57.51,57.52,57.401,57.52,947,0
20150304,57.946,57.946,57.946,57.946,101,0
20150305,57.946,57.946,57.946,57.946,101,0
20150306,56.319,56.319,56.319,56.319,101,0
20150309,56.319,56.319,56.31,56.31,806,0
20150312,56.31,56.31,56.31,56.31,101,0
20150313,55.069,55.069,55.069,55.069,101,0
20150316,56.28,56.319,55.714,56.319,4637,0
20150319,56.319,56.319,56.319,56.319,101,0
20150323,57.569,57.569,57.569,57.569,101,0
20150325,57.083,57.083,57.083,57.083,101,0
20150326,57.083,57.083,57.083,57.083,101,0
20150330,57.083,57.083,57.083,57.083,101,0
20150401,57.083,57.083,57.083,57.083,101,0
20150402,58.601,58.601,58.601,58.601,302,0
20150406,58.601,58.601,58.601,58.601,101,0
20150407,58.601,58.601,58.601,58.601,101,0
20150408,58.601,58.601,58.601,58.601,101,0
20150409,58.601,58.601,58.601,58.601,1,0
20150410,58.601,58.601,58.601,58.601,101,0
20150413,60.486,60.486,60.486,60.486,706,0
20150414,60.486,60.486,60.486,60.486,101,0
20150415,60.486,60.486,60.486,60.486,24,0
20150416,60.486,60.486,60.486,60.486,30,0
20150423,61.816,62.123,61.796,62.123,403,0
20150424,62.212,62.222,62.143,62.222,706,0
20150427,62.222,62.222,62.222,62.222,101,0
20150429,61.617,62.272,61.558,62.272,1714,0
20150430,61.091,61.091,61.091,61.091,101,0
20150501,61.458,61.974,61.319,61.974,1008,0
20150504,61.974,61.974,61.974,61.974,101,0
20150505,61.974,61.974,61.974,61.974,101,0
20150506,61.974,61.974,61.974,61.974,20,0
20150507,60.109,60.129,59.901,60.129,1494,0
20150508,61.071,61.071,61.071,61.071,504,0
20150511,61.071,61.071,61.071,61.071,101,0
20150512,61.071,61.071,61.071,61.071,18,0
20150513,60.357,60.982,60.347,60.367,2016,0
20150514,60.942,61.558,60.942,61.498,706,0
20150515,61.498,61.498,61.498,61.498,45,0
20150518,61.498,61.498,61.498,61.498,54,0
20150519,61.498,61.498,61.498,61.498,101,0
20150521,60.317,60.317,60.317,60.317,605,0
20150522,60.317,60.317,60.317,60.317,101,0
20150527,59.692,59.792,59.692,59.792,302,0
20150529,58.72,58.72,58.7,58.7,202,0
20150601,57.55,57.55,57.55,57.55,202,0
20150602,57.55,57.55,57.55,57.55,26,0
20150603,58.294,58.294,58.294,58.294,504,0
20150604,58.046,58.046,57.302,57.599,1008,0
20150605,57.599,57.599,57.599,57.599,101,0
20150608,57.083,57.083,57.083,57.083,202,0
20150609,57.083,57.083,57.083,57.083,2,0
20150610,57.083,57.083,57.083,57.083,4,0
20150611,57.232,57.54,57.232,57.54,217,0
20150612,56.845,56.845,56.845,56.845,806,0
20150615,56.845,56.845,56.845,56.845,101,0
20150616,56.845,56.845,56.845,56.845,101,0
20150617,56.687,60.992,56.687,57.014,605,0
20150618,57.014,57.014,57.014,57.014,101,0
20150619,57.33,57.5,57.19,57.5,1200,0
