Date,Open,High,Low,Close,Volume,OpenInt
20050225,48.585,49.111,48.585,49.111,2736,0
20050228,49.303,49.383,49.05,49.085,44812,0
20050301,49.303,49.568,49.217,49.568,2052,0
20050302,49.628,49.628,49.628,49.628,341,0
20050303,49.558,49.593,49.295,49.593,12659,0
20050304,49.709,50.102,49.709,50.102,6155,0
20050307,50.137,50.382,50.137,50.19,10263,0
20050308,49.84,49.9,49.84,49.864,2052,0
20050309,49.524,49.585,49.524,49.585,6843,0
20050310,49.365,49.365,49.269,49.269,7526,0
20050311,49.602,49.602,49.094,49.155,37288,0
20050314,49.34,49.532,49.34,49.532,3420,0
20050315,49.84,49.847,49.287,49.287,43103,0
20050316,49.137,49.137,48.856,48.856,25997,0
20050317,48.804,48.997,48.768,48.936,9235,0
20050318,48.813,48.892,48.278,48.278,129309,0
20050321,48.479,48.479,48.278,48.419,19844,0
20050322,48.716,48.884,48.305,48.305,25654,0
20050323,47.814,47.907,47.708,47.708,14709,0
20050324,48.068,48.278,47.876,47.876,20867,0
20050328,48.077,48.077,47.926,47.926,14026,0
20050329,47.595,47.979,46.989,46.989,27709,0
20050330,47.435,47.708,47.297,47.708,33521,0
20050331,48.014,48.042,47.841,48.042,5131,0
20050401,48.366,48.366,47.604,47.604,8552,0
20050404,47.358,47.893,47.358,47.893,1026,0
20050405,47.734,47.734,47.734,47.734,684,0
20050406,48.042,48.147,48.006,48.147,9235,0
20050407,48.014,48.172,48.014,48.138,1708,0
20050408,48.068,48.068,47.716,47.716,27367,0
20050411,47.708,47.708,47.349,47.551,10945,0
20050412,47.172,47.832,47.172,47.832,1708,0
20050413,47.654,47.654,47.654,47.654,341,0
20050414,47.12,47.136,46.427,46.507,21209,0
20050415,46.165,46.165,45.402,45.402,10263,0
20050418,45.279,45.744,45.2,45.744,14026,0
20050419,46.112,46.305,46.068,46.305,12659,0
20050420,46.076,46.191,45.937,45.937,18130,0
20050421,46.007,46.577,45.901,46.577,15395,0
20050422,46.331,46.331,45.682,45.91,19844,0
20050425,46.463,46.463,46.348,46.445,2396,0
20050426,46.279,46.436,45.963,45.963,7868,0
20050427,45.49,45.735,45.49,45.525,45155,0
20050428,45.463,45.463,45.279,45.279,4789,0
20050429,45.568,45.568,45.418,45.418,2052,0
20050502,45.831,45.831,45.594,45.735,48919,0
20050503,45.91,46.015,45.638,45.823,6499,0
20050504,46.209,46.365,46.209,46.34,1026,0
20050505,46.857,46.857,46.252,46.41,21551,0
20050506,46.779,46.779,46.646,46.646,2736,0
20050509,46.891,46.945,46.857,46.945,20867,0
20050510,46.77,46.796,46.533,46.542,4447,0
20050511,46.585,46.585,46.12,46.472,26684,0
20050512,46.418,46.418,45.787,45.901,16423,0
20050513,45.674,45.674,45.128,45.137,2052,0
20050516,45.629,45.954,45.629,45.91,30104,0
20050517,46.12,46.682,46.086,46.682,18130,0
20050518,46.954,47.48,46.954,47.306,13342,0
20050519,47.595,47.604,47.462,47.462,5475,0
20050520,47.577,47.752,47.39,47.752,16423,0
20050523,47.69,48.032,47.69,48.032,3420,0
20050524,47.805,47.841,47.716,47.716,1368,0
20050525,47.604,47.654,47.349,47.497,10603,0
20050526,47.961,47.988,47.961,47.97,3420,0
20050527,47.926,47.988,47.926,47.988,1026,0
20050531,48.366,48.479,48.172,48.435,15733,0
20050601,48.961,48.961,48.822,48.884,6843,0
20050602,48.936,48.997,48.936,48.997,2736,0
20050603,48.997,48.997,48.603,48.673,10263,0
20050606,48.603,48.884,48.595,48.884,4447,0
20050607,49.2,49.48,49.111,49.111,15395,0
20050608,49.014,49.312,48.901,48.901,23946,0
20050609,48.742,49.173,48.603,49.076,9920,0
20050610,49.365,49.445,49.182,49.182,16423,0
20050613,49.207,49.619,49.207,49.61,9577,0
20050614,49.699,49.882,49.628,49.743,22236,0
20050615,49.759,50.059,49.699,50.059,27367,0
20050616,50.128,50.541,50.128,50.541,30442,0
20050617,50.216,50.489,50.076,50.427,156675,0
20050620,50.26,50.356,50.031,50.304,21895,0
20050621,50.154,50.208,50.076,50.11,17788,0
20050622,50.12,50.374,49.971,49.98,10603,0
20050623,50.181,50.26,49.691,49.699,22578,0
20050624,49.427,49.427,48.866,48.866,118018,0
20050627,48.936,49.032,48.849,48.849,25997,0
20050628,49.242,49.709,49.242,49.709,11288,0
20050629,49.882,49.962,49.847,49.962,12315,0
20050630,50.154,50.154,49.874,49.874,14370,0
20050701,49.813,49.813,49.734,49.769,13001,0
20050705,50.646,50.646,50.646,50.646,1708,0
20050706,50.611,50.611,50.549,50.549,10945,0
20050707,49.9,50.347,49.777,50.286,43103,0
20050708,50.619,51.207,50.523,51.207,13342,0
20050711,51.39,51.97,51.39,51.97,11630,0
20050712,51.988,52.127,51.778,51.979,15052,0
20050713,51.953,51.979,51.838,51.917,14709,0
20050714,52.364,52.408,51.532,51.557,17788,0
20050715,51.557,51.672,51.373,51.627,6499,0
20050718,51.54,51.654,51.426,51.654,8209,0
20050719,51.471,52.05,51.471,52.05,10945,0
20050720,52.119,52.313,52.119,52.313,1026,0
20050721,52.541,52.541,51.864,52.024,11972,0
20050722,52.109,52.373,51.953,52.373,3761,0
20050725,52.55,52.601,52.153,52.225,3420,0
20050726,52.373,52.706,52.373,52.706,5475,0
20050727,52.706,52.706,52.408,52.532,6843,0
20050728,52.724,53.128,52.697,53.128,7182,0
20050729,53.145,53.321,52.926,52.926,2736,0
20050801,53.197,53.303,52.996,53.303,1368,0
20050802,53.215,53.382,53.215,53.268,6499,0
20050803,53.233,53.531,53.233,53.364,12315,0
20050804,53.206,53.206,52.804,52.804,1368,0
20050805,52.287,52.287,51.68,51.76,11972,0
20050808,52.127,52.127,51.847,51.847,2052,0
20050809,51.881,51.881,51.76,51.795,4104,0
20050810,52.109,52.305,51.725,51.725,7526,0
20050811,51.778,52.162,51.778,51.943,6843,0
20050812,51.953,51.953,51.908,51.908,7182,0
20050815,52.144,52.321,51.821,52.321,6843,0
20050816,51.953,52.024,51.618,51.618,9577,0
20050817,51.4,51.778,51.4,51.69,5475,0
20050818,51.163,51.453,51.145,51.453,12315,0
20050819,51.312,51.312,51.312,51.312,3420,0
20050822,51.532,51.795,51.453,51.716,9577,0
20050823,51.76,51.864,51.585,51.864,13684,0
20050824,51.795,52.119,51.627,51.627,23603,0
20050825,51.812,51.935,51.812,51.908,9577,0
20050826,51.355,51.355,51.355,51.355,1368,0
20050829,50.945,51.636,50.909,51.636,3761,0
20050830,51.488,51.575,51.295,51.524,9577,0
20050831,51.609,52.109,51.549,51.925,14709,0
20050901,52.654,52.908,52.654,52.76,9920,0
20050902,52.654,52.742,52.434,52.434,5816,0
20050906,53.005,53.163,52.978,53.163,4104,0
20050907,53.163,53.303,53.11,53.18,8894,0
20050908,53.251,53.313,53.118,53.118,2736,0
20050909,53.154,53.426,53.154,53.426,3420,0
20050912,53.496,53.812,53.496,53.68,4104,0
20050913,53.426,53.567,53.286,53.295,2052,0
20050914,53.1,53.1,52.855,52.855,1368,0
20050915,52.864,52.916,52.627,52.627,27367,0
20050916,52.452,52.671,52.391,52.654,18471,0
20050919,52.488,52.488,52.243,52.251,9920,0
20050920,52.006,52.006,51.873,51.873,684,0
20050921,51.609,51.663,51.154,51.154,7182,0
20050922,50.435,51.4,50.435,51.4,4562,0
20050923,51.092,51.557,50.997,51.557,1708,0
20050926,51.636,51.864,51.418,51.575,6155,0
20050927,51.304,51.76,51.199,51.592,2280,0
20050928,51.77,51.77,51.338,51.338,1825,0
20050929,51.382,51.988,51.068,51.979,34778,0
20050930,51.988,52.287,51.988,52.287,4447,0
20051003,52.338,52.523,52.338,52.523,1368,0
20051004,52.864,52.864,51.943,52.067,8209,0
20051005,51.382,51.471,50.733,50.733,3876,0
20051006,50.672,50.672,50.031,50.374,5475,0
20051007,51.092,51.092,50.489,50.681,20412,0
20051010,50.751,50.751,50.067,50.11,3080,0
20051011,50.321,50.321,49.532,49.532,4447,0
20051012,49.365,49.454,48.874,48.874,4333,0
20051013,48.603,48.919,48.357,48.919,8209,0
20051014,48.979,49.709,48.979,49.709,2849,0
20051017,49.575,49.864,49.575,49.769,3080,0
20051018,49.831,49.831,49.191,49.278,4333,0
20051019,48.656,49.786,48.656,49.786,2280,0
20051020,49.856,49.856,49.022,49.146,20754,0
20051021,49.2,49.628,49.2,49.628,2736,0
20051024,50.181,50.409,50.137,50.4,2052,0
20051025,50.208,50.664,49.909,50.093,3191,0
20051026,50.093,50.145,49.926,49.926,59977,0
20051027,49.646,49.646,49.173,49.173,1708,0
20051028,49.751,49.847,49.751,49.847,572,0
20051031,50.997,51.006,50.12,51.006,2052,0
20051101,50.541,50.927,50.523,50.523,2509,0
20051102,50.883,51.382,50.786,51.382,6499,0
20051103,51.812,51.847,51.373,51.4,2509,0
20051104,51.471,51.725,51.118,51.453,17333,0
20051107,51.382,51.873,51.382,51.787,4905,0
20051108,51.355,51.364,51.207,51.207,2849,0
20051109,51.26,51.988,51.26,51.742,8438,0
20051110,51.742,52.171,51.312,52.153,8666,0
20051111,52.101,52.269,52.024,52.269,5016,0
20051114,52.171,52.18,51.961,52.015,9693,0
20051115,52.024,52.233,51.707,51.707,3307,0
20051116,51.585,51.69,51.382,51.514,11747,0
20051117,51.77,52.296,51.77,52.243,10491,0
20051118,52.399,52.654,52.355,52.611,5475,0
20051121,52.688,53.18,52.688,53.18,4789,0
20051122,53.085,53.4,53.032,53.4,90424,0
20051123,53.522,53.794,53.453,53.496,5016,0
20051125,53.663,53.716,53.426,53.716,1255,0
20051128,53.505,53.505,52.839,52.839,2509,0
20051129,53.128,53.259,52.978,53.04,5131,0
20051130,52.987,53.382,52.987,53.067,5816,0
20051201,53.758,54.092,53.733,54.005,2509,0
20051202,53.829,53.953,53.768,53.953,11175,0
20051205,54.04,54.04,53.4,53.758,7297,0
20051206,53.943,53.943,53.627,53.627,5585,0
20051207,53.786,53.786,53.313,53.313,4674,0
20051208,53.461,53.899,53.461,53.531,2849,0
20051209,53.549,53.925,53.549,53.847,2965,0
20051212,53.874,53.935,53.725,53.75,3651,0
20051213,53.74,54.005,53.707,53.953,2509,0
20051214,53.996,54.137,53.917,54.137,4789,0
20051215,54.137,54.137,53.592,53.618,7638,0
20051216,53.505,53.505,53.067,53.268,5016,0
20051219,53.329,53.329,52.55,52.55,7983,0
20051220,52.724,52.839,52.416,52.636,3535,0
20051221,52.969,52.978,52.778,52.873,2849,0
20051222,53.05,53.241,52.961,53.241,2280,0
20051223,53.522,53.522,53.347,53.39,13571,0
20051227,53.461,53.505,52.847,52.847,2166,0
20051228,52.768,53.11,52.768,53.093,12088,0
20051229,53.145,53.206,52.873,52.943,13455,0
20051230,52.813,52.813,52.408,52.593,11062,0
20060103,52.671,53.478,52.287,53.478,15849,0
20060104,53.592,53.891,53.592,53.881,7070,0
20060105,53.768,54.03,53.768,54.03,3535,0
20060106,54.144,54.531,53.988,54.443,5475,0
20060109,54.592,55.014,54.592,54.863,4333,0
20060110,54.855,55.313,54.76,55.25,9805,0
20060111,55.11,55.295,54.996,55.295,81531,0
20060112,55.153,55.206,54.846,54.846,15165,0
20060113,55.014,55.014,54.846,54.987,2736,0
20060117,54.715,54.715,54.443,54.706,7983,0
20060118,54.337,54.592,54.337,54.592,1484,0
20060119,54.855,55.364,54.582,55.25,4789,0
20060120,55.25,55.25,54.671,54.671,8552,0
20060123,54.328,54.829,54.328,54.76,4447,0
