Date,Open,High,Low,Close,Volume,OpenInt
20150604,30.48,30.48,30.47,30.47,300,0
20150609,30.31,30.31,30.31,30.31,200,0
20150615,30.629,30.629,30.629,30.629,100,0
20150617,30.799,30.799,30.749,30.749,401,0
20150619,31.169,31.219,31.169,31.219,4105,0
20150622,31.279,31.349,31.279,31.349,1302,0
20150623,31.349,31.349,31.349,31.349,100,0
20150624,31.15,31.15,31.15,31.15,400,0
20150626,31.06,31.06,31.06,31.06,200,0
20150629,30.81,30.81,30.4,30.41,800,0
20150630,30.41,30.48,30.4,30.44,1400,0
20150701,30.44,30.44,30.44,30.44,100,0
20150702,30.44,30.44,30.44,30.44,100,0
20150707,30.72,30.73,30.1,30.1,1000,0
20150708,30.27,30.27,30.27,30.27,400,0
20150709,30.22,30.31,30.22,30.27,1000,0
20150713,30.86,30.86,30.77,30.77,1500,0
20150715,30.91,30.91,30.91,30.91,300,0
20150717,30.92,30.92,30.92,30.92,400,0
20150721,30.57,30.57,30.57,30.57,100,0
20150728,30.21,30.21,30.21,30.21,100,0
20150729,30.45,30.5,30.45,30.5,600,0
20150730,30.43,30.43,30.43,30.43,300,0
20150731,30.75,30.92,30.75,30.92,1100,0
20150804,30.69,30.69,30.65,30.65,400,0
20150805,30.77,30.77,30.77,30.77,300,0
20150806,30.55,30.55,30.38,30.38,457,0
20150807,30.29,30.29,30.2,30.23,1200,0
