Date,Open,High,Low,Close,Volume,OpenInt
20140806,28.808,29.625,28.755,29.235,18308,0
20140807,29.452,29.58,28.762,28.98,6240,0
20140808,29.002,29.58,28.942,29.55,8668,0
20140811,29.805,30.488,29.73,30.105,10060,0
20140812,29.94,30.075,29.415,29.648,9360,0
20140813,29.895,30.21,29.768,30.105,5332,0
20140814,30.21,30.27,30.082,30.195,14148,0
20140815,30.63,30.638,29.558,30.082,24268,0
20140818,30.645,30.998,30.645,30.975,13360,0
20140819,31.095,31.305,31.095,31.185,16000,0
20140820,30.938,31.058,30.81,30.96,3272,0
20140821,30.735,31.132,30.712,31.02,16020,0
20140826,31.838,31.838,31.815,31.815,800,0
20140827,31.755,31.792,31.62,31.702,13472,0
20140828,31.192,31.312,31.192,31.312,640,0
20140829,31.748,31.748,31.748,31.748,1332,0
20140902,31.92,32.212,31.718,32.048,28552,0
20140903,32.288,32.34,31.575,31.62,4400,0
20140904,31.8,32.205,31.38,31.395,9332,0
20140905,31.162,31.538,31.162,31.538,19868,0
20140908,31.68,31.755,31.29,31.605,27732,0
20140909,31.155,31.155,31.155,31.155,1072,0
20140910,30.84,31.26,30.652,31.192,12672,0
20140911,31.088,31.538,31.088,31.538,400,0
20140912,31.275,31.282,30.922,30.968,1468,0
20140915,30.352,30.352,30.352,30.352,132,0
20140916,30.33,30.518,29.632,30.308,31600,0
20140917,30.285,30.855,30.225,30.442,46668,0
20140918,30.735,31.035,30.652,31.035,19892,0
20140919,31.275,31.32,30.352,30.36,2000,0
20140922,29.865,29.918,29.385,29.475,17332,0
20140923,29.46,29.46,28.898,28.905,2392,0
20140924,28.935,29.422,28.8,29.362,8400,0
20140925,28.815,28.815,28.432,28.432,2168,0
20140926,28.582,28.935,28.575,28.935,8932,0
20140929,28.545,28.898,28.545,28.898,3492,0
20140930,28.815,28.815,28.35,28.35,1812,0
20141001,27.608,27.998,27.18,27.24,23600,0
20141002,27.465,27.982,26.888,27.758,11200,0
20141003,28.245,28.455,28.178,28.178,3412,0
20141006,28.35,28.35,27.705,27.705,2532,0
20141007,27.465,27.465,26.798,26.798,2400,0
20141008,26.738,27.548,26.288,27.548,2932,0
20141009,27.15,27.352,26.378,26.378,4668,0
20141010,26.235,26.362,25.71,25.71,6668,0
20141013,25.755,26.108,25.56,25.665,13336,0
20141014,25.928,26.692,25.838,26.01,4268,0
20141015,25.47,26.67,25.418,26.58,6800,0
20141016,26.4,27.135,26.34,27.12,3528,0
20141017,27.502,27.525,26.828,27.015,4132,0
20141020,27.285,27.532,27.225,27.532,11468,0
20141021,28.088,28.448,28.02,28.448,29732,0
20141022,28.485,28.718,27.892,27.892,4060,0
20141023,28.282,28.92,28.282,28.628,12400,0
20141024,28.718,28.86,28.53,28.86,4268,0
20141027,28.29,28.808,28.23,28.778,2932,0
20141028,29.408,30.398,29.408,30.375,5092,0
20141029,30.712,30.712,30.015,30.24,6268,0
20141030,30.06,30.945,30.015,30.75,2908,0
20141031,31.432,31.8,31.372,31.8,6132,0
20141103,31.882,31.98,31.365,31.432,2600,0
20141104,31.62,31.62,31.102,31.312,4468,0
20141105,31.62,31.672,31.268,31.402,3068,0
20141106,31.372,31.515,31.238,31.515,1068,0
20141107,31.372,31.68,31.245,31.65,1468,0
20141110,31.725,31.972,31.725,31.928,2376,0
20141111,31.958,32.04,31.958,31.98,532,0
20141112,31.98,32.513,31.965,32.4,9960,0
20141113,32.528,32.565,31.718,31.83,15332,0
20141114,31.852,31.905,31.71,31.71,1732,0
20141117,31.688,31.74,31.238,31.282,2400,0
20141118,31.735,31.775,31.59,31.59,10004,0
20141119,31.05,31.25,30.542,30.9,28008,0
20141120,31.252,31.598,31.24,31.598,25920,0
20141121,32.19,32.263,32.1,32.112,5600,0
