Date,Open,High,Low,Close,Volume,OpenInt
20121024,22.678,22.695,22.586,22.586,66882,0
20121025,22.748,22.758,22.615,22.729,46293,0
20121026,22.758,22.758,22.624,22.712,98821,0
20121031,22.744,22.846,22.674,22.717,26019,0
20121101,22.811,22.848,22.758,22.784,47712,0
20121102,22.887,22.887,22.484,22.484,55078,0
20121105,22.486,22.486,22.27,22.385,33236,0
20121106,22.539,22.594,22.446,22.521,25212,0
20121107,22.314,22.475,22.083,22.166,581503,0
20121108,22.157,22.183,21.986,21.986,24661,0
20121109,21.866,22.047,21.866,21.885,22501,0
20121112,21.906,21.906,21.824,21.833,11554,0
20121113,21.806,21.98,21.759,21.759,91344,0
20121114,21.842,21.842,21.469,21.489,14138,0
20121115,21.539,21.575,21.356,21.454,52177,0
20121116,21.418,21.621,21.339,21.621,31955,0
20121119,21.819,21.875,21.774,21.875,56897,0
20121120,21.893,21.893,21.746,21.885,35263,0
20121121,21.94,22.83,21.838,21.885,24700,0
20121123,21.976,22.047,21.93,22.047,12179,0
20121126,22.074,22.128,22.047,22.128,48484,0
20121127,22.138,22.222,22.101,22.119,56292,0
20121128,22.101,22.296,21.958,22.296,10815,0
20121129,22.376,22.376,22.248,22.348,42079,0
20121130,22.395,22.414,22.335,22.395,284069,0
20121203,22.383,22.411,22.322,22.348,60595,0
20121204,22.32,22.355,22.209,22.236,28025,0
20121205,22.248,22.392,22.183,22.322,557527,0
20121206,22.366,22.366,22.296,22.339,15212,0
20121207,22.366,22.401,22.277,22.401,23048,0
20121210,22.392,22.446,22.383,22.43,34730,0
20121211,22.521,22.575,22.465,22.521,42494,0
20121212,22.623,22.668,22.494,22.494,19914,0
20121213,22.594,22.594,22.339,22.366,45419,0
20121214,22.314,22.314,22.193,22.193,53728,0
20121217,22.339,22.42,22.322,22.42,74733,0
20121218,22.484,22.604,22.383,22.604,66308,0
20121219,22.668,22.668,22.475,22.512,30765,0
20121220,22.503,22.539,22.411,22.521,23430,0
20121221,22.358,22.455,22.296,22.358,40652,0
20121224,22.392,22.392,22.267,22.322,24491,0
20121226,22.305,22.305,22.174,22.183,17177,0
20121227,22.239,22.239,21.93,22.157,24536,0
20121228,22.767,22.767,21.949,21.949,24292,0
20121231,21.927,22.206,21.898,22.196,35129,0
20130102,22.558,22.677,22.512,22.677,136449,0
20130103,22.72,22.748,22.623,22.702,58033,0
20130104,22.767,22.877,22.757,22.868,79385,0
