Date,Open,High,Low,Close,Volume,OpenInt
20140507,23.82,23.82,23.82,23.82,101,0
20140508,23.858,23.858,23.838,23.838,214,0
20140512,23.79,23.79,23.735,23.735,1477,0
20140513,23.79,23.8,23.762,23.762,3382,0
20140514,23.923,23.923,23.923,23.923,345,0
20140515,23.999,23.999,23.96,23.96,1339,0
20140516,24.017,24.036,23.999,23.999,794,0
20140519,23.97,23.989,23.97,23.989,611,0
20140522,23.951,23.951,23.894,23.894,948,0
20140523,23.941,23.941,23.941,23.941,101,0
20140528,24.085,24.085,24.085,24.085,1060,0
20140529,24.168,24.197,24.159,24.159,4230,0
20140602,24.014,24.014,24.014,24.014,527,0
20140603,23.928,23.928,23.928,23.928,314,0
20140604,23.909,23.909,23.909,23.909,101,0
20140605,23.909,23.937,23.909,23.937,1054,0
20140610,23.966,23.966,23.966,23.966,5266,0
20140611,23.947,23.947,23.937,23.937,213,0
20140612,23.937,23.985,23.937,23.947,5662,0
20140617,24.062,24.062,24.062,24.062,101,0
20140618,24.109,24.109,24.082,24.082,1157,0
20140619,24.213,24.213,24.175,24.184,1265,0
20140701,24.15,24.15,24.122,24.122,2832,0
20140711,24.131,24.169,24.065,24.065,91744,0
20140715,24.122,24.122,24.103,24.103,525,0
20140716,24.14,24.14,24.14,24.14,313,0
20140717,24.198,24.198,24.198,24.198,213,0
20140718,24.216,24.216,24.216,24.216,313,0
20140721,24.226,24.265,24.226,24.265,525,0
20140724,24.15,24.15,24.15,24.15,3147,0
20140725,24.236,24.236,24.226,24.226,3149,0
20140729,24.302,24.302,24.302,24.302,313,0
20140730,24.275,24.275,24.226,24.226,738,0
20140806,24.164,24.164,24.144,24.144,4192,0
20140807,24.203,24.221,24.203,24.221,1971,0
20140808,24.212,24.221,24.183,24.183,5648,0
20140812,24.173,24.203,24.173,24.203,229,0
20140815,24.365,24.365,24.365,24.365,1461,0
20140820,24.27,24.27,24.27,24.27,101,0
20140826,24.499,24.499,24.499,24.499,211,0
20140904,24.464,24.464,24.464,24.464,311,0
20140908,24.435,24.435,24.406,24.406,834,0
20140912,24.082,24.091,24.072,24.072,311,0
20140916,24.137,24.137,24.137,24.137,624,0
20140917,24.186,24.186,24.119,24.119,421,0
20141006,24.375,24.375,24.375,24.375,101,0
20141008,24.47,24.51,24.421,24.421,577,0
20141028,24.47,24.47,24.47,24.47,101,0
20141103,24.321,24.36,24.291,24.35,16958,0
20141111,24.35,24.35,24.35,24.35,259,0
20141119,24.37,24.37,24.37,24.37,415,0
20141226,24.578,24.597,24.578,24.597,536,0
20150105,24.91,24.91,24.91,24.91,2048,0
20150116,25.028,25.076,25.028,25.028,5815,0
20150128,25.291,25.448,25.291,25.448,3686,0
20150227,25.492,25.492,25.492,25.492,205,0
20150302,25.488,25.488,25.488,25.488,100,0
20150312,25.222,25.222,25.222,25.222,100,0
20150319,25.557,25.606,25.557,25.557,2438,0
20150325,25.734,25.734,25.684,25.684,407,0
20150330,25.498,25.498,25.488,25.498,304,0
20150406,25.418,25.478,25.408,25.428,508,0
20150409,25.458,25.458,25.458,25.458,304,0
20150416,25.507,25.507,25.507,25.507,304,0
20150423,25.281,25.281,25.281,25.281,508,0
20150427,25.507,25.507,25.321,25.321,407,0
20150429,25.242,25.242,25.113,25.113,204,0
20150430,25.113,25.113,25.113,25.113,100,0
20150504,25.152,25.152,25.152,25.152,303,0
20150508,25.152,25.152,25.152,25.152,100,0
20150519,25.152,25.152,25.152,25.152,100,0
20150520,24.895,24.895,24.895,24.895,203,0
20150526,24.855,24.855,24.855,24.855,203,0
20150528,25.092,25.092,25.092,25.092,243,0
20150602,24.833,24.883,24.833,24.883,394,0
20150608,24.883,24.883,24.883,24.883,100,0
20150611,24.575,24.575,24.575,24.575,604,0
20150616,24.575,24.575,24.575,24.575,100,0
20150619,24.675,24.675,24.595,24.605,302,0
20150623,24.605,24.605,24.605,24.605,45,0
20150625,24.605,24.605,24.605,24.605,100,0
20150707,24.797,24.797,24.797,24.797,100,0
20150709,24.797,24.797,24.797,24.797,100,0
20150710,24.508,24.508,24.288,24.328,803,0
20150715,24.328,24.328,24.328,24.328,4,0
20150717,24.328,24.328,24.328,24.328,100,0
20150722,24.547,24.547,24.547,24.547,2008,0
20150723,24.547,24.547,24.547,24.547,100,0
