Date,Open,High,Low,Close,Volume,OpenInt
20140213,47.406,47.406,47.406,47.406,311,0
20140221,47.899,47.899,47.899,47.899,102,0
20140305,48.745,48.745,48.745,48.745,156,0
20140313,48.226,48.226,48.226,48.226,146,0
20140424,48.988,48.988,48.911,48.97,14058,0
20140425,48.746,48.746,48.746,48.746,102,0
20140429,49.046,49.046,49.008,49.008,413,0
20140501,49.452,49.462,49.24,49.24,994,0
20140512,49.511,49.53,49.433,49.471,32710,0
20140513,49.607,49.704,49.55,49.635,11386,0
20140715,51.418,51.447,51.389,51.398,618,0
20140717,51.438,51.438,51.03,51.03,2167,0
20140805,50.275,50.275,49.886,49.886,222,0
20140821,52.377,52.377,52.377,52.377,122,0
20140825,52.533,52.533,52.232,52.291,7324,0
20140826,52.301,52.678,52.301,52.543,1341,0
20140827,52.572,52.572,52.523,52.523,207,0
20140902,52.678,52.678,52.678,52.678,309,0
20140908,52.678,52.678,52.678,52.678,0,0
20140922,52.716,52.716,52.716,52.716,192,0
20140923,52.193,52.193,52.193,52.193,102,0
20140924,52.097,52.33,52.097,52.097,381,0
20140929,51.825,51.825,51.553,51.553,1446,0
20140930,51.986,51.986,51.986,51.986,634,0
20141001,51.831,51.831,51.831,51.831,103,0
20141002,50.974,50.974,50.974,50.974,103,0
20141003,51.704,51.704,51.704,51.704,335,0
20141010,50.275,50.275,50.275,50.275,199,0
20141014,49.273,49.273,49.098,49.244,531,0
20141017,49.234,49.234,49.234,49.234,382,0
20141023,51.169,51.169,51.15,51.15,685,0
20141024,51.256,51.256,51.256,51.256,368,0
20141031,53.037,53.143,53.017,53.143,722,0
20141103,53.347,53.542,53.347,53.542,368,0
20141107,53.562,53.562,53.562,53.562,296,0
20141114,53.726,53.726,53.726,53.726,183,0
20141118,54.057,54.057,54.057,54.057,117,0
20141124,54.66,54.66,54.66,54.66,183,0
20141125,54.64,54.66,54.64,54.64,206,0
20141126,54.544,54.544,54.544,54.544,314,0
20141202,54.582,54.699,54.582,54.699,5656,0
20141205,55.283,55.283,55.283,55.283,108,0
20141212,53.134,53.134,53.134,53.134,488,0
20141216,52.647,53.62,52.219,52.647,1009,0
20141226,55.74,55.74,55.74,55.74,1132,0
20150105,54.343,54.343,53.907,53.907,698,0
20150114,53.103,53.47,53.103,53.431,3274,0
20150120,53.242,53.818,53.242,53.818,394,0
20150121,53.897,54.195,53.897,54.135,1238,0
20150122,53.977,54.929,53.977,54.929,541,0
20150123,54.849,54.979,54.781,54.781,1062,0
20150202,53.143,53.143,53.143,53.143,100,0
20150204,54.821,54.821,54.821,54.821,233,0
20150209,55.167,55.167,55.088,55.088,285,0
20150210,55.257,55.257,55.257,55.257,156,0
20150213,56.15,56.15,56.15,56.15,205,0
20150217,56.428,56.428,56.408,56.408,372,0
20150218,56.09,56.09,56.09,56.09,128,0
20150224,56.765,56.765,56.626,56.626,256,0
