Date,Open,High,Low,Close,Volume,OpenInt
20130610,22.928,22.928,22.928,22.928,217,0
20130618,27.701,27.701,23.251,23.315,2089,0
20130619,23.268,23.268,23.083,23.176,6095,0
20130620,22.484,22.484,22.484,22.484,217,0
20130621,22.059,22.059,22.031,22.031,217,0
20130624,21.957,21.957,21.957,21.957,5956,0
20130625,22.308,22.308,22.308,22.308,195,0
20130626,22.668,22.762,22.668,22.762,835,0
20130627,22.816,22.816,22.733,22.733,1240,0
20130702,23.38,23.38,22.762,22.762,324,0
20130708,22.678,22.678,22.678,22.678,108,0
20130712,23.48,23.48,23.48,23.48,217,0
20130715,23.64,23.64,23.64,23.64,324,0
20130722,24.008,24.008,23.915,23.97,467,0
20130726,23.621,23.621,23.621,23.621,108,0
20130823,22.733,22.733,22.733,22.733,650,0
20130830,22.699,22.839,22.699,22.839,642,0
20130904,22.364,22.364,22.162,22.298,432,0
20130909,22.549,22.549,22.418,22.457,1299,0
20130913,22.696,22.696,22.549,22.577,3897,0
20130916,22.68,22.913,22.68,22.802,2359,0
20130918,22.802,22.802,22.802,22.802,107,0
20130919,23.315,23.315,23.315,23.315,193,0
20130920,23.223,23.24,23.223,23.24,455,0
20130927,23.044,23.044,23.044,23.044,107,0
20131002,23.054,23.054,23.054,23.054,214,0
20131010,23.295,23.295,23.072,23.072,751,0
20131011,23.501,23.501,23.258,23.258,744,0
20131014,23.258,23.258,23.258,23.258,214,0
20131015,23.167,23.167,23.167,23.167,321,0
20131017,23.446,23.446,23.286,23.324,1500,0
20131021,23.65,23.65,23.65,23.65,214,0
20131022,24.015,24.015,24.015,24.015,107,0
20131023,24.126,24.182,23.977,23.977,679,0
20131028,24.145,24.145,24.145,24.145,107,0
20131029,24.201,24.313,24.201,24.313,483,0
20131030,24.034,24.034,24.034,24.034,214,0
20131104,24.025,24.025,24.025,24.025,267,0
20131106,24.537,24.537,24.425,24.425,2350,0
20131107,24.155,24.173,24.155,24.173,428,0
20131111,24.116,24.116,24.116,24.116,107,0
20131114,24.089,24.089,24.089,24.089,163,0
20131115,24.069,24.099,24.069,24.069,490,0
20131118,24.025,24.044,24.025,24.044,1500,0
20131119,23.912,23.912,23.912,23.912,214,0
20131121,23.65,23.791,23.65,23.791,11040,0
20131122,23.791,23.791,23.791,23.791,214,0
20131210,23.157,23.157,23.157,23.157,107,0
20131211,23.081,23.193,22.979,23.072,77390,0
20131212,23.044,23.268,23.044,23.175,94251,0
20131213,23.183,23.268,23.072,23.147,42317,0
20131216,23.333,23.455,23.23,23.268,15027,0
20131217,23.23,23.409,23.044,23.258,31299,0
20131218,23.333,23.882,23.09,23.446,136576,0
20131219,23.464,23.734,23.137,23.352,181041,0
20131220,23.535,23.705,23.468,23.486,184115,0
20131223,23.744,23.981,23.44,23.477,163226,0
20131224,23.648,23.724,23.496,23.602,48684,0
20131226,23.705,23.801,23.565,23.667,75871,0
20131227,23.486,23.724,23.486,23.621,26239,0
20131230,23.676,23.705,23.393,23.496,65862,0
20131231,23.582,23.875,23.545,23.875,137404,0
20140102,23.667,23.667,23.393,23.431,183795,0
20140103,23.667,23.667,23.317,23.383,111074,0
20140106,23.383,23.45,23.175,23.175,198422,0
20140107,23.403,23.555,23.383,23.459,93857,0
20140108,23.431,23.431,23.251,23.336,23130,0
20140109,23.354,23.545,23.203,23.545,6859,0
20140110,23.744,23.943,23.744,23.943,632,0
20140113,23.657,23.734,23.657,23.657,446,0
20140114,23.772,23.801,23.705,23.705,3003,0
20140115,23.621,23.715,23.621,23.715,729,0
20140116,23.477,23.734,23.477,23.516,16671,0
20140117,23.811,23.811,23.772,23.811,527,0
20140123,23.924,24.039,23.867,24.039,843,0
20140128,23.657,23.657,23.657,23.657,211,0
20140129,23.792,23.801,23.744,23.744,1076,0
20140130,23.801,23.801,23.801,23.801,316,0
20140203,24.01,24.01,24.01,24.01,271,0
20140204,23.884,23.884,23.884,23.884,160,0
20140205,23.573,23.602,23.573,23.602,318,0
20140210,24.153,24.153,24.153,24.153,232,0
20140212,24.39,24.39,24.39,24.39,440,0
20140213,24.608,24.654,24.56,24.628,4318,0
20140214,24.645,24.901,24.645,24.864,11065,0
20140225,24.94,24.94,24.921,24.921,1055,0
20140307,24.891,24.891,24.891,24.891,105,0
20140312,24.94,24.94,24.94,24.94,127,0
20140317,25.609,25.609,25.609,25.609,420,0
20140325,25.219,25.446,25.209,25.446,1472,0
20140326,25.39,25.39,25.39,25.39,105,0
20140402,25.418,25.428,25.418,25.428,262,0
20140403,25.619,25.629,25.619,25.629,840,0
20140417,26.132,26.132,26.095,26.132,27699,0
20140421,26.085,26.085,26.065,26.085,23990,0
20140422,26.141,26.226,26.132,26.141,3391,0
20140424,26.256,26.294,26.189,26.236,3631,0
20140425,26.542,26.542,26.37,26.465,18135,0
20140428,26.579,26.579,26.475,26.475,735,0
20140502,26.513,26.542,26.37,26.38,1990,0
20140505,26.446,26.446,26.38,26.39,2974,0
20140506,26.418,26.485,26.39,26.418,2099,0
20140513,26.226,26.226,26.226,26.226,525,0
20140514,26.39,26.426,26.333,26.37,5984,0
20140515,26.665,26.665,26.665,26.665,105,0
20140516,26.219,26.219,26.219,26.219,2315,0
20140522,26.189,26.189,26.189,26.189,315,0
20140523,26.028,26.028,26.028,26.028,179,0
20140529,26.284,26.341,26.284,26.341,18365,0
20140602,26.579,26.579,26.57,26.579,1680,0
20140603,26.599,26.636,26.599,26.609,16172,0
20140612,25.76,26.35,25.76,26.35,840,0
20140620,27.189,27.209,26.742,27.209,473,0
20140625,27.313,27.342,27.313,27.342,315,0
20140701,27.674,27.674,27.674,27.674,104,0
20140707,27.096,27.096,27.096,27.096,370,0
20140714,27.124,27.144,27.124,27.144,958,0
20140723,27.259,27.317,27.182,27.278,14145,0
20140724,27.356,27.356,27.356,27.356,628,0
20140729,27.422,27.422,27.356,27.356,622,0
20140731,26.614,26.614,26.604,26.604,415,0
20140806,25.937,25.937,25.937,25.937,287,0
20140811,26.449,26.449,26.449,26.449,224,0
20140814,26.631,26.631,26.631,26.631,1546,0
20140819,27.046,27.046,27.046,27.046,228,0
20140822,27.308,27.308,27.144,27.211,40343,0
20140825,27.578,27.578,27.182,27.288,2903,0
20140828,27.249,27.404,27.249,27.404,518,0
20140902,27.664,27.664,27.471,27.471,1231,0
20140904,27.674,27.674,27.481,27.559,11926,0
20140905,27.674,27.837,27.674,27.837,741,0
20140908,27.781,27.781,27.781,27.781,0,0
20140909,27.598,27.598,27.598,27.598,104,0
20140911,27.412,27.412,27.259,27.412,622,0
20140915,27.037,27.037,27.037,27.037,379,0
20140917,27.163,27.299,27.163,27.27,4439,0
20140918,26.989,27.096,26.921,27.066,53943,0
20140919,27.24,27.24,27.105,27.183,4658,0
20140922,26.95,26.95,26.95,26.95,209,0
20140923,26.96,28.171,26.786,26.786,2443,0
20140924,26.688,26.843,26.649,26.688,86908,0
20140925,26.688,26.717,26.455,26.455,3534,0
20140926,26.602,26.756,26.485,26.485,9926,0
20140929,27.434,27.434,26.156,26.737,35265,0
20141002,26.756,26.776,26.475,26.776,1929,0
20141003,27.23,27.23,26.602,26.786,1600,0
20141006,26.843,26.843,26.833,26.843,3293,0
20141008,26.543,26.543,26.543,26.543,156,0
20141009,27.124,27.124,27.124,27.124,365,0
20141013,27.24,27.24,27.203,27.203,2065,0
20141014,27.144,27.144,27.144,27.144,413,0
20141016,27.056,27.056,26.833,26.833,516,0
20141017,27.105,27.105,27.096,27.096,574,0
20141023,27.696,27.696,27.696,27.696,413,0
20141028,28.025,28.084,28.025,28.084,421,0
20141030,28.316,28.316,28.316,28.316,104,0
20141103,28.471,28.471,28.393,28.393,619,0
20141104,29.256,29.256,28.451,28.451,1135,0
20141105,28.635,28.655,28.635,28.655,699,0
20141106,28.5,28.5,28.5,28.5,413,0
20141107,28.218,28.432,28.218,28.432,206,0
20141110,28.799,28.839,28.752,28.752,2375,0
20141111,28.809,29.003,28.809,28.809,918,0
20141113,28.296,28.316,28.296,28.316,431,0
20141114,28.191,28.191,28.191,28.191,356,0
20141117,28.316,28.316,28.316,28.316,373,0
20141119,28.559,28.559,28.559,28.559,206,0
20141120,28.5,28.5,28.461,28.481,310,0
20141124,28.635,28.655,28.635,28.655,424,0
20141126,28.684,28.684,28.635,28.635,671,0
20141128,28.839,28.849,28.839,28.849,362,0
20141201,28.868,28.868,28.868,28.868,156,0
20141208,29.023,29.023,29.023,29.023,413,0
20141210,29.062,29.062,29.062,29.062,173,0
20141219,29.402,29.402,29.354,29.354,508,0
20141224,29.846,30.023,29.846,30.023,848,0
20141226,30.269,30.368,30.23,30.309,7341,0
20141229,30.752,30.762,30.526,30.604,689,0
20141230,30.142,30.142,30.092,30.102,1112,0
20150105,29.304,29.304,29.304,29.304,184,0
20150109,29.758,29.768,29.688,29.688,1907,0
20150112,29.481,29.481,29.481,29.481,203,0
20150114,29.472,30.092,29.472,29.688,1873,0
20150115,30.339,30.339,29.875,29.955,1888,0
20150116,30.043,30.043,30.023,30.023,1908,0
20150121,30.496,30.496,30.496,30.496,345,0
20150123,30.88,30.89,30.683,30.683,1523,0
20150126,31.038,31.038,30.634,30.654,2965,0
20150129,30.604,31.038,30.604,31.038,642,0
20150130,30.683,30.733,30.437,30.437,423,0
20150204,30.397,30.397,30.397,30.397,328,0
20150205,30.526,30.526,30.526,30.526,167,0
