Date,Open,High,Low,Close,Volume,OpenInt
20070308,44.584,44.928,44.584,44.804,129208,0
20070309,44.971,45.155,44.857,45.104,158212,0
20070312,45.059,45.358,45.015,45.314,122840,0
20070313,45.015,45.042,44.11,44.127,246647,0
20070314,43.96,44.19,43.424,44.18,176183,0
20070315,44.399,44.602,44.268,44.55,64492,0
20070316,44.708,44.874,44.443,44.637,57027,0
20070319,45.104,45.182,44.776,45.164,53583,0
20070320,45.278,45.507,45.059,45.498,73819,0
20070321,45.719,46.554,45.525,46.474,133759,0
20070322,46.554,46.597,46.228,46.439,135577,0
20070323,46.545,46.729,46.422,46.589,117265,0
20070326,46.641,46.686,46.113,46.536,86671,0
20070327,46.335,46.396,46.212,46.335,71885,0
20070328,46.36,46.36,45.762,45.815,69591,0
20070329,46.422,46.554,46.035,46.387,65856,0
20070330,46.422,46.528,46.326,46.351,118061,0
20070402,46.562,46.668,46.335,46.614,50688,0
20070403,46.949,47.221,46.757,47.099,87011,0
20070404,47.302,47.407,47.099,47.344,229812,0
20070405,47.476,47.653,47.353,47.582,171177,0
20070409,47.741,47.819,47.591,47.653,116470,0
20070410,47.828,47.951,47.662,47.865,162533,0
20070411,48.18,48.18,47.476,47.671,181416,0
20070412,47.512,48.005,47.371,47.934,53115,0
20070413,48.05,48.206,47.889,48.127,107599,0
20070416,48.576,48.849,48.497,48.849,411282,0
20070417,48.689,48.771,48.348,48.576,222587,0
20070418,48.461,48.707,48.357,48.541,175841,0
20070419,48.153,48.656,48.005,48.259,183351,0
20070420,48.752,48.902,48.707,48.794,129891,0
20070423,48.594,48.787,48.47,48.497,99523,0
20070424,48.443,48.619,48.198,48.401,137966,0
20070425,48.698,48.972,48.628,48.893,206666,0
20070426,48.707,48.794,48.576,48.611,110100,0
20070427,48.533,48.752,48.357,48.752,100885,0
20070430,48.533,48.637,48.118,48.18,107143,0
20070501,48.488,48.524,48.014,48.215,80414,0
20070502,48.348,48.734,48.348,48.698,116697,0
20070503,48.533,48.946,48.533,48.858,190970,0
20070504,49.235,49.305,49.041,49.244,119995,0
20070507,49.499,49.631,49.296,49.385,113740,0
20070508,49.209,49.209,48.707,48.937,111238,0
20070509,49.13,49.305,49.006,49.288,256710,0
20070510,48.883,48.937,48.074,48.357,168107,0
20070511,48.665,49.113,48.619,49.113,87353,0
20070514,49.191,49.288,48.761,49.016,217128,0
20070515,48.954,49.313,48.84,48.928,65741,0
20070516,49.226,49.288,48.883,49.253,102707,0
20070517,49.016,49.139,48.821,49.139,113740,0
20070518,49.226,49.674,49.104,49.674,177661,0
20070521,49.394,49.394,49.148,49.235,167074,0
20070522,49.447,49.473,49.235,49.305,108052,0
20070523,49.851,49.895,49.518,49.595,102366,0
20070524,49.631,49.763,48.794,48.928,111353,0
20070525,49.191,49.437,49.016,49.437,220542,0
20070529,49.595,49.666,49.148,49.288,181416,0
