Date,Open,High,Low,Close,Volume,OpenInt
20060427,45.479,45.954,45.479,45.79,15419,0
20060428,45.743,45.926,45.681,45.761,32148,0
20060501,46.009,46.009,45.653,45.672,48878,0
20060502,45.734,45.907,45.672,45.855,43630,0
20060503,45.826,45.826,45.689,45.826,25698,0
20060504,45.972,45.972,45.826,45.907,16182,0
20060505,46.127,46.366,46.118,46.366,11918,0
20060508,46.448,46.548,46.448,46.502,24930,0
20060509,46.502,46.567,46.494,46.558,13885,0
20060510,46.502,46.558,46.457,46.511,8748,0
20060511,46.366,46.366,46,46.019,10059,0
20060512,45.963,45.963,45.588,45.588,13450,0
20060515,45.542,45.798,45.498,45.798,32914,0
20060516,45.926,46.009,45.826,45.836,12357,0
20060517,45.662,45.662,45.085,45.186,61015,0
20060518,45.232,45.26,44.894,44.957,25916,0
20060519,45.077,45.131,44.774,45.031,44831,0
20060522,44.939,45.022,44.675,44.993,32474,0
20060523,45.141,45.176,44.792,44.792,12029,0
20060524,44.692,45.058,44.582,45.058,53145,0
20060525,45.205,45.331,45.122,45.331,16075,0
20060526,45.442,45.551,45.377,45.533,14432,0
20060530,45.324,45.324,44.885,44.885,15965,0
20060531,45.012,45.148,44.885,45.148,39802,0
20060601,45.158,45.579,45.158,45.579,5359,0
20060602,45.672,45.672,45.35,45.508,20338,0
20060605,45.396,45.396,44.81,44.81,30728,0
20060606,44.93,44.93,44.473,44.702,71404,0
20060607,44.894,45.085,44.684,44.702,16075,0
20060608,44.628,44.81,44.225,44.72,82342,0
20060609,44.737,44.948,44.628,44.637,16182,0
20060612,44.684,44.684,44.252,44.252,16075,0
20060613,44.199,44.408,43.915,43.951,49316,0
20060614,44.016,44.134,43.85,44.134,46473,0
20060615,44.299,44.848,44.299,44.848,25257,0
20060616,44.866,44.866,44.702,44.774,37944,0
20060619,44.848,44.848,44.345,44.372,22200,0
20060620,44.417,44.609,44.399,44.435,18372,0
20060621,44.573,44.885,44.573,44.756,66701,0
20060622,44.637,44.637,44.399,44.527,31600,0
20060623,44.399,44.656,44.363,44.445,31600,0
20060626,44.372,44.426,44.327,44.426,10059,0
20060627,44.51,44.51,44.107,44.126,14107,0
20060628,44.19,44.262,44.023,44.19,44070,0
20060629,44.52,45.031,44.445,45.031,41661,0
20060630,45.068,45.085,44.965,44.975,13231,0
20060703,44.885,45.104,44.885,45.104,8638,0
20060705,45.148,45.148,44.711,44.857,12138,0
20060706,45.003,45.104,45.003,45.022,3169,0
20060707,44.984,44.984,44.591,44.665,14870,0
20060710,44.702,44.912,44.702,44.829,6779,0
20060711,44.783,44.783,44.564,44.72,10825,0
20060712,44.948,44.948,44.482,44.52,5249,0
20060713,44.39,44.39,43.98,44.069,44831,0
20060714,43.942,43.942,43.53,43.686,43413,0
20060717,43.659,43.806,43.576,43.787,18915,0
20060718,43.896,43.896,43.467,43.815,15746,0
20060719,44.134,44.72,44.134,44.628,41115,0
20060720,44.684,44.729,44.309,44.309,41333,0
20060721,44.299,44.336,43.951,44.042,32367,0
20060724,44.18,44.675,44.18,44.609,17496,0
20060725,44.573,44.866,44.454,44.839,41226,0
20060726,44.684,44.81,44.536,44.747,26573,0
20060727,44.783,44.965,44.609,44.609,31821,0
20060728,44.82,45.195,44.82,45.122,27229,0
20060731,45.068,45.077,44.993,45.077,11371,0
20060801,44.875,44.875,44.628,44.756,25588,0
