Date,Open,High,Low,Close,Volume,OpenInt
20150612,25.151,25.151,25.151,25.151,502,0
20150615,25.151,25.151,25.151,25.151,100,0
20150617,25.281,25.281,25.281,25.281,502,0
20150623,25.34,25.34,25.34,25.34,396,0
20150624,25.29,25.29,25.22,25.22,601,0
20150629,24.841,24.841,24.662,24.672,702,0
20150630,24.672,24.672,24.672,24.672,1,0
20150709,24.672,24.672,24.672,24.672,100,0
20150714,25.121,25.121,25.121,25.121,2205,0
20150716,25.13,25.17,25.13,25.17,501,0
20150721,24.851,24.861,24.851,24.851,501,0
20150727,24.352,24.352,24.352,24.352,200,0
20150729,24.35,24.35,24.35,24.35,100,0
20150730,24.95,24.99,24.95,24.99,600,0
20150731,25.13,25.13,25.07,25.07,300,0
20150803,24.91,24.92,24.91,24.92,500,0
20150805,24.92,24.92,24.92,24.92,100,0
20150806,24.89,24.89,24.89,24.89,202,0
